DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,0,24,28,28,28,0,78,10,1010,5.5,33,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-02,28,0,22,28,28,28,0,77,10,1009,10.625,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-03,28,0,17,28,28,27,0,77,10,1009,4.5,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-04,28,0,10,28,27,27,0,74,10,1009,4.375,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-05,28,0,28,27,27,28,0,78,10,1009,7.625,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-06,28,0,33,28,28,28,0,78,10,1010,6.25,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-07,28,0,32,28,28,28,0,77,10,1009,5,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-08,28,0,29,28,28,28,0,78,10,1008,3.25,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-09,28,0,24,28,28,28,0,78,10,1007,3,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-10,28,0,27,28,28,28,0,79,10,1008,3.25,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-11,28,0,25,28,28,28,0,81,10,1009,5.375,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-12,28,0,26,28,28,28,0,79,10,1010,3.75,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-13,28,0,24,28,28,27,0,77,10,1010,3.5,32,24,27,113,113,113,0,1,11.6,météo favorable
2009-01-14,28,0,20,28,28,27,0,79,10,1012,4.875,32,24,27,113,113,113,0,1,11.6,météo favorable
2009-01-15,28,0,26,28,28,28,0,77,10,1013,9.375,31,23,28,113,113,113,0,1,11.6,météo favorable
2009-01-16,28,0,25,28,28,27,0,78,10,1012,3.625,32,24,27,113,113,113,0,1,11.6,météo favorable
2009-01-17,28,0,23,28,27,27,0,78,10,1013,6.25,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-18,27,0,19,27,27,27,0,79,10,1011,6.125,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-19,27,0,18,27,27,27,0,78,10,1012,8.875,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-20,27,0,24,27,27,27,0,79,10,1012,3.375,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-21,27,0,22,27,27,27,0,81,10,1011,10.5,31,24,27,113,113,113,0,1,11.6,météo favorable
2009-01-22,28,0,15,27,27,27,0,80,10,1011,6,31,24,27,113,113,113,0,1,11.6,météo favorable
2009-01-23,27,0,17,27,27,27,0,79,10,1009,11.5,30,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-24,27,0,19,27,27,27,0,81,10,1010,27.5,31,24,27,113,116,113,0,1,11.6,météo favorable
2009-01-25,28,0,20,28,28,27,0,81,10,1010,24.25,32,24,28,113,116,113,0,1,11.6,météo favorable
2009-01-26,28,0,27,28,28,28,0.1,82,10,1009,23.625,32,25,28,116,113,113,0,1,11.6,météo favorable
2009-01-27,28,0,27,28,28,28,0,78,10,1008,4.375,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-28,28,0,31,28,27,27,1.8,82,9.75,1007,42.25,32,24,27,116,116,116,0,1,11.6,météo favorable
2009-01-29,28,0,31,28,27,28,2.4,82,10,1008,45.125,33,25,27,116,116,113,0,1,11.6,météo favorable
2009-01-30,28,0,28,28,28,27,2.5,84,10,1008,39.125,33,25,27,113,116,119,0,1,10.2,météo favorable
2009-01-31,28,0,34,28,28,28,1.4,81,10,1008,27.125,32,24,28,116,113,113,0,1,11.6,météo favorable
2009-02-01,28,0,36,28,28,28,1.3,82,10,1008,16.875,32,25,27,113,116,113,0,1,11.6,météo favorable
2009-02-02,28,0,33,28,28,28,0,81,10,1007,11,32,24,28,113,113,116,0,1,11.6,météo favorable
2009-02-03,28,0,36,28,28,28,0.6,82,9.75,1007,25.5,33,25,28,200,113,113,0,1,11.6,météo favorable
2009-02-04,28,0,29,28,28,28,0.1,82,10,1007,15.125,33,25,28,113,113,113,0,1,11.6,météo favorable
2009-02-05,28,0,33,27,28,28,0.9,82,9.75,1008,30.125,32,25,27,116,116,116,0,1,11.6,météo favorable
2009-02-06,28,0,32,28,28,28,0,80,10,1009,12,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-07,28,0,32,28,28,28,0,83,10,1010,14.125,33,25,28,113,113,113,0,1,11.6,météo favorable
2009-02-08,28,0,30,28,28,28,0,83,10,1011,8.5,33,25,28,113,113,113,0,1,11.6,météo favorable
2009-02-09,28,0,30,28,28,28,0,81,10,1010,7.375,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-10,28,0,31,28,28,27,0,81,10,1010,19.375,32,24,27,113,113,116,0,1,11.6,météo favorable
2009-02-11,28,0,28,28,28,28,0,80,10,1010,10.375,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-12,28,0,23,28,28,27,0.5,81,9.875,1011,18.625,32,24,27,113,113,116,0,1,11.6,météo favorable
2009-02-13,28,0,23,28,28,28,0.1,83,10,1011,27.375,32,25,28,116,116,113,0,1,11.6,météo favorable
2009-02-14,28,0,27,28,28,27,0,81,10,1010,19,32,24,28,116,113,113,0,1,11.6,météo favorable
2009-02-15,28,0,28,28,28,27,0,80,10,1010,15.5,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-16,28,0,31,28,28,27,0,82,10,1009,16.5,32,24,28,113,116,113,0,1,11.6,météo favorable
2009-02-17,28,0,35,28,28,28,0,80,10,1009,9.875,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-18,28,0,29,28,28,28,0,80,10,1009,11.875,32,24,28,113,113,113,0,1,11.6,météo favorable
2009-02-19,28,0,19,28,27,27,0,80,10,1010,9.375,31,24,27,113,113,113,0,1,11.6,météo favorable
2009-02-20,27,0,14,27,27,27,0,81,10,1009,9.375,31,24,27,113,113,113,0,1,11.6,météo favorable
2009-02-21,27,0,17,27,27,27,0,81,10,1009,13,31,23,27,113,113,113,0,1,11.6,météo favorable
2009-02-22,27,0,18,27,27,27,0.3,82,9.875,1009,20.375,31,24,27,116,113,113,0,1,11.6,météo favorable
2009-02-23,28,0,23,28,27,27,0.1,80,10,1009,10.75,31,24,27,113,113,113,0,1,11.6,météo favorable
