DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,26,22,26,26,26,17.6,88,9,1009,68.875,30,24,26,353,308,356,0,1,9.5,météo très défavorable
2009-01-02,29,26,14,26,29,27,33,85,9.25,1010,70.75,34,25,27,308,353,116,0,1,10.8,météo très défavorable
2009-01-03,29,25,19,27,29,26,9.2,90,9.5,1011,62.875,34,25,26,353,176,356,0,1,12,météo correcte
2009-01-04,27,25,33,26,27,27,11.2,81,9.125,1010,82,31,24,27,353,122,122,0,1,9.5,météo défavorable
2009-01-05,28,26,31,26,28,27,0.4,83,9,1008,87.375,31,24,27,266,122,119,0,1,8.2,météo défavorable
2009-01-06,28,27,31,27,28,28,0,78,10,1009,72.125,33,24,28,122,122,113,0,1,10.7,météo défavorable
2009-01-07,29,27,29,27,29,27,0.6,84,10,1007,62.25,33,25,27,116,116,353,0,1,12,météo correcte
2009-01-08,29,26,25,27,29,27,9.1,84,9.5,1007,54.5,33,24,27,353,353,176,0,1,13.2,météo correcte
2009-01-09,29,27,26,27,29,28,2.6,74,9.875,1007,39.375,32,24,28,176,353,116,0,1,13.2,météo correcte
2009-01-10,29,27,25,27,29,28,0.4,71,9.875,1007,30.75,32,22,28,176,113,116,0,1,13.2,météo favorable
2009-01-11,28,26,28,27,28,26,1.3,81,9.875,1009,31.125,31,23,26,113,176,353,0,1,13.2,météo favorable
2009-01-12,27,25,33,27,27,25,3,83,9.875,1009,72.25,30,22,26,116,116,296,0,1,12,météo défavorable
2009-01-13,26,25,44,26,26,26,12.1,85,8.75,1010,95.75,29,23,26,302,296,356,0,1,8.2,météo défavorable
2009-01-14,27,26,32,27,27,26,6.2,86,9.875,1011,69.875,30,24,26,353,353,353,0,1,9.5,météo défavorable
2009-01-15,26,26,17,26,26,26,17.9,88,8.375,1012,91.25,30,24,26,356,359,356,0,1,8.2,météo très défavorable
2009-01-16,27,25,21,25,27,27,5.5,84,9.5,1013,67.5,31,24,27,353,353,176,0,1,12,météo défavorable
2009-01-17,29,26,15,26,29,27,0,76,10,1012,32.375,33,23,27,116,116,113,0,1,13.1,météo favorable
2009-01-18,28,26,27,26,28,27,0,74,10,1014,12,31,22,27,113,113,113,0,1,13.1,météo idéale
2009-01-19,28,26,31,27,28,27,0.6,77,9.875,1014,48.5,32,23,27,176,116,116,0,1,13.1,météo favorable
2009-01-20,27,26,23,26,27,26,1.1,83,9.875,1013,52.75,31,23,26,119,353,176,0,1,12,météo correcte
2009-01-21,29,26,20,27,29,27,0.2,83,9.875,1013,36.5,33,24,27,119,116,113,0,1,13.1,météo favorable
2009-01-22,28,26,16,27,28,27,3.4,88,10,1011,47.375,34,25,27,353,116,353,0,1,13.1,météo favorable
2009-01-23,28,27,20,27,28,27,6.4,88,9.875,1011,55,34,26,27,353,353,176,0,1,12,météo correcte
2009-01-24,29,27,9,27,28,27,1.1,88,9.75,1011,44.375,35,26,28,116,116,176,0,1,13.1,météo favorable
2009-01-25,27,26,7,27,27,27,1.4,87,8.875,1011,71.125,31,25,27,176,266,119,0,1,10.7,météo défavorable
2009-01-26,28,26,20,26,28,27,3.2,84,8.875,1012,44.75,33,25,27,353,386,176,0,1,13.1,météo correcte
2009-01-27,27,25,26,26,27,26,6.2,84,9.25,1011,61.25,30,23,26,356,353,353,0,1,13,météo correcte
2009-01-28,26,25,33,25,26,26,8.1,83,9.125,1010,56,29,23,26,353,356,176,0,1,12,météo correcte
2009-01-29,26,25,37,26,26,26,12.9,86,9.25,1009,78.375,29,23,26,353,356,356,0,1,8.1,météo défavorable
2009-01-30,28,26,39,26,28,26,9.3,83,9.625,1008,69.75,32,24,26,353,353,356,0,1,10.7,météo défavorable
2009-01-31,27,26,44,27,26,26,19,90,8.25,1007,83.375,31,25,26,176,356,359,0,1,9.4,météo très défavorable
2009-02-01,27,26,41,27,27,26,37.8,90,7,1006,99.625,31,25,26,359,359,356,0,1,8.1,météo très défavorable
2009-02-02,26,26,29,26,26,26,36.7,90,6.5,1006,95.625,30,24,26,359,359,359,0,1,8.1,météo très défavorable
2009-02-03,27,25,31,27,26,25,15.6,89,8.875,1005,65,30,24,26,353,356,356,0,1,9.4,météo défavorable
