DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,19,6,22,25,20,12.3,91,6.625,1012,64.375,28,23,23,116,200,248,0,1,10.7,météo correcte
2009-01-02,24,19,8,22,23,20,7.9,91,5.375,1012,67.375,27,22,22,116,200,248,0,1,13,météo défavorable
2009-01-03,24,17,9,22,24,19,6.8,93,5.75,1012,85.625,26,21,22,122,200,248,0,1,8.1,météo défavorable
2009-01-04,24,18,8,21,24,20,6.3,92,5.375,1012,78.375,26,22,22,116,200,248,0,1,10.7,météo défavorable
2009-01-05,24,18,14,20,24,19,1.2,94,5.5,1011,69.375,26,20,21,116,116,248,0,1,13,météo défavorable
2009-01-06,24,18,12,21,23,20,2.6,88,5.375,1011,61,26,20,22,116,119,143,0,1,13,météo correcte
2009-01-07,26,18,14,22,26,19,0.6,85,5.5,1012,43.25,27,21,22,116,200,143,0,1,12.9,météo correcte
2009-01-08,27,17,13,22,27,19,0.1,81,7.5,1014,37.5,28,19,22,113,113,113,0,1,12.9,météo favorable
2009-01-09,27,17,14,22,27,19,0,76,7.75,1014,26.25,28,18,23,116,113,113,0,1,12.9,météo idéale
2009-01-10,24,17,5,21,24,20,1,89,8.875,1013,31.5,27,21,21,116,116,113,0,1,12.9,météo favorable
2009-01-11,25,18,8,22,24,18,6.6,87,8,1012,49.125,27,22,23,116,200,248,0,1,11.9,météo correcte
2009-01-12,25,17,8,22,25,20,5.3,88,5.75,1012,63.625,27,22,22,116,200,248,0,1,12.9,météo correcte
2009-01-13,24,18,7,22,24,20,7.1,90,5.75,1013,73.5,27,22,23,116,200,248,0,1,10.6,météo défavorable
2009-01-14,21,18,6,20,20,19,5.7,97,4.25,1012,70.625,24,20,20,143,143,248,0,1,9.4,météo défavorable
2009-01-15,24,18,8,21,24,20,29.9,97,5.75,1011,69.625,26,21,21,116,200,248,0,1,12.9,météo très défavorable
2009-01-16,21,18,10,18,21,19,19.5,98,3.5,1012,83,24,20,19,248,116,248,0,1,11.9,météo très défavorable
2009-01-17,25,17,6,21,24,21,8.4,96,6,1012,68,27,23,21,116,200,248,0,1,10.6,météo défavorable
2009-01-18,23,18,9,20,23,19,2.2,95,5.25,1012,69.25,26,21,21,143,116,248,0,1,11.9,météo défavorable
2009-01-19,23,18,4,20,23,19,6.5,95,6,1012,61.5,26,22,20,143,119,248,0,1,11.9,météo correcte
2009-01-20,22,18,5,20,22,19,5.4,95,4.25,1012,81.625,25,21,20,143,116,248,0,1,9.3,météo défavorable
2009-01-21,22,18,8,19,22,19,3.6,98,4,1014,86.75,24,21,19,248,119,248,0,1,8.1,météo défavorable
2009-01-22,23,18,7,20,23,20,5.6,96,7.125,1014,73.5,26,21,20,116,122,248,0,1,10.6,météo défavorable
2009-01-23,23,18,9,20,23,18,4.7,94,4.5,1012,74.25,26,22,21,116,200,248,0,1,12.9,météo défavorable
2009-01-24,23,18,11,21,23,20,15.5,97,5.125,1012,78.75,26,22,22,116,200,248,0,1,10.6,météo défavorable
2009-01-25,22,18,5,19,21,19,11,98,3.25,1015,83.5,25,21,19,248,143,248,0,1,10.6,météo défavorable
2009-01-26,25,17,13,20,25,19,0.2,92,5,1016,75.5,27,20,21,119,116,248,0,1,10.6,météo défavorable
2009-01-27,25,17,15,20,25,19,0,84,5.5,1016,52.5,27,19,20,116,116,143,0,1,12.9,météo favorable
2009-01-28,26,17,14,20,26,19,0,87,6.25,1015,55.75,27,19,20,116,113,113,0,1,12.8,météo correcte
2009-01-29,24,16,11,21,24,19,4.9,90,4.375,1014,67.75,26,22,22,113,200,248,0,1,11.9,météo défavorable
2009-01-30,25,17,11,21,25,19,6.3,92,4.375,1013,68.875,27,22,21,116,200,248,0,1,12.8,météo défavorable
2009-01-31,23,17,8,20,23,18,5.4,90,4.125,1012,75.25,25,21,21,116,200,248,0,1,11.9,météo défavorable
