DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-3,-5,17,-5,-4,-4,0,87,10,1025,40.75,0,0,-10,113,116,122,0,1,6.8,météo très défavorable
2009-01-02,-2,-5,14,-3,-2,-5,0,96,8,1025,62.25,0,0,-10,143,122,113,0,1,3,météo très défavorable
2009-01-03,-3,-6,29,-6,-3,-4,0,95,10,1026,55.375,0,0,-13,116,116,119,0,1,6.8,météo très défavorable
2009-01-04,-1,-5,17,-2,-1,-4,0,93,9,1014,88.125,0,0,-8,122,122,116,0,1,3,météo très défavorable
2009-01-05,-6,-10,17,-7,-7,-10,0,84,10,1027,25.875,0,0,-15,116,113,113,0,1,8,météo très défavorable
2009-01-06,-10,-12,7,-12,-10,-11,0,88,10,1029,3.125,0,0,-15,113,113,113,0,1,8,météo très défavorable
2009-01-07,-6,-12,23,-12,-6,-7,0,91,10,1023,38.625,0,0,-19,113,113,122,0,1,6.8,météo très défavorable
2009-01-08,-5,-7,18,-7,-5,-7,0,94,10,1032,32.625,0,0,-14,113,113,116,0,1,8,météo très défavorable
2009-01-09,-3,-7,24,-7,-4,-4,0.1,94,9.375,1030,49.25,0,0,-14,113,113,122,0.1,1,6.8,météo très défavorable
2009-01-10,-1,-3,13,-3,-1,-2,0.1,99,3.5,1033,92.125,0,0,-7,122,143,260,0,1,3,météo très défavorable
2009-01-11,-1,-5,15,-3,-1,-4,0,98,6.25,1034,29.5,1,0,-9,260,113,113,0,1,8.1,météo très défavorable
2009-01-12,-2,-6,19,-6,-2,-5,0,87,10,1034,0,0,0,-13,113,113,113,0,1,8.1,météo très défavorable
2009-01-13,-2,-6,20,-6,-2,-4,0,88,10,1025,5.625,0,0,-12,113,113,116,0,1,8.1,météo très défavorable
2009-01-14,-2,-6,9,-6,-3,-2,0,96,6.75,1019,54.375,0,0,-9,116,119,143,0,1,5,météo très défavorable
2009-01-15,-1,-3,12,-3,-2,-1,0,99,3.25,1022,88.75,0,0,-7,143,116,260,0,1,5.1,météo très défavorable
2009-01-16,-0,-6,11,-1,-0,-5,0,98,1.75,1029,64.25,0,0,-8,260,116,260,0,1,6.9,météo très défavorable
2009-01-17,-3,-7,11,-7,-3,-7,0,97,3,1028,27.25,0,0,-11,143,113,260,0,1,8.6,météo très défavorable
2009-01-18,-1,-6,12,-6,-1,-1,0,99,1.5,1019,86.25,0,0,-11,260,143,260,0,1,3.2,météo très défavorable
2009-01-19,2,-1,24,1,2,-1,0.2,99,8.125,1006,61.75,2,1,-5,122,116,113,0.2,1,6.9,météo très défavorable
2009-01-20,3,-0,13,1,3,2,0.2,99,4,1006,87.25,3,3,-3,248,248,248,0,1,5.1,météo très défavorable
2009-01-21,3,1,10,2,3,2,0.4,100,0.25,1008,97.375,3,3,-0,248,248,248,0,1,3.3,météo très défavorable
2009-01-22,2,0,13,1,1,0,2.4,99,2.625,1008,100,2,2,-3,122,143,248,0,1,3.3,météo très défavorable
2009-01-23,4,0,19,0,3,3,0,98,8,1005,88,4,4,-4,119,119,119,0,1,3.3,météo très défavorable
2009-01-24,4,2,10,3,4,2,0.1,98,5.125,995,90.25,5,4,0,248,119,143,0.1,1,3.3,météo très défavorable
2009-01-25,4,0,8,1,4,1,0,99,2,1005,82.75,4,2,-1,248,119,143,0,1,3.3,météo très défavorable
2009-01-26,3,-1,10,-0,3,-1,0,94,8,1011,63.375,3,0,-4,119,119,122,0,1,5.1,météo très défavorable
2009-01-27,3,-1,13,-0,3,-0,0,95,9,1018,68.375,3,0,-4,119,116,119,0,1,5.1,météo très défavorable
2009-01-28,1,-2,17,-1,1,-2,0,96,8,1021,53.5,1,0,-5,116,113,143,0,1,8.7,météo très défavorable
2009-01-29,1,-1,14,-1,1,-0,0,87,10,1026,93.75,1,0,-4,122,122,122,0.1,1,3.4,météo très défavorable
2009-01-30,1,-1,14,-1,1,0,0.6,94,7.375,1026,90.625,1,0,-4,119,122,143,0.5,1,3.4,météo très défavorable
2009-01-31,-0,-2,13,-2,-0,-2,0.3,94,9,1023,97.875,0,0,-6,122,122,122,0.3,1,3.4,météo très défavorable
2009-02-01,-1,-2,25,-2,-1,-2,0.8,89,9,1023,99.875,0,0,-8,122,122,122,0.6,1,3.4,météo très défavorable
2009-02-02,-0,-2,23,-2,-0,-1,0,88,10,1023,87.125,0,0,-7,119,119,122,0,1,3.4,météo très défavorable
2009-02-03,1,-2,23,-2,1,-0,0,92,10,1018,89.5,1,0,-8,122,119,122,0,1,3.4,météo très défavorable
2009-02-04,3,-0,5,1,3,-0,0,99,0.25,1002,95.125,3,3,-1,248,248,260,0,1,3.4,météo très défavorable
2009-02-05,3,0,10,1,3,1,0,99,2.25,1004,92.75,3,2,-2,143,143,248,0,1,3.5,météo très défavorable
2009-02-06,5,-0,13,-0,5,1,0,98,3.75,1002,58.625,5,4,-3,260,116,113,0,1,7,météo très défavorable
2009-02-07,10,4,19,5,10,7,0,96,8.75,996,43.875,11,6,1,116,113,113,0,1,8.7,météo très défavorable
2009-02-08,6,1,19,5,5,1,3,99,6.375,1003,97.75,6,5,-4,248,122,122,0.8,1,3.5,météo très défavorable
2009-02-09,1,-1,11,-1,1,-0,0,86,10,1010,91,2,0,-4,122,122,119,0,1,3.5,météo très défavorable
2009-02-10,3,-2,22,-2,3,2,0,90,10,1009,60.875,3,1,-6,116,116,122,0,1,7,météo très défavorable
2009-02-11,1,0,19,0,1,1,0.2,97,8.125,1001,92.5,1,0,-4,248,122,122,0.2,1,3.5,météo très défavorable
2009-02-12,0,-1,20,-1,0,-1,0,91,10,1011,100,0,0,-6,122,122,122,0,1,3.6,météo très défavorable
2009-02-13,1,-1,15,-1,1,0,1.1,96,8,1010,100,1,0,-4,143,122,122,0.9,1,3.6,météo très défavorable
2009-02-14,1,-1,22,-0,1,-1,1.3,95,8,1018,100,1,0,-6,122,122,122,1.1,1,3.7,météo très défavorable
2009-02-15,-1,-4,20,-2,-1,-3,0.4,96,7.75,1020,97.375,0,0,-8,122,122,122,0.4,1,3.8,météo très défavorable
2009-02-16,-0,-8,3,-8,-0,-7,0,99,5.25,1019,48.375,0,0,-8,260,119,143,0,1,7.1,météo très défavorable
2009-02-17,-3,-7,13,-5,-3,-6,0.2,97,5.125,1020,70.625,0,0,-11,143,116,260,0.2,1,7.1,météo très défavorable
2009-02-18,-2,-4,15,-3,-2,-3,2,97,6.75,1019,100,0,0,-8,122,122,122,1.7,1,3.9,météo très défavorable
2009-02-19,-3,-6,18,-4,-3,-5,0.4,96,7,1023,88,0,0,-9,122,122,143,0.4,1,4,météo très défavorable
2009-02-20,-2,-8,12,-7,-2,-4,0.3,99,1.75,1026,76,0,0,-11,260,143,260,0.3,1,4,météo très défavorable
2009-02-21,-3,-11,9,-11,-3,-9,0,97,2,1031,15.875,0,0,-15,260,113,143,0,1,8.7,météo très défavorable
2009-02-22,-1,-11,20,-9,-4,-3,2.4,98,4.625,1029,74.25,0,0,-14,260,116,122,2,1,4,météo très défavorable
2009-02-23,1,-0,15,0,1,0,1.2,100,4.875,1010,100,1,1,-4,122,248,248,1.1,1,4,météo très défavorable
2009-02-24,1,-2,6,-0,1,-0,0.3,100,3.125,1025,99.625,1,1,-1,260,248,260,0.2,1,4,météo très défavorable
2009-02-25,1,0,17,0,1,1,0,99,6.25,1027,99.75,1,1,-4,248,122,122,0,1,4,météo très défavorable
2009-02-26,2,1,20,1,2,2,1.6,100,8.625,1020,100,2,2,-4,122,122,122,0.5,1,4.1,météo très défavorable
2009-02-27,3,2,17,2,3,2,2.6,100,8.875,1011,98.875,3,2,-3,122,122,122,1.1,1,4.1,météo très défavorable
2009-02-28,3,-2,14,2,3,-2,0.3,98,7.375,1018,76.625,3,2,-2,122,122,143,0.2,1,4.1,météo très défavorable
2009-03-01,5,-3,13,-1,5,-0,0,96,8,1019,19.125,5,1,-4,113,113,113,0,1,8.7,météo très défavorable
2009-03-02,5,-2,17,-2,5,0,0,91,9,1019,28,5,0,-7,113,113,116,0,1,8.7,météo très défavorable
2009-03-03,5,1,9,2,5,1,0.4,99,2.75,1015,97.875,5,4,0,248,122,248,0,1,4.1,météo très défavorable
2009-03-04,6,1,20,2,5,5,0.1,97,8.75,1014,85.125,6,5,-2,122,122,119,0,1,4.2,météo très défavorable
2009-03-05,8,3,26,5,8,4,0.6,97,8.875,1000,92.625,8,6,-1,122,119,122,0,1,4.2,météo très défavorable
2009-03-06,5,3,16,3,5,4,0.5,95,8,998,100,5,4,0,122,122,143,0,1,4.2,météo très défavorable
2009-03-07,3,2,11,2,3,2,1.1,98,6.625,1005,99.875,3,2,-1,122,122,248,0.8,1,4.2,météo très défavorable
2009-03-08,4,1,18,2,3,2,0.7,95,7,1006,78.75,4,2,-2,122,122,143,0.6,1,4.2,météo très défavorable
2009-03-09,7,2,19,3,7,4,3,99,7,1006,68.25,7,3,0,248,113,119,0,1,7.2,météo très défavorable
2009-03-10,7,0,22,2,7,3,0.1,94,7.5,1007,77,7,2,-3,200,119,119,0,1,5.7,météo très défavorable
2009-03-11,7,-1,17,1,7,3,0,92,7.5,1015,65.125,7,1,0,116,116,119,0,1,8.7,météo très défavorable
2009-03-12,3,-1,16,0,2,-0,0,87,10,1018,73.75,3,1,-3,122,119,113,0,1,4.3,météo très défavorable
2009-03-13,6,-1,13,-1,6,-1,0,77,10,1021,23.875,7,0,-5,119,113,113,0,1,8.7,météo très défavorable
2009-03-14,8,-2,8,0,8,1,0,78,10,1022,13,9,0,-1,113,113,113,0,1,11.6,météo très défavorable
2009-03-15,7,0,14,1,7,5,1.5,99,8.625,1021,69.375,7,5,-2,116,119,248,0,1,8.8,météo très défavorable
2009-03-16,5,1,17,2,4,2,0,91,10,1032,85.625,5,4,-2,122,122,116,0,1,6,météo très défavorable
2009-03-17,5,0,28,1,4,4,1,93,7.625,1031,85.5,5,3,-3,122,122,116,0.4,1,6,météo très défavorable
2009-03-18,5,-0,29,2,5,1,0.3,82,8.75,1020,78.875,5,1,-4,122,119,116,0,1,7.4,météo très défavorable
2009-03-19,2,-1,20,-0,2,0,0.9,90,9,1023,94,2,0,-4,122,122,122,0.8,1,6,météo très défavorable
2009-03-20,3,-1,14,-1,3,1,0,86,10,1030,81.875,3,0,-4,122,119,119,0,1,6.1,météo très défavorable
2009-03-21,5,-2,15,-1,5,1,0,83,9,1031,28.375,5,0,-3,113,116,116,0,1,11.6,météo très défavorable
2009-03-22,4,-1,21,0,3,3,0.9,93,8,1018,70.25,4,3,-4,116,122,122,0.2,1,7.5,météo très défavorable
2009-03-23,5,2,29,3,5,3,4.6,100,8.75,1005,97.25,5,3,-2,122,122,122,0,1,7.9,météo très défavorable
2009-03-24,3,-2,26,1,3,0,4.8,94,7,997,96.25,3,3,-5,122,122,122,0.4,1,7.9,météo très défavorable
2009-03-25,1,-3,20,-2,1,-3,1.3,87,8,1006,76.5,2,0,-7,122,122,113,1.1,1,9.3,météo très défavorable
2009-03-26,5,-4,14,-2,5,1,0,91,9,1008,53.125,6,1,-6,116,119,119,0,1,11.9,météo très défavorable
2009-03-27,9,2,21,2,9,7,0.9,94,10,1006,75.875,9,6,-2,122,119,122,0,1,9.3,météo très défavorable
2009-03-28,11,5,15,6,11,10,0.8,89,9.75,1005,50.75,11,7,4,113,119,119,0,1,11.9,météo très défavorable
2009-03-29,11,5,8,7,11,6,0.6,89,8,1010,74.375,11,8,6,119,122,119,0,1,9.3,météo très défavorable
2009-03-30,9,2,13,5,9,3,0.1,93,8,1023,43.25,10,5,3,119,116,113,0,1,11.9,météo très défavorable
2009-03-31,12,-0,5,4,12,5,0,73,10,1026,2.625,16,4,6,113,113,113,0,1,12.9,météo très défavorable
2009-04-01,14,2,9,5,14,8,0,88,10,1025,17.25,15,7,4,113,113,113,0,1,13,météo correcte
2009-04-02,12,3,12,3,12,7,0,72,10,1029,9.875,13,4,2,113,113,113,0,1,13,météo très défavorable
2009-04-03,18,2,8,5,18,10,0,67,10,1025,8.125,21,6,7,113,113,113,0,1,13.1,météo favorable
2009-04-04,21,6,7,10,21,11,0,82,10,1018,4.25,25,12,12,113,113,113,0,1,13.1,météo favorable
2009-04-05,20,9,18,12,20,12,0,75,10,1021,11.125,20,10,11,113,113,113,0,1,13.1,météo favorable
2009-04-06,17,6,9,7,17,10,0,74,10,1023,10.75,18,5,9,113,113,113,0,1,13.2,météo correcte
2009-04-07,20,6,10,10,20,14,0,63,10,1016,14.375,21,8,10,113,113,113,0,1,13.2,météo favorable
2009-04-08,23,11,13,13,23,17,0.3,64,9.75,1014,24,24,8,14,113,113,200,0,1,13.3,météo favorable
2009-04-09,20,10,17,13,20,13,0,78,9.75,1018,38.875,20,10,13,200,200,113,0,1,13.3,météo correcte
2009-04-10,17,7,13,9,17,10,0,83,8,1019,7.625,17,9,8,113,113,113,0,1,13.7,météo correcte
2009-04-11,15,4,17,6,14,10,0,75,10,1017,4.75,15,6,5,113,113,113,0,1,13.8,météo correcte
2009-04-12,15,5,14,7,14,10,0,88,7.5,1016,49.25,15,6,5,122,113,113,0,1,12.2,météo correcte
2009-04-13,16,4,13,7,16,10,0,91,7.5,1015,37.125,17,6,5,119,113,113,0,1,13.3,météo correcte
2009-04-14,18,5,12,9,18,11,0,70,10,1013,8.25,19,6,8,113,113,113,0,1,13.9,météo favorable
2009-04-15,17,6,13,9,17,10,0,68,10,1019,9.75,17,5,8,116,113,113,0,1,13.9,météo correcte
2009-04-16,15,5,15,8,15,10,0,62,10,1019,0,16,4,7,113,113,113,0,1,14,météo correcte
2009-04-17,17,7,14,10,17,13,0,93,8.875,1011,36.25,17,12,8,113,200,119,0,1,13.4,météo correcte
