DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,0,24,5,7,5,0,78,10,1023,84.625,7,2,1,119,122,122,0,1,5.1,météo très défavorable
2009-01-02,6,0,27,3,5,2,0,78,10,1023,29,6,0,-4,116,116,113,0,1,8.7,météo très défavorable
2009-01-03,4,0,31,-0,3,1,0,82,10,1022,0,4,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,4,0,18,-1,3,0,0,62,10,1024,16.875,4,0,-6,113,113,116,0,1,8.7,météo très défavorable
2009-01-05,4,0,14,-1,3,4,0.6,91,9,1022,65.5,4,3,-1,113,122,119,0,1,3.3,météo très défavorable
2009-01-06,2,0,32,1,1,-2,0.1,82,9,1021,65.875,2,0,-8,122,119,113,0,1,5.1,météo très défavorable
2009-01-07,2,0,27,-5,0,-0,0,78,10,1025,8.5,2,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,4,0,33,1,4,-1,0,86,10,1026,22.25,4,0,-6,119,113,113,0,1,8.7,météo très défavorable
2009-01-09,5,0,22,-1,4,2,0,75,10,1026,10,5,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,7,0,22,1,6,3,0,73,10,1029,5.625,7,0,-3,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,10,0,23,3,10,8,0,86,10,1031,11.875,10,6,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,10,0,32,7,9,9,0.6,80,9,1028,42.5,10,5,4,116,116,116,0,1,8.7,météo très défavorable
2009-01-13,11,0,24,8,10,9,4.6,92,9.375,1018,67.25,11,9,6,122,119,113,0,1,5.1,météo très défavorable
2009-01-14,11,0,18,8,10,8,1.2,91,9.875,1018,42.5,11,7,6,122,116,113,0,1,6.9,météo très défavorable
2009-01-15,9,0,28,7,8,7,0,87,10,1015,30.75,9,5,2,116,113,113,0,1,8.7,météo très défavorable
2009-01-16,11,0,20,8,10,9,0.1,93,9,1020,47.75,11,8,6,143,116,116,0,1,8.7,météo très défavorable
2009-01-17,12,0,30,10,12,11,1.3,90,9.875,1020,51.75,12,9,8,119,116,116,0,1,6.9,météo très défavorable
2009-01-18,12,0,46,12,11,10,7.4,85,9.25,1012,81.125,12,10,6,119,116,122,0,1,5.2,météo très défavorable
2009-01-19,12,0,49,12,11,8,5,81,9.625,1003,63.375,12,10,4,116,116,116,0,1,5.2,météo très défavorable
2009-01-20,8,0,23,6,8,6,1.2,81,9.875,1000,59.625,8,4,2,119,116,116,0,1,6.9,météo très défavorable
2009-01-21,9,0,22,5,9,8,0.3,77,9,1011,32.25,9,6,3,113,113,116,0,1,6.9,météo très défavorable
2009-01-22,13,0,37,10,12,11,13.1,92,8.875,1005,94.875,13,11,8,122,119,122,0,1,3.4,météo très défavorable
2009-01-23,13,0,54,13,11,9,9.4,84,9.5,996,79,13,12,7,122,116,116,0,1,5.2,météo très défavorable
2009-01-24,9,0,70,8,8,8,6.6,87,9.5,1004,72.875,9,8,-3,200,119,113,0,1,5.2,météo très défavorable
2009-01-25,10,0,37,10,9,7,7.3,90,9.5,999,76.25,11,7,4,119,122,119,0,1,4.8,météo très défavorable
2009-01-26,10,0,31,7,10,8,0.2,84,10,1007,57.625,10,6,4,116,116,119,0,1,9.7,météo très défavorable
2009-01-27,9,0,12,6,9,6,0.1,89,10,1016,47.875,9,6,3,116,113,116,0,1,9.7,météo très défavorable
