DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,8,10,8,10,9,3.7,91,8.875,1022,52.375,13,9,8,119,119,113,0,1,5.2,météo défavorable
2009-01-02,13,8,9,8,11,9,1.1,92,9.875,1021,53.625,13,8,7,122,116,116,0,1,9.8,météo correcte
2009-01-03,14,8,8,8,14,11,0.6,92,9.25,1018,54.5,14,9,9,116,116,200,0,1,9.8,météo correcte
2009-01-04,8,7,18,8,8,8,8.6,94,9,1019,78.375,8,7,5,200,122,122,0,1,4.9,météo très défavorable
2009-01-05,10,5,13,5,9,8,0,88,10,1019,53.875,10,6,5,116,116,116,0,1,9.8,météo très défavorable
2009-01-06,10,4,9,4,10,7,0.1,78,10,1014,33.5,10,4,4,113,119,116,0,1,9.8,météo très défavorable
2009-01-07,7,2,22,2,6,3,0.1,59,10,1015,8.75,7,0,-1,113,113,113,0,1,9.8,météo très défavorable
2009-01-08,2,1,17,1,2,2,3.2,93,8.75,1017,74.125,3,1,-2,116,119,122,0.3,1,4.9,météo très défavorable
2009-01-09,5,1,12,2,3,1,4,95,9.375,1019,62.5,6,3,-1,200,116,113,0,1,8.3,météo très défavorable
2009-01-10,6,-1,18,-1,6,3,6.3,98,9.5,1022,48.375,6,2,-2,113,116,122,0,1,6.6,météo très défavorable
2009-01-11,8,4,22,5,8,5,2.8,91,8.25,1028,71.375,8,5,1,122,119,116,0,1,8.3,météo très défavorable
2009-01-12,11,3,15,3,11,5,0,71,10,1029,8.375,12,3,2,113,113,113,0,1,9.9,météo très défavorable
2009-01-13,11,3,12,3,11,7,0,69,10,1025,29.25,11,2,2,116,116,116,0,1,9.9,météo très défavorable
2009-01-14,11,4,18,4,11,6,0,74,10,1021,7.25,13,3,2,113,113,113,0,1,9.9,météo très défavorable
2009-01-15,12,3,9,3,11,7,0,87,10,1020,15.5,12,5,5,113,113,113,0,1,9.9,météo très défavorable
2009-01-16,10,4,13,5,10,7,0.1,86,10,1021,28.125,10,5,4,116,113,116,0,1,9.9,météo très défavorable
2009-01-17,12,5,9,5,11,6,0,89,9,1023,19.125,12,5,6,116,113,113,0,1,9.9,météo très défavorable
2009-01-18,15,4,14,4,13,10,0,68,10,1024,4,15,4,5,113,113,113,0,1,10,météo correcte
2009-01-19,15,8,18,8,15,12,0,79,10,1022,18.375,15,8,9,113,116,113,0,1,10,météo correcte
2009-01-20,11,4,24,8,10,6,0,63,10,1009,12.5,11,8,2,113,113,113,0,1,10,météo très défavorable
2009-01-21,10,3,22,3,9,6,0,59,10,1019,6.125,10,0,0,113,113,113,0,1,10,météo très défavorable
