DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,0,10,2,11,10,0,78,9,1024,30.5,13,10,2,113,113,143,0,1,7.1,météo très défavorable
2009-01-02,20,0,7,14,19,19,0,98,5,1015,85.75,20,18,16,248,122,116,0,1,3.8,météo très défavorable
2009-01-03,21,0,19,17,19,19,3,95,8.5,1013,52.625,24,19,19,200,143,113,0,1,7.1,météo très défavorable
2009-01-04,22,0,13,17,22,19,5.5,96,5.875,1020,88.125,25,20,19,122,119,248,0,1,3.8,météo très défavorable
2009-01-05,16,0,11,12,14,14,6.4,98,4.375,1021,96.5,16,15,11,143,143,248,0,1,3.8,météo très défavorable
2009-01-06,14,0,12,13,12,12,9.5,98,5.125,1011,85.5,14,14,12,143,143,143,0,1,3.8,météo très défavorable
2009-01-07,15,0,13,4,13,10,0,78,10,1014,5.125,15,8,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,18,0,12,9,17,13,0,76,10,1016,3.125,18,11,10,113,113,113,0,1,8.7,météo favorable
2009-01-09,21,0,21,9,19,17,0,87,10,1019,13.125,21,16,12,113,113,113,0,1,8.7,météo favorable
2009-01-10,22,0,21,19,22,12,3.8,96,8.625,1022,88.625,25,20,16,122,119,122,0,1,3.8,météo très défavorable
2009-01-11,9,0,17,4,6,5,0,83,10,1027,46.875,9,7,-0,119,113,113,0,1,8.7,météo très défavorable
2009-01-12,12,0,8,1,11,6,0,74,10,1025,0.25,12,5,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,8,0,23,5,8,4,0,78,10,1026,2.25,8,3,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,11,0,7,-1,9,5,0,65,10,1028,0,11,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,8,0,20,3,7,3,0,79,10,1037,1.5,8,2,-1,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,7,0,13,-3,4,0,0,50,10,1039,8,7,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,12,0,11,2,6,11,0,91,9,1034,47.25,12,11,1,116,116,143,0,1,7.1,météo très défavorable
2009-01-18,17,0,17,13,16,12,0.6,87,10,1023,35.125,17,13,12,122,113,113,0,1,8.7,météo très défavorable
2009-01-19,14,0,22,7,14,9,0,67,10,1016,14.5,14,6,7,116,113,113,0,1,8.7,météo très défavorable
2009-01-20,7,0,19,2,7,4,0,69,10,1024,11.125,8,2,1,113,116,113,0,1,8.7,météo très défavorable
2009-01-21,10,0,14,-1,8,6,0,66,10,1026,0,10,3,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-22,19,0,18,4,18,14,0,85,9,1022,2.125,19,12,8,113,113,113,0,1,8.7,météo favorable
2009-01-23,21,0,22,12,20,16,0,86,10,1020,28.25,21,15,16,116,113,116,0,1,8.7,météo favorable
2009-01-24,15,0,21,15,9,7,1.4,96,5.875,1024,93.125,15,14,5,143,122,122,0,1,3.9,météo très défavorable
2009-01-25,11,0,8,6,9,8,0.1,91,9,1024,78.5,11,8,6,122,119,116,0,1,3.9,météo très défavorable
2009-01-26,16,0,12,8,12,15,1,95,6.625,1024,85.125,16,16,7,122,122,248,0,1,3.9,météo très défavorable
2009-01-27,20,0,14,14,20,19,0.1,93,7.75,1021,69.125,20,18,17,248,119,116,0,1,5.5,météo très défavorable
2009-01-28,17,0,15,8,7,7,3.5,90,7.625,1022,46.125,17,16,4,116,116,113,0,1,7.1,météo très défavorable
2009-01-29,11,0,13,-0,9,5,0,76,10,1024,7.25,11,4,0,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,13,0,13,2,11,7,0,74,10,1029,0.25,13,2,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,16,0,6,4,15,11,0,66,10,1028,0.25,17,6,7,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,14,0,14,7,14,13,2.6,93,9.875,1021,50.875,14,13,10,113,122,200,0,1,5.5,météo très défavorable
2009-02-02,13,0,25,12,11,7,2.6,92,7.75,1024,49.625,13,13,7,122,113,113,0,1,7.2,météo très défavorable
2009-02-03,15,0,15,2,13,9,0,64,10,1026,3.625,15,7,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-04,7,0,13,-0,5,2,0,53,10,1036,0.875,7,2,-3,113,113,113,0,1,8.7,météo très défavorable
2009-02-05,13,0,10,-1,10,8,0,50,10,1036,1.25,13,4,1,113,113,113,0,1,8.7,météo très défavorable
2009-02-06,20,0,20,6,19,15,0,89,10,1032,13.375,20,13,10,116,113,113,0,1,8.7,météo favorable
2009-02-07,21,0,19,11,21,16,0,84,10,1028,24.125,21,14,15,116,116,113,0,1,8.7,météo favorable
2009-02-08,22,0,17,12,21,17,0,88,7.5,1028,51.875,25,15,16,248,119,116,0,1,7.2,météo très défavorable
2009-02-09,21,0,24,13,21,18,0.1,87,10,1022,51,24,16,16,116,119,116,0,1,5.6,météo très défavorable
2009-02-10,24,0,21,17,24,20,0.3,83,10,1018,56.25,25,19,20,116,116,122,0,1,8.7,météo très défavorable
2009-02-11,19,0,21,18,17,14,0.5,64,10,1019,25.5,19,17,15,122,113,113,0,1,8.7,météo favorable
2009-02-12,20,0,10,9,19,13,0,78,10,1024,10.125,20,10,12,113,113,113,0,1,8.7,météo favorable
2009-02-13,19,0,11,13,17,19,10.4,99,6.75,1020,73.625,19,19,14,119,248,248,0,1,4.1,météo très défavorable
2009-02-14,18,0,14,17,17,14,3.3,95,6.5,1016,94.125,18,18,16,248,122,122,0,1,4.1,météo très défavorable
