DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,13,12,9,20,13,0,47,10,1017,9.625,20,2,12,113,113,116,,,,météo favorable
2009-01-02,21,13,5,7,21,13,0,66,10,1017,5.75,21,7,13,113,113,113,,,,météo favorable
2009-01-03,20,12,6,8,20,12,0,67,10,1018,12.375,21,6,12,113,113,113,,,,météo favorable
2009-01-04,21,16,13,13,21,16,0,54,10,1017,33,22,7,16,116,113,113,,,,météo favorable
2009-01-05,21,14,11,12,20,16,0.1,56,10,1016,9.875,22,6,14,113,113,113,,,,météo favorable
2009-01-06,21,14,12,10,21,14,0,56,10,1018,6.125,21,7,14,113,113,113,,,,météo favorable
2009-01-07,19,13,13,10,19,15,0,50,10,1021,17,21,4,13,113,113,113,,,,météo favorable
2009-01-08,21,15,8,10,21,15,0,56,10,1023,2.625,22,7,15,113,113,113,,,,météo favorable
2009-01-09,19,13,9,8,19,14,0,52,10,1024,19,19,4,13,113,113,116,,,,météo favorable
2009-01-10,20,13,11,10,20,15,0,46,10,1023,4.75,21,5,12,113,113,113,,,,météo favorable
2009-01-11,20,13,10,9,20,13,0,57,10,1022,16.875,20,5,12,113,113,116,,,,météo favorable
2009-01-12,19,14,12,10,19,14,0,60,10,1022,12.625,19,7,13,113,113,113,,,,météo favorable
2009-01-13,20,14,10,9,20,15,0,55,10,1024,2.25,21,6,14,113,113,113,,,,météo favorable
2009-01-14,21,14,13,9,21,14,0,44,10,1023,10.5,21,3,13,113,113,113,,,,météo favorable
2009-01-15,22,15,9,9,22,15,0,57,10,1022,5.25,24,7,15,113,113,113,,,,météo favorable
2009-01-16,21,16,13,12,21,16,0,51,10,1021,22.375,21,6,16,113,113,113,,,,météo favorable
2009-01-17,17,15,10,13,17,15,3,86,9.75,1020,25.75,17,13,15,116,386,176,,,,météo correcte
2009-01-18,19,15,12,12,18,16,5.5,88,9.5,1019,43.375,19,14,14,200,176,353,,,,météo favorable
2009-01-19,20,15,17,13,20,17,1.1,82,9.875,1020,4.75,22,13,15,113,113,113,,,,météo favorable
2009-01-20,20,13,17,10,19,16,0,66,10,1019,7.5,22,10,11,113,113,113,,,,météo favorable
2009-01-21,20,12,17,9,19,16,0,60,10,1017,17.5,21,6,11,116,116,113,,,,météo favorable
2009-01-22,16,12,10,10,16,14,0,54,10,1016,32.625,16,5,12,116,116,113,,,,météo correcte
2009-01-23,22,16,18,14,21,19,0,46,10,1016,30.25,23,8,15,113,116,116,,,,météo favorable
2009-01-24,19,17,19,16,19,18,0.2,51,10,1014,31.875,19,9,17,116,116,116,,,,météo favorable
2009-01-25,23,19,15,17,22,20,0,67,10,1012,29.125,25,13,19,116,116,113,,,,météo favorable
2009-01-26,23,18,10,15,23,19,0,63,10,1013,11.875,25,12,18,113,113,113,,,,météo favorable
2009-01-27,22,17,13,13,22,19,0,69,10,1015,1.875,24,11,17,113,113,113,,,,météo favorable
2009-01-28,22,15,16,12,21,19,0,64,10,1015,0.5,23,12,15,113,113,113,,,,météo favorable
2009-01-29,23,16,9,11,22,16,0,71,10,1015,11.375,23,12,16,113,113,116,,,,météo favorable
2009-01-30,22,17,15,13,22,18,0,64,10,1016,3.125,24,12,16,113,113,113,,,,météo favorable
2009-01-31,23,15,17,11,21,18,0,52,10,1016,3.5,23,8,14,113,113,113,,,,météo favorable
2009-02-01,23,16,14,10,22,19,0,53,10,1015,5.125,24,7,15,113,113,113,,,,météo favorable
2009-02-02,22,15,10,8,22,17,0,53,10,1016,14.25,22,7,15,113,113,113,,,,météo favorable
2009-02-03,23,17,10,12,23,19,0,49,10,1016,4.125,24,8,17,113,113,113,,,,météo favorable
2009-02-04,26,18,10,12,24,21,0,60,10,1016,4.625,26,12,17,113,113,113,,,,météo idéale
2009-02-05,23,17,19,13,23,20,0,48,10,1015,11.25,25,9,17,113,113,113,,,,météo favorable
2009-02-06,24,18,14,15,23,20,0,49,10,1017,23.625,25,9,18,116,113,113,,,,météo idéale
2009-02-07,22,15,14,12,22,18,0,52,10,1017,10.25,23,8,14,113,113,116,,,,météo favorable
2009-02-08,24,16,11,11,22,20,0,59,10,1018,1.625,25,12,15,113,113,113,,,,météo idéale
2009-02-09,22,16,9,10,22,17,0,54,10,1017,22.125,22,8,17,116,113,113,,,,météo favorable
2009-02-10,19,14,16,12,19,14,3.8,86,9.625,1015,29,19,12,12,113,116,176,,,,météo favorable
2009-02-11,19,15,5,10,19,16,3.4,79,9.75,1016,23,19,12,15,386,113,113,,,,météo favorable
2009-02-12,23,16,15,11,22,19,0,70,10,1017,9.625,23,10,16,113,113,113,,,,météo favorable
2009-02-13,25,20,10,12,25,21,0,62,10,1012,5.625,26,12,20,113,113,113,,,,météo idéale
2009-02-14,24,19,15,16,24,20,0,55,10,1015,6.75,25,9,19,113,113,113,,,,météo idéale
2009-02-15,23,16,16,12,22,19,0,54,10,1015,5.25,24,9,16,113,113,113,,,,météo favorable
2009-02-16,23,15,12,10,22,19,0,49,10,1016,4.375,23,8,14,113,113,113,,,,météo favorable
2009-02-17,25,15,14,10,23,21,0,51,10,1017,7.125,25,8,14,113,113,113,,,,météo idéale
2009-02-18,25,17,17,11,24,21,0,36,10,1016,5.75,24,5,16,113,113,113,,,,météo idéale
2009-02-19,24,18,18,13,24,20,0,42,10,1015,14.375,25,7,17,113,116,113,,,,météo favorable
2009-02-20,27,22,15,15,27,23,0.2,47,10,1017,8.125,26,10,22,113,113,113,,,,météo idéale
2009-02-21,27,20,17,14,27,23,0,39,10,1018,9.5,26,8,20,113,113,113,,,,météo idéale
2009-02-22,27,20,11,14,27,22,0,38,10,1014,15.5,26,7,20,113,113,116,,,,météo idéale
2009-02-23,29,21,9,14,28,24,0,37,10,1010,14.375,27,8,21,113,113,113,,,,météo idéale
2009-02-24,27,21,19,15,27,21,0,46,10,1011,11.625,26,10,21,113,113,113,,,,météo idéale
2009-02-25,27,22,15,17,27,23,0.1,40,10,1012,6.625,26,9,22,113,113,113,,,,météo idéale
2009-02-26,28,22,15,17,27,24,0,29,10,1011,8.625,26,5,22,113,113,113,,,,météo idéale
2009-02-27,26,21,17,14,26,23,0,32,10,1013,0.25,25,5,21,113,113,113,,,,météo idéale
2009-02-28,26,19,22,13,25,22,0,28,10,1013,4.5,24,1,19,113,113,113,,,,météo idéale
2009-03-01,28,19,14,12,27,24,0,28,10,1012,11.875,27,4,19,113,113,113,,,,météo idéale
2009-03-02,31,23,14,17,29,27,0,34,10,1012,4.625,29,9,23,113,113,113,,,,météo idéale
2009-03-03,33,25,18,17,32,29,0,31,10,1011,10.75,31,10,25,113,113,113,,,,météo idéale
2009-03-04,32,23,15,18,31,28,0,36,10,1008,20.375,30,9,23,113,113,113,,,,météo idéale
2009-03-05,29,24,18,17,29,25,0,41,10,1010,17.75,27,11,24,113,113,116,,,,météo idéale
2009-03-06,31,22,12,14,29,27,0,26,10,1011,24,29,6,22,116,116,113,,,,météo favorable
2009-03-07,30,23,14,17,29,26,0,27,10,1011,6.375,28,5,23,113,113,116,,,,météo idéale
2009-03-08,28,21,15,13,28,24,0,35,10,1012,17.375,26,5,21,116,113,113,,,,météo idéale
2009-03-09,31,25,14,16,31,26,0,29,10,1016,3.125,29,8,25,113,113,113,,,,météo idéale
2009-03-10,30,23,16,15,30,27,0,22,10,1017,16,28,3,23,116,113,113,,,,météo idéale
2009-03-11,30,23,20,15,29,26,0,21,10,1016,0.375,28,3,23,113,113,113,,,,météo idéale
2009-03-12,31,23,17,16,30,27,0,24,10,1015,5,29,4,23,113,113,113,,,,météo idéale
2009-03-13,33,26,9,17,32,27,0,39,10,1016,5.875,31,11,26,113,113,113,,,,météo idéale
