DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,22,20,22,24,24,7.2,94,8.5,1013,97.125,26,22,22,353,353,266,,,,météo défavorable
2009-01-02,23,21,22,21,23,23,2.5,86,5,1015,94.5,25,20,21,353,122,119,,,,météo défavorable
2009-01-03,24,21,17,21,23,23,1.7,83,4.125,1015,84,26,20,21,266,266,116,,,,météo défavorable
2009-01-04,24,22,13,22,24,24,1.4,90,7,1014,85.25,26,21,22,266,119,119,,,,météo défavorable
2009-01-05,24,22,15,22,24,24,0.4,85,10,1012,80,27,21,22,122,122,122,,,,météo défavorable
2009-01-06,24,23,13,23,24,24,2.9,89,5.5,1012,97,26,22,23,353,266,266,,,,météo défavorable
2009-01-07,26,23,12,23,26,26,13.5,96,8,1012,85.875,29,25,23,353,353,353,,,,météo défavorable
2009-01-08,24,23,7,23,24,24,127,99,4.75,1012,97.875,27,24,23,359,308,308,,,,météo très défavorable
2009-01-09,25,23,12,23,24,24,19.9,99,8,1013,94.75,27,24,23,356,296,353,,,,météo très défavorable
2009-01-10,23,21,17,21,22,22,9,95,7.625,1013,98,25,22,21,296,266,353,,,,météo défavorable
2009-01-11,22,21,13,21,22,22,5.7,92,5.25,1015,98.625,24,20,21,266,266,266,,,,météo défavorable
2009-01-12,23,21,14,21,23,23,4,89,5.75,1017,98.5,25,21,21,266,122,266,,,,météo défavorable
2009-01-13,22,21,18,21,22,22,3,87,5.875,1018,95.25,25,20,21,119,122,266,,,,météo défavorable
2009-01-14,21,20,21,20,21,21,4.3,89,3.25,1019,94.875,24,19,20,266,266,266,,,,météo défavorable
2009-01-15,21,20,19,20,21,21,2.6,87,6.875,1019,89.75,21,18,20,266,266,119,,,,météo défavorable
2009-01-16,21,20,15,20,21,21,4.4,91,4.375,1019,98.375,24,20,20,266,266,266,,,,météo défavorable
2009-01-17,22,22,13,22,22,22,4.4,93,4.75,1017,96.875,25,21,22,122,266,296,,,,météo défavorable
2009-01-18,25,23,13,23,24,24,4.6,92,7.125,1014,93.5,27,23,23,353,353,266,,,,météo défavorable
2009-01-19,25,23,11,23,24,25,8.1,97,8.25,1013,89.25,28,24,23,266,353,353,,,,météo défavorable
2009-01-20,25,23,11,23,24,25,10.9,97,9,1012,82.125,28,24,23,353,353,353,,,,météo défavorable
2009-01-21,26,24,8,24,25,25,14.4,97,9.625,1013,73.875,29,25,24,353,353,353,,,,météo défavorable
2009-01-22,26,23,6,23,25,26,13.2,99,8.75,1012,68.25,30,25,23,356,353,353,,,,météo défavorable
2009-01-23,28,24,5,24,28,26,7.7,96,7.375,1012,67.75,33,25,24,248,353,353,,,,météo défavorable
2009-01-24,24,22,14,22,24,24,24.7,99,8,1013,88,27,24,22,356,356,296,,,,météo très défavorable
2009-01-25,23,22,16,22,22,22,7,93,6.125,1014,100,25,22,22,266,266,266,,,,météo défavorable
2009-01-26,23,22,13,22,23,23,6.3,96,5.5,1014,99.625,25,22,22,266,266,266,,,,météo défavorable
2009-01-27,24,23,9,23,24,24,3,95,4.75,1013,78,27,23,23,122,266,116,,,,météo défavorable
2009-01-28,26,23,8,23,25,26,9.8,96,7.875,1012,59.75,30,25,23,143,353,353,,,,météo correcte
2009-01-29,24,23,8,23,24,24,18.2,98,8.25,1012,65.625,27,24,23,353,356,293,,,,météo très défavorable
2009-01-30,27,23,5,23,26,26,1.1,98,5.25,1011,51.625,31,25,23,248,113,116,,,,météo favorable
2009-01-31,25,23,15,23,24,24,1.3,94,7.375,1013,77.75,27,23,23,143,353,119,,,,météo défavorable
2009-02-01,23,22,14,22,23,23,5.3,96,7.375,1015,91.625,26,22,22,353,353,266,,,,météo défavorable
2009-02-02,25,22,17,22,25,25,0.1,86,10,1015,67.875,27,22,22,119,119,116,,,,météo défavorable
2009-02-03,26,23,14,23,26,26,0.2,89,9,1014,56.625,28,22,23,119,116,116,,,,météo correcte
2009-02-04,25,22,14,22,25,25,0.1,86,10,1013,50.375,27,21,22,116,122,116,,,,météo correcte
2009-02-05,25,22,14,22,24,23,12.6,96,8.375,1012,47.375,27,21,22,293,176,116,,,,météo correcte
2009-02-06,26,23,10,23,26,26,14.2,94,6.625,1012,76,31,25,23,266,353,356,,,,météo défavorable
2009-02-07,25,23,12,23,25,25,12.3,97,9.625,1012,77.625,28,24,23,353,353,353,,,,météo défavorable
2009-02-08,26,23,14,23,26,26,5.4,91,10,1013,74.25,29,24,23,353,353,353,,,,météo défavorable
2009-02-09,25,23,11,23,25,25,12.5,95,9.5,1014,71.25,29,24,23,353,353,296,,,,météo défavorable
2009-02-10,28,24,10,24,28,26,2,95,8.875,1014,30.375,31,23,24,143,113,113,,,,météo favorable
2009-02-11,28,23,10,23,28,25,0.9,92,8.75,1012,27.625,31,22,23,143,113,176,,,,météo idéale
2009-02-12,28,23,9,23,28,26,0,93,9,1011,28.375,30,22,23,143,116,113,,,,météo favorable
2009-02-13,29,23,8,23,29,26,0,93,7.625,1011,25.75,32,22,23,248,113,113,,,,météo idéale
2009-02-14,26,23,8,23,25,25,3.8,88,9.75,1011,53.5,29,24,23,116,353,353,,,,météo correcte
2009-02-15,27,24,7,24,26,26,11.2,97,8,1011,72.375,31,26,24,263,353,353,,,,météo défavorable
2009-02-16,28,24,6,24,27,28,25.8,98,8.5,1012,64.375,34,27,24,353,353,356,,,,météo très défavorable
2009-02-17,28,25,8,25,28,27,11.3,97,9,1012,45,33,25,25,353,353,176,,,,météo correcte
2009-02-18,28,24,7,24,27,28,26.7,98,7.5,1012,61.75,34,26,24,356,353,356,,,,météo très défavorable
2009-02-19,27,24,8,24,27,27,22.6,96,8.375,1012,60.25,33,26,24,353,353,356,,,,météo très défavorable
2009-02-20,31,25,8,25,30,29,8.1,97,9.375,1014,25.5,36,24,25,176,113,113,,,,météo correcte
2009-02-21,29,25,13,25,29,26,0.4,91,7.75,1013,19.5,32,23,25,143,113,176,,,,météo idéale
2009-02-22,29,25,12,25,29,27,1.2,89,10,1012,18.125,32,23,25,116,113,113,,,,météo idéale
2009-02-23,28,24,12,24,27,28,8.9,90,9.125,1012,43.625,32,25,24,116,356,116,,,,météo correcte
2009-02-24,28,24,14,24,28,26,1.6,90,9.875,1012,28.25,31,24,24,116,116,113,,,,météo favorable
2009-02-25,28,24,13,24,27,27,11.2,89,9.25,1013,50.625,33,26,24,116,353,353,,,,météo correcte
2009-02-26,28,24,15,24,27,27,7.5,92,9.5,1013,29.75,31,25,24,176,176,113,,,,météo favorable
2009-02-27,29,25,12,25,29,28,3.4,91,9.625,1013,20.75,33,23,25,176,113,113,,,,météo favorable
2009-02-28,28,24,15,24,26,26,3.1,92,9.875,1013,36.75,31,23,24,353,176,113,,,,météo favorable
2009-03-01,27,24,14,24,27,27,5.9,89,9.875,1013,52.5,31,25,24,116,176,353,,,,météo favorable
2009-03-02,25,23,11,23,25,25,20.7,96,8.875,1013,75.25,28,24,23,353,356,353,,,,météo très défavorable
2009-03-03,27,24,10,24,27,26,15.3,94,9.125,1014,47.625,31,24,24,353,356,176,,,,météo défavorable
2009-03-04,30,24,10,24,29,27,2.6,92,8.75,1013,24.25,33,23,24,143,176,113,,,,météo favorable
2009-03-05,30,25,10,25,30,27,1.1,89,8.625,1013,17.25,33,23,25,143,113,176,,,,météo idéale
2009-03-06,32,25,8,25,32,29,0.4,92,7.625,1014,22.875,35,23,25,248,113,113,,,,météo favorable
2009-03-07,31,25,9,25,31,29,0,91,8.75,1014,18.625,34,23,25,248,113,113,,,,météo idéale
2009-03-08,30,24,9,24,30,29,3.1,92,7,1013,22.625,34,24,24,248,176,113,,,,météo favorable
2009-03-09,30,25,9,25,29,28,7.5,92,6.125,1014,32.875,34,24,25,248,356,113,,,,météo correcte
2009-03-10,31,25,12,25,31,27,0.5,89,10,1013,12.75,34,23,25,113,113,113,,,,météo idéale
2009-03-11,30,25,11,25,30,28,0.5,91,8.625,1013,19.25,33,23,25,143,113,113,,,,météo idéale
2009-03-12,31,25,11,25,31,28,0.7,89,8.75,1014,17.5,33,23,25,143,113,176,,,,météo idéale
2009-03-13,30,25,12,25,30,28,0.3,86,10,1014,14.375,34,23,25,113,113,113,,,,météo idéale
2009-03-14,30,25,13,25,30,27,1.7,90,8.75,1014,21.875,33,23,25,143,176,113,,,,météo favorable
2009-03-15,27,24,13,24,26,26,5.2,89,9.875,1013,51.25,30,22,24,353,353,116,,,,météo correcte
2009-03-16,29,24,14,24,29,26,4.8,83,9.875,1013,51.125,31,23,24,119,116,353,,,,météo favorable
2009-03-17,26,24,10,24,26,26,32.6,96,8.375,1012,65.25,31,26,24,353,308,353,,,,météo très défavorable
2009-03-18,30,25,10,25,30,28,0.8,93,8.875,1013,24.25,33,24,25,143,113,113,,,,météo idéale
2009-03-19,30,25,10,25,30,28,0.1,90,9,1013,15,34,23,25,143,113,113,,,,météo idéale
2009-03-20,31,25,9,25,31,28,0.3,90,8.75,1012,29.375,34,23,25,248,113,113,,,,météo idéale
2009-03-21,30,24,8,24,30,28,0.5,90,8.5,1012,24.875,33,23,24,248,176,113,,,,météo favorable
2009-03-22,34,24,6,24,34,30,0,90,7.25,1013,21.625,40,24,24,248,113,113,,,,météo correcte
2009-03-23,32,25,5,25,32,28,0.9,89,6.625,1013,34.5,36,24,25,248,113,116,,,,météo favorable
2009-03-24,33,24,5,24,33,28,2.9,91,7.375,1013,40.125,37,23,24,248,113,176,,,,météo favorable
2009-03-25,32,25,5,25,32,27,16.6,91,8.375,1014,30,36,24,25,176,353,356,,,,météo très défavorable
2009-03-26,28,24,9,24,28,26,19.8,96,8.625,1014,39.875,32,24,24,353,176,176,,,,météo très défavorable
2009-03-27,28,25,7,25,28,26,22,93,8,1014,44.375,32,25,25,353,356,356,,,,météo très défavorable
2009-03-28,28,24,7,24,27,27,25.5,96,7.75,1013,42.375,33,25,24,353,356,176,,,,météo très défavorable
2009-03-29,29,25,7,25,29,27,7.6,92,5.875,1012,50.125,35,25,25,248,176,176,,,,météo favorable
2009-03-30,28,24,12,24,27,28,11.5,91,7.875,1012,34.375,33,25,24,143,353,176,,,,météo correcte
2009-03-31,26,24,11,24,26,26,24.2,92,8.625,1012,67.5,30,25,24,353,353,356,,,,météo très défavorable
2009-04-01,25,24,12,24,25,25,31.1,98,7.75,1013,80.375,28,24,24,356,353,353,,,,météo très défavorable
2009-04-02,26,23,13,23,25,26,14.3,96,9.25,1014,74.375,29,24,23,353,353,353,,,,météo défavorable
2009-04-03,27,23,12,23,26,26,17.5,93,8.875,1014,72,31,25,23,353,353,356,,,,météo très défavorable
2009-04-04,28,24,12,24,28,25,14.5,91,8.875,1014,57,32,24,24,353,353,353,,,,météo défavorable
2009-04-05,29,25,10,25,29,28,3.5,90,8.125,1013,21.75,34,24,25,116,176,113,,,,météo favorable
2009-04-06,30,25,9,25,29,28,4.7,92,8.125,1012,23.25,34,24,25,176,176,176,,,,météo favorable
2009-04-07,30,26,10,26,30,27,5.9,92,9.25,1012,30.125,34,24,26,176,176,176,,,,météo favorable
