DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,0,14,24,25,24,0,68,10,1017,3.625,26,20,25,113,113,113,0,1,8.7,météo favorable
2009-01-02,26,0,21,24,26,25,0,71,10,1017,12.625,27,21,25,113,113,113,0,1,8.7,météo favorable
2009-01-03,26,0,19,25,26,26,0.2,83,9.875,1016,40.5,29,23,26,116,116,116,0,1,11.4,météo favorable
2009-01-04,26,0,22,25,26,25,0,79,10,1017,12.125,28,22,26,113,113,113,0,1,11.4,météo favorable
2009-01-05,26,0,18,25,26,26,0,78,10,1017,14.5,28,22,26,113,113,113,0,1,11.5,météo favorable
2009-01-06,26,0,19,25,26,25,0.2,82,10,1017,30.5,28,22,26,116,116,116,0,1,11.5,météo favorable
2009-01-07,26,0,23,25,26,25,0.4,79,9.875,1017,25.375,28,22,26,116,113,116,0,1,11.5,météo favorable
2009-01-08,26,0,23,25,26,25,0.1,77,10,1017,14.375,28,22,26,113,113,113,0,1,11.5,météo favorable
2009-01-09,26,0,16,25,26,26,0.1,80,10,1018,22.5,29,22,26,113,113,116,0,1,11.5,météo favorable
2009-01-10,26,0,28,26,26,26,0,76,10,1020,12.75,29,22,26,113,113,113,0,1,11.5,météo favorable
2009-01-11,26,0,25,25,25,25,0.1,84,10,1019,36.75,28,22,25,119,116,113,0,1,11.5,météo favorable
2009-01-12,26,0,24,25,26,26,0,72,10,1020,9.5,28,21,26,113,113,113,0,1,11.5,météo favorable
2009-01-13,26,0,30,25,26,25,0,72,10,1020,11,28,22,26,113,113,113,0,1,11.5,météo favorable
2009-01-14,26,0,24,25,26,26,0.1,75,10,1020,17.375,28,22,26,116,113,116,0,1,11.5,météo favorable
2009-01-15,26,0,26,25,26,25,0,81,10,1020,25.125,28,22,25,113,116,116,0,1,11.5,météo favorable
2009-01-16,26,0,26,25,26,25,0.1,84,10,1018,56.125,28,22,25,119,116,119,0,1,10.1,météo très défavorable
2009-01-17,25,0,14,24,25,25,1.8,85,9.875,1018,41.375,28,22,25,119,116,113,0,1,10.1,météo favorable
2009-01-18,26,0,14,25,26,25,0,81,10,1019,9.5,29,23,26,113,113,113,0,1,11.5,météo favorable
2009-01-19,26,0,16,25,26,25,0.1,83,10,1017,18.625,29,23,26,116,113,113,0,1,11.5,météo favorable
