DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-4,5,-4,-2,-2,0,80,10,1030,10.5,0,0,-7,113,113,113,,,,météo très défavorable
2009-01-02,1,-3,16,-3,0,0,1.3,92,10,1030,53,1,0,-6,119,326,116,,,,météo très défavorable
2009-01-03,-1,-4,12,-4,-1,-1,0,84,10,1031,22.25,0,0,-7,113,113,113,,,,météo très défavorable
2009-01-04,1,-1,23,-1,0,0,0.6,90,10,1025,77.25,1,0,-6,116,122,122,,,,météo très défavorable
2009-01-05,0,-4,28,-4,-1,-1,12.8,96,6.125,1025,83.625,0,0,-8,332,332,119,,,,météo très défavorable
2009-01-06,-4,-11,18,-9,-9,-9,0,91,10,1027,5.375,0,0,-17,113,113,113,,,,météo très défavorable
2009-01-07,-2,-10,15,-10,-6,-2,0.9,97,7.5,1025,55.5,0,0,-16,113,326,260,,,,météo très défavorable
2009-01-08,-3,-6,9,-6,-4,-4,0,95,6.375,1031,18.5,0,0,-9,143,113,113,,,,météo très défavorable
2009-01-09,-4,-8,9,-8,-5,-5,0,81,10,1032,4.25,0,0,-13,113,113,113,,,,météo très défavorable
2009-01-10,-4,-8,12,-8,-5,-5,0,89,10,1031,0.375,0,0,-12,113,113,113,,,,météo très défavorable
2009-01-11,-1,-5,23,-5,-3,-1,0,87,10,1031,14.5,0,0,-11,113,116,113,,,,météo très défavorable
2009-01-12,3,0,31,0,2,2,0,82,10,1027,28.375,3,0,-7,113,113,119,,,,météo très défavorable
2009-01-13,3,2,27,2,3,3,11.4,96,8.875,1016,95.25,3,2,-4,296,296,296,,,,météo très défavorable
2009-01-14,3,1,16,1,3,3,3.7,98,4.5,1017,73.75,3,3,-3,266,119,143,,,,météo très défavorable
2009-01-15,3,-1,13,-1,1,1,0,94,7.375,1022,8,3,1,-5,143,113,113,,,,météo très défavorable
2009-01-16,3,0,17,0,2,2,0.3,88,9.375,1022,49,3,0,-5,116,119,116,,,,météo très défavorable
2009-01-17,6,2,28,2,5,5,1.1,96,8.75,1019,43.75,6,4,-3,116,113,266,,,,météo très défavorable
2009-01-18,7,3,42,3,6,6,8.9,94,9.125,1011,75.5,7,6,-4,116,296,296,,,,météo très défavorable
