DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,25,16,25,29,29,70.8,94,4.625,1009,84.25,38,27,25,356,359,356,,,,météo très défavorable
2009-01-02,29,25,12,25,28,28,41.4,92,6.875,1009,63.25,36,27,25,356,356,356,,,,météo très défavorable
2009-01-03,30,25,11,25,29,29,9.2,92,9.25,1009,41.5,38,27,25,353,176,176,,,,météo correcte
2009-01-04,30,24,13,24,28,29,1,89,9.625,1009,33,36,26,24,116,176,176,,,,météo favorable
2009-01-05,31,25,14,25,29,29,5.2,89,9.5,1009,38.75,39,27,25,116,353,353,,,,météo correcte
2009-01-06,32,23,15,23,32,28,2.4,89,9.75,1010,40.375,41,27,23,119,113,176,,,,météo correcte
2009-01-07,31,25,13,25,29,30,16.7,91,8.125,1010,47.875,40,28,25,116,356,353,,,,météo très défavorable
2009-01-08,30,25,12,25,29,29,14.6,90,8.625,1011,45.25,40,28,25,353,176,356,,,,météo défavorable
2009-01-09,28,25,13,25,28,28,70.8,95,5.625,1010,79.625,35,27,25,359,359,356,,,,météo très défavorable
2009-01-10,28,25,17,25,27,28,85.7,93,4.625,1010,88.75,35,27,25,359,356,308,,,,météo très défavorable
2009-01-11,29,25,15,25,28,28,44.3,93,6.125,1010,65.25,36,27,25,356,356,356,,,,météo très défavorable
2009-01-12,28,25,19,25,27,27,52.4,95,6.625,1012,86.25,34,26,25,356,356,356,,,,météo très défavorable
2009-01-13,29,25,17,25,28,28,59,92,5,1012,80.25,37,27,25,356,356,356,,,,météo très défavorable
2009-01-14,30,25,14,25,29,29,35.7,91,7.25,1011,57.75,36,26,25,356,356,116,,,,météo très défavorable
2009-01-15,28,25,18,25,27,27,62.4,93,5.75,1012,88.75,33,26,25,353,356,356,,,,météo très défavorable
2009-01-16,28,25,24,25,27,27,113.5,93,3.5,1012,100,34,27,25,359,359,356,,,,météo très défavorable
2009-01-17,29,25,17,25,28,28,83.2,96,4.625,1011,93.125,36,27,25,359,356,356,,,,météo très défavorable
2009-01-18,29,25,19,25,28,28,61.6,93,5.875,1010,92,36,27,25,356,356,353,,,,météo très défavorable
2009-01-19,30,25,18,25,29,29,48.8,93,5.5,1010,81.75,37,27,25,356,356,356,,,,météo très défavorable
