DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,5,17,4,6,6,0,80,10,1029,13,6,2,1,113,113,113,,,,météo très défavorable
2009-01-02,5,4,26,4,5,5,0,81,10,1032,34.875,5,2,0,113,116,119,,,,météo très défavorable
2009-01-03,5,2,15,1,4,4,0,77,10,1032,39.375,5,0,-2,116,113,116,,,,météo très défavorable
2009-01-04,5,3,17,1,4,4,0.1,88,10,1028,64.125,5,2,-2,116,122,116,,,,météo très défavorable
2009-01-05,5,3,27,2,5,5,0.3,84,10,1028,36.25,5,1,-2,122,116,113,,,,météo très défavorable
2009-01-06,2,1,14,0,2,2,0,75,10,1030,17.5,2,0,-2,113,113,113,,,,météo très défavorable
2009-01-07,4,1,21,0,3,4,0,85,10,1027,17.25,4,1,-5,113,116,113,,,,météo très défavorable
2009-01-08,5,3,18,2,5,5,0,88,10,1028,12.5,5,2,0,113,113,113,,,,météo très défavorable
2009-01-09,6,4,26,3,6,6,0.1,86,10,1027,46.375,6,3,0,119,119,113,,,,météo très défavorable
2009-01-10,10,6,51,5,9,9,2,80,9.375,1024,61.875,10,6,1,119,119,263,,,,météo défavorable
2009-01-11,13,10,60,9,12,12,18.2,91,8.375,1013,99.5,13,11,5,296,296,302,,,,météo très défavorable
2009-01-12,12,8,28,9,8,8,11.6,89,9.125,1004,54.5,12,10,4,293,113,116,,,,météo défavorable
2009-01-13,7,5,22,4,6,6,2.2,91,9,1010,50.25,7,5,1,293,116,116,,,,météo très défavorable
2009-01-14,13,5,56,3,5,12,13.9,91,8,1012,64.625,13,11,-1,116,296,302,,,,météo très défavorable
2009-01-15,10,9,50,9,10,10,10.6,91,8.625,1003,80.625,10,9,4,302,299,116,,,,météo défavorable
2009-01-16,9,8,48,7,9,9,3.3,90,9.125,1005,49.375,9,8,3,116,296,176,,,,météo défavorable
