DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,16,0,11,7,16,8,0,57,8.75,1025,28.375,16,6,13,119,116,113,0,1,8.7,météo très défavorable
2009-01-02,16,0,7,7,16,7,0,63,10,1026,0.25,18,7,12,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,17,0,6,7,17,5,0,46,8,1025,0.375,20,6,12,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,17,0,8,6,17,5,0,45,10,1022,0,19,3,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,19,0,4,6,19,3,0,53,10,1021,0,22,3,10,113,113,113,0,1,8.7,météo favorable
2009-01-06,21,0,3,7,21,2,0,74,10,1018,19.5,22,3,7,116,113,113,0,1,8.7,météo favorable
2009-01-07,21,0,7,8,21,8,0,45,10,1021,21.625,22,0,11,113,113,116,0,1,8.7,météo favorable
2009-01-08,20,0,9,9,20,13,0,51,10,1023,37,20,7,16,116,116,113,0,1,8.7,météo favorable
2009-01-09,20,0,11,10,20,12,0,44,10,1024,13.75,21,5,17,116,113,113,0,1,8.7,météo favorable
2009-01-10,22,0,8,9,22,11,0,36,10,1023,7.75,23,6,18,113,113,113,0,1,8.7,météo favorable
2009-01-11,24,0,6,11,24,13,0,26,10,1021,12.625,23,4,19,113,113,113,0,1,8.7,météo favorable
2009-01-12,25,0,7,13,25,15,0,24,10,1023,5.875,24,4,20,113,113,113,0,1,8.7,météo favorable
2009-01-13,22,0,8,11,22,11,0,38,10,1024,9.875,23,6,19,116,113,113,0,1,8.7,météo favorable
