DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,0,26,1,1,1,1.1,75,6.125,1032,100,2,0,-4,122,122,122,0.6,1,1.3,météo très défavorable
2009-01-02,3,0,21,1,2,2,4.8,80,8.375,1033,100,3,2,-3,122,122,122,4.1,1,1.3,météo très défavorable
2009-01-03,5,0,26,5,3,2,1.2,81,8,1017,98,5,4,-2,122,122,122,0.3,1,1.3,météo très défavorable
2009-01-04,1,0,17,-0,-1,-1,0.3,55,9.625,1025,21.625,1,0,-5,113,113,113,0.3,1,5.7,météo très défavorable
2009-01-05,4,0,35,-0,2,3,2.6,79,7.625,1026,82.375,4,1,-4,122,122,122,0.3,1,1.4,météo très défavorable
2009-01-06,5,0,45,4,3,0,4.4,83,8.375,1016,100,5,3,-6,122,122,122,0,1,1.4,météo très défavorable
2009-01-07,-0,0,24,-0,0,0,1.3,71,8.125,1018,96.75,0,0,-6,122,122,119,0.1,1,1.5,météo très défavorable
2009-01-08,7,0,45,6,7,6,6.1,95,9.625,1010,100,7,6,1,122,122,122,0,1,1.5,météo très défavorable
2009-01-09,7,0,38,7,7,6,2.3,95,8.875,1017,91.75,7,7,2,122,122,116,0,1,1.5,météo très défavorable
2009-01-10,7,0,87,7,7,7,4.2,84,8.625,1015,90.25,7,5,-3,122,116,122,0,1,3.6,météo très défavorable
2009-01-11,9,0,62,7,6,8,16.5,96,8.75,993,99.125,9,7,0,122,122,122,0,1,1.5,météo très défavorable
2009-01-12,9,0,58,9,8,7,12.9,91,8.625,988,92.125,9,7,2,200,200,116,0,1,1.5,météo très défavorable
2009-01-13,6,0,59,6,6,5,7.6,87,8.25,996,89.75,6,4,-1,122,200,200,0,1,1.5,météo très défavorable
2009-01-14,2,0,18,2,2,1,0,74,9.875,1015,49.5,2,0,-2,122,113,113,0,1,5.8,météo très défavorable
2009-01-15,2,0,28,1,2,2,0,59,10,1018,26.75,2,0,-4,113,116,116,0,1,5.8,météo très défavorable
2009-01-16,5,0,75,3,4,5,0.8,77,7.75,1013,75.75,5,1,-5,122,122,113,0.4,1,1.5,météo très défavorable
2009-01-17,5,0,47,5,5,5,0,69,10,1008,55.875,5,0,-2,119,116,116,0,1,5.8,météo très défavorable
2009-01-18,4,0,48,3,3,4,0,67,10,994,46.75,4,0,-6,116,116,119,0,1,5.8,météo très défavorable
2009-01-19,4,0,42,3,3,4,0,74,10,986,42.375,4,0,-4,113,122,113,0,1,1.7,météo très défavorable
2009-01-20,4,0,28,4,3,3,1.3,82,8.375,984,59.75,4,0,-4,116,122,119,0.1,1,1.7,météo très défavorable
2009-01-21,6,0,42,4,6,6,3.4,87,10,996,77.75,6,4,-2,122,119,119,0,1,3.7,météo très défavorable
2009-01-22,5,0,37,5,4,4,0.4,71,9.875,996,54,5,3,-2,113,113,122,0,1,5.8,météo très défavorable
2009-01-23,4,0,34,3,3,4,0.9,68,8.625,982,61.375,4,0,-3,116,116,119,0,1,5.8,météo très défavorable
2009-01-24,4,0,16,4,4,3,0.6,71,9.25,985,65.5,4,0,-0,122,116,119,0.3,1,5.8,météo très défavorable
2009-01-25,4,0,32,3,4,3,0.1,79,8.75,998,43.625,4,0,-2,119,113,116,0,1,5.8,météo très défavorable
2009-01-26,5,0,35,4,5,4,0,74,10,1007,48.5,5,1,-1,119,116,113,0,1,5.8,météo très défavorable
2009-01-27,5,0,53,3,3,5,1.8,84,8.25,1009,86.875,5,3,-4,122,122,122,0.1,1,1.8,météo très défavorable
2009-01-28,5,0,41,5,5,5,1.6,89,8.875,1015,99,5,3,-2,122,122,122,0,1,1.8,météo très défavorable
2009-01-29,6,0,42,6,5,4,0.1,87,10,1020,70.125,6,5,-2,122,119,113,0,1,3.8,météo très défavorable
2009-01-30,6,0,47,4,6,6,0,60,10,1021,16.375,6,0,-1,113,113,116,0,1,5.8,météo très défavorable
2009-01-31,6,0,37,5,5,4,0,63,10,1027,0.125,6,0,-1,113,113,113,0,1,5.8,météo très défavorable
2009-02-01,3,0,21,3,3,2,0,73,10,1029,4.125,4,0,-3,113,113,113,0,1,5.8,météo très défavorable
2009-02-02,2,0,14,1,2,2,0,73,10,1028,15.125,2,0,-2,116,113,113,0,1,5.8,météo très défavorable
2009-02-03,2,0,12,0,2,1,0,54,10,1017,26,2,0,-3,113,113,116,0,1,7.9,météo très défavorable
2009-02-04,2,0,26,1,1,1,0.9,78,7.75,1001,93.875,2,0,-4,122,119,122,0.7,1,3,météo très défavorable
2009-02-05,2,0,7,1,2,1,0,73,10,997,55.75,2,0,-1,116,113,116,0,1,8,météo très défavorable
2009-02-06,1,0,14,0,1,1,0,67,10,996,50.25,1,0,-3,116,116,119,0,1,8.1,météo très défavorable
2009-02-07,1,0,14,0,0,-0,0,71,10,993,32.25,1,0,-4,116,113,113,0,1,8.5,météo très défavorable
2009-02-08,-0,0,13,-2,-1,-1,1.1,69,9.625,993,31.375,0,0,-6,113,113,119,0.9,1,8.6,météo très défavorable
2009-02-09,1,0,22,1,1,0,4.2,75,7.625,997,73.125,1,0,-4,122,119,122,2.7,1,3.2,météo très défavorable
2009-02-10,1,0,12,-1,0,0,1.4,77,8.875,1004,51.875,1,0,-4,119,116,116,1.2,1,6.9,météo très défavorable
2009-02-11,2,0,22,-0,1,1,2.3,78,8.875,1012,79.5,2,0,-4,116,119,122,2,1,3.3,météo très défavorable
2009-02-12,2,0,9,1,1,1,2.9,86,8,1018,73.75,2,0,-1,119,119,122,2,1,3.3,météo très défavorable
2009-02-13,2,0,16,1,2,2,0.3,78,9.25,1025,60.25,2,0,-3,119,116,122,0.2,1,5.1,météo très défavorable
2009-02-14,2,0,28,1,2,1,2.9,83,5.875,1025,98.125,2,0,-3,122,122,122,0.5,1,3.3,météo très défavorable
2009-02-15,3,0,32,1,2,3,7,93,7.875,1016,100,3,2,-4,122,122,122,3.7,1,3.4,météo très défavorable
2009-02-16,4,0,26,4,4,4,1.2,93,4,1014,95.875,4,3,-2,143,119,122,0,1,3.4,météo très défavorable
2009-02-17,4,0,63,2,3,4,5.5,94,8.25,1023,100,4,3,-6,122,122,122,0,1,3.4,météo très défavorable
2009-02-18,4,0,32,4,4,4,1.9,93,7.875,1023,100,4,4,-2,122,122,122,0,1,3.4,météo très défavorable
2009-02-19,5,0,21,5,5,4,0.4,97,9,1019,95,5,4,1,122,122,122,0,1,3.5,météo très défavorable
2009-02-20,5,0,28,4,4,5,0,94,10,1021,100,5,4,-0,122,122,122,0,1,3.5,météo très défavorable
2009-02-21,7,0,43,4,5,6,6,96,9.375,1017,100,7,6,-1,122,122,122,0,1,3.5,météo très défavorable
2009-02-22,6,0,23,5,5,5,0,95,9.875,1010,96.375,6,5,1,200,122,122,0,1,3.5,météo très défavorable
2009-02-23,5,0,22,4,4,2,0,77,10,1020,92.25,5,3,-1,122,122,122,0,1,3.5,météo très défavorable
2009-02-24,5,0,21,5,4,3,4.9,95,9.5,1018,100,5,5,0,122,122,122,0,1,3.7,météo très défavorable
2009-02-25,5,0,35,4,4,4,2.9,94,9.5,1016,90.25,5,4,-2,122,122,200,0,1,3.7,météo très défavorable
2009-02-26,4,0,15,2,4,3,0.7,88,9.5,1005,57.75,4,2,0,113,119,122,0.2,1,5.4,météo très défavorable
2009-02-27,2,0,30,1,1,1,0.8,68,8.375,1015,52.375,2,0,-6,122,116,113,0.6,1,7.1,météo très défavorable
2009-02-28,4,0,40,1,0,3,0,82,10,1014,73.875,4,3,-6,116,122,122,0,1,5.3,météo très défavorable
2009-03-01,5,0,54,4,5,5,5.7,89,8.5,1004,100,5,4,-2,122,122,122,0,1,5.3,météo très défavorable
2009-03-02,5,0,33,4,5,5,1.4,89,8.75,1001,81,5,3,-1,119,119,119,0,1,6.9,météo très défavorable
2009-03-03,5,0,44,3,5,5,4.1,80,9.25,997,74.25,5,2,-3,119,119,119,0.9,1,6.9,météo très défavorable
2009-03-04,8,0,32,6,8,6,0,69,10,994,44.375,8,2,2,116,116,119,0,1,10,météo très défavorable
2009-03-05,7,0,23,3,7,6,0,63,10,1002,29.625,7,1,-1,116,116,113,0,1,10.9,météo très défavorable
2009-03-06,5,0,32,5,4,4,0.6,82,9,1004,85.875,5,2,-1,119,122,122,0,1,5.5,météo très défavorable
2009-03-07,5,0,57,4,4,4,0.6,74,9,1004,90.75,5,2,-2,122,122,119,0,1,5.5,météo très défavorable
2009-03-08,6,0,54,2,6,4,1.5,79,9.875,991,47.75,6,2,-3,119,119,113,0,1,8.6,météo très défavorable
2009-03-09,6,0,64,5,6,5,2.3,86,8.75,989,89.75,6,3,-1,122,122,122,0,1,5.5,météo très défavorable
2009-03-10,6,0,17,4,5,5,1.3,84,9.625,1007,50.25,6,3,1,116,113,113,0,1,11.2,météo très défavorable
2009-03-11,5,0,22,4,5,5,0.1,82,10,1015,76.875,6,2,1,122,119,122,0,1,7.1,météo très défavorable
2009-03-12,6,0,51,4,6,6,3.1,91,7.875,1007,97.125,6,5,-3,122,122,122,0,1,5.6,météo très défavorable
2009-03-13,6,0,30,5,5,5,4.1,88,8.875,1011,96.5,6,5,-0,122,122,122,0,1,5.7,météo très défavorable
2009-03-14,8,0,17,3,7,6,0,79,10,1011,20,8,2,2,113,113,113,0,1,11.4,météo très défavorable
2009-03-15,7,0,35,4,6,7,1.5,95,8.875,1021,77.75,7,6,1,119,122,122,0,1,5.9,météo très défavorable
2009-03-16,6,0,21,5,6,5,5.5,89,9.375,1021,69.5,6,5,2,122,116,119,0,1,8.8,météo très défavorable
2009-03-17,6,0,33,4,5,5,4.5,69,9.625,1030,60.375,6,3,-1,113,119,122,0,1,7.4,météo très défavorable
2009-03-18,7,0,11,5,7,5,0,86,10,1030,68,7,4,4,122,122,113,0,1,8.8,météo très défavorable
2009-03-19,5,0,14,2,5,5,0,88,10,1033,12.5,6,4,2,113,113,113,0,1,11.6,météo très défavorable
2009-03-20,6,0,35,4,6,5,0,88,10,1033,51.75,6,4,-0,116,119,119,0,1,7.5,météo très défavorable
2009-03-21,6,0,26,5,5,5,2,92,8.875,1027,98.75,6,5,0,122,122,122,0,1,6.1,météo très défavorable
2009-03-22,5,0,35,5,4,3,3.7,93,9.5,1017,73.25,5,4,-1,119,119,119,0.9,1,6.3,météo très défavorable
2009-03-23,3,0,31,1,3,1,0.2,88,8.625,1005,36.75,3,2,-3,116,116,113,0.1,1,11.6,météo très défavorable
2009-03-24,4,0,10,2,4,3,0.3,75,9.375,1007,60.75,4,0,0,116,116,116,0.2,1,9,météo très défavorable
2009-03-25,5,0,12,1,4,4,0.2,73,9.375,1000,41.375,5,0,-1,113,113,116,0.2,1,11.6,météo très défavorable
2009-03-26,6,0,41,2,5,4,0.4,71,8.375,998,67.625,6,1,-4,116,122,116,0.2,1,10.3,météo très défavorable
2009-03-27,5,0,11,2,5,4,0.3,65,9,994,75.125,5,0,0,122,116,122,0.2,1,10.3,météo très défavorable
