DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,36,22,5,22,36,26,0,100,7.75,1012,21.125,38,23,22,248,113,113,,,,météo favorable
2009-01-02,35,22,8,22,35,29,0.1,99,7.5,1012,38.25,36,22,22,248,113,113,,,,météo favorable
2009-01-03,36,23,9,23,36,27,1.2,95,8.875,1012,23.5,38,23,23,143,116,176,,,,météo favorable
2009-01-04,33,22,9,22,33,28,4.2,98,8.625,1012,36.5,36,22,22,176,353,176,,,,météo correcte
2009-01-05,34,23,7,23,32,29,1.4,93,9.75,1012,18.625,36,23,23,113,176,113,,,,météo favorable
2009-01-06,36,22,6,22,35,30,0,98,7.75,1011,19.75,37,23,22,248,113,113,,,,météo favorable
2009-01-07,35,22,6,22,34,29,0,98,7.75,1010,23,35,23,22,248,113,113,,,,météo favorable
2009-01-08,34,22,7,22,34,30,0,97,9,1011,15.875,36,22,22,143,113,116,,,,météo favorable
2009-01-09,32,23,10,23,32,26,2.9,93,9.875,1012,36.25,35,22,23,113,353,353,,,,météo correcte
2009-01-10,33,22,8,22,27,26,0.2,92,10,1014,30.5,33,22,22,116,116,113,,,,météo favorable
2009-01-11,35,21,6,21,34,29,0,97,9,1013,11.125,35,21,21,143,113,113,,,,météo favorable
2009-01-12,36,24,6,24,34,29,0,93,9,1012,10.25,36,22,24,113,113,113,,,,météo favorable
2009-01-13,36,22,6,22,36,30,0.2,100,7.625,1012,30.75,38,23,22,248,113,113,,,,météo favorable
2009-01-14,37,24,5,24,36,28,1.7,90,9.875,1012,22.75,37,23,24,353,113,113,,,,météo favorable
2009-01-15,38,24,7,24,36,28,0,85,10,1010,2,37,25,24,113,113,113,,,,météo favorable
2009-01-16,36,20,7,20,33,29,0,98,7.75,1012,21,35,22,20,248,113,113,,,,météo favorable
2009-01-17,35,23,8,23,33,30,0,93,10,1011,36.375,36,21,23,116,116,113,,,,météo favorable
2009-01-18,34,23,10,23,32,30,0,96,9,1012,29.75,34,22,23,143,113,113,,,,météo idéale
2009-01-19,35,21,7,21,33,28,0,69,10,1014,26.875,33,20,21,113,113,116,,,,météo idéale
2009-01-20,34,21,8,21,32,27,0,29,10,1014,24.25,33,7,21,116,113,113,,,,météo idéale
2009-01-21,35,20,8,20,32,26,0,25,10,1012,15.125,33,6,20,113,113,113,,,,météo idéale
2009-01-22,35,20,9,20,32,24,0,26,10,1014,10.75,33,4,20,113,113,113,,,,météo idéale
2009-01-23,35,19,12,19,31,23,0,37,10,1014,10.375,33,7,19,113,113,113,,,,météo idéale
2009-01-24,37,18,6,18,34,25,0,24,10,1014,5.125,36,3,18,113,113,113,,,,météo favorable
2009-01-25,36,16,4,16,35,26,0,49,10,1013,10.75,35,9,16,113,113,113,,,,météo favorable
2009-01-26,37,19,6,19,35,28,0,68,10,1012,7.5,35,13,19,113,113,113,,,,météo favorable
2009-01-27,37,21,6,21,35,29,0,95,9,1014,5,36,20,21,143,113,113,,,,météo favorable
2009-01-28,38,21,7,21,36,29,0,99,8.75,1012,20.5,38,22,21,248,113,116,,,,météo favorable
2009-01-29,38,22,7,22,36,30,0,98,8.75,1012,21.125,39,22,22,248,113,113,,,,météo favorable
2009-01-30,36,22,8,22,36,31,0,95,9,1012,16.875,38,22,22,143,113,116,,,,météo favorable
2009-01-31,36,22,10,22,36,31,0,95,9,1011,20.625,38,22,22,143,113,113,,,,météo favorable
2009-02-01,36,23,10,23,36,30,0.1,91,10,1011,15.5,38,23,23,113,113,113,,,,météo favorable
2009-02-02,37,23,10,23,37,30,1,94,8.75,1011,20,40,23,23,143,113,176,,,,météo correcte
2009-02-03,37,23,10,23,37,30,1,96,8,1012,17.25,40,23,23,143,113,113,,,,météo correcte
2009-02-04,37,23,9,23,37,28,1.1,96,8.25,1011,20,40,23,23,143,113,176,,,,météo correcte
2009-02-05,39,23,10,23,39,31,0.1,96,8,1012,19.5,42,23,23,143,113,113,,,,météo correcte
2009-02-06,36,23,13,23,36,31,0.1,96,8,1011,18.125,40,23,23,143,113,113,,,,météo correcte
2009-02-07,35,23,14,23,35,29,0.9,92,9.75,1012,30.25,39,23,23,116,116,113,,,,météo favorable
2009-02-08,30,23,8,23,30,26,13.7,94,8.5,1011,41.25,34,24,23,176,356,356,,,,météo défavorable
2009-02-09,31,23,10,23,31,28,6.3,95,8.75,1013,28.5,35,23,23,143,176,176,,,,météo favorable
2009-02-10,36,21,10,21,36,29,0.6,97,7.625,1012,28.75,39,23,21,248,113,176,,,,météo favorable
2009-02-11,36,25,10,25,36,28,2.5,83,9.875,1011,25.625,39,24,25,113,116,386,,,,météo favorable
2009-02-12,34,23,9,23,34,27,7.2,95,8.125,1010,25.375,39,24,23,143,176,356,,,,météo favorable
2009-02-13,31,23,11,23,31,26,8.7,96,7.125,1010,24,35,24,23,143,176,356,,,,météo correcte
2009-02-14,35,23,11,23,35,27,2.4,94,8.875,1009,23.75,38,24,23,143,113,386,,,,météo favorable
2009-02-15,34,23,10,23,34,26,8.5,95,7.5,1010,31.625,38,24,23,143,116,356,,,,météo correcte
2009-02-16,30,22,9,22,29,26,7.2,90,9.375,1010,46.75,34,24,22,353,116,356,,,,météo favorable
2009-02-17,33,22,8,22,33,26,13.9,97,9,1011,50,36,24,22,353,116,356,,,,météo défavorable
2009-02-18,29,23,8,23,29,25,11.2,96,6.875,1011,47.125,31,24,23,143,176,356,,,,météo correcte
2009-02-19,29,22,6,22,27,26,13.4,99,5.25,1011,52.25,33,24,22,248,356,356,,,,météo défavorable
2009-02-20,34,21,8,21,32,29,0,98,6.5,1011,30.5,34,23,21,248,113,113,,,,météo favorable
2009-02-21,34,23,7,23,33,30,0,86,10,1011,8.5,36,22,23,113,113,113,,,,météo favorable
2009-02-22,36,22,8,22,35,31,0,96,9,1011,13.5,38,22,22,143,113,113,,,,météo favorable
2009-02-23,36,23,11,23,36,27,1.7,95,8.75,1008,22,40,23,23,143,113,353,,,,météo correcte
2009-02-24,31,23,9,23,31,28,7.3,95,8,1009,20.5,36,23,23,143,176,356,,,,météo favorable
2009-02-25,34,23,10,23,34,27,4.9,95,8.625,1010,28.125,38,24,23,143,113,356,,,,météo favorable
2009-02-26,33,23,10,23,33,26,7.6,93,9.25,1010,39.5,36,24,23,116,116,356,,,,météo favorable
2009-02-27,36,23,11,23,36,27,1,92,10,1010,25.125,39,24,23,113,113,353,,,,météo favorable
2009-02-28,35,23,8,23,35,26,4.4,94,9.625,1010,25.75,38,24,23,113,116,356,,,,météo favorable
2009-03-01,37,24,9,24,37,26,2.6,93,8,1011,24,41,24,24,113,113,353,,,,météo correcte
2009-03-02,38,23,11,23,38,30,0.1,98,7.5,1011,39.75,42,23,23,248,113,113,,,,météo correcte
2009-03-03,36,23,10,23,36,31,0.2,94,9,1011,16.25,39,23,23,143,113,113,,,,météo favorable
2009-03-04,37,24,10,24,37,29,0.3,92,9.375,1010,21.5,40,23,24,113,113,263,,,,météo correcte
2009-03-05,37,24,13,24,37,28,0.3,90,9.875,1010,22.625,41,23,24,113,113,176,,,,météo correcte
