DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,0,11,1,11,10,0,96,9,1024,29.25,13,10,2,113,113,143,0,2,10.1,météo très défavorable
2009-01-02,20,0,13,14,19,19,0.3,98,5.25,1015,85.125,20,18,16,248,122,116,0,3,6.7,météo très défavorable
2009-01-03,21,0,18,17,19,19,1.5,94,8.875,1013,51.375,24,19,19,200,143,113,0,5,10,météo très défavorable
2009-01-04,22,0,12,17,21,19,2.4,98,5.25,1020,90.125,24,20,19,122,119,248,0,4,5.1,météo très défavorable
2009-01-05,15,0,11,12,14,13,0,98,3.25,1021,97,15,14,11,143,143,248,0,4,5.1,météo très défavorable
2009-01-06,13,0,12,13,12,11,3.2,97,5.625,1011,83,13,13,10,143,143,143,0,3,5.1,météo très défavorable
2009-01-07,15,0,13,4,13,10,0,77,10,1014,5.625,15,8,4,113,113,113,0,3,10.1,météo très défavorable
2009-01-08,18,0,11,9,17,13,0,87,10,1016,3.375,18,11,10,113,113,113,0,3,10.2,météo favorable
2009-01-09,21,0,21,9,19,17,0,92,10,1019,12.25,21,16,12,113,113,113,0,3,10.2,météo favorable
2009-01-10,21,0,21,19,21,11,2.1,96,9.875,1022,85.875,24,20,9,122,122,119,0,4,5.1,météo très défavorable
2009-01-11,9,0,17,4,6,5,0,83,10,1027,37.25,9,6,-0,116,113,113,0,2,10.2,météo très défavorable
2009-01-12,12,0,8,1,11,6,0,86,10,1025,0.25,12,5,4,113,113,113,0,2,10.2,météo très défavorable
2009-01-13,8,0,23,5,8,4,0,79,10,1027,1.875,8,3,2,113,113,113,0,3,10.2,météo très défavorable
2009-01-14,11,0,9,-1,9,5,0,70,10,1028,0,11,1,2,113,113,113,0,2,10.2,météo très défavorable
2009-01-15,7,0,20,3,7,3,0,78,10,1037,1.625,7,1,-1,113,113,113,0,2,10.2,météo très défavorable
2009-01-16,6,0,13,-3,4,0,0,61,10,1040,9.125,6,0,-5,113,113,113,0,2,10.2,météo très défavorable
2009-01-17,12,0,12,2,6,11,0,96,9,1034,51.25,12,11,1,116,116,143,0,2,10,météo très défavorable
2009-01-18,17,0,18,13,16,12,0,86,10,1023,32.625,17,13,10,119,113,113,0,3,10.3,météo très défavorable
2009-01-19,14,0,23,7,14,8,0,75,10,1016,15,14,6,6,116,113,113,0,3,10.3,météo très défavorable
2009-01-20,7,0,18,2,7,4,0,77,10,1024,11.625,7,1,1,113,116,113,0,2,10.3,météo très défavorable
2009-01-21,10,0,15,-1,8,6,0,81,10,1026,0,10,3,-0,113,113,113,0,2,10.3,météo très défavorable
2009-01-22,19,0,18,4,18,14,0,85,9,1022,2.25,19,12,8,113,113,113,0,2,10.3,météo favorable
2009-01-23,21,0,21,12,20,16,0,86,10,1020,27.5,21,15,16,116,113,116,0,4,10.3,météo favorable
2009-01-24,15,0,21,15,9,6,0.2,95,7,1024,88.25,15,14,3,143,122,122,0,3,5.2,météo très défavorable
2009-01-25,11,0,8,5,8,7,0,91,9,1024,78.875,11,7,5,122,119,116,0,2,6.8,météo très défavorable
2009-01-26,15,0,12,8,11,14,0,98,5.75,1024,86.625,16,15,7,122,122,248,0,2,5.2,météo très défavorable
