DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,19,13,19,23,21,13.7,97,7.75,1014,83,26,19,19,266,119,353,,,,météo défavorable
2009-01-02,25,18,14,18,24,22,1.4,95,5,1014,65.5,26,19,18,143,116,116,,,,météo défavorable
2009-01-03,21,19,8,19,20,21,5.5,97,4.5,1014,92.875,21,19,19,266,296,266,,,,météo défavorable
2009-01-04,25,18,11,18,23,24,0.2,96,6.25,1013,61.5,26,19,18,248,119,113,,,,météo correcte
2009-01-05,25,19,19,19,25,22,1.5,92,6.125,1013,74,26,19,19,248,116,353,,,,météo défavorable
2009-01-06,23,20,10,20,23,23,10.1,96,6,1013,89.875,25,22,20,266,353,353,,,,météo défavorable
2009-01-07,26,21,9,21,26,23,30.3,93,5.875,1012,72,28,22,21,248,353,359,,,,météo très défavorable
2009-01-08,23,21,8,21,23,23,36.5,97,7.375,1014,59.375,26,22,21,356,299,353,,,,météo très défavorable
2009-01-09,28,21,9,21,28,24,20.3,94,7.5,1014,52.75,30,22,21,248,353,356,,,,météo très défavorable
2009-01-10,28,22,8,22,28,24,21.1,94,8.5,1014,45.75,32,23,22,353,386,356,,,,météo très défavorable
2009-01-11,28,20,13,20,28,25,1.1,93,6.625,1013,52,30,20,20,248,113,113,,,,météo favorable
2009-01-12,28,21,10,21,28,24,6,93,8,1013,51.5,30,21,21,248,116,176,,,,météo favorable
2009-01-13,30,21,8,21,30,24,9.2,92,6.375,1013,50.75,33,22,21,248,176,176,,,,météo correcte
2009-01-14,24,20,8,20,23,23,13.7,96,7.125,1013,69.375,26,22,20,353,353,293,,,,météo défavorable
2009-01-15,22,19,9,19,20,21,40.4,97,7.625,1013,75,24,20,19,299,302,353,,,,météo très défavorable
2009-01-16,24,19,11,19,23,22,21.7,98,8.125,1013,81.5,26,21,19,353,353,356,,,,météo très défavorable
2009-01-17,26,20,8,20,26,23,26.4,94,4.125,1012,76.25,28,22,20,248,356,356,,,,météo très défavorable
2009-01-18,25,20,12,20,25,22,28.9,97,6.25,1013,75.625,27,22,20,248,356,359,,,,météo très défavorable
2009-01-19,25,20,11,20,24,22,6.7,97,8.125,1013,69,26,20,20,266,176,353,,,,météo défavorable
