DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,16,17,16,25,21,0,65,10,1016,27,26,16,21,116,113,113,0,1,8.7,météo idéale
2009-01-02,23,16,15,17,22,20,0.2,88,9,1015,62.25,25,18,19,143,119,119,0,1,4.2,météo correcte
2009-01-03,27,18,15,18,26,22,0,86,9,1015,41,28,18,20,143,113,116,0,1,8.7,météo favorable
2009-01-04,27,18,17,19,27,22,0.1,73,8,1016,41,28,18,23,116,113,116,0,1,8.7,météo favorable
2009-01-05,28,18,13,18,26,23,0.3,84,10,1016,49.125,29,19,20,119,113,119,0,1,8.7,météo favorable
2009-01-06,27,18,13,19,26,22,0.1,80,6.5,1015,52.5,28,19,22,143,116,116,0,1,8.7,météo favorable
2009-01-07,28,18,12,18,28,22,0.6,77,6.375,1015,45.5,29,20,23,248,113,113,0,1,8.7,météo favorable
2009-01-08,26,18,15,18,26,21,0.2,89,6.5,1014,61.625,28,19,21,248,116,113,0,1,5.7,météo correcte
2009-01-09,23,19,19,19,23,20,0.3,88,8,1016,61.25,25,19,20,119,116,116,0,1,7.2,météo correcte
2009-01-10,25,19,21,19,25,20,0.2,75,10,1016,63.125,26,18,22,119,119,119,0,1,5.7,météo correcte
2009-01-11,23,19,15,19,22,20,0.7,88,8.375,1016,76.625,25,19,20,143,122,119,0,1,4.2,météo défavorable
2009-01-12,25,19,21,19,24,20,0.5,90,9,1015,68,26,19,20,119,116,119,0,1,7.2,météo défavorable
2009-01-13,23,19,14,19,22,21,0.7,91,7,1017,71.25,25,19,20,143,119,116,0,1,5.7,météo défavorable
2009-01-14,23,18,19,19,22,20,0.6,83,9.375,1016,63.375,25,19,20,116,119,116,0,1,5.7,météo correcte
2009-01-15,22,18,17,19,22,20,1,92,8,1018,76.625,24,19,20,143,122,119,0,1,4.2,météo défavorable
2009-01-16,26,18,23,18,26,21,0,77,10,1019,34,26,18,21,116,113,116,0,1,8.7,météo favorable
2009-01-17,26,17,21,18,25,21,0.2,79,10,1019,49.125,27,16,20,116,119,116,0,1,7.2,météo correcte
2009-01-18,26,17,18,18,26,21,0.1,75,9,1020,37.375,27,17,21,116,116,113,0,1,8.7,météo favorable
2009-01-19,27,17,14,17,26,21,0,75,7.75,1019,45.5,28,17,21,119,116,116,0,1,8.7,météo favorable
2009-01-20,27,15,12,15,27,22,0,64,6.5,1018,44.875,27,16,22,248,113,113,0,1,8.7,météo favorable
2009-01-21,26,16,16,16,26,21,0,65,8,1019,32.625,26,16,21,143,113,116,0,1,8.7,météo favorable
2009-01-22,25,13,18,13,25,20,0,51,10,1019,9.25,26,14,20,113,113,113,0,1,8.7,météo favorable
2009-01-23,25,15,18,15,25,20,0.1,70,10,1020,33.125,26,17,21,116,113,116,0,1,8.7,météo favorable
2009-01-24,26,18,15,18,25,22,0.2,80,9,1017,55.375,27,18,20,119,116,113,0,1,7.2,météo correcte
2009-01-25,27,15,19,15,26,22,0,60,9,1016,22.125,27,17,22,143,113,116,0,1,8.7,météo idéale
2009-01-26,27,16,18,16,26,22,0,71,10,1017,27.875,27,18,21,116,113,116,0,1,8.7,météo idéale
2009-01-27,25,19,22,19,24,21,0.7,89,8.375,1017,63.875,27,18,20,119,116,116,0,1,7.2,météo correcte
2009-01-28,25,19,18,19,24,20,1.1,88,9.25,1016,62.75,27,18,20,119,116,116,0,1,7.2,météo correcte
2009-01-29,27,19,16,19,26,22,0.3,80,9,1016,42.625,28,18,22,119,113,113,0,1,8.7,météo favorable
2009-01-30,28,18,16,18,27,22,0.1,80,6.5,1016,48.375,28,18,21,143,113,113,0,1,8.7,météo favorable
2009-01-31,27,19,23,19,27,21,0.2,65,10,1017,47.375,28,18,23,116,116,113,0,1,8.7,météo favorable
2009-02-01,25,18,16,18,24,21,0.7,87,8,1016,56.5,26,18,20,143,116,113,0,1,7.2,météo correcte
2009-02-02,28,18,14,18,28,23,0.1,75,6.5,1015,40.875,28,18,22,143,113,113,0,1,8.7,météo favorable
2009-02-03,29,18,21,18,29,22,0.2,68,6.5,1016,43.5,29,18,24,248,113,113,0,1,8.7,météo favorable
2009-02-04,26,18,34,19,26,19,0.2,75,10,1019,44.25,27,17,21,116,116,119,0,1,8.7,météo favorable
2009-02-05,23,15,33,15,23,18,0,62,10,1021,11.375,25,13,19,113,113,116,0,1,8.7,météo favorable
2009-02-06,24,15,28,15,23,20,0,72,10,1020,20.625,25,13,17,116,113,116,0,1,8.7,météo idéale
2009-02-07,26,16,23,16,26,21,0.1,62,10,1019,37.125,26,16,20,113,113,116,0,1,8.7,météo favorable
