DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,22,10,7,10,20,16,0,76,10,1021,19.5,23,9,12,116,113,113,0,1,10.8,météo favorable
2009-01-02,23,9,14,9,22,18,0,51,10,1016,9.375,23,6,15,113,113,113,0,1,10.8,météo favorable
2009-01-03,22,7,12,7,20,15,0,40,10,1015,8.125,22,3,12,113,113,113,0,1,10.8,météo favorable
2009-01-04,24,8,9,8,22,18,0,49,10,1018,12.875,23,4,14,113,116,113,0,1,10.8,météo favorable
2009-01-05,23,9,24,9,20,19,0,67,10,1019,7.25,23,7,12,113,113,113,0,1,10.8,météo favorable
2009-01-06,22,9,29,9,19,15,0,60,10,1013,6.75,22,5,11,113,113,113,0,1,10.9,météo favorable
2009-01-07,23,6,15,6,20,15,0,51,10,1018,4.625,23,1,10,113,113,113,0,1,10.9,météo favorable
2009-01-08,26,6,8,6,23,14,0,43,10,1018,0,24,1,12,113,113,113,0,1,10.9,météo favorable
2009-01-09,26,6,13,6,24,16,0,35,10,1018,1.75,25,2,13,113,113,113,0,1,10.9,météo favorable
2009-01-10,26,8,12,8,25,18,0,25,10,1020,3,25,6,14,113,113,113,0,1,10.9,météo favorable
2009-01-11,15,10,8,10,13,14,0.3,88,9.375,1024,28.75,15,9,10,116,116,113,0,1,10.9,météo correcte
2009-01-12,22,4,12,4,18,15,0,70,10,1023,8.375,22,3,8,113,113,113,0,1,10.9,météo favorable
2009-01-13,17,4,16,4,14,12,0,37,10,1028,0,17,0,5,113,113,113,0,1,10.9,météo correcte
2009-01-14,22,2,10,2,20,14,0,42,10,1026,5.875,22,0,7,113,113,113,0,1,10.9,météo favorable
2009-01-15,18,5,16,5,16,13,0,62,10,1027,19.5,18,7,8,113,113,113,0,1,10.9,météo favorable
