DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,17,10,26,10,14,15,0,85,10,1026,8.75,17,10,7,113,113,113,,,,météo correcte
2009-01-02,18,11,16,11,15,15,1.8,78,9.75,1022,42.375,18,11,9,113,119,116,,,,météo correcte
2009-01-03,15,12,27,12,15,15,4.6,87,8.75,1015,43.25,15,10,9,353,176,116,,,,météo correcte
2009-01-04,13,10,17,10,12,12,5.8,89,8.25,1015,63.25,13,10,9,119,119,296,,,,météo correcte
2009-01-05,12,10,28,10,12,12,8.5,82,7.75,1015,48.625,12,9,8,263,113,113,,,,météo défavorable
2009-01-06,14,9,19,9,13,13,0.3,77,10,1015,36.75,14,8,7,119,116,113,,,,météo correcte
2009-01-07,15,9,18,9,13,13,0,75,10,1013,26.75,15,8,6,113,113,116,,,,météo correcte
2009-01-08,14,9,14,9,12,13,0,79,10,1017,25.25,14,9,8,116,113,113,,,,météo correcte
2009-01-09,16,9,10,9,14,14,0.7,84,9.875,1018,14.5,16,10,9,113,113,113,,,,météo correcte
2009-01-10,13,11,23,11,13,13,5,87,9.75,1022,55.75,13,10,8,116,353,353,,,,météo correcte
2009-01-11,14,11,19,11,14,13,2,87,9.75,1023,42.875,14,11,9,119,116,353,,,,météo correcte
2009-01-12,16,12,19,12,15,15,24.3,92,8.25,1021,63.375,16,14,10,176,176,299,,,,météo très défavorable
2009-01-13,16,13,34,13,15,15,43.7,93,7.375,1010,92.875,16,14,10,356,353,353,,,,météo très défavorable
2009-01-14,13,11,39,11,13,13,3.9,82,9.375,1016,51.625,13,11,7,296,116,116,,,,météo correcte
2009-01-15,13,11,21,11,13,12,1.8,84,9.75,1020,32.5,13,9,8,353,113,113,,,,météo correcte
2009-01-16,13,8,12,8,11,12,0,83,10,1023,4.625,13,8,7,113,113,113,,,,météo correcte
2009-01-17,15,9,23,9,13,13,0,83,10,1024,3.5,15,9,7,113,113,113,,,,météo correcte
2009-01-18,15,9,21,9,12,15,0,88,10,1024,16,15,10,7,113,116,113,,,,météo correcte
2009-01-19,16,11,18,11,15,15,0,85,10,1023,5.125,16,12,9,113,113,113,,,,météo correcte
2009-01-20,17,11,16,11,15,16,0.8,86,8.375,1012,34.875,17,13,9,113,116,266,,,,météo correcte
2009-01-21,14,12,25,12,14,14,11.2,86,8.875,1006,67.75,14,11,10,356,116,353,,,,météo défavorable
2009-01-22,13,12,47,12,12,12,2,75,9,1009,50.75,13,9,8,263,116,119,,,,météo correcte
2009-01-23,16,12,38,12,16,16,16,91,8.625,1008,98.375,16,15,9,296,296,296,,,,météo très défavorable
2009-01-24,17,14,60,14,16,16,0.9,84,8.875,1002,54.875,17,12,10,116,122,353,,,,météo correcte
2009-01-25,14,12,49,12,14,14,1.5,74,9.625,1005,34.125,14,9,8,176,116,116,,,,météo correcte
2009-01-26,14,11,36,11,14,14,0.9,73,8.375,1006,34,14,9,8,113,116,266,,,,météo correcte
2009-01-27,12,10,41,10,12,11,7.4,75,9.75,1008,67.25,12,7,6,353,353,353,,,,météo défavorable
2009-01-28,12,10,51,10,12,12,5.8,78,9.75,1011,66.125,12,7,6,353,176,119,,,,météo défavorable
2009-01-29,13,10,27,10,12,13,2.5,80,9.75,1015,31.125,13,9,7,116,293,113,,,,météo correcte
2009-01-30,14,10,22,10,13,12,0,82,10,1016,6.625,14,8,8,113,113,113,,,,météo correcte
2009-01-31,18,7,23,7,13,17,0,85,10,1015,5.875,18,13,5,113,113,113,,,,météo favorable
2009-02-01,14,10,34,10,13,13,10.4,90,8.25,1006,42.375,14,10,6,389,263,113,,,,météo correcte
2009-02-02,18,12,31,12,15,17,0,61,10,1003,16.25,18,10,9,113,113,113,,,,météo favorable
2009-02-03,17,13,32,13,16,16,0.9,82,9.625,1003,36.5,17,13,11,113,113,176,,,,météo correcte
2009-02-04,15,12,29,12,14,14,0.5,79,9.75,1009,18.5,15,10,9,176,113,113,,,,météo correcte
2009-02-05,20,11,21,11,16,19,0,64,10,1009,15.75,20,12,8,113,116,113,,,,météo favorable
2009-02-06,18,13,25,13,16,17,0,78,10,1003,12,18,10,10,113,113,116,,,,météo favorable
2009-02-07,14,10,45,10,13,13,7.5,86,8.125,999,46.25,14,9,8,266,302,113,,,,météo correcte
2009-02-08,10,8,41,8,10,9,13.4,79,9.125,1009,64.25,10,6,4,353,353,353,,,,météo défavorable
2009-02-09,12,11,47,11,11,12,0.8,76,9.75,1019,33.375,12,8,8,113,119,116,,,,météo défavorable
2009-02-10,17,11,38,11,15,15,0,85,10,1019,34.25,17,12,8,116,116,119,,,,météo correcte
2009-02-11,14,11,50,11,13,14,4.4,75,9.375,1017,41.5,14,10,7,176,176,176,,,,météo correcte
2009-02-12,11,9,43,9,11,11,11.2,69,9,1013,32.625,11,8,4,176,113,176,,,,météo défavorable
2009-02-13,9,8,44,8,9,9,12.9,77,9.25,1014,50.25,9,5,3,353,176,353,,,,météo défavorable
2009-02-14,10,8,30,8,10,10,4.6,69,8.5,1015,47.375,10,5,4,176,263,119,,,,météo défavorable
2009-02-15,8,8,30,8,8,8,4.6,70,9.875,1023,48.125,8,5,4,353,116,116,,,,météo très défavorable
2009-02-16,11,6,9,6,10,10,0,66,10,1024,62.75,11,2,4,119,119,116,,,,météo défavorable
2009-02-17,11,7,21,7,11,11,0.2,76,10,1022,51.125,11,6,5,113,116,122,,,,météo défavorable
2009-02-18,12,10,44,10,12,12,16.5,87,7.5,1019,96.75,12,10,6,266,296,302,,,,météo très défavorable
2009-02-19,11,9,8,9,10,10,7.3,87,6.5,1020,96.875,11,8,8,266,266,296,,,,météo défavorable
2009-02-20,10,9,17,9,10,9,4.2,84,9.875,1026,34.25,10,7,7,353,116,113,,,,météo défavorable
2009-02-21,12,5,11,5,11,11,0,72,10,1026,5.25,12,4,3,113,113,113,,,,météo très défavorable
2009-02-22,13,7,27,7,12,11,0,80,10,1025,20.75,13,6,5,113,113,113,,,,météo correcte
2009-02-23,14,11,35,11,13,13,9.4,88,5,1020,96.75,14,11,8,266,302,266,,,,météo défavorable
