DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,17,8,17,27,20,0,50,10,1016,12.625,27,16,24,113,113,116,0,6,8.7,météo idéale
2009-01-02,27,15,9,17,27,15,0,47,8.75,1015,19.75,27,15,25,113,113,248,0,6,8.7,météo idéale
2009-01-03,27,16,10,17,27,16,0,46,8.75,1015,17.375,27,15,26,113,113,248,0,6,8.7,météo idéale
2009-01-04,28,18,11,18,28,21,0,58,10,1015,15.5,28,16,25,113,113,113,0,6,8.7,météo idéale
2009-01-05,28,16,11,18,28,16,0,41,9,1016,4.875,27,16,27,113,113,143,0,6,8.7,météo idéale
2009-01-06,28,18,11,18,28,19,0,43,10,1015,5.125,27,14,26,113,113,113,0,6,8.7,météo idéale
2009-01-07,29,17,13,18,29,17,0,45,10,1014,5,28,16,27,113,113,113,0,6,8.7,météo idéale
2009-01-08,29,16,9,18,29,21,0,48,9,1014,11,28,16,25,113,113,113,0,6,8.7,météo idéale
2009-01-09,28,15,10,18,28,17,0,45,8.75,1016,29.125,28,15,25,113,116,113,0,6,8.7,météo favorable
2009-01-10,29,17,10,19,29,20,0,55,8.75,1016,27.625,28,17,25,113,113,113,0,6,8.7,météo idéale
2009-01-11,28,17,10,19,28,20,0,61,9,1017,15.75,28,17,23,113,113,116,0,5,8.7,météo idéale
2009-01-12,28,16,8,18,28,18,0,50,7.75,1016,24.875,28,17,25,113,113,143,0,6,8.7,météo idéale
2009-01-13,26,15,8,18,26,17,0,61,8,1017,34.875,27,17,23,116,116,116,0,4,8.7,météo favorable
2009-01-14,29,17,7,19,29,20,0,48,9,1017,25.25,29,17,25,113,113,116,0,6,8.7,météo idéale
2009-01-15,29,19,10,19,29,19,0.3,53,9.875,1018,13.875,28,18,26,113,113,113,0,6,8.7,météo idéale
