DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,9,21,10,13,12,0,82,10,1030,28.25,14,9,9,113,113,116,0,1,8.7,météo correcte
2009-01-02,14,12,10,12,14,13,0,83,10,1022,40.5,15,10,12,113,116,119,0,1,7,météo correcte
2009-01-03,13,12,14,12,12,12,1.5,82,9.125,1015,61.25,13,9,10,116,119,200,0,1,7,météo correcte
2009-01-04,12,9,24,11,12,10,1.1,78,9,1013,64,12,10,8,119,113,122,0,1,8.7,météo défavorable
2009-01-05,10,9,23,9,9,9,8.7,89,8.5,1013,76.375,10,8,6,122,119,116,0,1,3.5,météo défavorable
2009-01-06,11,9,17,9,11,9,0.3,74,9.875,1016,20.75,11,7,8,116,113,113,0,1,8.7,météo défavorable
2009-01-07,12,10,23,10,12,11,0,86,10,1016,36,12,9,9,113,116,116,0,1,7,météo défavorable
2009-01-08,14,10,24,10,14,13,0.6,80,9.875,1018,24.75,15,10,10,113,113,200,0,1,8.7,météo correcte
2009-01-09,13,12,23,12,13,13,1.5,91,9.875,1020,50.25,13,12,9,116,122,116,0,1,5.3,météo correcte
2009-01-10,15,11,21,11,15,13,1.5,86,9.75,1020,23.375,15,12,11,116,113,116,0,1,8.7,météo correcte
2009-01-11,13,11,40,11,13,11,3.5,86,9.125,1023,57.25,13,10,7,116,116,122,0,1,7,météo correcte
2009-01-12,13,11,37,13,12,11,4.1,89,8.5,1024,100,13,11,8,122,122,122,0,1,3.5,météo défavorable
2009-01-13,14,12,55,13,14,14,20.9,93,8.5,1019,76.25,14,13,10,122,200,113,0,1,3.7,météo très défavorable
2009-01-14,13,12,31,12,12,12,1.8,87,9.875,1016,70.375,13,10,9,119,119,119,0,1,3.7,météo défavorable
2009-01-15,13,10,14,10,13,11,0.3,86,9,1019,37.375,13,9,9,113,116,122,0,1,8.7,météo correcte
2009-01-16,11,10,20,10,10,10,2.9,89,8.875,1023,60.375,11,9,7,122,119,113,0,1,5.4,météo défavorable
2009-01-17,13,10,13,10,13,10,0,81,10,1026,6.125,15,11,10,113,113,113,0,1,8.7,météo correcte
2009-01-18,13,9,14,9,13,11,0,80,10,1026,12.125,13,9,11,113,113,113,0,1,8.7,météo correcte
2009-01-19,14,10,17,11,14,11,0,79,10,1021,6.25,14,9,11,113,113,113,0,1,8.7,météo correcte
2009-01-20,14,11,27,12,14,14,0,93,10,1014,56.75,14,13,12,113,119,122,0,1,5.4,météo correcte
2009-01-21,15,13,12,13,15,13,4.1,90,8.5,1004,65,15,12,12,122,113,116,0,1,7,météo défavorable
2009-01-22,13,11,22,12,13,12,5.6,93,9.375,1005,61.375,13,11,9,116,200,200,0,1,5.4,météo correcte
2009-01-23,11,9,44,9,11,11,0.5,76,10,1000,52.5,11,8,6,116,119,116,0,1,5.4,météo défavorable
2009-01-24,15,13,27,13,15,14,1.4,84,9.75,997,53.125,15,12,12,113,119,116,0,1,5.4,météo correcte
2009-01-25,12,11,48,11,11,11,2.8,80,9.875,1002,62.125,12,8,7,116,119,119,0,1,3.8,météo défavorable
2009-01-26,15,10,23,10,15,13,1.2,80,9.875,1006,18.5,15,10,11,116,113,113,0,1,8.7,météo correcte
2009-01-27,12,9,24,10,12,10,2.3,73,9.75,1005,36.625,12,9,7,113,113,113,0,1,8.7,météo défavorable
2009-01-28,11,9,24,9,11,10,2.4,83,9.875,1004,61,11,8,7,116,116,200,0,1,7.1,météo défavorable
2009-01-29,11,10,23,10,11,10,1,79,10,1012,35.875,11,7,7,116,116,113,0,1,8.7,météo défavorable
2009-01-30,11,9,19,9,11,10,2.7,87,9,1013,51.875,11,8,7,116,116,119,0,1,5.4,météo défavorable
2009-01-31,11,8,9,8,11,10,0.1,69,10,1013,16.125,12,7,9,113,113,119,0,1,8.7,météo défavorable
2009-02-01,13,10,30,11,12,11,5.8,88,9.25,1011,55.125,13,11,9,200,122,116,0,1,7.1,météo correcte
2009-02-02,14,10,38,12,14,14,0,80,10,1010,36.5,14,10,10,116,116,116,0,1,8.7,météo correcte
2009-02-03,17,13,27,14,17,15,0,79,10,1007,22.75,17,12,13,116,113,113,0,1,8.7,météo correcte
2009-02-04,14,11,29,12,14,12,0.5,83,9.625,1011,32.125,14,9,10,116,113,116,0,1,8.7,météo correcte
2009-02-05,15,10,22,10,15,13,0,84,10,1013,10.375,15,10,11,113,113,113,0,1,8.7,météo correcte
2009-02-06,16,12,19,13,16,12,0.2,84,9.75,1008,21.25,16,12,11,200,113,113,0,1,8.7,météo correcte
2009-02-07,16,11,28,12,16,11,1.1,88,9.75,1004,19.5,16,10,8,113,116,200,0,1,8.7,météo correcte
2009-02-08,11,9,37,9,11,9,5,81,9.375,1003,40,11,6,6,113,200,200,0,1,5.6,météo défavorable
2009-02-09,10,8,34,8,10,10,0.8,81,10,1015,60.75,10,7,6,116,116,119,0,1,8.7,météo défavorable
2009-02-10,15,10,15,10,14,13,0,81,10,1018,29.25,15,10,11,113,113,113,0,1,8.7,météo correcte
2009-02-11,12,9,46,12,12,9,2.4,72,9.875,1011,51.625,12,10,4,116,116,116,0,1,7.1,météo défavorable
2009-02-12,9,7,27,7,9,7,1.1,78,9.875,1006,53.875,9,4,3,113,116,119,0,1,7.2,météo défavorable
2009-02-13,8,5,21,7,7,6,2,80,9.125,1007,57.75,8,4,2,200,200,116,0,1,8.7,météo très défavorable
2009-02-14,7,5,25,5,7,6,0,62,10,1012,27.75,7,1,2,113,113,116,0,1,8.7,météo très défavorable
2009-02-15,8,6,25,6,8,6,0.1,65,10,1020,32.875,8,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-16,9,5,16,5,9,6,0,64,10,1023,12.375,9,0,4,113,113,113,0,1,8.7,météo très défavorable
2009-02-17,9,6,14,6,9,8,0.5,70,9.875,1022,47.625,9,4,6,116,116,119,0,1,8.7,météo défavorable
