DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-10,12,-10,-4,-5,0,83,10,1031,3.25,0,0,-15,113,113,113,,,,météo très défavorable
2009-01-02,-4,-12,6,-11,-8,-8,0.1,94,9,1023,38.25,0,0,-16,113,116,119,,,,météo très défavorable
2009-01-03,-6,-11,10,-10,-8,-9,0.6,93,7,1027,61.625,0,0,-16,119,116,113,,,,météo très défavorable
2009-01-04,-6,-15,13,-15,-10,-10,0,77,9,1027,10,0,0,-21,113,113,113,,,,météo très défavorable
2009-01-05,-5,-15,7,-15,-9,-9,0.1,94,9,1022,43.75,0,0,-19,113,116,119,,,,météo très défavorable
2009-01-06,-5,-8,10,-9,-7,-8,3.6,95,7,1025,70.125,0,0,-13,326,116,143,,,,météo très défavorable
2009-01-07,-2,-12,9,-12,-7,-8,0.1,98,4,1025,33.375,0,0,-17,260,113,113,,,,météo très défavorable
2009-01-08,-6,-10,14,-10,-7,-8,0.8,97,5.75,1034,60.625,0,0,-15,143,119,119,,,,météo très défavorable
2009-01-09,-5,-14,14,-13,-10,-9,0,94,5.25,1037,35.375,0,0,-19,260,113,113,,,,météo très défavorable
2009-01-10,-3,-12,14,-12,-7,-8,0,96,7.75,1033,14.125,0,0,-18,113,113,143,,,,météo très défavorable
2009-01-11,1,-12,5,-12,-5,-7,0,95,5.5,1038,7,1,0,-15,143,113,113,,,,météo très défavorable
2009-01-12,1,-10,8,-10,-3,-5,0,79,10,1038,0.5,1,0,-14,113,113,113,,,,météo très défavorable
2009-01-13,2,-9,6,-8,0,-5,0,74,10,1034,24,2,0,-12,113,116,113,,,,météo très défavorable
2009-01-14,2,-5,4,-6,2,-1,0.5,75,9.25,1025,36.625,2,0,-6,116,116,263,,,,météo très défavorable
2009-01-15,6,-1,6,0,3,1,1.4,98,5.25,1019,63.625,6,4,-3,263,116,248,,,,météo très défavorable
2009-01-16,1,-2,13,-3,0,0,3.6,97,3.75,1020,89.5,1,0,-6,260,326,326,,,,météo très défavorable
2009-01-17,-3,-6,14,-8,-4,-4,3.8,89,8.75,1025,75.375,0,0,-11,326,119,116,,,,météo très défavorable
2009-01-18,-3,-10,13,-9,-7,-5,0.2,96,5,1025,41.625,0,0,-15,143,116,143,,,,météo très défavorable
2009-01-19,1,-4,16,-5,-1,-1,1.2,97,7,1015,59,1,0,-8,143,326,143,,,,météo très défavorable
2009-01-20,5,-6,8,-7,2,1,0,93,7,1015,28.125,5,0,-9,116,113,116,,,,météo très défavorable
2009-01-21,5,-2,12,-2,2,3,0.2,98,3.75,1016,36.875,5,3,-6,143,113,248,,,,météo très défavorable
2009-01-22,7,3,16,3,5,5,0.7,99,5.5,1014,91.125,7,6,-1,122,122,248,,,,météo très défavorable
2009-01-23,6,2,19,1,4,6,1.9,99,3.125,1009,82.5,6,5,0,248,266,116,,,,météo très défavorable
2009-01-24,7,2,10,2,4,4,3.8,98,5.125,993,79.125,7,5,-1,317,263,143,,,,météo très défavorable
2009-01-25,6,-1,11,0,4,4,3,98,4.375,999,82.375,6,5,-1,260,119,266,,,,météo très défavorable
2009-01-26,2,1,11,0,2,2,7.1,97,7.5,1006,98.875,2,2,-3,326,326,326,,,,météo très défavorable
2009-01-27,8,-2,12,-1,4,3,0.3,97,5.25,1011,53.375,8,5,-2,260,113,143,,,,météo très défavorable
2009-01-28,3,2,18,1,3,3,8.8,97,5.625,1011,94,3,2,-2,332,317,332,,,,météo très défavorable
2009-01-29,2,0,15,-1,1,1,7.4,95,7.5,1013,91.375,2,1,-4,332,326,326,,,,météo très défavorable
2009-01-30,0,-2,14,-4,-1,-1,11.6,93,6.5,1018,98,0,0,-7,332,326,326,,,,météo très défavorable
2009-01-31,-1,-2,9,-4,-1,-1,2.2,83,10,1018,93.25,0,0,-6,326,122,122,,,,météo très défavorable
2009-02-01,1,-6,9,-4,-2,-2,0.5,93,10,1023,64.25,1,0,-9,116,116,119,,,,météo très défavorable
