DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,6,11,6,14,9,0,72,10,1025,15.625,15,6,7,113,113,113,0,1,8.7,météo correcte
2009-01-02,12,8,12,8,10,8,0.4,79,9.25,1022,64.875,12,7,7,119,119,122,0,1,5.4,météo défavorable
2009-01-03,10,5,10,8,10,5,0.2,95,6.5,1017,84.875,11,7,7,143,116,248,0,1,5.4,météo très défavorable
2009-01-04,11,7,6,7,11,8,4.8,90,6.25,1015,85.25,11,8,10,248,200,143,0,1,5.4,météo défavorable
2009-01-05,7,3,9,6,7,5,3.1,94,7.125,1016,80.75,7,7,4,248,122,116,0,1,3.7,météo très défavorable
2009-01-06,10,1,12,2,10,6,0,80,7,1016,21.25,11,3,4,143,113,116,0,1,8.7,météo très défavorable
2009-01-07,11,4,8,4,11,6,0.3,87,7.875,1013,51.25,12,6,4,116,200,143,0,1,7,météo très défavorable
2009-01-08,10,3,5,5,10,3,2.4,97,3.875,1017,78.625,11,8,5,248,116,248,0,1,7,météo très défavorable
2009-01-09,12,3,6,4,12,5,0.2,87,3.75,1019,66.625,13,5,6,248,113,248,0,1,8.7,météo très défavorable
2009-01-10,11,1,7,1,11,4,0,79,3.75,1023,67.5,11,4,7,248,113,248,0,1,8.7,météo très défavorable
2009-01-11,9,3,8,3,9,6,0.2,82,5,1024,79.875,9,6,7,248,116,248,0,1,7,météo très défavorable
2009-01-12,9,7,12,7,8,8,10.6,98,3.625,1021,100,9,8,6,248,143,248,0,1,3.7,météo défavorable
2009-01-13,9,6,17,8,9,8,22.5,100,7.375,1014,98.625,9,9,6,248,122,122,0,1,3.7,météo très défavorable
2009-01-14,7,5,6,5,7,5,1,92,8.75,1018,76.625,8,6,5,116,122,248,0,1,3.7,météo très défavorable
2009-01-15,11,2,4,3,10,2,0.2,89,5.25,1020,54.875,11,6,7,248,113,248,0,1,8.7,météo très défavorable
2009-01-16,13,2,6,2,13,5,0,73,9,1022,27.5,13,5,5,116,116,143,0,1,8.7,météo correcte
2009-01-17,14,4,8,4,14,6,0,72,10,1023,17,15,7,7,113,113,113,0,1,8.7,météo correcte
2009-01-18,14,3,9,4,14,3,0,67,7.5,1023,33.875,15,6,9,113,113,248,0,1,8.7,météo correcte
2009-01-19,14,3,9,4,14,8,0,75,6.75,1024,15.125,16,6,7,143,113,113,0,1,8.7,météo correcte
2009-01-20,12,5,11,5,12,7,1.7,82,8.25,1012,31.25,12,7,6,113,116,143,0,1,8.7,météo très défavorable
2009-01-21,7,4,13,6,5,5,11.9,99,4,1009,100,7,6,2,248,248,248,0,1,3.8,météo très défavorable
2009-01-22,6,4,14,4,5,5,0.2,93,6.75,1015,96.125,6,4,1,143,122,122,0,1,3.8,météo très défavorable
2009-01-23,12,5,13,7,12,12,0.9,96,7,1011,88.125,12,11,7,122,122,122,0,1,3.8,météo très défavorable
2009-01-24,13,7,21,11,13,9,0.4,83,10,1006,34,13,11,7,113,119,116,0,1,7.1,météo correcte
2009-01-25,13,5,10,5,13,8,0,69,10,1009,16.875,13,4,7,113,116,113,0,1,8.7,météo correcte
2009-01-26,9,3,15,7,7,4,0.9,73,9.875,1010,61.5,9,6,3,116,119,119,0,1,3.8,météo très défavorable
2009-01-27,6,3,17,4,6,4,5.9,96,8.125,1013,83.125,6,4,1,200,119,248,0,1,3.8,météo très défavorable
2009-01-28,8,4,12,5,8,7,0.1,91,8,1015,83,8,6,4,143,122,119,0,1,3.8,météo très défavorable
2009-01-29,10,8,13,8,9,9,6.8,98,4.125,1017,96.875,10,9,6,143,143,248,0,1,3.8,météo défavorable
2009-01-30,13,7,6,9,13,7,2.1,98,4.875,1017,82.75,13,11,10,248,116,248,0,1,7.1,météo défavorable
2009-01-31,16,7,14,7,16,8,4.9,78,7.5,1013,35.125,16,8,9,113,113,143,0,1,10,météo correcte
2009-02-01,11,4,10,4,11,7,0.7,84,8.375,1008,43.25,12,6,4,116,113,116,0,1,10.6,météo très défavorable
2009-02-02,13,6,10,6,12,9,0.6,83,9.375,1002,35.875,13,7,4,116,116,113,0,1,10.7,météo correcte
2009-02-03,11,7,13,7,11,8,0.3,83,8.875,1007,47.75,11,7,8,143,119,116,0,1,10,météo défavorable
2009-02-04,15,5,11,5,15,10,0,74,10,1009,26.5,15,7,7,113,113,116,0,1,10.7,météo correcte
2009-02-05,17,7,14,7,16,11,2,65,10,1009,16.875,17,7,8,113,113,113,0,1,10.7,météo correcte
2009-02-06,16,7,22,7,16,9,4.1,55,9.625,1006,33.375,16,7,9,113,116,119,0,1,10,météo correcte
2009-02-07,8,3,17,5,8,4,1.1,71,8.875,1004,55.5,8,7,3,116,116,119,0,1,10,météo très défavorable
2009-02-08,5,2,20,2,5,3,4.3,93,9.125,1015,74.5,5,3,-2,200,116,122,0.1,1,8.5,météo très défavorable
2009-02-09,13,4,11,6,11,6,0,89,9,1021,56.125,13,7,6,119,116,143,0,1,10.1,météo correcte
2009-02-10,16,6,11,6,16,10,0,70,9,1021,34.25,16,8,10,116,116,113,0,1,10.1,météo correcte
2009-02-11,10,6,20,7,10,6,1.7,73,9,1021,39.25,10,9,6,113,116,113,0,1,10.8,météo défavorable
2009-02-12,9,4,12,6,9,5,1.2,77,6.625,1017,77.375,9,5,4,143,116,143,0,1,8.5,météo très défavorable
2009-02-13,4,3,13,4,3,3,2.4,99,4.25,1020,99.5,4,4,-0,122,248,248,0,1,5.4,météo très défavorable
2009-02-14,10,2,13,2,10,4,0.2,80,6.75,1019,43.25,10,4,4,113,113,143,0,1,10.9,météo très défavorable
2009-02-15,7,-0,10,4,7,2,0.2,77,7,1023,59.125,8,5,5,122,116,116,0,1,10.1,météo très défavorable
2009-02-16,10,-2,8,-2,10,5,0,65,6.5,1024,29.5,11,3,7,260,113,119,0,1,10.1,météo très défavorable
2009-02-17,9,-0,11,-0,9,4,0.2,75,5.25,1023,48.625,9,3,5,260,113,122,0,1,8.5,météo très défavorable
2009-02-18,11,2,17,2,11,7,0.1,66,10,1021,49.25,11,5,4,116,116,119,0,1,10.1,météo très défavorable
2009-02-19,13,1,10,5,13,4,0,65,5.75,1022,46,13,5,11,143,113,113,0,1,11,météo très défavorable
2009-02-20,11,-0,8,3,11,4,0,86,4,1026,57.75,11,4,6,248,113,143,0,1,10.1,météo très défavorable
2009-02-21,9,1,10,1,9,5,0,78,6.25,1027,77,9,4,5,248,119,119,0,1,7,météo très défavorable
2009-02-22,6,3,12,4,6,5,0.4,96,3,1026,96.5,6,5,3,143,143,143,0,1,5.5,météo très défavorable
2009-02-23,12,4,15,4,12,7,0.2,68,8,1024,70.375,12,6,6,116,116,143,0,1,10.1,météo très défavorable
2009-02-24,6,6,12,6,6,6,1.8,97,2.875,1018,99.75,7,6,4,143,143,143,0,1,5.6,météo très défavorable
2009-02-25,10,1,13,4,10,4,0.5,84,6.375,1028,48,10,5,5,248,116,113,0,1,11.2,météo très défavorable
2009-02-26,12,-2,6,0,12,2,0,54,5.5,1029,14.75,14,3,11,248,113,143,0,1,11.2,météo très défavorable
2009-02-27,17,3,6,3,17,5,0,48,10,1025,0,19,5,12,113,113,113,0,1,11.2,météo correcte
2009-02-28,18,4,10,4,18,8,0.6,41,9.875,1021,17.875,18,5,10,113,116,116,0,1,11.2,météo favorable
2009-03-01,17,6,10,6,17,9,0.2,63,8.75,1018,28.625,17,8,12,113,113,113,0,1,11.2,météo correcte
2009-03-02,18,6,8,6,18,9,0,59,8,1019,29.5,19,7,15,143,116,116,0,1,11.3,météo favorable
2009-03-03,20,7,8,7,20,13,0,52,10,1018,15.5,21,6,14,113,113,113,0,1,11.3,météo favorable
2009-03-04,15,7,14,7,15,8,1,60,9.875,1009,32.75,15,6,12,113,200,116,0,1,11.3,météo correcte
2009-03-05,11,4,23,5,11,6,10.3,92,9.25,999,68.625,11,6,4,116,116,200,0,1,8.6,météo très défavorable
2009-03-06,4,2,22,2,3,3,7.6,99,9.375,1006,92,4,4,-1,200,122,122,0,1,5.9,météo très défavorable
2009-03-07,9,3,19,3,9,5,0.5,83,9,1016,58.25,9,3,2,122,116,116,0,1,11.6,météo très défavorable
2009-03-08,13,1,13,4,13,1,0,69,7.75,1019,30,13,6,8,116,113,248,0,1,10.2,météo très défavorable
2009-03-09,17,4,11,4,17,8,0,54,7.5,1021,28.875,18,7,15,113,113,113,0,1,11.6,météo correcte
2009-03-10,16,5,10,5,16,9,0,61,5,1024,52.375,17,8,13,248,113,113,0,1,11.6,météo correcte
2009-03-11,15,0,12,5,15,5,0,67,6.25,1022,41.5,15,7,13,248,113,113,0,1,11.6,météo très défavorable
2009-03-12,14,-0,11,-0,14,6,0,64,5,1026,48.25,15,6,12,260,113,248,0,1,10.2,météo très défavorable
2009-03-13,18,4,8,5,18,4,0,53,5.75,1026,18.375,19,6,15,143,113,143,0,1,11.6,météo favorable
2009-03-14,21,7,8,8,21,9,0,46,9,1023,0.25,24,9,19,113,113,113,0,1,11.6,météo favorable
2009-03-15,19,4,12,8,19,8,0,54,8,1021,1.25,20,9,18,113,113,113,0,1,11.6,météo favorable
2009-03-16,14,5,14,6,14,8,0.8,68,9,1022,39,14,7,10,113,116,143,0,1,10.2,météo correcte
2009-03-17,13,6,11,6,13,9,1.1,94,6.5,1024,86.625,13,8,9,248,116,122,0,1,7.4,météo défavorable
2009-03-18,14,3,13,4,14,8,0,72,5,1025,62.875,14,8,11,248,113,116,0,1,11.6,météo correcte
2009-03-19,18,4,9,5,18,8,0,54,5.5,1023,39.625,19,7,15,143,113,113,0,1,11.6,météo favorable
2009-03-20,17,6,16,6,17,9,0,55,10,1017,7.5,17,6,12,113,113,113,0,1,11.6,météo correcte
2009-03-21,9,-2,12,6,8,5,0.5,83,6.75,1022,55.25,9,6,5,119,116,113,0,1,10.2,météo très défavorable
2009-03-22,10,-4,13,3,10,3,0,77,9,1026,31.5,10,2,5,122,116,113,0,1,10.2,météo très défavorable
2009-03-23,13,-1,15,-1,13,6,0,44,6.75,1026,2.375,13,3,12,113,113,113,0,1,11.6,météo très défavorable
2009-03-24,20,3,10,3,20,9,0,29,10,1021,5.875,20,3,15,113,113,113,0,1,11.6,météo favorable
2009-03-25,14,3,13,4,14,5,0,59,6.5,1018,29.875,14,4,10,143,113,113,0,1,11.6,météo correcte
2009-03-26,19,5,11,5,19,8,0,39,10,1017,0,19,7,18,113,113,113,0,1,11.6,météo favorable
2009-03-27,26,8,8,11,26,14,0,33,10,1017,8.25,26,10,22,113,113,113,0,1,11.6,météo favorable
2009-03-28,26,13,23,13,26,20,0.3,41,10,1009,21.75,25,11,22,116,116,116,0,1,11.6,météo favorable
2009-03-29,22,11,19,15,22,13,2,42,9.625,1009,29.75,23,11,18,113,113,200,0,1,10.2,météo favorable
2009-03-30,17,9,8,9,17,10,1.8,89,6.25,1010,71.375,17,11,12,143,200,122,0,1,10.2,météo défavorable
2009-03-31,12,6,9,6,12,8,1.4,68,8,1013,54.125,12,7,10,116,116,119,0,1,10.2,météo défavorable
2009-04-01,14,4,10,5,14,4,0.9,69,4.125,1014,63.5,14,6,9,143,200,248,0,1,10.2,météo correcte
2009-04-02,14,5,12,5,14,9,1.5,60,7,1017,36.75,14,8,11,113,116,143,0,1,11.6,météo correcte
2009-04-03,16,5,8,7,16,9,5.2,89,6,1018,59.625,16,9,10,143,116,248,0,1,10.3,météo correcte
2009-04-04,11,7,9,7,11,8,0.4,94,4,1023,95.875,11,8,8,248,119,248,0,1,6.4,météo défavorable
2009-04-05,16,4,10,7,16,8,0,80,5,1024,62.625,16,8,11,248,116,113,0,1,11.6,météo correcte
2009-04-06,20,6,5,7,20,14,0,48,7.75,1022,32.625,20,7,17,113,116,113,0,1,11.6,météo favorable
2009-04-07,24,11,12,12,24,12,11.5,92,7.875,1015,48.125,24,12,12,113,113,248,0,1,10.3,météo correcte
2009-04-08,12,8,8,10,12,9,5.6,96,4.125,1016,91.25,13,11,10,248,200,248,0,1,6.5,météo défavorable
2009-04-09,13,3,9,6,13,8,0.3,72,4.375,1016,59.5,13,7,12,143,116,143,0,1,10.3,météo correcte
2009-04-10,21,5,5,6,21,11,0.1,51,7.5,1014,41.25,24,9,16,116,113,116,0,1,11.6,météo favorable
2009-04-11,10,6,5,9,9,7,16.5,100,5,1008,90.5,10,9,8,248,248,248,0,1,6.5,météo très défavorable
2009-04-12,12,5,20,5,12,7,1.4,73,8.5,1009,65,12,6,7,116,116,119,0,1,9.1,météo très défavorable
2009-04-13,9,7,13,7,8,9,4,96,6.75,1014,100,9,8,5,122,143,122,0,1,6.5,météo défavorable
2009-04-14,19,6,5,6,19,10,0,53,7.75,1014,23.625,20,9,16,113,113,113,0,1,11.6,météo favorable
2009-04-15,24,9,9,10,24,11,0,60,10,1013,3.375,25,10,18,113,113,113,0,1,11.6,météo favorable
2009-04-16,20,8,14,9,20,11,0,63,7.75,1016,28.625,20,9,16,116,113,113,0,1,13.1,météo favorable
2009-04-17,15,6,10,9,15,10,0.4,77,9.875,1017,54.625,15,9,12,116,119,116,0,1,12.1,météo correcte
2009-04-18,10,6,6,9,10,7,1.8,97,4.75,1017,56,11,10,10,116,143,143,0,1,13.3,météo défavorable
2009-04-19,12,4,5,5,12,8,6.8,89,6,1017,69.625,13,8,9,113,119,248,0,1,10.9,météo très défavorable
2009-04-20,11,7,12,8,11,8,5.3,96,6.25,1021,92.25,11,9,7,119,119,248,0,1,8.5,météo défavorable
2009-04-21,10,5,13,6,9,9,1.8,97,6.25,1021,82.375,10,9,8,116,248,248,0,1,9.7,météo très défavorable
2009-04-22,10,8,14,8,10,10,13.8,99,6.25,1018,100,10,10,6,248,248,122,0,1,8.5,météo défavorable
2009-04-23,17,9,13,10,17,10,0.4,71,7.5,1020,44.5,17,10,14,248,116,113,0,1,13.3,météo correcte
2009-04-24,24,8,8,9,24,17,0,45,10,1020,1.75,25,10,19,113,113,113,0,1,13.7,météo favorable
2009-04-25,26,14,17,15,26,20,0,38,10,1014,13.25,25,9,22,113,116,113,0,1,13.7,météo favorable
2009-04-26,21,10,12,14,21,12,1.9,62,9.875,1012,49,24,11,17,116,116,116,0,1,13.7,météo favorable
2009-04-27,14,6,18,9,14,10,0.6,64,8.375,1015,39.75,14,9,11,116,116,113,0,1,13.7,météo correcte
2009-04-28,19,6,12,7,19,12,0,40,10,1016,6.25,19,9,17,113,113,113,0,1,13.8,météo favorable
2009-04-29,19,7,12,10,19,12,0,53,6.5,1019,33.875,19,10,17,113,113,113,0,1,13.8,météo favorable
2009-04-30,19,5,10,9,19,13,0,46,6.25,1020,42.125,19,9,18,116,113,113,0,1,13.8,météo favorable
2009-05-01,14,8,5,11,11,10,3.7,96,6.25,1017,62.75,15,11,12,116,143,248,0,1,11,météo correcte
2009-05-02,15,7,10,9,15,12,4.1,95,4.625,1023,73.25,15,10,9,248,116,113,0,1,12.2,météo défavorable
2009-05-03,18,7,11,8,18,11,0.2,60,5.125,1024,51,18,11,17,116,113,143,0,1,13.9,météo favorable
2009-05-04,19,6,12,11,19,13,0,48,9,1023,3.5,19,9,18,113,113,113,0,1,13.9,météo favorable
2009-05-05,13,6,12,12,12,11,0.6,88,6.5,1022,51.25,13,10,12,113,116,116,0,1,13.3,météo correcte
2009-05-06,17,5,9,8,17,12,0,79,7.75,1023,54.25,17,10,11,122,113,113,0,1,12.2,météo correcte
2009-05-07,22,9,10,10,22,14,0,43,6.5,1023,25.875,24,14,21,113,113,113,0,1,13.9,météo favorable
2009-05-08,26,11,8,14,26,17,0,41,10,1021,5,26,15,23,113,113,113,0,1,13.9,météo favorable
2009-05-09,30,15,7,16,30,18,0,35,10,1019,10.375,29,14,25,113,113,113,0,1,14,météo idéale
2009-05-10,28,15,7,16,28,19,0,36,10,1018,7.5,27,15,25,113,113,113,0,1,14,météo idéale
2009-05-11,32,15,9,17,32,21,0,23,10,1017,0.75,32,14,28,113,113,113,0,1,14,météo idéale
2009-05-12,30,17,7,17,30,22,0,30,10,1016,5.375,29,14,29,113,113,113,0,1,14,météo idéale
2009-05-13,27,14,12,17,27,19,0,36,9,1014,21.75,27,14,26,113,113,113,0,1,14,météo favorable
2009-05-14,14,12,9,14,14,13,0.9,96,3.25,1011,82.125,14,13,13,143,119,248,0,1,8.8,météo défavorable
2009-05-15,13,11,19,13,12,11,3.6,96,5.375,1014,100,13,13,9,143,122,143,0,1,8.8,météo défavorable
2009-05-16,17,6,13,10,17,13,0.1,64,8.75,1019,42.125,18,10,14,119,113,113,0,1,13.4,météo correcte
2009-05-17,26,7,10,11,26,19,0,36,8.75,1018,23.25,25,13,24,113,113,116,0,1,14.1,météo favorable
2009-05-18,29,14,9,16,29,20,0,33,10,1018,18.625,27,15,26,113,113,113,0,1,14.1,météo favorable
2009-05-19,31,16,7,19,26,21,0,35,10,1020,21.125,30,14,26,113,116,116,0,1,14.1,météo favorable
2009-05-20,31,20,6,23,31,23,0.1,47,10,1020,36.625,30,14,26,116,116,116,0,1,13.4,météo favorable
2009-05-21,34,19,10,22,34,23,0,20,10,1019,4.125,33,14,33,113,113,113,0,1,14.2,météo idéale
2009-05-22,34,20,7,22,34,23,0,19,10,1017,12.75,33,13,33,113,113,116,0,1,14.2,météo idéale
2009-05-23,34,21,8,22,34,27,0,21,10,1016,19.375,32,9,31,113,122,113,0,1,13.4,météo correcte
2009-05-24,32,19,6,20,32,24,0,25,10,1018,6.125,31,11,31,113,113,113,0,1,14.2,météo idéale
2009-05-25,33,16,7,21,33,24,0.1,33,10,1017,9.375,31,14,28,113,113,113,0,1,14.2,météo idéale
