DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,10,4,15,7,10,5,0,75,10,1026,26.75,10,6,5,113,116,113,0,2,8.7,météo très défavorable
2009-01-02,12,1,11,6,12,5,0,50,9,1026,5.375,12,2,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-03,14,2,5,5,14,5,0,32,10,1025,1.25,14,0,7,113,113,113,0,3,8.7,météo correcte
2009-01-04,14,1,9,6,14,5,0,46,10,1022,0,14,0,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-05,16,3,6,7,16,7,0,29,10,1021,0,17,0,9,113,113,113,0,3,8.7,météo correcte
2009-01-06,18,5,3,8,18,8,0,23,10,1018,0,19,0,11,113,113,113,0,3,8.7,météo favorable
2009-01-07,19,6,12,9,19,9,0,26,10,1021,0,19,1,11,113,113,113,0,4,8.7,météo favorable
2009-01-08,16,5,11,9,16,9,0,65,10,1023,14.875,16,7,11,113,113,116,0,3,8.7,météo correcte
2009-01-09,16,6,15,8,16,8,0,61,10,1024,21.875,16,6,10,116,113,116,0,3,8.7,météo correcte
2009-01-10,17,7,11,9,17,9,0,43,10,1024,17.25,17,5,11,113,113,113,0,3,8.7,météo correcte
2009-01-11,18,5,10,10,18,10,0,36,10,1023,17.25,18,5,13,113,116,113,0,4,8.7,météo favorable
2009-01-12,16,6,14,9,16,8,0,48,10,1026,4,16,7,10,113,113,113,0,3,8.7,météo correcte
2009-01-13,16,4,11,6,16,8,0,33,10,1029,0.625,16,0,9,113,113,113,0,3,8.7,météo correcte
2009-01-14,18,5,19,7,18,10,0,12,10,1029,20.875,18,0,12,116,113,113,0,4,8.7,météo favorable
2009-01-15,21,7,14,9,21,12,0,10,10,1027,6,21,0,14,113,113,113,0,4,8.7,météo favorable
2009-01-16,21,9,13,12,21,14,0,9,10,1023,34.375,22,0,18,119,113,113,0,4,7.1,météo favorable
2009-01-17,19,8,14,13,19,11,0,51,10,1020,19.375,19,7,13,113,113,116,0,4,8.7,météo favorable
2009-01-18,14,8,15,10,14,10,0,78,8,1023,69.125,14,9,11,122,122,113,0,3,4,météo défavorable
2009-01-19,15,5,13,9,15,9,0,62,7.5,1022,47,15,7,11,116,116,113,0,2,8.7,météo correcte
2009-01-20,16,4,10,9,16,9,0,55,10,1020,6.125,16,6,11,113,113,113,0,3,8.7,météo correcte
2009-01-21,21,7,13,10,21,12,0,29,10,1019,10.125,22,2,15,113,113,113,0,4,8.7,météo favorable
2009-01-22,23,9,6,13,23,15,0,21,10,1019,3.25,23,0,17,113,113,113,0,5,8.7,météo favorable
2009-01-23,19,12,18,14,19,16,0,21,10,1018,41.125,19,0,15,116,116,116,0,4,8.7,météo favorable
2009-01-24,18,7,17,12,18,9,0,33,10,1014,11,18,0,13,113,113,113,0,4,8.7,météo favorable
2009-01-25,20,5,7,10,20,11,0,27,10,1016,7.5,20,1,14,116,113,113,0,4,8.7,météo favorable
2009-01-26,22,8,11,12,22,13,0,32,10,1019,3.25,22,3,16,113,113,113,0,4,8.7,météo favorable
2009-01-27,20,7,7,11,20,12,0,43,10,1021,12.875,20,7,15,116,113,113,0,4,8.7,météo favorable
2009-01-28,25,10,14,13,25,16,0,19,10,1018,24.125,24,1,19,116,113,113,0,5,8.7,météo favorable
2009-01-29,20,8,20,13,20,11,0,33,10,1015,0.25,20,4,16,113,113,113,0,4,8.7,météo favorable
2009-01-30,16,4,8,9,16,8,0,22,10,1016,0.375,17,0,11,113,113,113,0,3,8.7,météo correcte
2009-01-31,17,5,15,9,17,10,0,22,10,1018,3.875,17,0,13,113,113,113,0,4,8.7,météo correcte
2009-02-01,16,5,9,9,16,8,0,42,10,1022,5.625,16,2,13,113,113,113,0,3,8.7,météo correcte
2009-02-02,18,5,13,10,18,10,0,28,10,1024,1.5,18,3,13,113,113,113,0,4,8.7,météo favorable
2009-02-03,21,6,12,10,21,13,0,32,10,1024,0.75,21,5,17,113,113,113,0,4,8.7,météo favorable
2009-02-04,25,9,17,13,25,15,0,17,10,1022,7.625,24,0,18,113,113,113,0,5,8.7,météo favorable
2009-02-05,26,11,6,14,26,14,0,12,10,1017,0,25,0,19,113,113,113,0,5,8.7,météo favorable
2009-02-06,21,8,11,13,21,12,0,29,10,1016,0,22,4,16,113,113,113,0,4,8.7,météo favorable
2009-02-07,21,7,11,11,21,12,0,42,10,1017,10,21,7,17,113,116,113,0,4,8.7,météo favorable
2009-02-08,25,10,9,14,25,18,0,18,10,1017,23.125,24,4,20,113,113,119,0,5,8.7,météo favorable
2009-02-09,30,14,32,18,30,20,0,15,10,1014,28,28,5,25,113,116,116,0,6,8.7,météo favorable
2009-02-10,16,8,36,12,16,10,0,39,10,1018,35.25,16,10,12,119,113,116,0,4,8.7,météo correcte
2009-02-11,16,8,15,9,16,9,0.1,50,10,1019,23.25,16,5,12,116,113,113,0,4,8.7,météo correcte
2009-02-12,21,6,7,11,21,13,0,24,10,1019,2.375,22,1,16,113,113,113,0,4,8.7,météo favorable
2009-02-13,23,9,12,13,23,12,0,12,10,1014,0.375,23,0,19,113,113,113,0,4,8.7,météo favorable
2009-02-14,23,7,13,14,23,12,0,11,10,1013,1.75,23,0,17,113,113,113,0,4,8.7,météo favorable
2009-02-15,19,8,13,12,19,11,0,25,10,1017,6.5,19,0,16,113,113,113,0,4,8.7,météo favorable
2009-02-16,17,4,18,11,17,9,0,24,10,1019,4.25,17,0,14,113,113,113,0,4,8.7,météo correcte
2009-02-17,14,3,12,8,14,8,0,45,10,1021,3.5,15,5,11,113,113,113,0,3,8.7,météo correcte
