DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,21,8,12,15,20,13,13,63,8.375,1016,30.5,21,12,19,113,200,113,0,4,14,météo défavorable
2009-01-02,20,11,9,16,20,12,8.3,80,8,1016,27.75,20,13,16,113,113,143,0,3,14,météo correcte
2009-01-03,21,11,20,16,21,13,1.3,71,10,1016,11.625,21,12,17,113,113,113,0,5,14,météo favorable
2009-01-04,21,9,16,16,21,9,0.3,48,9,1018,13,21,10,19,113,113,113,0,4,14,météo favorable
2009-01-05,22,9,13,14,22,13,1,57,7.75,1017,30.5,24,11,20,113,113,113,0,3,14,météo favorable
2009-01-06,22,12,17,17,21,15,0.1,50,8.75,1014,18.125,24,12,21,113,113,200,0,4,14,météo favorable
2009-01-07,25,13,12,19,25,13,0.7,40,10,1016,15,24,13,23,113,113,113,0,5,14,météo favorable
2009-01-08,22,14,11,19,19,15,5.1,74,7.875,1016,33.5,25,15,19,113,200,113,0,4,14,météo correcte
2009-01-09,22,14,12,14,22,16,9.5,82,8.5,1016,56.25,25,15,19,119,200,116,0,4,13.3,météo correcte
2009-01-10,18,12,7,17,17,13,7.9,96,7.25,1017,63.5,18,15,15,113,200,248,0,4,12.2,météo correcte
2009-01-11,17,11,7,13,17,14,7.6,95,5.5,1016,78,17,14,16,119,116,248,0,3,11,météo défavorable
2009-01-12,19,13,5,14,18,13,7.7,92,5.25,1015,58.625,19,14,15,143,116,248,0,3,13.3,météo correcte
2009-01-13,18,11,4,16,18,13,1.1,80,5,1015,54.625,18,13,17,116,113,143,0,3,13.9,météo favorable
2009-01-14,20,11,15,17,20,14,0.6,77,7,1018,34,21,13,17,113,113,143,0,4,13.3,météo favorable
2009-01-15,19,11,9,14,16,13,1,90,5.375,1019,50.875,19,13,15,116,116,143,0,3,13.9,météo favorable
2009-01-16,22,11,9,17,21,14,1.7,69,9.875,1015,18,24,14,20,113,113,113,0,5,13.9,météo favorable
2009-01-17,24,12,17,18,24,13,0.4,53,6.5,1016,41.125,25,14,22,113,113,113,0,4,13.9,météo favorable
2009-01-18,21,12,12,14,21,13,2.6,69,5.5,1017,50.5,24,13,19,119,113,143,0,4,13.3,météo favorable
2009-01-19,21,11,11,16,21,11,0.9,75,4.875,1019,58.625,21,13,16,116,113,248,0,3,13.3,météo correcte
2009-01-20,19,10,8,12,19,11,0.7,69,5.5,1019,55.25,19,12,17,119,113,143,0,3,13.3,météo correcte
2009-01-21,21,10,9,15,20,14,20.1,87,7.625,1015,46.625,21,14,16,116,113,200,0,3,13.8,météo très défavorable
2009-01-22,15,11,17,14,13,11,2.2,92,8.75,1015,41.5,15,12,11,113,122,143,0,3,13.3,météo correcte
2009-01-23,20,8,13,14,20,10,0,57,10,1014,8.625,20,9,18,113,113,113,0,4,13.8,météo favorable
2009-01-24,20,7,12,14,20,10,0.1,57,10,1016,14.75,20,10,19,113,113,113,0,4,13.8,météo favorable
2009-01-25,21,9,9,16,20,13,0,74,10,1017,10.875,24,12,17,113,113,113,0,4,13.8,météo favorable
2009-01-26,17,12,8,14,15,13,1.8,92,8.75,1018,43,17,13,14,116,116,143,0,4,13.3,météo correcte
2009-01-27,20,11,11,13,20,14,20.1,85,7.5,1019,55.75,20,14,17,119,113,248,0,4,12.1,météo très défavorable
2009-01-28,11,8,13,9,10,9,21.5,99,4.5,1021,100,11,11,7,248,248,248,0,2,8.6,météo très défavorable
2009-01-29,14,9,6,9,11,10,13.2,99,2.625,1019,95.125,14,13,10,248,248,248,0,3,8.6,météo défavorable
2009-01-30,20,7,10,14,20,12,0,80,6.5,1017,32.5,20,13,16,113,113,248,0,3,13.3,météo favorable
2009-01-31,20,9,5,16,18,13,1.1,82,7.625,1016,35.25,20,14,17,113,113,143,0,3,13.7,météo favorable
2009-02-01,20,11,10,15,19,13,2.3,77,7.25,1017,39.25,20,14,18,116,113,113,0,4,13.7,météo favorable
2009-02-02,19,11,18,16,18,14,1.4,82,9.75,1015,36.75,19,14,17,113,200,116,0,4,13.7,météo correcte
2009-02-03,21,11,18,16,21,12,1.2,65,8,1017,30.625,21,13,19,113,113,143,0,5,13.6,météo favorable
2009-02-04,15,10,10,11,15,11,2.3,96,5.75,1024,82.75,15,12,10,143,116,122,0,3,10.8,météo défavorable
2009-02-05,17,10,6,11,16,12,6.1,95,5.625,1026,82.5,17,14,14,119,200,248,0,3,9.5,météo défavorable
2009-02-06,19,11,10,14,19,12,2.2,87,5,1026,67.75,19,13,15,116,113,248,0,3,12,météo défavorable
2009-02-07,20,7,9,13,20,12,1.4,80,5.375,1022,36.5,20,13,16,113,113,248,0,3,13.2,météo favorable
2009-02-08,20,8,4,15,17,13,2.8,88,8.25,1018,28.25,20,14,15,113,113,116,0,3,13.2,météo favorable
2009-02-09,19,10,6,15,17,14,5.6,93,7.125,1018,44.25,19,14,15,113,200,248,0,4,13.1,météo correcte
2009-02-10,16,12,4,13,16,13,29.6,98,3.875,1019,85.125,16,15,14,143,200,248,0,3,10.7,météo très défavorable
2009-02-11,11,8,13,11,10,8,8,99,4.625,1026,99.375,11,11,7,248,248,122,0,2,8.2,météo défavorable
2009-02-12,10,8,18,8,9,8,4.3,96,5.25,1027,74.5,10,8,7,122,119,143,0,2,9.5,météo défavorable
2009-02-13,18,9,14,13,18,12,2,86,6.875,1021,48,18,14,15,116,200,143,0,3,13.1,météo correcte
2009-02-14,19,9,8,14,19,12,1.7,81,8.875,1017,32.875,19,14,17,113,113,143,0,4,13.1,météo favorable
2009-02-15,19,11,17,15,18,12,6.7,83,6.375,1017,52.375,19,13,16,113,113,248,0,3,13.1,météo favorable
2009-02-16,20,10,11,13,20,10,0.3,67,7.125,1017,45.5,20,11,17,113,113,248,0,3,13,météo favorable
2009-02-17,22,9,12,14,22,13,0.7,80,7.25,1016,37.375,24,15,18,113,113,248,0,3,13,météo favorable
2009-02-18,22,11,10,16,22,12,4.1,79,7.25,1016,31.875,25,16,19,116,113,116,0,4,13,météo favorable
2009-02-19,20,12,15,16,19,14,9.5,92,6.75,1017,51.25,20,15,17,113,200,248,0,4,11.9,météo correcte
2009-02-20,17,12,9,15,17,14,4.7,92,5.375,1018,74.75,17,15,17,143,200,143,0,3,11.9,météo défavorable
2009-02-21,21,11,14,15,21,14,4.8,78,6.75,1018,42,21,15,19,116,113,143,0,4,13,météo favorable
2009-02-22,18,10,7,15,15,11,15.7,98,6.875,1022,65.125,18,14,13,113,200,122,0,3,11.9,météo défavorable
2009-02-23,15,10,14,11,15,12,1.1,96,5.25,1023,89.75,15,12,12,122,116,248,0,3,9.4,météo défavorable
2009-02-24,18,10,4,13,17,13,2.1,88,6.5,1023,62.5,18,14,16,116,116,248,0,3,11.9,météo correcte
2009-02-25,17,11,6,14,17,13,1.6,90,7.75,1020,52.625,18,14,15,200,200,116,0,3,12.9,météo correcte
2009-02-26,18,10,8,15,18,13,7.7,96,6,1018,59.625,18,14,14,116,116,248,0,3,11.9,météo correcte
2009-02-27,19,9,8,13,19,13,4.5,86,6,1017,47.375,19,13,15,113,113,248,0,3,12.8,météo favorable
2009-02-28,15,11,11,13,15,12,2.9,97,4.375,1019,67.25,15,13,13,143,116,248,0,3,11.9,météo défavorable
