DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,12,12,12,14,14,8.4,86,5.75,1023,81.5,14,11,11,299,266,296,,,,météo défavorable
2009-01-02,16,13,21,13,15,15,5.9,88,8.125,1022,79.25,16,13,11,353,266,296,,,,météo défavorable
2009-01-03,18,14,27,14,17,17,31.8,91,7,1018,91.5,18,15,12,389,356,176,,,,météo très défavorable
2009-01-04,14,12,32,12,13,13,28.1,89,7.75,1016,89.75,14,12,9,356,356,356,,,,météo très défavorable
2009-01-05,15,11,6,11,14,14,8.5,87,7.5,1019,58.125,15,10,10,302,263,116,,,,météo correcte
2009-01-06,15,11,33,11,14,14,5.6,86,9.75,1015,68.375,15,10,8,296,353,353,,,,météo défavorable
2009-01-07,12,9,13,9,12,11,7.4,83,9.75,1013,54.625,12,9,8,353,353,353,,,,météo défavorable
2009-01-08,13,8,20,8,11,12,4.1,91,9.875,1015,33.375,13,8,5,353,113,113,,,,météo correcte
2009-01-09,12,8,23,8,11,11,1.7,73,9.75,1020,22.625,12,6,6,116,113,176,,,,météo défavorable
2009-01-10,14,6,13,6,11,14,0.1,84,9.625,1021,29.125,14,7,4,116,116,116,,,,météo correcte
2009-01-11,13,10,26,10,12,12,0.9,77,8.5,1024,42.5,13,8,8,176,116,113,,,,météo correcte
2009-01-12,13,10,27,10,13,13,8.3,86,10,1024,72.25,13,10,7,353,353,353,,,,météo défavorable
2009-01-13,14,11,29,11,13,13,5.4,81,9.125,1023,45.5,14,10,9,176,353,176,,,,météo correcte
2009-01-14,13,10,15,10,13,13,14.8,84,9,1021,46.375,13,9,8,302,176,113,,,,météo défavorable
2009-01-15,18,8,18,8,14,16,0,86,10,1021,8,18,10,5,113,113,113,,,,météo favorable
2009-01-16,15,11,17,11,14,14,0,73,10,1019,46.5,15,8,9,116,116,116,,,,météo correcte
