DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-4,15,-4,-2,-2,0,76,10,1027,11.5,0,0,-9,113,113,113,,,,météo très défavorable
2009-01-02,-2,-5,26,-5,-2,-2,0.1,84,10,1026,29.5,0,0,-10,116,113,116,,,,météo très défavorable
2009-01-03,-1,-5,21,-5,-2,-2,1.8,93,9.375,1018,74.875,0,0,-11,116,326,122,,,,météo très défavorable
2009-01-04,-5,-8,10,-8,-6,-6,0.2,86,10,1019,29.625,0,0,-12,116,113,113,,,,météo très défavorable
2009-01-05,-5,-9,19,-9,-6,-6,0,93,10,1025,20,0,0,-14,116,113,113,,,,météo très défavorable
2009-01-06,1,-3,37,-3,-1,1,2.6,91,8.75,1021,43.25,1,0,-10,116,113,326,,,,météo très défavorable
2009-01-07,1,-5,21,-2,-4,-5,4.2,86,8.875,1018,35.625,1,0,-11,326,113,113,,,,météo très défavorable
2009-01-08,3,-5,32,-5,-1,3,2,96,9.875,1020,70.625,3,2,-11,116,326,122,,,,météo très défavorable
2009-01-09,3,1,25,1,3,3,0,96,9,1021,35.25,3,2,-4,119,113,143,,,,météo très défavorable
2009-01-10,2,1,26,1,2,2,0,97,10,1022,52.5,2,2,-4,116,116,116,,,,météo très défavorable
2009-01-11,3,1,40,1,3,3,0.8,90,8,1020,74.75,3,2,-5,113,122,122,,,,météo très défavorable
2009-01-12,5,4,38,4,5,5,2.4,90,4,1008,100,5,3,-2,266,266,122,,,,météo très défavorable
2009-01-13,4,3,26,3,4,4,3.4,91,8.625,1004,96.125,4,3,-2,296,119,122,,,,météo très défavorable
2009-01-14,4,-1,21,-1,3,3,0.2,91,10,1013,38.375,4,2,-6,116,113,113,,,,météo très défavorable
2009-01-15,0,-3,9,-3,-1,-1,0.3,89,10,1027,67.5,0,0,-6,116,122,122,,,,météo très défavorable
2009-01-16,-4,-7,13,-7,-5,-5,0,88,10,1031,30,0,0,-11,113,116,113,,,,météo très défavorable
2009-01-17,-2,-5,19,-5,-3,-3,0,84,10,1029,56.125,0,0,-10,116,116,116,,,,météo très défavorable
2009-01-18,0,-3,27,-3,-1,-1,0.3,86,10,1016,87.5,0,0,-9,122,122,122,,,,météo très défavorable
2009-01-19,1,0,23,0,1,1,6.7,96,6.125,998,99,1,1,-5,326,332,143,,,,météo très défavorable
2009-01-20,2,0,32,0,2,2,5.6,94,8.125,998,87.875,2,1,-6,326,332,119,,,,météo très défavorable
2009-01-21,1,0,15,0,1,1,0.4,95,10,1010,73.875,1,0,-5,116,119,122,,,,météo très défavorable
2009-01-22,0,-1,12,-1,0,0,0.1,94,9,1010,69.25,0,0,-4,116,119,143,,,,météo très défavorable
2009-01-23,1,-1,31,-1,1,1,1,91,10,1000,84.75,1,0,-6,122,326,116,,,,météo très défavorable
2009-01-24,2,1,33,1,2,2,8,98,8.875,987,100,2,2,-6,326,332,317,,,,météo très défavorable
2009-01-25,2,1,9,1,2,2,1.7,98,3.125,1002,97.125,2,2,-2,248,143,248,,,,météo très défavorable
2009-01-26,1,0,10,0,1,1,2.4,98,9.125,1011,100,1,1,-3,326,326,326,,,,météo très défavorable
2009-01-27,1,-1,8,-1,1,1,1,97,7.625,1017,87.625,1,0,-3,143,119,122,,,,météo très défavorable
2009-01-28,0,-2,15,-2,-1,-1,0,93,8.375,1021,39.875,0,0,-7,116,116,116,,,,météo très défavorable
2009-01-29,1,-2,11,-2,1,1,0.7,97,7.625,1028,81.875,1,0,-5,122,119,143,,,,météo très défavorable
2009-01-30,0,-2,8,-2,0,0,0.1,96,6.125,1031,84,0,0,-5,143,122,119,,,,météo très défavorable
2009-01-31,-1,-3,12,-3,-2,-2,0,93,9,1032,31.875,0,0,-7,116,116,116,,,,météo très défavorable
2009-02-01,-3,-5,13,-5,-3,-3,0,89,10,1033,23.375,0,0,-10,113,113,113,,,,météo très défavorable
2009-02-02,-2,-5,13,-5,-3,-3,0,94,8,1031,21.625,0,0,-9,143,113,113,,,,météo très défavorable
2009-02-03,-1,-5,16,-5,-2,-1,0,94,10,1023,51.625,0,0,-10,113,116,119,,,,météo très défavorable
2009-02-04,-2,-4,13,-4,-2,-2,0,95,8.625,1007,54.875,0,0,-8,116,119,116,,,,météo très défavorable
2009-02-05,0,-3,13,-3,-1,-1,2.4,97,5.75,999,82.625,0,0,-8,332,122,143,,,,météo très défavorable
2009-02-06,1,-2,15,-2,0,0,5,98,4.25,998,98,1,1,-7,332,326,248,,,,météo très défavorable
2009-02-07,1,0,11,0,1,1,3.6,99,5.875,995,99.75,1,1,-3,248,248,317,,,,météo très défavorable
2009-02-08,0,-2,22,-2,0,0,8.7,98,7.75,990,83,0,0,-6,332,326,116,,,,météo très défavorable
2009-02-09,0,-3,20,-3,-1,-1,0.2,92,10,1002,38.875,0,0,-10,116,113,119,,,,météo très défavorable
2009-02-10,0,-3,15,-3,-1,-1,0.3,94,10,1002,75.25,0,0,-8,116,119,122,,,,météo très défavorable
2009-02-11,-1,-2,14,-2,-1,-1,4.1,96,8.75,1008,100,0,0,-6,326,326,326,,,,météo très défavorable
2009-02-12,-2,-3,18,-3,-2,-2,2.1,93,10,1013,99.375,0,0,-9,326,326,122,,,,météo très défavorable
2009-02-13,-3,-6,10,-6,-4,-4,0,95,8.625,1019,46.375,0,0,-11,119,113,116,,,,météo très défavorable
2009-02-14,-2,-6,15,-6,-3,-3,0,95,8.375,1021,28.125,0,0,-11,113,116,113,,,,météo très défavorable
2009-02-15,-2,-6,11,-6,-3,-3,0,96,6.5,1020,44.25,0,0,-10,143,116,116,,,,météo très défavorable
2009-02-16,-4,-6,11,-6,-4,-4,0.4,89,9.375,1023,96.25,0,0,-9,122,122,122,,,,météo très défavorable
2009-02-17,-5,-7,12,-7,-5,-5,0.3,92,10,1029,80.5,0,0,-12,119,116,122,,,,météo très défavorable
2009-02-18,-5,-8,8,-8,-5,-5,0,93,9.625,1029,50.5,0,0,-12,113,116,122,,,,météo très défavorable
2009-02-19,-5,-8,8,-8,-6,-6,1.2,94,9.375,1025,80.375,0,0,-11,323,116,122,,,,météo très défavorable
2009-02-20,-4,-8,6,-8,-4,-4,0.2,97,6.625,1028,85.125,0,0,-11,143,116,122,,,,météo très défavorable
2009-02-21,-2,-6,19,-6,-3,-3,1.4,94,7.75,1029,90.125,0,0,-10,143,119,119,,,,météo très défavorable
2009-02-22,0,-2,21,-2,0,0,16.1,99,5,1016,100,0,0,-8,332,332,332,,,,météo très défavorable
2009-02-23,0,-3,20,-3,-1,-1,2.1,96,10,1016,95,0,0,-9,326,122,122,,,,météo très défavorable
2009-02-24,2,-3,20,-3,1,1,0.1,96,6.625,1020,63.125,2,0,-7,143,116,116,,,,météo très défavorable
2009-02-25,1,0,16,0,1,1,2.1,99,1.5,1016,100,1,1,-4,266,248,248,,,,météo très défavorable
2009-02-26,2,-1,23,-1,1,1,3.7,98,7.125,1004,95.75,2,2,-7,119,326,248,,,,météo très défavorable
2009-02-27,1,-3,15,-3,0,0,0.8,95,9,1008,87.25,1,0,-8,122,122,116,,,,météo très défavorable
2009-02-28,0,-4,16,-4,-1,-1,0.7,92,9.625,1017,33.75,0,0,-9,113,113,116,,,,météo très défavorable
2009-03-01,0,-4,16,-4,-2,-1,0,94,9.375,1019,63.875,0,0,-9,119,122,116,,,,météo très défavorable
2009-03-02,1,-1,21,-1,1,1,7.9,97,7,1017,81,1,0,-7,116,119,338,,,,météo très défavorable
2009-03-03,2,0,15,0,2,2,1.3,97,7.625,1009,94.125,2,1,-4,326,122,266,,,,météo très défavorable
2009-03-04,3,1,20,1,3,3,1.7,99,9,1009,81.125,3,2,-3,122,119,119,,,,météo très défavorable
2009-03-05,2,1,23,1,1,1,2.5,96,9.5,1005,99.5,2,1,-5,326,317,317,,,,météo très défavorable
2009-03-06,1,0,22,0,1,1,2.6,97,9.25,1007,98.875,1,1,-5,317,317,326,,,,météo très défavorable
2009-03-07,1,0,19,0,1,1,3.4,97,10,1009,100,1,0,-5,326,326,326,,,,météo très défavorable
2009-03-08,2,0,22,0,1,1,14.2,98,6.75,1009,100,2,1,-5,326,326,338,,,,météo très défavorable
2009-03-09,3,-2,9,-2,2,2,0.8,97,5.5,1002,67.375,3,1,-5,260,119,143,,,,météo très défavorable
2009-03-10,1,-1,11,-1,1,1,0.6,95,6,1003,95.25,1,0,-3,143,122,122,,,,météo très défavorable
2009-03-11,-1,-4,18,-4,-1,-1,1.1,92,9.375,1017,95.375,0,0,-9,119,122,122,,,,météo très défavorable
2009-03-12,1,-3,16,-3,0,0,0.2,90,10,1019,68.5,1,0,-6,119,116,119,,,,météo très défavorable
2009-03-13,2,-1,15,-1,1,1,4.1,95,7.75,1015,88.875,2,0,-6,332,122,122,,,,météo très défavorable
2009-03-14,3,0,10,0,2,2,1.2,98,4.625,1015,95.25,3,2,-3,143,122,248,,,,météo très défavorable
2009-03-15,4,0,8,0,3,3,0.5,98,6.5,1027,72.75,4,2,-3,143,116,116,,,,météo très défavorable
2009-03-16,4,0,19,0,3,3,1,96,6.75,1028,92.125,4,3,-4,119,119,122,,,,météo très défavorable
2009-03-17,5,2,27,2,4,4,9.8,98,8.875,1022,66.25,5,3,-3,296,362,113,,,,météo très défavorable
2009-03-18,4,0,21,0,3,3,0,86,10,1024,22.5,4,0,-6,116,116,113,,,,météo très défavorable
2009-03-19,2,-2,17,-1,1,1,0,89,10,1034,23.625,2,0,-6,113,119,113,,,,météo très défavorable
2009-03-20,4,-2,18,-2,3,4,0,84,10,1034,37.875,4,0,-6,113,116,119,,,,météo très défavorable
2009-03-21,6,0,17,0,5,5,0,95,9.625,1023,51.625,6,2,-5,119,116,113,,,,météo très défavorable
2009-03-22,3,1,9,1,3,3,4.4,95,6.875,1014,93.5,3,1,-2,317,122,332,,,,météo très défavorable
2009-03-23,3,-1,10,-1,2,2,7.9,96,7.5,996,94,3,0,-4,332,122,122,,,,météo très défavorable
2009-03-24,-1,-4,28,-4,-2,-2,6.8,74,8.625,1005,84.25,0,0,-10,116,326,119,,,,météo très défavorable
2009-03-25,0,-6,8,-6,-1,-1,0,84,10,1006,14.375,0,0,-7,113,113,116,,,,météo très défavorable
2009-03-26,1,-5,18,-5,0,0,0,77,10,1006,25.125,1,0,-10,116,116,113,,,,météo très défavorable
2009-03-27,1,-2,35,-2,0,0,14.6,99,5,1001,92.875,1,0,-10,326,227,332,,,,météo très défavorable
2009-03-28,4,-1,12,-1,3,3,1.6,97,6.75,1002,79.875,4,2,-5,260,122,353,,,,météo très défavorable
2009-03-29,4,-1,6,-1,3,3,0.9,96,6.125,1010,56.25,4,2,-3,143,116,116,,,,météo très défavorable
2009-03-30,5,-1,30,-1,4,4,0.1,93,8.375,1013,52.625,5,2,-5,116,119,116,,,,météo très défavorable
2009-03-31,8,4,32,4,6,7,1.3,95,7.625,1014,95.75,8,5,0,122,119,122,,,,météo très défavorable
2009-04-01,7,3,13,3,5,6,1.2,95,9.125,1027,33.25,7,5,-1,116,113,113,,,,météo très défavorable
2009-04-02,9,2,21,2,8,8,0,80,10,1027,17.5,9,3,-2,113,116,113,,,,météo très défavorable
2009-04-03,9,3,13,3,6,7,0,88,10,1022,20,9,3,-1,113,116,113,,,,météo très défavorable
2009-04-04,10,2,8,2,8,9,0,88,10,1017,1.875,10,4,-1,113,113,113,,,,météo très défavorable
