DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,0,14,11,15,12,0,82,10,1025,21.75,15,10,12,116,113,113,0,4,8.7,météo très défavorable
2009-01-02,13,0,19,12,13,12,2.8,92,8.75,1020,90.125,13,11,10,122,122,119,0,3,3.6,météo très défavorable
2009-01-03,13,0,24,11,13,10,0.6,81,9.875,1014,42.25,13,10,9,119,113,116,0,3,8.7,météo très défavorable
2009-01-04,10,0,15,9,10,9,0.4,83,10,1015,63.5,10,7,7,119,122,116,0,3,3.6,météo très défavorable
2009-01-05,10,0,18,5,10,8,0,59,10,1014,8.375,10,4,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-06,11,0,14,6,11,10,0.2,79,9,1014,32.75,11,6,7,116,116,113,0,3,7,météo très défavorable
2009-01-07,12,0,17,11,12,9,4.6,88,9,1013,62.375,12,10,10,200,119,116,0,2,5.3,météo très défavorable
2009-01-08,11,0,11,9,11,9,1.1,83,8.75,1018,56.875,11,8,9,119,119,116,0,2,7,météo très défavorable
2009-01-09,12,0,16,9,12,11,2.8,88,10,1020,39,12,10,9,113,122,116,0,3,7,météo très défavorable
2009-01-10,12,0,18,10,12,10,5.8,89,9.375,1022,67.125,12,9,8,122,116,116,0,3,7,météo très défavorable
2009-01-11,12,0,15,8,12,11,0,85,10,1024,33.125,12,9,9,113,119,116,0,3,5.3,météo très défavorable
2009-01-12,12,0,27,10,12,12,6,92,8.5,1023,83.25,12,11,9,119,122,122,0,4,3.7,météo très défavorable
2009-01-13,12,0,33,11,11,11,6.2,90,9.375,1016,96.25,12,10,7,122,122,122,0,3,3.7,météo très défavorable
2009-01-14,13,0,28,10,13,10,0.1,78,10,1014,37.125,13,9,8,119,113,113,0,4,8.7,météo très défavorable
2009-01-15,13,0,19,8,13,10,2.7,70,9.875,1018,28,13,8,9,113,113,116,0,3,8.7,météo très défavorable
2009-01-16,12,0,9,8,12,9,0.2,83,9.875,1024,10.75,13,8,9,113,113,113,0,3,8.7,météo très défavorable
2009-01-17,13,0,20,9,13,10,0,81,10,1025,15.375,14,9,10,113,113,113,0,3,8.7,météo très défavorable
2009-01-18,15,0,17,10,15,11,0,83,10,1023,12.625,15,9,11,116,113,113,0,4,8.7,météo très défavorable
2009-01-19,15,0,18,10,15,11,0,83,10,1021,14.25,15,10,11,116,113,113,0,3,8.7,météo très défavorable
2009-01-20,13,0,17,11,13,12,0.9,84,8,1009,57.75,13,10,11,116,122,122,0,3,5.4,météo très défavorable
2009-01-21,12,0,27,10,12,9,0.1,78,10,1007,63.125,12,10,8,122,119,116,0,3,7,météo très défavorable
2009-01-22,11,0,35,7,11,9,0.2,67,9,1009,29.25,11,6,6,113,113,116,0,3,8.7,météo très défavorable
2009-01-23,14,0,23,10,12,14,1.8,94,8.875,1004,79.25,14,13,8,116,122,119,0,2,3.7,météo très défavorable
2009-01-24,15,0,58,13,15,11,0.2,83,10,997,43.125,15,12,10,119,116,116,0,4,7,météo très défavorable
2009-01-25,13,0,56,10,13,10,0.4,65,9.875,1002,35.625,13,8,6,119,113,116,0,3,8.7,météo très défavorable
2009-01-26,12,0,38,12,11,9,1.9,76,9.75,1002,49.125,12,10,7,116,116,200,0,3,8.7,météo très défavorable
2009-01-27,11,0,38,9,11,9,0.7,82,9.75,1004,49,11,7,6,200,116,116,0,3,8.7,météo très défavorable
2009-01-28,11,0,27,8,11,9,0,76,10,1009,39.25,11,6,6,113,116,116,0,3,7.1,météo très défavorable
2009-01-29,13,0,18,7,12,9,0,69,10,1015,3.5,13,4,7,113,113,113,0,3,8.7,météo très défavorable
2009-01-30,13,0,12,7,13,10,0,75,10,1016,2.875,14,6,8,113,113,113,0,3,8.7,météo très défavorable
2009-01-31,12,0,22,7,12,9,0,74,9.875,1014,27.5,12,7,8,113,113,122,0,3,8.7,météo très défavorable
2009-02-01,13,0,19,10,13,10,6.9,86,9.375,1005,52,13,9,8,119,116,113,0,3,8.7,météo très défavorable
2009-02-02,13,0,15,11,13,12,0.2,84,9.375,1002,38.375,13,10,11,116,119,113,0,4,7.1,météo très défavorable
2009-02-03,14,0,23,11,14,12,1.2,87,10,1001,43.75,14,11,11,116,116,116,0,4,7.1,météo très défavorable
2009-02-04,14,0,21,9,14,12,0,78,10,1007,31.5,14,9,10,116,116,113,0,4,8.7,météo très défavorable
2009-02-05,17,0,17,11,17,12,0,82,10,1008,24,17,9,11,116,113,113,0,4,8.7,météo très défavorable
2009-02-06,15,0,22,11,15,12,2.7,79,9.625,1002,33,15,10,12,113,113,116,0,3,8.7,météo très défavorable
2009-02-07,11,0,45,10,11,9,1.9,77,8.25,997,63.75,11,9,5,116,116,200,0,4,7.1,météo très défavorable
2009-02-08,10,0,42,6,10,8,0.1,69,10,1006,44.75,10,5,4,113,113,122,0,3,7.1,météo très défavorable
2009-02-09,13,0,41,8,13,10,0,67,10,1017,18.125,13,7,7,116,113,113,0,3,8.7,météo très défavorable
2009-02-10,15,0,36,11,15,11,0,84,10,1017,35.875,15,11,11,119,113,113,0,4,7.1,météo très défavorable
2009-02-11,11,0,47,8,11,8,0.4,61,9.875,1014,23.875,11,6,5,113,113,116,0,3,8.7,météo très défavorable
2009-02-12,10,0,31,6,10,6,0.2,60,9.875,1011,12.75,10,2,5,113,113,113,0,3,8.7,météo très défavorable
2009-02-13,9,0,22,5,9,6,1.2,66,8.875,1013,25.625,9,3,3,113,113,113,0,3,7.1,météo très défavorable
2009-02-14,10,0,12,3,10,6,0.1,45,10,1015,23.125,10,0,5,113,113,119,0,2,8.7,météo très défavorable
2009-02-15,10,0,21,4,10,7,0,51,10,1024,18,10,0,5,113,113,116,0,2,8.7,météo très défavorable
2009-02-16,9,0,5,3,9,5,0,51,10,1024,39.75,9,0,7,116,116,122,0,2,10.1,météo très défavorable
2009-02-17,11,0,17,4,11,7,0,59,10,1022,30.125,11,3,8,116,116,113,0,2,10.1,météo très défavorable
2009-02-18,12,0,22,9,12,8,0.3,82,9,1016,50,12,8,8,119,116,113,0,2,10.9,météo très défavorable
2009-02-19,8,0,9,5,8,7,1.1,81,8,1019,56.375,8,5,6,113,116,122,0,3,8.5,météo très défavorable
2009-02-20,11,0,12,4,11,6,0,66,10,1026,2.375,13,3,6,113,113,113,0,3,11,météo très défavorable
2009-02-21,11,0,13,4,11,7,0,54,10,1027,19.5,11,3,9,113,113,116,0,2,11,météo très défavorable
2009-02-22,12,0,22,5,12,8,0,54,10,1024,9.875,12,5,8,113,113,113,0,3,11,météo très défavorable
2009-02-23,10,0,13,9,10,8,0.3,89,9,1018,73.25,10,8,7,119,122,116,0,2,7,météo très défavorable
2009-02-24,12,0,15,8,12,8,0.9,82,9.625,1014,37.5,12,7,9,200,113,113,0,2,11.1,météo très défavorable
2009-02-25,12,0,20,6,12,8,0.2,63,9.875,1026,10.25,12,5,7,113,113,113,0,3,11.1,météo très défavorable
2009-02-26,12,0,18,5,12,8,0,55,10,1028,3.125,12,3,8,113,113,113,0,3,11.5,météo très défavorable
2009-02-27,15,0,27,8,15,11,0,72,10,1022,5.875,15,8,10,113,113,113,0,3,11.5,météo très défavorable
2009-02-28,15,0,30,7,15,10,0,68,10,1019,11,15,8,12,113,113,113,0,3,11.6,météo très défavorable
2009-03-01,14,0,17,11,14,12,0,89,10,1016,60.75,15,11,11,119,116,116,0,3,10.1,météo très défavorable
2009-03-02,16,0,20,11,16,12,0,82,10,1018,24,16,11,12,116,113,116,0,4,11.6,météo très défavorable
2009-03-03,15,0,8,10,12,11,0,79,10,1018,46.375,15,9,10,119,119,116,0,4,8.7,météo très défavorable
2009-03-04,15,0,22,11,15,12,3.1,92,9.875,1009,48.25,15,11,11,116,200,119,0,4,7.3,météo très défavorable
2009-03-05,11,0,43,9,11,9,1.9,81,8.75,989,54.75,11,9,3,119,200,116,0,4,10.2,météo très défavorable
2009-03-06,10,0,24,6,10,9,0.8,78,9.875,995,45.25,10,7,6,113,200,113,0,3,8.7,météo très défavorable
2009-03-07,14,0,26,8,14,11,0.1,66,10,1008,26.25,14,6,9,116,113,113,0,3,11.6,météo très défavorable
2009-03-08,16,0,17,8,16,11,0,61,10,1016,1.875,16,7,11,113,113,113,0,3,11.6,météo très défavorable
2009-03-09,16,0,37,11,16,11,0,66,10,1019,6,16,8,11,113,113,113,0,3,11.6,météo très défavorable
2009-03-10,14,0,25,8,14,10,0,61,10,1022,5.25,14,6,10,113,113,113,0,3,11.6,météo très défavorable
