DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,-4,18,-4,-2,-4,0.5,85,8.625,1011,69,0,0,-9,122,116,371,0.5,1,7,météo très défavorable
2009-01-02,-1,-3,21,-3,-2,-2,4.7,94,6,1017,91.75,0,0,-7,338,338,338,4,1,3.5,météo très défavorable
2009-01-03,-1,-5,19,-5,-2,-2,1.3,90,8,1022,93.25,0,0,-8,122,329,332,1,1,3.5,météo très défavorable
2009-01-04,0,-4,15,-4,0,-4,0,88,8,1024,53.75,0,0,-7,119,116,143,0,1,8.7,météo très défavorable
2009-01-05,1,-3,10,-3,1,-1,0.6,89,5,1022,63.625,1,0,-3,143,116,338,0.5,1,8.7,météo très défavorable
2009-01-06,0,-3,16,-2,0,-3,0.6,89,7,1025,67.125,0,0,-6,119,116,338,0.5,1,7,météo très défavorable
2009-01-07,1,-5,11,-5,1,-3,0.2,82,6.5,1027,46.5,2,0,-4,332,113,143,0.2,1,8.7,météo très défavorable
2009-01-08,2,-4,10,-3,2,-2,0.1,76,9,1028,33.375,3,0,0,116,113,116,0,1,8.7,météo très défavorable
2009-01-09,0,-2,13,-2,0,0,5.4,94,6.875,1024,78.375,0,0,-5,338,317,143,2.8,1,3.6,météo très défavorable
2009-01-10,-1,-7,30,-1,-3,-7,1,95,7.75,1010,76.625,0,0,-12,119,119,338,0.9,2,3.6,météo très défavorable
2009-01-11,-3,-7,6,-7,-3,-3,1.5,90,7.625,1015,81.25,0,0,-8,122,329,338,1.4,1,5.3,météo très défavorable
2009-01-12,-3,-6,16,-6,-3,-4,3.3,90,7.75,1015,59.75,0,0,-9,116,335,119,2.8,1,5.3,météo très défavorable
2009-01-13,-3,-5,22,-5,-3,-4,5.2,91,7.375,1021,77.5,0,0,-10,335,335,371,4.5,1,3.7,météo très défavorable
2009-01-14,0,-7,18,-7,0,-5,0.6,89,6,1022,51,0,0,-6,143,113,329,0.6,1,8.7,météo très défavorable
2009-01-15,-5,-7,19,-7,-6,-6,1,90,9,1026,76.375,0,0,-13,122,116,119,0.8,1,5.4,météo très défavorable
2009-01-16,0,-8,13,-8,-1,-2,0.7,86,9.25,1026,46.375,0,0,-8,116,329,371,0.6,2,8.7,météo très défavorable
2009-01-17,0,-7,13,-2,-1,-3,1.6,91,7.125,1028,69.75,0,0,-6,338,119,116,1.4,1,5.4,météo très défavorable
2009-01-18,4,-5,18,-5,4,0,0.4,75,9.375,1029,29.375,4,0,-4,113,116,263,0,2,8.7,météo très défavorable
2009-01-19,3,-2,23,3,2,-1,2,96,8.875,1019,71.25,3,3,-4,122,353,119,0,1,5.4,météo très défavorable
2009-01-20,0,-5,12,-5,-1,-2,0,93,8,1024,51.875,0,0,-6,143,119,116,0,1,5.5,météo très défavorable
2009-01-21,4,-5,10,-5,4,-1,1.9,79,8.875,1025,47.875,5,0,-2,116,116,296,0,2,8.7,météo très défavorable
2009-01-22,5,-5,13,-5,5,2,1,93,7.875,1021,59.5,5,3,-3,143,116,119,0,1,5.5,météo très défavorable
2009-01-23,7,0,13,2,7,3,4.6,95,8.375,1014,66.875,7,6,2,299,116,119,0,1,7.1,météo très défavorable
2009-01-24,-1,-6,18,-4,-4,-5,2.8,89,6.375,1017,69.125,0,0,-10,338,335,116,2.4,1,5.5,météo très défavorable
2009-01-25,0,-8,16,-8,0,-5,0,72,10,1020,15.875,0,0,-10,113,113,113,0,2,8.7,météo très défavorable
2009-01-26,0,-6,16,-6,-1,-3,0,84,10,1021,36.75,0,0,-8,116,116,113,0,2,7.1,météo très défavorable
2009-01-27,-1,-3,13,-2,-1,-2,1.9,93,5,1029,79.25,0,0,-5,338,338,338,1.6,2,4,météo très défavorable
2009-01-28,3,-5,14,-4,3,-4,0,88,8,1031,23.375,5,2,-5,323,113,143,0,1,8.7,météo très défavorable
2009-01-29,7,-4,18,-4,7,1,0,69,10,1030,16.25,9,3,-3,113,116,116,0,2,8.7,météo très défavorable
2009-01-30,6,2,10,3,5,5,4,98,7.375,1025,78.625,6,6,1,293,296,296,0,2,4,météo très défavorable
2009-01-31,3,0,19,2,1,0,11.2,99,5.625,1011,100,3,3,-4,308,122,122,0,1,4,météo très défavorable
2009-02-01,-2,-4,32,-4,-3,-3,3.1,95,6.125,1026,100,0,0,-10,338,338,332,1.2,1,4,météo très défavorable
2009-02-02,2,-6,12,-6,1,-3,0,80,10,1027,34.25,2,0,-5,119,113,113,0,1,8.7,météo très défavorable
2009-02-03,2,-2,15,-1,2,-1,1.3,93,8.25,1022,62.75,2,1,-3,116,296,332,0.2,2,4,météo très défavorable
2009-02-04,3,-5,7,-5,3,-3,0,81,4.75,1023,28.5,4,1,1,143,113,260,0,1,8.7,météo très défavorable
2009-02-05,4,-4,9,-4,4,-1,0,78,8,1021,20.75,5,1,-2,113,113,143,0,1,8.7,météo très défavorable
2009-02-06,0,-3,22,-1,-1,-3,2.4,91,8.25,1022,74.375,0,0,-7,338,326,332,1.1,1,4,météo très défavorable
2009-02-07,4,-7,5,-7,3,-1,0,68,10,1022,24.75,5,0,0,113,113,113,0,2,8.7,météo très défavorable
2009-02-08,0,-5,24,-2,-1,-4,1.3,85,9.875,1022,53,0,0,-8,122,116,113,0,1,7.1,météo très défavorable
2009-02-09,2,-7,6,-7,2,-1,0,60,10,1022,40.125,3,0,-0,113,116,116,0,2,8.7,météo très défavorable
2009-02-10,1,-4,14,-2,1,-1,0.3,88,9.375,1012,47.75,1,0,-3,116,263,116,0,1,8.7,météo très défavorable
2009-02-11,5,-6,7,-5,5,-0,4.3,70,8.25,1013,48.125,6,0,-2,116,116,320,0,2,7.2,météo très défavorable
2009-02-12,4,-3,13,-2,3,-3,1.8,85,9.625,1019,39.875,4,0,-4,119,113,116,1.6,1,8.7,météo très défavorable
2009-02-13,8,-0,30,1,6,6,0.4,84,9,1018,42.625,8,6,-1,113,116,266,0,2,7.2,météo très défavorable
2009-02-14,10,2,19,10,5,3,9.2,96,7.25,1011,84.375,10,10,1,308,266,119,0,2,4.1,météo très défavorable
2009-02-15,8,-1,12,-1,8,3,0,81,10,1014,24.5,8,3,5,113,116,116,0,2,8.7,météo très défavorable
2009-02-16,2,-6,17,1,-2,-5,2.9,91,7.25,1016,74.25,2,1,-9,296,335,338,1.7,2,5.6,météo très défavorable
2009-02-17,-3,-8,14,-7,-4,-5,1.6,85,7.25,1023,77.25,0,0,-9,338,329,371,1.4,1,5.6,météo très défavorable
2009-02-18,-1,-7,14,-6,-2,-3,0.2,83,9.625,1022,52.5,0,0,-8,329,119,116,0.1,2,7.2,météo très défavorable
2009-02-19,-1,-7,17,-7,-2,-4,1.1,78,8,1027,63.875,0,0,-11,338,113,116,1,1,8.7,météo très défavorable
2009-02-20,3,-2,17,0,3,0,5.8,95,8.5,1019,84,3,2,-4,302,122,296,0.7,1,4.1,météo très défavorable
2009-02-21,-1,-6,19,-6,-2,-4,2.3,83,9,1022,55.125,0,0,-9,368,116,113,1.9,1,7.2,météo très défavorable
2009-02-22,7,-5,15,-4,7,1,0,58,10,1023,31.875,7,0,-1,113,116,116,0,2,8.7,météo très défavorable
2009-02-23,2,-4,18,2,1,-2,13.7,98,5.5,1022,81.375,2,2,-5,308,317,329,0.1,1,4.2,météo très défavorable
2009-02-24,4,-5,19,-3,4,3,0.8,94,8.75,1023,50.875,4,3,-2,116,263,263,0,2,5.7,météo très défavorable
2009-02-25,4,1,17,4,3,2,5.1,99,5,1017,91.5,4,3,-2,296,302,119,0,1,4.2,météo très défavorable
2009-02-26,1,-3,9,-3,1,-1,0.5,89,7,1024,61.625,2,0,-2,326,116,143,0.4,1,8.7,météo très défavorable
2009-02-27,2,-2,13,-1,2,-0,1,94,5.25,1024,69.875,2,1,-3,143,263,317,0,2,5.7,météo très défavorable
2009-02-28,4,-5,12,-5,4,-1,0.4,80,7.375,1025,35.25,4,0,1,113,113,263,0,1,8.7,météo très défavorable
2009-03-01,2,-1,5,-1,2,1,2.3,94,4.5,1024,89.75,2,1,0,338,266,266,0.3,1,4.2,météo très défavorable
2009-03-02,-1,-6,24,-4,-3,-6,1.4,89,8,1027,62.125,0,0,-10,338,116,113,1.2,1,7.2,météo très défavorable
2009-03-03,2,-6,9,-5,2,-2,2.1,90,8.75,1027,64,2,0,-4,116,263,335,1.6,2,5.7,météo très défavorable
2009-03-04,2,-2,12,-1,2,-1,2.4,91,5,1021,89.5,2,0,-2,143,119,338,2.1,1,4.2,météo très défavorable
2009-03-05,6,-5,12,-5,6,1,0,65,10,1025,33.625,6,0,2,113,116,116,0,1,8.7,météo très défavorable
2009-03-06,3,1,19,2,3,3,6,98,8.25,1021,87.125,4,3,-2,296,302,248,0,2,4.3,météo très défavorable
2009-03-07,2,-2,21,-2,1,-1,0.2,93,8.625,1022,60.5,2,1,-7,326,329,116,0.1,1,7.2,météo très défavorable
2009-03-08,5,-4,9,-4,3,-1,0,74,8,1023,25.75,5,1,-0,113,116,143,0,2,8.7,météo très défavorable
2009-03-09,7,-1,6,-1,7,2,0.1,75,10,1021,40,8,3,4,113,116,116,0,2,8.7,météo très défavorable
2009-03-10,3,-2,27,2,3,-1,2.5,94,5.75,1017,81.125,3,2,-4,248,353,338,1.4,1,5.8,météo très défavorable
2009-03-11,-0,-6,21,-6,-0,-3,0.5,81,9,1024,63.125,0,0,-6,119,116,119,0.4,1,8.7,météo très défavorable
2009-03-12,1,-5,17,-5,1,-4,0.5,74,9.625,1030,49.75,1,0,-7,371,113,113,0.4,1,8.7,météo très défavorable
2009-03-13,5,-2,29,-2,5,3,4.1,86,9,1028,58.75,5,3,-2,116,263,302,0,2,7.2,météo très défavorable
2009-03-14,6,-2,22,4,0,-2,7,96,7.625,1011,72.125,6,5,-7,302,119,338,0.9,2,5.8,météo très défavorable
2009-03-15,5,-4,13,-4,4,0,0.2,82,8.375,1017,47.625,5,1,-3,119,113,116,0.2,1,10.2,météo très défavorable
2009-03-16,8,-2,15,-2,8,3,0.3,77,9.75,1016,18,8,3,4,113,116,176,0,2,11.6,météo très défavorable
2009-03-17,7,2,20,3,7,2,1.2,91,9.875,1018,17.625,7,4,3,386,176,113,0,2,11.6,météo très défavorable
2009-03-18,15,1,18,1,14,8,0,55,10,1019,12.5,15,5,7,113,113,113,0,3,11.6,météo très défavorable
2009-03-19,17,5,14,5,16,10,0,65,10,1018,8.125,17,8,12,113,113,113,0,4,11.6,météo correcte
2009-03-20,10,-1,26,8,2,-1,8.7,96,6.75,1019,69.125,10,9,-4,308,266,332,0.1,2,6,météo très défavorable
2009-03-21,11,-3,13,-3,10,4,0,55,10,1022,5.5,11,2,1,113,113,113,0,2,12.5,météo très défavorable
2009-03-22,10,3,35,5,8,10,4.1,91,8.5,1014,65.25,10,9,2,116,299,119,0,3,10.5,météo très défavorable
2009-03-23,5,-3,26,0,2,-2,2.4,91,9.875,1016,62.375,5,4,-5,119,119,116,0,1,10.5,météo très défavorable
2009-03-24,9,-4,13,-4,9,1,0,49,10,1018,22,9,0,3,113,113,116,0,2,12.6,météo très défavorable
2009-03-25,4,-2,10,-1,4,0,0.2,84,9.875,1016,78,5,1,1,122,116,119,0,1,10.5,météo très défavorable
2009-03-26,1,-4,20,-4,1,-2,1.6,72,8.875,1017,63.375,1,0,-5,329,371,371,1.4,1,11.9,météo très défavorable
2009-03-27,-0,-4,16,-4,-0,-2,2.7,95,3.75,1018,96,0,0,-6,338,338,143,2.3,1,7.9,météo très défavorable
2009-03-28,3,-5,18,-5,1,-2,0.3,77,7.75,1020,51.25,3,0,-5,122,113,113,0.2,1,12.7,météo très défavorable
2009-03-29,1,-4,16,-4,1,-2,0.6,65,8.75,1025,50.125,1,0,-5,332,116,116,0.5,1,12.7,météo très défavorable
2009-03-30,5,-4,14,-4,5,-1,0,51,9,1027,20.125,5,0,1,113,113,113,0,2,12.7,météo très défavorable
2009-03-31,7,-4,13,-3,7,1,0.1,55,8,1026,24.875,8,0,4,113,113,116,0,1,12.7,météo très défavorable
2009-04-01,5,-2,7,0,5,-1,4.6,94,6.625,1018,58.75,5,2,-1,176,386,338,1.7,1,10.6,météo très défavorable
2009-04-02,2,-3,26,-3,1,-1,1.7,89,7,1022,61.625,3,0,-5,338,116,113,1.5,1,11.9,météo très défavorable
2009-04-03,8,-3,17,-2,8,2,0,54,10,1024,12.125,8,1,3,113,113,113,0,2,12.8,météo très défavorable
2009-04-04,10,0,12,1,10,4,2.6,79,8.625,1023,49.875,10,3,4,116,116,302,0,2,11.9,météo très défavorable
2009-04-05,8,1,17,3,8,4,0.2,83,7,1015,32.5,8,4,3,143,113,113,0,1,12.8,météo très défavorable
2009-04-06,12,0,10,1,12,6,0.1,63,9,1015,13.375,12,4,9,113,113,116,0,3,12.9,météo très défavorable
