DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-1,13,-1,4,1,0,74,9,1012,28.875,4,0,1,113,116,116,0,1,8.7,météo très défavorable
2009-01-02,5,0,19,0,4,2,0,81,10,1018,44.125,5,0,0,116,119,116,0,1,7,météo très défavorable
2009-01-03,5,1,19,1,5,3,0,77,10,1023,21.625,5,1,1,113,116,113,0,1,8.7,météo très défavorable
2009-01-04,7,0,13,0,7,3,0,72,10,1024,11.125,8,2,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,9,0,5,0,9,5,0,70,9,1021,20.5,9,4,4,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,7,2,14,2,7,3,0,77,10,1025,18.625,8,2,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-07,8,-2,6,-2,7,1,0,66,10,1027,25.375,8,0,3,113,116,116,0,1,8.7,météo très défavorable
2009-01-08,9,0,7,1,9,2,0,69,10,1027,20.75,11,2,5,113,113,116,0,1,8.7,météo très défavorable
2009-01-09,4,1,7,1,4,4,1.3,95,5.875,1022,76.25,4,3,1,266,122,116,0,1,3.6,météo très défavorable
2009-01-10,4,-2,22,3,4,-0,0.2,85,9.375,1011,28.375,4,2,-1,119,113,113,0,1,8.7,météo très défavorable
2009-01-11,3,-2,10,-2,2,2,1,83,8.375,1018,56.25,3,0,-1,338,335,116,0.8,1,5.4,météo très défavorable
2009-01-12,3,-3,21,-3,2,1,0.5,82,9,1017,42.125,3,0,-3,338,116,116,0.4,1,8.7,météo très défavorable
2009-01-13,4,-1,15,-0,2,0,0.4,81,9.625,1022,40.25,4,0,-2,371,119,113,0.3,1,7.1,météo très défavorable
2009-01-14,3,-4,6,-4,3,-1,0,79,8,1023,15.875,5,1,2,113,113,116,0,1,8.7,météo très défavorable
2009-01-15,2,-3,17,-3,1,-1,0,77,10,1027,35.5,2,0,-3,116,119,116,0,1,5.4,météo très défavorable
2009-01-16,4,-4,8,-2,3,-3,0.2,78,9.625,1028,21.375,6,1,2,329,113,113,0.2,1,8.7,météo très défavorable
2009-01-17,5,-2,9,-0,5,1,0,85,7,1028,21.625,6,2,3,143,116,113,0,1,8.7,météo très défavorable
2009-01-18,5,-3,6,-2,5,3,2.6,88,8.375,1029,51.375,6,3,3,116,116,302,0,1,7.1,météo très défavorable
2009-01-19,7,0,18,4,7,4,3.2,93,7.125,1019,63,7,5,3,248,116,116,0,1,7.1,météo très défavorable
