DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-5,17,-5,2,-3,0,59,9,1012,12.375,2,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,2,-5,21,-5,2,-2,0.1,71,7.375,1017,30.625,2,0,-4,113,332,113,0.1,1,7,météo très défavorable
2009-01-03,3,-5,21,-5,3,-2,0,63,10,1022,3.625,3,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,5,-5,14,-5,5,-2,0,57,10,1024,11.75,5,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,6,-4,10,-4,6,0,0,60,9,1021,22.75,6,0,-1,113,113,116,0,2,8.7,météo très défavorable
2009-01-06,5,-4,15,-3,5,-2,0,66,10,1024,16.125,5,0,-2,113,113,113,0,2,8.7,météo très défavorable
2009-01-07,5,-6,10,-6,5,-2,0,49,10,1026,34.125,5,0,-3,113,116,116,0,2,8.7,météo très défavorable
2009-01-08,6,-4,11,-2,6,-1,0,62,9,1027,29.75,6,0,0,113,113,116,0,2,8.7,météo très défavorable
2009-01-09,2,-1,5,-1,2,1,4.4,93,6.25,1022,75.875,2,1,0,338,338,317,3.1,1,3.6,météo très défavorable
2009-01-10,1,-7,23,0,1,-5,0.7,86,7.75,1010,42.75,1,0,-5,338,323,113,0.6,1,8.7,météo très défavorable
2009-01-11,-1,-9,12,-9,-1,-2,0.9,83,7,1017,62.875,0,0,-10,116,338,338,0.7,2,3.6,météo très défavorable
2009-01-12,-2,-9,22,-8,-2,-3,1.7,89,6.375,1017,70.75,0,0,-8,332,335,338,1.4,1,3.7,météo très défavorable
2009-01-13,1,-6,17,-4,-1,-4,4.8,87,6,1021,67.125,1,0,-8,338,338,113,4.1,1,5.4,météo très défavorable
2009-01-14,-1,-11,10,-8,-1,-11,0.1,89,8.375,1023,19.375,0,0,-5,113,113,329,0.1,2,8.7,météo très défavorable
2009-01-15,-2,-9,18,-8,-3,-8,0.1,90,7.75,1026,24.25,0,0,-9,143,116,113,0,1,8.7,météo très défavorable
2009-01-16,0,-14,12,-8,-1,-13,0.4,92,6.875,1027,30.5,0,0,-4,335,113,260,0.3,2,8.7,météo très défavorable
