DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-5,-12,10,-6,-8,-8,9.2,98,1.75,1021,77.375,0,0,-12,338,335,335,7.8,1,3.5,météo très défavorable
2009-01-02,-7,-21,5,-18,-7,-19,0.1,96,2,1027,14.375,0,0,-11,260,143,260,0,1,8.7,météo très défavorable
2009-01-03,-4,-20,3,-18,-5,-13,0,95,3.25,1029,12.875,0,0,-9,143,113,260,0,1,8.7,météo très défavorable
2009-01-04,-1,-14,7,-14,-3,-6,0,94,5,1029,12.375,0,0,-9,143,113,143,0,1,8.7,météo très défavorable
2009-01-05,0,-9,3,-9,0,-7,0,97,2.25,1024,18.5,1,0,-3,260,143,260,0,1,8.7,météo très défavorable
2009-01-06,0,-10,6,-10,0,-5,0,98,1,1022,40.25,0,0,-3,143,248,260,0,1,5.2,météo très défavorable
2009-01-07,1,-7,6,-4,0,-3,0,99,0.25,1021,54.75,1,1,-4,260,248,260,0,1,5.2,météo très défavorable
2009-01-08,1,-7,7,-2,1,-4,0.3,98,1.375,1025,34.875,1,1,-3,335,143,260,0.3,1,7,météo très défavorable
2009-01-09,-2,-12,4,-12,-2,-6,0,89,9,1027,12.875,0,0,-4,113,113,116,0,2,8.7,météo très défavorable
2009-01-10,-4,-13,3,-13,-5,-10,0,84,10,1032,4.375,0,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,-4,-12,6,-12,-4,-9,0,85,8,1028,9,0,0,-9,113,113,143,0,2,8.7,météo très défavorable
2009-01-12,-5,-11,10,-11,-5,-8,0,89,5.875,1036,14.875,0,0,-10,143,323,179,0,1,8.7,météo très défavorable
2009-01-13,-1,-11,7,-11,-2,-7,0,86,7.875,1037,17.75,0,0,-7,113,116,179,0,2,8.7,météo très défavorable
2009-01-14,1,-9,4,-9,1,-4,0,90,10,1040,4.25,2,0,-3,113,113,113,0,2,8.7,météo très défavorable
2009-01-15,1,-8,4,-8,1,-5,0,90,9,1037,4,3,2,-2,113,113,143,0,2,9.8,météo très défavorable
2009-01-16,2,-7,4,-7,2,-3,0,84,10,1031,8,4,1,1,113,113,113,0,2,9.9,météo très défavorable
2009-01-17,2,-6,4,-6,2,-1,0,89,9,1027,22.5,2,0,-2,113,116,113,0,2,9.9,météo très défavorable
2009-01-18,2,-4,3,-3,2,-4,0.1,89,6.75,1024,25.625,2,1,0,143,113,113,0,1,9.9,météo très défavorable
2009-01-19,0,-9,3,-9,0,-6,0,85,10,1026,14.5,1,0,-2,113,116,113,0,2,9.9,météo très défavorable
2009-01-20,0,-7,6,-7,0,-5,0,83,10,1023,8.375,1,0,-5,113,113,113,0,2,9.9,météo très défavorable
2009-01-21,0,-7,6,-7,0,-5,0.2,85,8.625,1028,17.125,0,0,-4,113,113,329,0.1,2,9.9,météo très défavorable
2009-01-22,0,-6,8,-6,0,-3,0.7,87,7.75,1033,21.5,1,0,-2,329,113,323,0.5,1,9.9,météo très défavorable
2009-01-23,1,-7,9,-7,1,-3,0,84,10,1031,13.75,1,0,-6,113,113,113,0,2,10,météo très défavorable
2009-01-24,0,-7,7,-7,0,-4,0,85,10,1027,10.25,0,0,-7,113,113,113,0,2,10,météo très défavorable
2009-01-25,1,-6,7,-6,1,-4,0,84,10,1019,21.125,1,0,-2,116,113,113,0,2,10,météo très défavorable
2009-01-26,2,-5,5,-5,2,-1,0,91,7.75,1020,20.625,3,1,0,113,113,143,0,2,10,météo très défavorable
2009-01-27,2,-3,6,-1,2,-2,0.6,94,4.625,1020,42.625,3,1,0,263,116,143,0,1,10,météo très défavorable
2009-01-28,2,-7,5,-7,2,-4,0,89,6.75,1023,11.75,2,0,-1,143,113,260,0,1,10.1,météo très défavorable
2009-01-29,2,-6,4,-6,2,-2,0,84,10,1023,10.125,3,0,-2,113,113,113,0,2,10.1,météo très défavorable
2009-01-30,2,-4,3,-2,2,-1,0.1,90,7.75,1017,38,2,0,0,116,116,143,0,2,10,météo très défavorable
2009-01-31,4,-3,5,-2,4,-1,0,82,7.75,1016,24,4,0,-1,116,113,116,0,1,10.1,météo très défavorable
2009-02-01,2,-4,5,-4,2,-2,0,90,7.75,1018,18.5,3,1,1,143,113,260,0,1,10.1,météo très défavorable
2009-02-02,3,-3,7,-3,3,-2,0,74,10,1022,17.25,4,0,1,113,113,113,0,1,10.2,météo très défavorable
2009-02-03,2,-4,6,-4,2,-2,0,62,10,1025,14.25,2,0,-2,113,113,113,0,1,10.2,météo très défavorable
2009-02-04,2,-4,3,-4,2,-3,0.1,67,9.875,1030,8.75,3,0,-0,179,113,113,0,1,10.2,météo très défavorable
2009-02-05,4,-5,4,-5,3,-1,0,75,10,1029,16.25,4,0,-0,113,113,113,0,1,10.2,météo très défavorable
2009-02-06,5,-3,6,-3,5,0,0,80,10,1020,31.125,5,1,1,116,116,116,0,1,10.3,météo très défavorable
2009-02-07,5,-2,6,-2,5,0,0,77,10,1018,18.375,6,0,2,113,113,113,0,1,10.7,météo très défavorable
2009-02-08,5,-3,4,-3,5,-0,0,71,10,1022,7,6,0,2,113,113,113,0,1,10.7,météo très défavorable
2009-02-09,5,-2,5,-2,5,2,0,85,9,1022,41,5,2,2,113,116,119,0,1,10,météo très défavorable
2009-02-10,7,1,17,1,7,4,0,90,6.75,1017,41.5,7,3,1,143,116,113,0,1,10.7,météo très défavorable
2009-02-11,4,-0,15,1,4,0,1.2,82,7.75,1009,36.125,4,1,-1,293,113,176,0,1,10.8,météo très défavorable
2009-02-12,6,-2,5,-2,5,-0,0.1,73,10,1020,16.125,7,0,-0,113,113,116,0,1,10.8,météo très défavorable
2009-02-13,7,-2,4,-2,7,1,0,71,10,1022,7.625,8,2,4,113,113,113,0,1,10.8,météo très défavorable
2009-02-14,8,-2,7,-2,8,2,0,68,10,1020,4.5,8,1,4,113,113,113,0,1,10.8,météo très défavorable
2009-02-15,8,-2,7,-2,8,2,0,69,10,1019,7.125,8,1,5,113,113,113,0,1,10.9,météo très défavorable
2009-02-16,8,-1,6,-1,7,3,0,69,9,1017,6.375,9,0,2,113,113,113,0,1,10.9,météo très défavorable
2009-02-17,8,-0,9,-0,8,3,0,73,10,1016,20.625,8,0,4,113,116,113,0,1,10.9,météo très défavorable
2009-02-18,2,-3,9,-3,2,-2,0,53,10,1022,11.75,2,0,-2,113,113,113,0,1,10.9,météo très défavorable
2009-02-19,3,-5,3,-5,3,-2,0,34,10,1026,12.75,5,0,2,113,113,113,0,1,11,météo très défavorable
2009-02-20,6,-4,9,-4,5,1,0,53,10,1021,27.625,6,0,-0,116,113,116,0,1,11,météo très défavorable
2009-02-21,7,-0,7,-0,6,3,0,71,10,1013,34.875,7,0,1,116,116,116,0,1,11,météo très défavorable
2009-02-22,2,-2,10,-0,1,-0,3,75,9.125,1011,47.75,2,0,-3,182,263,116,0,1,11,météo très défavorable
2009-02-23,4,-2,7,-2,4,-0,0,63,10,1020,14.25,4,0,-1,113,113,113,0,1,11,météo très défavorable
2009-02-24,6,-4,8,-4,5,0,0,52,10,1025,9.375,6,0,-1,113,113,113,0,1,11.1,météo très défavorable
2009-02-25,5,-3,5,-3,5,1,0,63,10,1022,34,5,0,3,113,116,116,0,1,11.1,météo très défavorable
2009-02-26,7,-0,4,-0,7,2,0,64,10,1019,31,8,0,4,113,113,116,0,1,11.1,météo très défavorable
2009-02-27,7,-1,5,-1,7,4,0.1,68,10,1018,38.125,7,1,2,116,116,116,0,1,11.1,météo très défavorable
