DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,22,13,28,30,25,4.3,78,9.625,1011,30.125,35,25,28,116,113,116,0,1,11.6,météo favorable
2009-01-02,30,22,11,27,29,24,4.4,87,6.375,1011,33,35,25,27,113,200,248,0,1,11.6,météo correcte
2009-01-03,30,22,7,28,29,25,5.4,89,5.25,1011,40.625,36,26,28,116,113,143,0,1,11.6,météo favorable
2009-01-04,30,22,9,27,30,24,2.9,87,6.125,1011,49.125,34,25,27,113,116,143,0,1,11.6,météo favorable
2009-01-05,28,22,11,27,28,23,6.7,91,5.625,1011,71,32,25,26,116,200,248,0,1,10.3,météo défavorable
2009-01-06,31,22,12,26,31,24,3.1,79,7,1012,52,35,24,26,116,116,113,0,1,11.6,météo favorable
2009-01-07,32,21,9,27,32,25,0.1,74,8,1012,21.25,34,22,27,113,116,113,0,1,11.6,météo favorable
2009-01-08,33,21,6,27,32,26,0.3,66,9.875,1013,27.25,35,22,28,113,116,116,0,1,11.6,météo favorable
2009-01-09,34,24,6,27,32,25,2.4,69,9.875,1012,33,37,23,27,113,116,116,0,1,11.6,météo favorable
2009-01-10,30,22,9,26,30,23,2.9,86,6.625,1012,42.375,37,26,27,116,113,143,0,1,11.6,météo favorable
2009-01-11,30,22,8,26,29,23,1.2,87,6.25,1010,62.125,35,24,26,116,116,248,0,1,11.6,météo correcte
2009-01-12,30,21,7,27,29,24,3.6,89,5.75,1010,58.5,35,25,27,116,116,248,0,1,13,météo correcte
2009-01-13,29,22,12,27,29,24,3.2,91,6.125,1012,63.25,36,26,27,119,116,248,0,1,11.9,météo correcte
2009-01-14,30,22,13,27,29,24,4.1,90,6.75,1010,45.875,36,26,27,113,116,248,0,1,13,météo favorable
2009-01-15,28,22,13,27,28,24,5.2,97,5.75,1010,71.5,33,25,25,116,200,248,0,1,11.9,météo défavorable
2009-01-16,29,22,11,23,29,24,5.1,93,6.625,1011,61.875,34,26,23,119,116,143,0,1,13,météo correcte
2009-01-17,30,22,14,25,30,24,3,90,7.625,1011,60,34,25,25,116,200,143,0,1,12.9,météo correcte
2009-01-18,30,22,14,26,30,24,3,88,6.625,1011,53.625,34,25,26,116,119,116,0,1,12.9,météo correcte
2009-01-19,23,22,7,23,23,22,0,96,2,1010,77.25,25,22,22,143,143,143,0,1,10.6,météo défavorable
2009-01-20,26,21,8,24,25,22,1,95,5.875,1010,70.5,28,23,23,122,116,143,0,1,10.6,météo défavorable
2009-01-21,28,20,9,24,27,23,2.9,89,6.875,1012,35.5,31,24,24,116,113,143,0,1,12.9,météo favorable
2009-01-22,25,21,5,22,25,22,1,92,6.375,1013,57.75,28,22,23,116,119,116,0,1,11.9,météo correcte
2009-01-23,28,21,9,23,28,24,4.8,92,6.625,1012,49.875,33,26,23,116,200,248,0,1,12.9,météo correcte
2009-01-24,28,22,10,24,28,23,5.3,92,6.25,1012,51.875,33,25,24,119,116,248,0,1,11.9,météo favorable
2009-01-25,30,21,11,26,30,23,2.1,88,6.125,1014,54.875,34,25,26,116,113,248,0,1,12.9,météo favorable
2009-01-26,31,20,9,27,28,23,3.2,92,4.75,1016,51.5,34,25,26,113,116,248,0,1,12.9,météo favorable
2009-01-27,29,20,6,27,27,22,3.3,92,4.5,1015,68.25,33,25,26,116,116,248,0,1,12.9,météo défavorable
2009-01-28,29,20,6,27,28,23,0,91,5,1014,65.75,34,25,27,116,116,248,0,1,12.9,météo défavorable
2009-01-29,28,20,6,27,27,22,6.2,92,4.25,1014,68.75,33,25,26,116,116,248,0,1,12.9,météo défavorable
2009-01-30,28,20,8,27,27,21,6.1,94,6.875,1013,46.375,32,25,25,116,116,248,0,1,11.6,météo favorable
2009-01-31,27,19,9,26,27,22,3.5,93,7.25,1012,44.75,31,24,26,113,116,248,0,1,11.6,météo favorable
2009-02-01,30,19,8,26,28,23,4.5,93,5.75,1013,63.125,33,25,26,113,116,248,0,1,10.3,météo correcte
2009-02-02,29,21,9,26,28,23,3.2,91,4.75,1013,58.5,33,25,26,116,116,143,0,1,11.6,météo correcte
2009-02-03,30,20,8,26,29,23,0.2,89,5.125,1012,55.75,34,25,27,113,116,143,0,1,11.6,météo correcte
2009-02-04,28,22,6,25,28,23,7.4,96,5.875,1013,66,33,25,25,116,116,248,0,1,11.6,météo défavorable
2009-02-05,28,21,8,26,27,23,9.6,97,5.5,1013,69.375,34,25,25,113,119,248,0,1,8.9,météo défavorable
2009-02-06,28,21,12,25,27,22,1.2,91,5,1011,69.25,31,24,25,116,116,248,0,1,11.6,météo défavorable
2009-02-07,26,21,14,23,26,22,2.3,92,6.375,1009,67.125,29,23,24,119,116,113,0,1,7.6,météo défavorable
2009-02-08,27,20,13,24,26,22,1.9,95,6.5,1011,66.375,30,24,24,119,116,248,0,1,10.3,météo défavorable
2009-02-09,27,20,9,23,27,23,7.7,95,5.375,1013,73.625,31,25,23,119,116,248,0,1,8.9,météo défavorable
2009-02-10,27,21,5,25,27,22,11.3,95,6.375,1014,69,32,25,25,116,119,248,0,1,10.2,météo défavorable
2009-02-11,26,21,6,24,26,22,3.7,94,5.25,1014,75.625,29,24,24,143,116,248,0,1,7.5,météo défavorable
2009-02-12,28,20,9,24,27,22,1.5,94,5,1014,70,30,24,24,113,116,248,0,1,10.2,météo défavorable
2009-02-13,26,19,8,23,24,21,0.1,88,7.5,1014,66.125,28,21,23,116,119,116,0,1,10.2,météo défavorable
2009-02-14,29,19,8,25,29,23,1.1,86,5.375,1015,32.875,33,24,25,113,113,143,0,1,11.6,météo favorable
2009-02-15,28,19,9,26,27,21,2,94,4.875,1014,63.375,31,24,25,113,116,248,0,1,11.6,météo correcte
2009-02-16,26,20,9,25,26,21,6.8,96,4.25,1013,76.5,30,25,25,116,119,248,0,1,10.2,météo défavorable
2009-02-17,27,20,8,26,27,22,3.7,92,4.75,1013,63,31,25,26,116,116,248,0,1,11.6,météo correcte
2009-02-18,27,20,9,26,27,21,5.6,96,4.5,1013,67.25,32,25,25,116,116,248,0,1,11.6,météo défavorable
2009-02-19,27,19,7,26,27,21,3.4,94,4.75,1011,65.375,31,24,25,113,116,248,0,1,11.6,météo défavorable
2009-02-20,28,20,9,26,27,22,2.8,93,5.875,1012,53.125,31,24,25,116,113,248,0,1,11.6,météo favorable
2009-02-21,27,20,8,25,27,22,5.1,95,5.625,1012,58.75,31,24,25,113,116,248,0,1,11.6,météo correcte
2009-02-22,29,21,7,25,28,23,5,95,5.625,1011,67.5,34,26,25,116,200,248,0,1,10.2,météo défavorable
2009-02-23,27,20,12,24,26,21,1.8,96,5,1012,74.25,31,25,24,116,119,248,0,1,10.2,météo défavorable
2009-02-24,27,18,8,25,27,22,3.6,96,6,1014,58.625,30,24,25,116,200,248,0,1,11.6,météo correcte
2009-02-25,30,20,8,25,28,22,3,95,5.75,1014,56.75,35,24,25,113,116,248,0,1,11.6,météo correcte
2009-02-26,29,19,6,26,28,22,4.5,95,4.5,1013,64.125,35,25,26,113,116,248,0,1,11.6,météo correcte
2009-02-27,29,21,4,26,28,23,4.2,94,4.5,1013,63.625,33,25,26,113,116,248,0,1,11.6,météo correcte
2009-02-28,30,21,9,25,30,23,1.7,88,6,1013,48,33,25,25,113,113,248,0,1,11.6,météo favorable
2009-03-01,30,21,10,25,30,23,0,91,5,1014,56.25,34,25,25,113,113,248,0,1,11.6,météo correcte
2009-03-02,29,21,7,26,29,23,0,86,5.25,1014,52.875,32,24,26,113,116,143,0,1,11.6,météo favorable
2009-03-03,29,21,9,26,29,22,2.9,91,6.625,1013,40,33,25,26,113,116,248,0,1,11.6,météo favorable
2009-03-04,28,22,5,22,28,22,8.4,98,5.375,1013,79.125,33,25,23,248,116,248,0,1,8.9,météo défavorable
2009-03-05,24,21,7,22,23,21,13.7,99,3.25,1013,82.375,27,23,22,248,143,248,0,1,7.5,météo défavorable
2009-03-06,28,20,6,23,27,23,4.3,96,5.875,1014,69.375,31,25,23,116,116,248,0,1,10.2,météo défavorable
2009-03-07,29,20,7,23,28,23,8.2,96,5.25,1015,72.75,33,25,23,116,200,248,0,1,10.2,météo défavorable
2009-03-08,29,20,3,26,28,22,5.7,95,6.75,1015,46,35,26,26,113,116,248,0,1,11.6,météo favorable
2009-03-09,28,22,6,26,27,23,5,98,5.625,1015,66.5,33,25,25,113,119,248,0,1,8.8,météo défavorable
2009-03-10,26,21,11,24,26,22,4.3,98,4.875,1014,84.75,30,24,24,116,200,248,0,1,7.5,météo défavorable
2009-03-11,28,20,12,24,28,22,1,91,5,1013,69.625,31,24,24,116,116,248,0,1,11.6,météo défavorable
2009-03-12,28,19,10,23,28,21,0.4,89,4.875,1012,59.125,31,23,23,116,113,248,0,1,11.6,météo correcte
2009-03-13,28,19,11,23,27,21,2.8,97,4.625,1013,71,31,24,23,116,116,248,0,1,10.2,météo défavorable
2009-03-14,29,20,8,24,27,22,5.8,97,5.875,1014,72,33,25,24,116,116,248,0,1,10.2,météo défavorable
2009-03-15,27,20,6,24,26,22,4.7,97,4.625,1013,78,30,25,25,116,119,248,0,1,8.8,météo défavorable
2009-03-16,29,20,5,24,27,23,5.8,96,5.75,1011,70.5,33,25,25,116,116,248,0,1,10.2,météo défavorable
2009-03-17,27,21,5,26,27,23,9.5,96,5.375,1010,67.875,33,26,26,116,116,248,0,1,11.6,météo défavorable
2009-03-18,27,22,7,23,27,24,5.4,97,5.625,1011,65.375,32,25,23,248,200,248,0,1,10.2,météo défavorable
2009-03-19,28,22,9,25,28,24,1.8,95,6,1011,64.5,33,26,25,119,116,248,0,1,10.2,météo correcte
2009-03-20,29,22,8,26,28,24,4.9,96,5.625,1012,73,34,26,26,116,200,248,0,1,11.6,météo défavorable
2009-03-21,23,22,7,23,23,22,13.7,98,4.375,1011,66.625,26,23,22,143,248,248,0,1,8.8,météo défavorable
2009-03-22,26,22,9,22,26,23,23.5,99,5.25,1010,86.875,30,24,22,248,116,248,0,1,7.4,météo très défavorable
2009-03-23,25,20,15,21,25,22,3,97,7.25,1012,80.625,28,22,21,143,116,122,0,1,8.8,météo défavorable
2009-03-24,27,19,11,22,27,21,0.1,88,10,1013,25,29,22,22,113,116,113,0,1,11.6,météo favorable
2009-03-25,27,19,12,22,27,21,0,86,9,1014,16.375,28,22,22,113,113,113,0,1,11.6,météo idéale
2009-03-26,27,18,12,22,27,21,0,85,5.75,1014,29.875,29,22,22,113,113,143,0,1,11.6,météo idéale
2009-03-27,28,18,9,23,28,22,0.3,89,4.875,1013,56.625,31,23,23,113,113,248,0,1,11.6,météo correcte
2009-03-28,28,20,8,23,28,21,1.6,94,4.875,1013,67.375,31,24,23,119,113,248,0,1,10.2,météo défavorable
2009-03-29,28,19,8,25,27,22,3.5,97,4.375,1013,68.25,31,25,24,113,200,248,0,1,10.2,météo défavorable
2009-03-30,27,21,10,25,27,22,1.4,93,5,1012,71,30,24,24,116,116,248,0,1,11.6,météo défavorable
2009-03-31,27,20,12,25,27,22,2.6,97,4.875,1012,67,31,24,24,113,116,248,0,1,11.6,météo défavorable
2009-04-01,26,20,8,24,25,22,4.1,98,5.25,1013,83.125,29,24,23,116,143,248,0,1,7.4,météo défavorable
2009-04-02,26,21,9,22,26,22,4.4,98,5.75,1014,75.25,30,23,22,248,119,248,0,1,7.4,météo défavorable
2009-04-03,27,21,12,24,26,22,1.8,97,6.25,1014,83,30,24,23,116,119,248,0,1,8.8,météo défavorable
2009-04-04,26,21,15,22,26,21,1.4,95,6.375,1015,71.875,28,23,22,122,200,116,0,1,7.4,météo défavorable
2009-04-05,26,20,15,21,26,22,0.1,91,9,1016,54.5,28,21,22,119,116,116,0,1,10.2,météo favorable
2009-04-06,26,20,16,22,26,21,0,86,10,1014,61.75,28,21,22,119,116,116,0,1,8.8,météo correcte
2009-04-07,26,20,17,21,26,21,0.1,90,10,1014,67.625,28,21,22,119,116,119,0,1,8.8,météo défavorable
2009-04-08,27,21,17,23,27,21,0.3,85,9,1013,62.25,29,21,23,119,113,119,0,1,10.2,météo correcte
2009-04-09,24,21,15,22,24,22,0.6,93,8,1012,89.125,26,21,22,122,122,119,0,1,6,météo défavorable
2009-04-10,26,21,17,23,26,22,0.2,89,10,1014,66.5,28,21,23,119,116,119,0,1,8.8,météo défavorable
2009-04-11,25,21,15,22,25,21,0.4,92,9,1015,79.75,27,21,22,122,116,122,0,1,8.8,météo défavorable
2009-04-12,25,19,14,22,25,20,0.1,86,8,1016,57.375,27,20,22,119,116,143,0,1,10.2,météo correcte
2009-04-13,25,16,12,21,25,20,0,87,6.5,1017,44.5,27,20,21,113,116,113,0,1,11.6,météo favorable
2009-04-14,25,18,13,21,25,20,0,87,5.75,1019,66,27,20,21,119,116,143,0,1,8.8,météo défavorable
2009-04-15,24,19,14,21,24,20,0.9,85,10,1019,70.25,26,19,21,122,353,116,0,1,7.3,météo défavorable
2009-04-16,25,18,14,19,25,19,0.2,92,8,1019,67.125,26,19,19,119,116,116,0,1,7.3,météo défavorable
2009-04-17,26,18,14,20,26,19,0.1,87,7.75,1017,42.625,27,20,20,116,113,143,0,1,11.6,météo favorable
2009-04-18,27,17,10,21,27,19,0.2,88,5.125,1016,59.375,28,21,21,113,116,248,0,1,11.6,météo correcte
2009-04-19,27,18,6,23,27,20,1.4,94,5,1017,68.375,30,22,23,116,116,248,0,1,11.6,météo défavorable
2009-04-20,28,18,5,24,26,21,1.3,98,4.75,1017,66.375,31,24,23,116,116,248,0,1,11.6,météo défavorable
2009-04-21,26,18,8,24,25,21,4.1,98,4.5,1018,70.625,29,23,22,113,116,248,0,1,10.2,météo défavorable
2009-04-22,24,19,15,20,24,20,0.8,95,6.5,1018,82.25,26,20,20,119,116,122,0,1,8.7,météo défavorable
2009-04-23,22,18,17,20,22,19,0.2,91,9,1019,67.375,25,18,20,119,122,116,0,1,5.9,météo défavorable
2009-04-24,25,16,14,21,25,18,0,86,5.5,1019,43.5,26,18,21,116,116,143,0,1,11.6,météo favorable
2009-04-25,26,15,7,20,26,18,0,86,5,1018,54.125,27,19,21,113,113,248,0,1,11.6,météo favorable
2009-04-26,27,15,8,23,27,20,1,95,4.875,1016,58.5,29,21,22,113,116,248,0,1,11.6,météo correcte
2009-04-27,28,16,6,24,28,21,1.3,87,5.375,1016,44.375,30,22,24,116,116,143,0,1,11.6,météo favorable
2009-04-28,30,18,8,24,30,20,0.5,82,6.875,1016,20.25,33,21,24,113,113,143,0,1,11.6,météo idéale
2009-04-29,28,18,9,23,28,21,0.4,89,6.75,1018,24.25,30,21,23,113,116,113,0,1,11.6,météo favorable
2009-04-30,27,18,7,21,27,19,0,92,5.25,1017,47.875,29,19,21,116,113,143,0,1,10.2,météo favorable
2009-05-01,28,15,8,23,28,20,0,79,6.5,1016,27.125,29,20,23,113,113,113,0,1,11.6,météo idéale
2009-05-02,27,17,9,24,26,21,2.3,97,4.875,1017,73.375,29,23,23,116,119,248,0,1,10.2,météo défavorable
