DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,0,18,1,1,1,6.9,96,7.375,1012,91.25,2,1,-3,320,143,119,0,1,3.1,météo très défavorable
2009-01-02,-0,0,10,-2,-0,-3,0,87,10,1017,21.5,0,0,-5,113,113,116,0,1,8.2,météo très défavorable
2009-01-03,3,0,22,-1,1,2,2.5,97,6,1022,98.25,3,2,-6,338,338,266,1.5,1,3.1,météo très défavorable
2009-01-04,2,0,28,2,1,1,8,97,7.875,1020,99.625,2,2,-5,317,326,338,5.8,1,3.1,météo très défavorable
2009-01-05,4,0,5,2,3,3,2.8,97,3.375,1014,100,4,3,1,266,143,143,0,1,3.1,météo très défavorable
2009-01-06,7,0,18,3,4,5,13.2,99,5.25,1013,100,7,7,-0,296,302,302,0,1,3.1,météo très défavorable
2009-01-07,8,0,14,7,8,7,9.7,98,7,1005,100,8,7,5,296,296,296,0,1,3.1,météo très défavorable
2009-01-08,7,0,40,7,5,2,1.1,94,9.75,1028,64,7,7,-2,122,119,113,0,1,5,météo très défavorable
2009-01-09,4,0,17,1,3,4,2.3,94,9.75,1035,72.875,4,4,-1,116,296,296,0,1,3.1,météo très défavorable
2009-01-10,4,0,20,3,3,3,16.4,99,8.5,1033,100,4,4,-2,302,302,302,0,1,3.1,météo très défavorable
2009-01-11,5,0,4,4,5,4,1.6,95,4,1038,93,5,4,4,266,143,266,0,1,3.1,météo très défavorable
2009-01-12,5,0,5,4,5,5,0.8,95,3.375,1038,83.875,6,5,4,266,266,266,0,1,3.1,météo très défavorable
2009-01-13,5,0,4,5,5,1,0.2,91,8,1036,54,6,5,3,119,116,113,0,1,6.8,météo très défavorable
2009-01-14,4,0,9,-0,4,1,0,86,10,1033,28.125,4,0,-0,113,113,116,0,1,8.4,météo très défavorable
2009-01-15,5,0,12,1,5,1,0,83,10,1029,30.625,5,1,-2,116,113,113,0,1,6.9,météo très défavorable
2009-01-16,5,0,12,-0,5,1,0,75,10,1032,23.875,5,0,-2,116,113,113,0,1,8.4,météo très défavorable
2009-01-17,6,0,12,0,6,3,0,76,10,1032,7.75,6,1,-1,113,113,113,0,1,8.5,météo très défavorable
2009-01-18,8,0,13,2,8,4,0,75,10,1031,0,8,3,1,113,113,113,0,1,8.5,météo très défavorable
2009-01-19,8,0,5,2,8,3,0,75,10,1030,1.875,8,2,3,113,113,113,0,1,8.5,météo très défavorable
2009-01-20,7,0,9,1,7,1,0,75,10,1026,28.75,7,1,1,113,113,116,0,1,8.5,météo très défavorable
2009-01-21,5,0,8,-1,5,0,0,75,10,1023,14.25,5,0,0,113,113,113,0,1,8.6,météo très défavorable
2009-01-22,5,0,11,-1,5,1,0,70,10,1023,9.5,5,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-23,3,0,7,-1,3,0,0,77,10,1025,11.375,3,0,0,113,113,116,0,1,8.7,météo très défavorable
2009-01-24,-0,0,7,-2,0,-0,0.6,68,8.75,1023,56.25,0,0,-2,116,335,335,0.5,1,3.5,météo très défavorable
2009-01-25,0,0,13,-2,0,-3,0.1,54,10,1028,34.5,0,0,-4,116,113,113,0.1,1,8.7,météo très défavorable
2009-01-26,-0,0,8,-5,-1,0,0,58,10,1031,31.5,0,0,-6,113,116,323,0,1,8.7,météo très défavorable
2009-01-27,3,0,25,-1,2,3,3.8,96,6.5,1026,91.125,3,2,-5,338,296,266,1.5,1,3.6,météo très défavorable
2009-01-28,5,0,12,2,5,3,0,90,10,1037,60.75,5,2,1,116,122,116,0,1,7,météo très défavorable
2009-01-29,4,0,10,2,4,4,0,96,3,1038,88,4,3,1,122,143,143,0,1,3.6,météo très défavorable
2009-01-30,5,0,16,2,5,4,0.2,95,6,1034,67.25,5,4,1,143,119,113,0,1,3.6,météo très défavorable
2009-01-31,5,0,10,1,5,2,0,83,10,1033,35.375,5,1,1,116,116,116,0,1,7,météo très défavorable
2009-02-01,2,0,13,1,2,2,4.7,95,9.625,1032,94.25,2,1,-2,317,296,296,0,1,3.6,météo très défavorable
2009-02-02,5,0,12,3,4,5,4.2,98,3.5,1024,97.125,5,5,1,296,248,248,0,1,3.6,météo très défavorable
2009-02-03,7,0,15,2,7,5,0,85,8,1022,60.375,7,4,1,116,116,122,0,1,7,météo très défavorable
