DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,13,18,12,15,15,4.1,96,9.25,1020,69,15,13,12,353,176,353,,,,météo défavorable
2009-01-02,14,12,16,11,13,13,7.3,96,5.375,1019,88,14,13,11,266,296,389,,,,météo défavorable
2009-01-03,14,12,19,12,14,14,18,93,8.5,1017,46.375,14,12,11,353,356,176,,,,météo très défavorable
2009-01-04,13,9,11,8,12,12,0.3,94,6.125,1019,49.5,13,11,8,143,119,116,,,,météo correcte
2009-01-05,11,9,15,8,10,10,1.2,87,6,1020,93.875,11,8,7,122,266,266,,,,météo défavorable
2009-01-06,11,9,20,8,10,10,0.3,75,9,1016,27.125,11,6,7,116,113,113,,,,météo défavorable
2009-01-07,9,4,14,5,7,7,0,87,10,1017,23.25,9,4,1,116,116,113,,,,météo très défavorable
2009-01-08,7,2,13,1,5,5,0,68,10,1019,1.125,7,0,-2,113,113,113,,,,météo très défavorable
2009-01-09,8,2,11,0,6,6,0,69,10,1021,12.875,8,0,-1,113,113,116,,,,météo très défavorable
2009-01-10,8,3,14,3,6,7,0,77,10,1025,16.375,8,0,0,113,113,113,,,,météo très défavorable
2009-01-11,11,2,14,0,7,9,0,75,10,1029,0.5,11,1,-1,113,113,113,,,,météo très défavorable
2009-01-12,11,3,15,3,7,10,0,79,10,1030,10.375,11,5,-1,113,113,113,,,,météo très défavorable
2009-01-13,13,11,22,10,13,13,16.4,90,8.25,1024,46.5,13,10,8,305,353,113,,,,météo très défavorable
2009-01-14,12,6,20,5,10,11,0,93,10,1024,35.5,12,8,5,113,116,116,,,,météo défavorable
2009-01-15,10,9,27,9,10,10,25.7,94,6.75,1016,97,10,9,6,302,308,296,,,,météo très défavorable
2009-01-16,13,8,17,9,10,11,1.1,89,9.625,1022,37.25,13,8,6,116,113,113,,,,météo correcte
2009-01-17,13,7,9,5,10,11,0,85,9.375,1025,27.375,13,9,6,113,116,116,,,,météo correcte
2009-01-18,14,11,16,10,12,14,3.9,98,3.875,1025,82.25,14,14,9,266,296,266,,,,météo défavorable
2009-01-19,14,13,36,12,14,14,12.1,94,8.75,1020,84.125,14,13,10,296,302,353,,,,météo défavorable
2009-01-20,11,8,40,8,8,8,16,80,9,1016,48,11,7,3,353,356,356,,,,météo très défavorable
2009-01-21,10,8,14,6,9,9,5.8,91,8.25,1021,76.375,10,8,5,266,296,119,,,,météo défavorable
2009-01-22,15,12,30,11,14,14,21.3,97,7,1019,100,15,14,10,302,302,296,,,,météo très défavorable
2009-01-23,16,15,34,14,16,16,7.9,92,5,1015,100,16,14,14,296,266,266,,,,météo défavorable
2009-01-24,15,13,27,12,14,14,1.9,75,9.625,1018,36.125,15,11,10,116,116,113,,,,météo correcte
2009-01-25,12,9,47,12,10,9,14.3,84,8.25,1012,57.5,12,10,5,356,356,356,,,,météo défavorable
2009-01-26,11,9,27,8,11,11,9.4,82,8.25,1022,67.875,11,8,6,356,353,266,,,,météo défavorable
2009-01-27,13,11,20,10,12,12,1.9,90,9.75,1024,84.75,13,11,9,116,122,296,,,,météo défavorable
2009-01-28,14,13,21,13,14,14,10.2,96,7.5,1023,97.625,14,14,11,296,296,356,,,,météo défavorable
2009-01-29,15,14,24,13,15,15,6.9,95,6.625,1018,94.75,15,13,13,356,353,122,,,,météo défavorable
2009-01-30,13,11,40,10,13,13,35.6,91,4.875,1012,96,13,12,8,296,296,308,,,,météo très défavorable
