DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,17,4,22,29,22,0,76,10,1013,11.25,31,18,22,113,113,113,0,1,11.6,météo idéale
2009-01-02,30,16,3,22,30,21,0.1,82,10,1014,12.25,33,19,22,113,113,116,0,1,11.6,météo idéale
2009-01-03,30,17,4,22,29,21,0,73,10,1014,9,32,18,22,113,113,113,0,1,11.6,météo idéale
2009-01-04,30,19,6,23,30,22,0.2,86,8.875,1013,12.625,32,21,22,113,113,176,0,1,11.6,météo idéale
2009-01-05,30,19,4,23,26,22,1.6,92,7.875,1011,39.625,33,21,22,113,116,296,0,1,8.8,météo favorable
2009-01-06,28,20,3,23,26,22,4.5,95,9,1012,61.75,31,21,22,116,353,353,0,1,8.8,météo correcte
2009-01-07,27,20,5,22,25,21,4,96,8,1013,48.75,29,22,22,263,176,176,0,1,10.2,météo favorable
2009-01-08,30,19,6,23,26,22,1.1,93,8,1014,42.5,32,22,22,116,353,353,0,1,10.2,météo correcte
2009-01-09,24,21,6,22,24,22,5.4,98,5.5,1014,89.625,27,23,22,266,353,299,0,1,5.9,météo défavorable
2009-01-10,24,20,7,21,24,21,18.4,98,5,1014,81,27,23,21,302,356,176,0,1,7.4,météo très défavorable
2009-01-11,29,19,5,21,29,22,0,86,7.5,1014,40.5,32,21,23,113,116,113,0,1,11.6,météo favorable
2009-01-12,29,18,8,22,29,21,0,87,9,1015,21.375,31,20,22,113,116,116,0,1,11.6,météo favorable
2009-01-13,27,19,10,22,27,21,0.2,89,8,1016,41.125,29,21,22,116,116,113,0,1,8.8,météo favorable
2009-01-14,28,19,9,22,28,21,0,90,10,1016,18.625,30,21,23,113,116,113,0,1,11.6,météo favorable
2009-01-15,31,18,6,22,31,22,0.1,87,8,1015,15.375,33,21,22,113,113,116,0,1,11.6,météo idéale
2009-01-16,30,18,8,21,30,22,0,79,10,1015,10.25,32,19,23,113,116,113,0,1,11.6,météo favorable
2009-01-17,29,18,5,21,29,22,0,88,10,1015,24.25,32,20,22,113,116,116,0,1,11.6,météo favorable
2009-01-18,30,18,4,22,30,22,0,81,9,1014,25.875,32,20,23,113,116,116,0,1,11.6,météo favorable
2009-01-19,29,18,8,22,28,22,0,80,10,1013,38.75,31,20,23,113,116,119,0,1,10.2,météo favorable
2009-01-20,29,19,5,21,26,22,1,92,8.875,1013,49.875,31,21,22,116,353,176,0,1,10.2,météo correcte
2009-01-21,30,18,5,20,30,22,0.6,89,7.375,1013,32.875,32,21,23,113,113,263,0,1,8.8,météo favorable
2009-01-22,29,20,7,22,29,22,0.1,79,10,1012,23,31,20,23,113,113,113,0,1,11.6,météo idéale
2009-01-23,30,19,4,21,30,22,0.1,86,10,1011,41,31,20,23,122,113,113,0,1,11.6,météo favorable
2009-01-24,29,18,3,22,26,22,0,86,7.75,1011,46.875,31,20,22,113,116,119,0,1,8.8,météo favorable
2009-01-25,27,19,5,21,25,22,1.3,96,8,1013,65.875,29,22,22,116,353,353,0,1,7.4,météo défavorable
2009-01-26,30,20,5,23,27,21,4.8,99,5.75,1012,68.625,34,24,22,116,356,176,0,1,7.4,météo défavorable
2009-01-27,29,19,4,24,26,22,11,98,4.5,1013,81.25,33,23,22,116,356,356,0,1,7.4,météo défavorable
2009-01-28,29,20,4,23,26,22,7.7,97,7.25,1013,59.625,32,23,22,116,356,353,0,1,10.2,météo correcte
