DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-5,11,-4,0,-4,0,91,6.25,1029,31.75,0,0,-6,260,113,113,0,1,8.4,météo très défavorable
2009-01-02,-3,-13,15,-13,-4,-4,0,98,7,1026,32.25,0,0,-9,143,143,119,0,2,6.8,météo très défavorable
2009-01-03,-6,-17,16,-9,-6,-12,0,96,8,1025,23.875,0,0,-14,113,116,113,0,2,8.4,météo très défavorable
2009-01-04,-5,-16,7,-16,-5,-16,0,93,10,1025,26.125,0,0,-11,113,116,113,0,2,8.4,météo très défavorable
2009-01-05,-6,-10,8,-10,-6,-7,0,93,9,1021,61.625,0,0,-11,119,119,116,0,1,5,météo très défavorable
2009-01-06,-5,-9,23,-7,-5,-7,0,98,10,1018,69.25,0,0,-14,116,119,122,0,2,3.2,météo très défavorable
2009-01-07,-5,-9,29,-8,-7,-8,0,97,10,1021,61.875,0,0,-15,119,122,116,0,2,3.3,météo très défavorable
2009-01-08,-5,-11,22,-9,-6,-10,0,97,7,1028,37.75,0,0,-15,119,116,143,0,2,8.7,météo très défavorable
2009-01-09,-3,-17,6,-17,-3,-9,0,94,5.5,1030,4.375,0,0,-9,260,113,113,0,1,8.7,météo très défavorable
2009-01-10,-1,-10,8,-10,-1,-7,0,92,10,1030,7.375,0,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,-2,-15,8,-14,-2,-11,0,85,10,1034,0,0,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,1,-17,11,-5,1,-6,0,100,7.5,1033,23.125,1,1,-6,113,248,116,0,1,6.9,météo très défavorable
2009-01-13,1,-10,10,-3,1,-10,0,100,8.75,1025,24.25,1,1,-4,116,248,113,0,2,6.9,météo très défavorable
2009-01-14,0,-9,6,-9,0,0,1,100,5.25,1018,56.125,0,0,-6,113,248,260,0.8,2,5.1,météo très défavorable
2009-01-15,0,-11,17,-3,-1,-11,0,99,3.25,1023,47,0,0,-6,260,119,260,0,1,6.9,météo très défavorable
2009-01-16,1,-8,10,-4,1,-4,0,100,8.75,1025,38.5,1,1,-5,113,248,113,0,2,3.4,météo très défavorable
2009-01-17,1,-2,19,-2,1,1,0,100,10,1025,58,1,1,-4,113,122,122,0,2,5.2,météo très défavorable
2009-01-18,2,0,44,1,1,2,0.2,99,9,1020,73.875,2,2,-6,119,119,122,0,1,3.4,météo très défavorable
2009-01-19,5,1,35,2,5,5,2.2,93,9.875,1014,65.375,6,5,-1,116,116,122,0,2,5.2,météo très défavorable
