DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,18,13,18,25,19,4.2,86,6,1017,63.625,27,19,18,263,176,353,,,,météo correcte
2009-01-02,26,20,13,20,24,19,17,90,8.625,1016,64.25,27,21,20,176,356,356,,,,météo très défavorable
2009-01-03,27,21,12,21,27,20,3.7,90,8.875,1015,47.875,28,20,21,113,113,353,,,,météo favorable
2009-01-04,28,22,11,22,28,19,9.6,76,8.875,1017,37.25,29,19,22,113,113,356,,,,météo correcte
2009-01-05,25,16,12,16,25,19,10,95,8.5,1017,70.875,26,20,16,296,386,353,,,,météo défavorable
2009-01-06,30,22,14,22,30,22,2.5,83,10,1015,25.125,31,20,22,113,113,113,,,,météo idéale
2009-01-07,30,24,10,24,30,22,2.4,70,10,1014,23.5,32,21,24,113,386,386,,,,météo correcte
2009-01-08,30,24,9,24,29,23,4,82,7.5,1015,45.75,32,22,24,113,386,386,,,,météo correcte
2009-01-09,31,25,10,25,31,22,1.6,75,6.75,1014,28.5,32,22,25,113,113,386,,,,météo idéale
2009-01-10,25,21,7,25,25,19,66.2,98,5.125,1016,54.875,28,22,21,176,359,359,,,,météo très défavorable
2009-01-11,18,16,8,16,18,17,45.2,97,5.125,1016,82.25,18,17,16,302,293,266,,,,météo très défavorable
2009-01-12,24,19,9,19,24,19,35.8,97,5.5,1013,76.875,26,22,19,263,356,359,,,,météo très défavorable
2009-01-13,24,18,9,18,24,18,21.9,97,7,1015,70.625,26,20,18,266,176,353,,,,météo très défavorable
2009-01-14,26,19,15,19,25,18,5.3,93,7.5,1017,56,27,20,19,176,176,353,,,,météo correcte
2009-01-15,23,17,13,17,22,18,2.5,96,3.875,1017,75.5,25,18,17,266,353,248,,,,météo défavorable
2009-01-16,28,21,9,21,28,20,0.5,79,7,1016,23.625,29,20,21,113,113,143,,,,météo idéale
2009-01-17,29,24,10,24,29,21,15.1,87,8.75,1014,43.875,31,23,24,113,113,356,,,,météo défavorable
2009-01-18,20,18,10,18,20,19,19.2,98,6.75,1016,96.125,20,19,18,302,263,296,,,,météo très défavorable
2009-01-19,23,19,12,19,23,17,29.5,98,7.25,1018,79,25,21,19,356,356,359,,,,météo très défavorable
2009-01-20,18,16,10,16,18,17,12.6,98,5,1018,99.25,18,17,16,302,266,296,,,,météo défavorable
2009-01-21,25,16,10,16,25,19,6.1,97,7.625,1016,75.375,26,20,16,296,386,353,,,,météo défavorable
2009-01-22,25,19,13,20,24,18,10,93,6.75,1014,57,26,20,19,263,356,293,,,,météo correcte
2009-01-23,24,20,11,21,23,18,8.6,92,8.5,1014,53.75,26,19,20,116,353,356,,,,météo correcte
2009-01-24,22,17,12,17,22,19,9,98,7.75,1015,86.875,24,19,17,296,353,353,,,,météo défavorable
2009-01-25,25,20,9,20,25,20,13.9,95,7.25,1016,61,27,21,20,356,356,386,,,,météo défavorable
2009-01-26,26,22,14,22,25,19,3.6,84,6,1017,57.5,27,20,22,113,176,353,,,,météo correcte
2009-01-27,28,22,8,22,28,20,16.9,84,7.5,1016,38,30,22,22,113,386,356,,,,météo très défavorable
2009-01-28,18,15,15,17,15,14,53.8,98,6.5,1020,98.25,18,18,15,308,302,302,,,,météo très défavorable
2009-01-29,18,14,7,14,18,17,14.2,97,8.875,1018,85.125,18,17,14,296,299,296,,,,météo défavorable
2009-01-30,19,15,10,15,19,17,18.7,99,7.375,1016,85.875,19,18,15,296,308,176,,,,météo très défavorable
2009-01-31,26,18,12,18,26,19,1.9,91,6.5,1016,61.5,27,20,18,116,113,353,,,,météo correcte
2009-02-01,26,19,11,19,26,18,1.8,97,5.5,1016,56.625,27,19,19,266,113,176,,,,météo correcte
