DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-7,9,-7,-3,-5,0,94,10,1030,1.125,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-02,-4,-8,20,-8,-6,-6,0.2,97,8,1023,60.75,0,0,-16,119,122,143,,,,météo très défavorable
2009-01-03,-5,-9,22,-10,-5,-7,0.2,95,4.75,1025,47,0,0,-14,143,122,143,,,,météo très défavorable
2009-01-04,-6,-11,13,-10,-7,-11,0,93,10,1025,8.125,0,0,-17,113,113,113,,,,météo très défavorable
2009-01-05,-6,-11,6,-10,-7,-9,0.2,95,9,1023,54.75,0,0,-15,116,116,143,,,,météo très défavorable
2009-01-06,-6,-9,12,-10,-7,-7,2.7,95,9.375,1027,99.75,0,0,-14,326,326,122,,,,météo très défavorable
2009-01-07,-6,-11,14,-11,-9,-9,0.2,97,8.75,1027,62.125,0,0,-17,122,116,260,,,,météo très défavorable
2009-01-08,-5,-8,26,-8,-5,-6,0.2,94,9,1031,42.625,0,0,-15,113,116,122,,,,météo très défavorable
2009-01-09,-6,-12,15,-12,-8,-7,0,89,10,1034,20.5,0,0,-18,113,116,116,,,,météo très défavorable
2009-01-10,-1,-5,28,-7,-2,-2,0.5,93,10,1030,60.375,0,0,-11,116,119,119,,,,météo très défavorable
2009-01-11,-2,-8,9,-6,-4,-8,0.2,98,4.25,1038,35.625,0,0,-11,260,143,260,,,,météo très défavorable
2009-01-12,1,-8,7,-8,-1,-6,0,86,10,1037,0,1,0,-11,113,113,113,,,,météo très défavorable
2009-01-13,-1,-6,18,-6,-3,-3,0,87,10,1034,11,0,0,-12,113,113,113,,,,météo très défavorable
2009-01-14,1,-3,16,-3,0,0,0.1,94,10,1025,51.875,1,0,-8,116,113,119,,,,météo très défavorable
2009-01-15,5,2,6,0,4,4,5.2,99,5.75,1019,72.125,5,4,1,266,263,116,,,,météo très défavorable
2009-01-16,2,0,22,-1,2,2,5.6,97,8,1019,95.25,2,1,-4,143,122,326,,,,météo très défavorable
2009-01-17,0,-2,31,-3,-1,-1,2.9,89,9,1022,99.75,0,0,-9,122,326,122,,,,météo très défavorable
2009-01-18,-2,-7,10,-6,-4,-5,0.1,89,10,1022,24.875,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-19,1,-5,12,-5,-2,-1,0.8,95,6.25,1015,50.5,1,0,-9,113,284,143,,,,météo très défavorable
2009-01-20,3,-3,21,-4,1,0,0,94,7,1016,33,3,0,-7,113,116,119,,,,météo très défavorable
2009-01-21,6,3,29,2,4,6,2.2,98,6.375,1018,77.625,6,5,-2,119,266,119,,,,météo très défavorable
2009-01-22,8,6,35,5,8,8,2.2,94,8.875,1017,64.875,8,6,2,119,116,116,,,,météo très défavorable
2009-01-23,8,6,26,5,7,7,1.8,97,4.75,1011,72.25,8,6,2,266,266,113,,,,météo très défavorable
2009-01-24,8,6,25,4,8,8,5.7,96,5.5,995,90.75,8,6,2,266,266,119,,,,météo très défavorable
2009-01-25,7,5,15,4,6,6,1.3,98,5,1001,97,7,6,2,122,143,266,,,,météo très défavorable
2009-01-26,5,4,14,4,5,5,17.1,95,7.375,1006,100,5,4,1,296,296,266,,,,météo très défavorable
2009-01-27,8,5,9,3,7,7,3.9,95,6.75,1013,81.875,8,6,4,143,119,116,,,,météo très défavorable
2009-01-28,6,4,23,3,5,5,2.8,96,3.375,1013,100,6,4,0,122,266,266,,,,météo très défavorable
2009-01-29,5,3,19,1,4,4,24.9,100,7.125,1013,99.75,5,5,-2,266,302,302,,,,météo très défavorable
2009-01-30,2,0,25,-1,1,1,6.6,91,8.5,1019,100,2,0,-6,326,326,122,,,,météo très défavorable
2009-01-31,0,-1,16,-2,0,0,0.6,91,10,1019,97.875,0,0,-6,122,122,122,,,,météo très défavorable
2009-02-01,1,-2,12,-3,0,0,1.5,95,9,1024,98.75,1,0,-6,143,122,122,,,,météo très défavorable
2009-02-02,0,-1,7,-2,0,0,0.7,95,9,1027,86.75,0,0,-4,119,122,119,,,,météo très défavorable
2009-02-03,3,0,30,-2,2,2,3.6,94,9.875,1027,88.25,3,2,-6,326,326,326,,,,météo très défavorable
2009-02-04,8,5,27,4,6,8,4,97,3.75,1017,89.5,8,7,0,266,266,143,,,,météo très défavorable
2009-02-05,9,2,4,2,7,5,0,94,7,1006,65,9,5,2,116,119,119,,,,météo très défavorable
2009-02-06,12,3,12,4,9,8,0.4,91,9.875,1007,31,12,5,1,113,113,116,,,,météo très défavorable
2009-02-07,12,4,19,5,9,9,0.2,97,9,1006,23.25,12,7,1,143,113,113,,,,météo très défavorable
2009-02-08,9,8,20,7,9,9,4.4,96,5.375,1003,95.375,9,8,4,266,266,266,,,,météo défavorable
2009-02-09,9,5,26,8,7,5,16.5,95,5.125,1003,98.875,9,8,1,143,389,302,,,,météo très défavorable
2009-02-10,5,2,21,0,4,5,0.3,85,10,1008,55,5,1,-3,122,113,113,,,,météo très défavorable
2009-02-11,7,1,15,0,3,5,0.5,96,9,1007,65.125,7,2,-3,122,119,116,,,,météo très défavorable
2009-02-12,4,3,28,2,4,4,28.1,100,5.625,1003,89.75,4,4,-2,143,302,320,,,,météo très défavorable
2009-02-13,3,1,15,0,2,2,1.3,90,8.875,1002,90.5,3,1,-3,122,122,119,,,,météo très défavorable
2009-02-14,6,0,8,0,4,3,0.1,82,10,1007,45.375,6,0,-3,122,113,113,,,,météo très défavorable
2009-02-15,3,0,25,-1,2,2,0.5,93,10,1014,72.375,3,0,-4,116,122,122,,,,météo très défavorable
2009-02-16,0,-2,25,-4,0,0,0.6,76,10,1017,89.375,0,0,-9,122,122,122,,,,météo très défavorable
2009-02-17,2,-4,14,-4,0,-1,0,69,10,1018,29.375,2,0,-7,113,116,116,,,,météo très défavorable
2009-02-18,2,-3,8,-4,0,-1,0.2,81,10,1017,67,2,0,-7,116,119,119,,,,météo très défavorable
2009-02-19,0,-2,21,-3,0,0,8,91,7.125,1019,97.125,0,0,-6,326,326,332,,,,météo très défavorable
2009-02-20,1,-1,25,-3,0,0,4.1,88,8.125,1022,99,1,0,-7,326,122,122,,,,météo très défavorable
2009-02-21,0,-2,20,-3,0,0,0.4,87,10,1024,97.75,0,0,-7,122,122,122,,,,météo très défavorable
2009-02-22,-1,-3,16,-5,-2,-2,0.2,76,10,1025,89,0,0,-9,122,122,119,,,,météo très défavorable
2009-02-23,-1,-6,14,-7,-2,-3,0,94,9,1021,28.5,0,0,-11,113,116,113,,,,météo très défavorable
2009-02-24,1,-6,11,-6,-1,-2,0,94,9,1024,25.5,1,0,-10,143,116,113,,,,météo très défavorable
2009-02-25,-1,-6,13,-6,-3,-3,0,86,10,1028,33.25,0,0,-11,122,113,113,,,,météo très défavorable
2009-02-26,4,-5,9,-6,1,1,0,91,7,1026,41.375,4,0,-9,143,116,116,,,,météo très défavorable
2009-02-27,4,-2,10,-1,2,2,0.9,82,10,1015,90.75,4,0,-5,119,122,326,,,,météo très défavorable
2009-02-28,6,-1,15,-1,4,3,1.5,91,8.625,1013,55.625,6,0,-5,143,116,362,,,,météo très défavorable
2009-03-01,4,-3,18,-3,1,1,0,87,10,1019,27.25,4,0,-9,116,116,113,,,,météo très défavorable
2009-03-02,3,-3,17,-4,1,1,0,75,10,1021,2.75,3,0,-8,113,113,113,,,,météo très défavorable
2009-03-03,8,-1,4,-2,4,4,0,65,10,1021,0.875,8,0,-1,113,113,113,,,,météo très défavorable
2009-03-04,7,-1,20,-2,5,4,0,74,10,1020,14.125,7,1,-5,113,113,113,,,,météo très défavorable
2009-03-05,6,3,39,2,5,5,2,81,8.875,1015,86.75,6,1,-2,122,122,119,,,,météo très défavorable
