DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-7,10,-7,1,-1,3.8,95,7,1031,50.625,1,0,-6,113,116,143,3,1,5.2,météo très défavorable
2009-01-02,-3,-7,6,-4,-3,-7,3.7,99,4,1024,80,0,0,-9,260,113,260,3.1,1,6.9,météo très défavorable
2009-01-03,-7,-9,10,-9,-8,-9,6.8,99,1,1026,100,0,0,-14,260,260,260,5.7,1,3.4,météo très défavorable
2009-01-04,-8,-10,9,-10,-8,-9,3,100,2,1020,99.375,0,0,-13,260,260,260,2.5,1,3.4,météo très défavorable
2009-01-05,-4,-21,6,-21,-4,-18,0,98,1,1020,19.5,0,0,-16,260,143,143,0,1,8.7,météo très défavorable
2009-01-06,-5,-18,6,-18,-5,-10,0,100,1.75,1022,82.625,0,0,-12,143,260,260,0,1,3.4,météo très défavorable
2009-01-07,-1,-12,8,-12,-1,-7,0,99,0,1022,53.375,0,0,-7,260,260,260,0,1,8.7,météo très défavorable
2009-01-08,-3,-10,16,-3,-7,-8,3.7,99,3.25,1034,90.25,0,0,-13,122,122,260,3.2,1,3.4,météo très défavorable
2009-01-09,-5,-17,7,-17,-5,-10,0,99,0.25,1035,61.25,0,0,-12,260,260,260,0,1,6.9,météo très défavorable
2009-01-10,-4,-14,8,-6,-4,-12,0,99,2.75,1034,70.75,0,0,-8,260,260,143,0,1,3.4,météo très défavorable
2009-01-11,-4,-16,12,-16,-4,-12,0,99,3.25,1038,17,0,0,-12,143,143,260,0,1,8.7,météo très défavorable
2009-01-12,-1,-15,10,-13,-1,-11,0,99,1,1038,28.875,0,0,-10,143,143,260,0,1,6.9,météo très défavorable
