DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,33,24,15,24,33,27,0.7,78,7.875,1012,22.5,39,24,27,143,113,116,0,1,8.7,météo favorable
2009-01-02,31,23,14,23,31,27,0,72,9,1012,21.25,35,24,27,143,113,113,0,1,11.6,météo favorable
2009-01-03,31,23,12,23,31,26,2.3,79,8.75,1012,25.375,36,24,27,143,116,116,0,1,11.6,météo favorable
2009-01-04,30,23,13,23,30,27,1.1,75,8.75,1012,18,35,24,27,143,113,113,0,1,11.6,météo favorable
2009-01-05,30,24,11,24,30,27,0.9,75,9.875,1012,13.75,35,23,27,113,113,113,0,1,11.6,météo favorable
2009-01-06,33,24,13,24,33,28,0.4,75,9.875,1011,15.75,39,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-07,34,24,13,24,34,28,0,71,10,1010,15.5,40,24,28,113,113,113,0,1,11.6,météo correcte
2009-01-08,31,24,16,24,30,27,0.6,78,10,1010,18.75,35,24,27,116,116,113,0,1,11.6,météo favorable
2009-01-09,31,24,13,24,31,27,0.1,74,10,1012,35.375,35,23,27,119,113,116,0,1,11.6,météo favorable
2009-01-10,32,25,12,25,30,27,0,80,10,1013,34.5,34,23,26,116,116,113,0,1,11.6,météo favorable
2009-01-11,33,23,15,23,33,28,0.1,70,10,1012,19,36,24,28,116,116,113,0,1,11.6,météo favorable
2009-01-12,31,24,14,24,31,27,0.6,74,9.875,1011,15.25,35,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-13,32,24,10,24,32,27,1.3,77,8.75,1011,23.5,37,24,28,143,113,116,0,1,11.6,météo favorable
2009-01-14,31,25,10,25,31,27,2.5,82,9.75,1011,32.875,38,25,27,113,116,113,0,1,11.6,météo favorable
2009-01-15,34,24,13,24,34,27,0,77,10,1010,8.875,42,26,28,113,113,113,0,1,11.6,météo correcte
2009-01-16,32,24,15,24,32,28,0,70,10,1011,10.625,36,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-17,32,24,14,24,30,28,0,74,10,1011,45,36,23,27,119,116,113,0,1,11.6,météo favorable
2009-01-18,33,25,16,25,33,28,0.8,74,9.875,1012,42.5,37,23,28,119,116,116,0,1,11.6,météo favorable
2009-01-19,34,25,10,25,33,27,0,62,10,1013,38.375,35,24,27,116,113,116,0,1,11.6,météo favorable
2009-01-20,34,23,12,24,32,26,0,43,10,1013,42.625,33,22,27,116,116,116,0,1,11.6,météo favorable
2009-01-21,34,22,10,22,33,27,0,33,10,1011,21.625,34,14,27,116,113,116,0,1,11.6,météo idéale
2009-01-22,34,21,10,22,33,27,0,37,10,1013,20.5,32,15,27,116,113,113,0,1,11.6,météo idéale
2009-01-23,33,21,11,21,32,27,0,33,10,1014,11,31,15,26,113,113,113,0,1,11.6,météo idéale
2009-01-24,34,20,12,20,34,28,0,40,10,1013,9.625,33,16,28,113,113,113,0,1,11.6,météo idéale
2009-01-25,33,20,12,20,33,28,0,53,10,1012,9.25,34,20,28,113,113,113,0,1,11.6,météo idéale
2009-01-26,34,22,15,22,34,28,0,58,10,1012,10.5,35,21,28,116,113,113,0,1,11.6,météo favorable
2009-01-27,34,22,15,22,34,28,0,65,10,1013,5.125,39,22,28,113,113,113,0,1,11.6,météo favorable
2009-01-28,33,23,15,23,33,28,0,70,10,1011,10.375,38,24,28,113,113,113,0,1,11.6,météo favorable
2009-01-29,33,24,17,24,33,28,0,71,10,1011,15.625,37,23,28,113,113,113,0,1,11.6,météo favorable
