DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,0,11,1,11,11,0,75,9,1024,29.75,15,11,1,113,116,143,0,1,8.7,météo très défavorable
2009-01-02,21,0,11,15,20,19,0.4,97,5.5,1015,77.625,21,19,17,248,122,116,0,1,3.8,météo très défavorable
2009-01-03,22,0,22,18,20,19,2.6,95,8.375,1013,47.875,25,19,19,200,143,113,0,1,7.1,météo très défavorable
2009-01-04,22,0,12,17,22,19,4.6,95,6.375,1020,76.5,25,20,20,119,119,143,0,1,3.8,météo très défavorable
2009-01-05,15,0,10,12,13,13,7,97,4.625,1021,97.25,15,14,11,143,143,143,0,1,3.8,météo très défavorable
2009-01-06,12,0,13,12,11,11,7.6,96,7.5,1011,76.875,12,12,10,143,122,143,0,1,3.8,météo très défavorable
2009-01-07,16,0,17,3,14,11,0,71,10,1014,5.875,16,8,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,20,0,12,9,18,13,0,72,10,1016,1.25,20,10,11,113,113,113,0,1,8.7,météo favorable
2009-01-09,21,0,21,10,20,17,0,88,8,1018,17.25,21,17,14,143,113,113,0,1,8.7,météo favorable
2009-01-10,21,0,23,19,21,10,2.5,96,9.875,1022,76.125,21,20,11,122,119,116,0,1,3.8,météo très défavorable
2009-01-11,10,0,17,4,7,5,0,79,10,1027,28.625,10,5,-1,116,113,113,0,1,8.7,météo très défavorable
2009-01-12,13,0,8,1,12,6,0,70,10,1025,0.25,13,4,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,8,0,25,5,8,4,0,70,10,1027,0.5,8,2,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,12,0,6,-1,10,5,0,62,10,1028,0,12,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,8,0,21,2,8,4,0,79,10,1037,0.75,9,2,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,7,0,13,-3,5,1,0,53,10,1039,8,7,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,13,0,12,3,10,12,0.1,89,9,1034,56.75,13,12,2,122,116,143,0,1,5.5,météo très défavorable
2009-01-18,18,0,19,13,17,12,0.5,87,10,1023,32.5,18,13,12,119,113,113,0,1,8.7,météo favorable
2009-01-19,14,0,24,7,14,9,0,61,10,1017,11.75,14,6,8,116,113,113,0,1,8.7,météo très défavorable
2009-01-20,9,0,18,3,9,5,0,69,10,1024,3.75,9,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-21,12,0,15,-1,10,7,0,72,10,1026,0,12,4,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-22,20,0,20,6,19,14,0,82,10,1021,0.25,20,12,10,113,113,113,0,1,8.7,météo favorable
2009-01-23,21,0,24,13,21,17,0,84,10,1020,25.5,21,15,17,116,113,116,0,1,8.7,météo favorable
2009-01-24,15,0,22,15,10,6,1.2,96,5.25,1024,91.625,15,15,5,143,122,122,0,1,3.9,météo très défavorable
2009-01-25,13,0,8,5,10,9,0,90,10,1023,66.625,13,8,5,122,119,113,0,1,3.9,météo très défavorable
2009-01-26,16,0,14,8,12,16,1.3,96,7.625,1024,88.75,16,16,8,122,122,248,0,1,3.9,météo très défavorable
2009-01-27,21,0,17,14,21,19,0,93,7.5,1021,70.125,21,18,17,248,119,116,0,1,3.9,météo très défavorable
2009-01-28,16,0,16,6,7,6,3.1,88,8.625,1022,39.375,16,15,3,116,113,113,0,1,8.7,météo très défavorable
2009-01-29,12,0,13,-1,9,5,0,73,10,1024,1.875,12,3,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,14,0,13,1,12,8,0,70,10,1030,0,14,1,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,17,0,7,4,15,12,0,62,10,1028,0,18,5,7,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,13,0,14,7,12,13,4.4,95,9.875,1021,52.625,13,13,10,113,122,200,0,1,5.5,météo très défavorable
2009-02-02,13,0,26,12,12,8,2.2,91,8.75,1024,46.125,13,13,7,119,113,113,0,1,7.1,météo très défavorable
2009-02-03,16,0,15,2,14,9,0,58,10,1026,2.125,16,6,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-04,8,0,15,0,6,3,0,56,10,1036,0.25,8,3,-3,113,113,113,0,1,8.7,météo très défavorable
2009-02-05,14,0,12,-1,11,9,0,55,10,1036,1.125,14,7,1,113,113,113,0,1,8.7,météo très défavorable
2009-02-06,20,0,25,8,20,15,0,87,8.75,1031,20.375,20,13,12,248,113,113,0,1,8.7,météo favorable
2009-02-07,21,0,23,11,21,16,0,83,10,1028,13.75,24,13,16,116,116,113,0,1,8.7,météo favorable
2009-02-08,22,0,22,12,21,17,0,89,7.75,1027,49.25,24,16,16,248,122,116,0,1,7.2,météo très défavorable
2009-02-09,20,0,26,14,19,18,0.5,91,8,1021,53.75,20,16,15,116,119,119,0,1,4.1,météo très défavorable
2009-02-10,23,0,22,17,23,20,3.2,86,9,1017,68.75,25,19,20,116,116,122,0,1,8.7,météo très défavorable
2009-02-11,19,0,21,17,17,14,0,56,10,1019,12,19,17,13,116,113,113,0,1,8.7,météo favorable
2009-02-12,20,0,11,9,19,13,0,78,10,1023,11.25,20,10,12,116,113,113,0,1,8.7,météo favorable
2009-02-13,21,0,17,13,18,20,11.1,99,6.75,1019,69.75,21,19,15,200,248,143,0,1,4.1,météo très défavorable
2009-02-14,18,0,17,17,17,15,2.9,95,7.25,1016,81.875,18,18,16,248,122,119,0,1,4.1,météo très défavorable
2009-02-15,17,0,16,12,12,14,3.5,95,8.375,1023,63.125,17,12,10,143,122,113,0,1,5.7,météo très défavorable
2009-02-16,12,0,19,5,12,10,0,76,10,1028,20.375,12,7,4,113,116,113,0,1,11.5,météo très défavorable
2009-02-17,17,0,18,9,14,16,1,91,8,1024,75.125,17,16,8,116,122,122,0,1,7.2,météo très défavorable
2009-02-18,22,0,21,19,20,20,2.1,96,7.875,1012,71.125,24,20,20,122,200,113,0,1,7.2,météo très défavorable
2009-02-19,15,0,19,9,14,10,0,66,10,1025,0,15,9,9,113,113,113,0,1,11.6,météo très défavorable
2009-02-20,15,0,7,3,13,10,0,60,10,1027,1.125,15,4,6,113,113,113,0,1,11.6,météo très défavorable
2009-02-21,16,0,15,7,16,13,1,88,9.875,1024,38.25,16,13,8,113,116,119,0,1,8.7,météo très défavorable
2009-02-22,12,0,21,2,10,7,0,71,10,1034,0.875,12,5,0,113,113,113,0,1,11.6,météo très défavorable
2009-02-23,14,0,12,1,12,8,0,58,10,1034,7.625,14,4,2,113,113,113,0,1,11.6,météo très défavorable
2009-02-24,18,0,19,4,17,16,0,74,10,1027,30.875,18,14,7,113,116,119,0,1,8.7,météo favorable
2009-02-25,22,0,19,13,22,18,0,88,8.75,1020,44.5,25,16,17,116,116,113,0,1,11.6,météo favorable
2009-02-26,23,0,28,15,23,20,0.1,92,6.25,1019,65.25,25,18,18,248,119,113,0,1,10.2,météo très défavorable
2009-02-27,23,0,23,19,22,21,0.8,96,7,1013,83.375,25,20,20,143,119,116,0,1,7.3,météo très défavorable
2009-02-28,19,0,29,18,13,9,0.6,91,7.75,1025,75.875,19,19,8,248,119,116,0,1,7.3,météo très défavorable
2009-03-01,11,0,22,-1,8,7,0,60,10,1030,9,11,0,-3,113,113,113,0,1,11.6,météo très défavorable
