DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,13,-2,1,-2,0,95,6,1030,16.625,1,0,-6,143,113,113,0,1,7.6,météo très défavorable
2009-01-02,2,-2,19,-2,2,1,0,98,7.75,1033,51.5,2,1,-6,119,119,116,0,1,4.8,météo très défavorable
2009-01-03,2,-3,9,-0,2,-2,0,93,8,1032,64.125,2,0,-6,122,119,116,0,1,4.8,météo très défavorable
2009-01-04,1,-2,12,-2,1,0,0,94,4.75,1026,63.875,2,1,-4,143,122,116,0,1,4.8,météo très défavorable
2009-01-05,2,-3,15,0,2,-2,0,95,6,1029,22.5,2,0,-6,143,113,113,0,1,7.7,météo très défavorable
2009-01-06,-1,-5,16,-4,-1,-3,0,93,10,1030,16.25,0,0,-8,113,113,116,0,1,7.7,météo très défavorable
2009-01-07,2,-3,13,-3,2,2,0,99,3.25,1026,64.875,2,2,-5,143,143,119,0,1,4.8,météo très défavorable
2009-01-08,2,-1,22,0,2,-0,0,96,10,1027,61.25,2,1,-6,119,116,116,0,1,7.7,météo très défavorable
2009-01-09,4,-2,31,-1,4,1,0,98,10,1024,49.25,4,1,-6,116,116,116,0,1,6.8,météo très défavorable
2009-01-10,7,-0,49,4,5,7,0,93,10,1019,92.375,7,6,-1,119,122,122,0,1,2.9,météo très défavorable
2009-01-11,11,7,54,10,11,10,1.2,93,8,1007,98.875,11,10,6,122,122,122,0,1,2.9,météo défavorable
2009-01-12,8,4,32,7,7,5,0.1,94,10,1002,64.25,8,6,1,122,116,119,0,1,6.8,météo très défavorable
2009-01-13,5,-0,10,3,5,1,0,95,6.5,1009,42.125,5,3,-2,116,116,113,0,1,7.9,météo très défavorable
2009-01-14,8,-0,44,-0,3,7,0.1,99,8,1010,70.625,8,8,-4,116,122,122,0,1,3,météo très défavorable
2009-01-15,9,7,42,9,9,8,0.3,93,10,1001,89.625,9,8,2,122,116,122,0,1,4.9,météo défavorable
2009-01-16,7,3,38,3,6,5,0,97,10,1002,61.625,7,6,-3,119,122,113,0,1,4.9,météo très défavorable
2009-01-17,5,1,60,3,3,3,0.4,100,8.75,996,81.25,5,4,-4,116,119,119,0,1,4.9,météo très défavorable
2009-01-18,4,0,35,0,2,2,0,98,9.5,986,61,4,3,-4,200,116,116,0,1,4.9,météo très défavorable
2009-01-19,3,0,23,2,1,0,0,97,9.875,979,59,3,3,-5,119,113,200,0,1,8,météo très défavorable
2009-01-20,3,1,36,1,2,2,0,99,9.625,990,69.875,3,3,-5,116,200,116,0,1,3,météo très défavorable
2009-01-21,6,-1,32,-1,2,4,0.3,97,9,994,63.125,6,6,-6,116,119,122,0,1,4.9,météo très défavorable
2009-01-22,9,1,35,5,4,2,0.1,89,9.375,979,66.75,9,8,-3,119,116,116,0.1,1,8.1,météo très défavorable
2009-01-23,5,-0,38,1,4,1,0,90,10,980,47.375,5,2,-4,116,116,116,0,1,8.2,météo très défavorable
2009-01-24,4,0,29,0,4,1,0.2,93,9.875,985,42.5,4,1,-4,113,113,119,0,1,8.2,météo très défavorable
2009-01-25,5,2,36,3,3,2,0.3,100,7.75,982,89.25,5,4,-4,200,122,119,0,1,5,météo très défavorable
2009-01-26,7,2,22,4,7,4,0,93,8.75,1002,51.5,7,5,-1,122,113,113,0,1,8.3,météo très défavorable
2009-01-27,7,4,16,6,6,5,0.3,96,5.75,1009,90.75,7,6,2,143,122,143,0,1,5,météo très défavorable
2009-01-28,7,2,31,2,6,4,0,97,5.25,1012,67,7,5,-2,248,116,143,0,1,6.9,météo très défavorable
2009-01-29,7,4,50,4,7,6,0.2,94,9,1010,84.75,7,6,0,119,122,122,0,1,3.3,météo très défavorable
2009-01-30,10,6,41,10,9,8,2.3,96,6,1003,100,10,9,4,122,122,122,0,1,3.3,météo défavorable
2009-01-31,6,4,30,5,5,4,0.3,97,10,1008,99.875,6,5,0,122,122,122,0,1,3.3,météo très défavorable
2009-02-01,4,-1,31,1,3,-0,0,94,10,1016,35.5,4,3,-5,113,116,119,0,1,8.7,météo très défavorable
2009-02-02,2,-1,27,-0,2,-0,0,87,10,1016,71.375,2,0,-6,119,119,119,0,1,3.4,météo très défavorable
2009-02-03,2,-0,29,2,2,-0,0,97,10,1000,88.625,2,2,-6,122,122,122,0,1,3.4,météo très défavorable
2009-02-04,2,-2,13,-1,2,-2,0,97,7.75,995,36.375,3,0,-5,116,116,143,0,1,8.7,météo très défavorable
2009-02-05,1,-1,26,0,1,-1,0.1,89,10,998,51.75,1,0,-7,122,113,113,0,1,8.7,météo très défavorable
2009-02-06,2,-1,28,-1,2,-1,0,96,9,999,33.375,2,0,-6,143,116,116,0,1,8.7,météo très défavorable
2009-02-07,3,-4,32,0,3,-2,0,89,10,1005,31.25,3,0,-6,119,113,113,0,1,8.7,météo très défavorable
2009-02-08,1,-3,23,-2,-2,1,0.1,100,8.125,1003,57.625,1,1,-8,116,122,113,0.1,1,3.4,météo très défavorable
2009-02-09,1,-2,12,-1,0,-0,0,100,1.5,997,86,2,1,-4,260,248,260,0,1,3.5,météo très défavorable
2009-02-10,5,-3,16,-1,3,2,0,96,5.75,1011,53.375,5,3,-3,260,116,116,0,1,7,météo très défavorable
2009-02-11,4,-1,16,1,4,0,0,96,8,1025,37.375,5,3,-4,116,116,113,0,1,7,météo très défavorable
2009-02-12,9,-0,22,1,7,7,0.1,99,10,1025,79.75,9,8,-1,122,119,122,0,1,3.7,météo très défavorable
2009-02-13,7,6,13,6,7,6,0,98,1.75,1025,98,7,7,4,248,248,122,0,1,3.7,météo très défavorable
2009-02-14,6,4,15,4,5,6,0,97,5.25,1025,95.5,6,6,2,248,122,119,0,1,3.7,météo très défavorable
2009-02-15,10,6,19,7,9,7,0,98,10,1026,83.75,10,8,4,122,119,119,0,1,3.7,météo défavorable
2009-02-16,8,5,22,6,8,8,0,97,10,1026,90.75,8,7,2,119,122,122,0,1,3.7,météo très défavorable
2009-02-17,10,4,17,7,9,6,0,95,8,1029,63.75,10,7,4,116,119,116,0,1,5.4,météo très défavorable
2009-02-18,8,2,15,2,7,6,0,97,6.75,1028,59.375,8,5,-1,248,119,119,0,1,3.8,météo très défavorable
2009-02-19,7,5,18,6,7,5,0.1,95,8.75,1031,80.875,7,6,3,248,119,119,0,1,3.8,météo très défavorable
2009-02-20,7,1,20,1,6,6,0,92,10,1031,54.875,8,5,-1,116,119,116,0,1,5.4,météo très défavorable
2009-02-21,10,4,35,4,9,9,0.1,95,8.75,1032,86.75,10,9,2,122,119,122,0,1,5.4,météo très défavorable
2009-02-22,10,6,22,7,9,8,0,91,10,1030,71.625,10,8,3,116,119,119,0,1,5.4,météo défavorable
2009-02-23,10,6,18,8,9,9,0,96,8,1028,94,10,8,6,122,122,143,0,1,3.8,météo défavorable
2009-02-24,9,6,15,7,8,7,0,95,7,1028,70,9,7,4,143,116,122,0,1,5.5,météo défavorable
2009-02-25,8,5,28,7,8,7,0,86,10,1025,74.5,8,6,2,119,116,119,0,1,7.1,météo très défavorable
2009-02-26,9,7,27,7,7,9,0,97,10,1025,97.875,9,9,3,122,122,122,0,1,5.4,météo défavorable
2009-02-27,9,7,23,9,8,8,0,94,10,1017,100,9,9,5,122,122,122,0,1,5.4,météo défavorable
2009-02-28,9,6,24,6,8,8,0.2,96,9,1012,98.125,9,7,3,119,122,122,0,1,5.4,météo défavorable
2009-03-01,7,2,27,3,7,4,0.4,93,8.125,1012,61.375,7,6,0,248,119,116,0,1,8.5,météo très défavorable
2009-03-02,8,4,33,6,8,6,0,97,10,1013,81.625,8,7,2,116,122,116,0,1,7,météo très défavorable
2009-03-03,5,0,29,5,2,1,0.5,100,9.875,1007,91.625,5,3,-4,122,122,119,0,1,5.5,météo très défavorable
2009-03-04,4,-3,12,-3,3,1,0,91,10,983,61,5,0,-4,116,119,122,0,1,8.6,météo très défavorable
2009-03-05,6,-1,23,1,5,2,0,92,10,1001,44.125,6,2,-2,119,116,113,0,1,11,météo très défavorable
2009-03-06,7,-0,23,1,3,7,0,98,8.75,1005,74.5,7,6,-2,119,122,119,0,1,5.5,météo très défavorable
2009-03-07,9,3,30,4,9,9,0.1,97,10,1006,90.625,9,9,0,122,122,122,0,1,5.6,météo très défavorable
2009-03-08,3,1,35,1,3,3,0,93,9.75,998,55.25,3,2,-3,116,116,119,0,1,7.1,météo très défavorable
2009-03-09,6,3,38,3,5,4,0,98,8.75,1008,75.125,6,4,-1,119,113,122,0,1,7.3,météo très défavorable
2009-03-10,9,2,12,3,8,4,0.1,93,8.75,1017,55.5,9,4,2,119,113,113,0,1,11.6,météo très défavorable
2009-03-11,11,6,33,8,11,10,0.4,97,9,1017,96.125,11,10,6,122,122,119,0,1,5.9,météo défavorable
2009-03-12,9,5,29,6,9,8,0,84,10,1019,65.75,9,7,4,116,119,116,0,1,8.7,météo très défavorable
2009-03-13,9,4,27,4,8,8,0,95,8,1019,93.375,9,9,3,119,122,122,0,1,5.9,météo très défavorable
2009-03-14,9,6,39,6,9,8,0,81,10,1023,83.75,9,7,3,122,116,119,0,1,7.3,météo défavorable
2009-03-15,9,5,25,6,9,9,0,94,10,1029,95.375,10,7,4,122,122,122,0,1,5.9,météo très défavorable
2009-03-16,8,5,23,5,8,8,0,97,7.5,1032,90.875,8,8,2,119,122,248,0,1,6,météo très défavorable
2009-03-17,11,3,28,3,8,9,0,93,6.75,1034,47,12,8,3,143,122,116,0,1,8.8,météo très défavorable
2009-03-18,15,1,10,1,13,10,0,88,8,1032,17.625,15,8,6,143,116,116,0,1,11.6,météo très défavorable
2009-03-19,13,2,19,2,11,9,0,78,10,1028,3,13,7,5,113,113,113,0,1,11.6,météo correcte
2009-03-20,14,3,19,3,13,10,0,90,9,1029,1.625,14,9,5,113,113,113,0,1,11.6,météo correcte
2009-03-21,10,3,22,3,10,7,0,96,5.5,1037,52.875,10,6,4,248,116,113,0,1,10.2,météo très défavorable
2009-03-22,10,5,29,8,10,9,0,82,10,1036,92.5,11,7,5,119,122,122,0,1,6.1,météo très défavorable
2009-03-23,8,4,42,8,6,6,0.1,92,10,1026,77.875,8,7,1,122,122,116,0,1,8.9,météo très défavorable
2009-03-24,8,2,36,2,6,8,0,96,9,1023,77.75,9,8,0,143,122,122,0,1,6.2,météo très défavorable
2009-03-25,8,6,33,6,7,7,0,87,10,1009,96.125,8,5,1,122,122,122,0,1,6.2,météo très défavorable
