DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-4,14,-3,2,-3,0,92,6.75,1029,15.25,2,0,-5,143,113,116,0,1,8.4,météo très défavorable
2009-01-02,-1,-5,16,-5,-1,-3,0,86,10,1026,33.5,0,0,-7,113,119,116,0,1,5,météo très défavorable
2009-01-03,-4,-9,19,-6,-4,-8,0,81,10,1025,8.75,0,0,-12,113,113,113,0,1,8.4,météo très défavorable
2009-01-04,-3,-9,9,-8,-3,-9,0,67,10,1025,18.5,0,0,-10,113,113,116,0,1,8.7,météo très défavorable
2009-01-05,-4,-9,7,-9,-4,-6,0,69,10,1021,34.875,0,0,-7,116,116,116,0,1,8.7,météo très défavorable
2009-01-06,-4,-7,24,-5,-4,-5,0.2,88,10,1019,72.375,0,0,-12,119,119,122,0.1,1,3.3,météo très défavorable
2009-01-07,-6,-8,30,-8,-6,-7,0,90,10,1022,32.5,0,0,-15,116,113,113,0,1,8.7,météo très défavorable
2009-01-08,-4,-8,22,-8,-4,-7,0,79,10,1028,2.125,0,0,-14,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,-2,-10,9,-10,-2,-5,0,75,10,1029,3.25,0,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,1,-6,9,-6,1,-4,0,68,10,1030,5,1,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,1,-5,7,-5,1,-5,0,57,10,1034,0,1,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,2,-7,13,-4,2,-2,0,68,10,1032,12.625,2,0,-6,113,113,119,0,1,8.7,météo très défavorable
2009-01-13,4,-3,12,-1,4,-2,0,72,10,1024,20,4,0,-2,116,113,113,0,1,8.7,météo très défavorable
2009-01-14,2,-4,6,-2,2,1,0,97,4.75,1019,59.25,2,1,-3,122,143,143,0,1,3.4,météo très défavorable
2009-01-15,2,-3,15,-1,2,-3,0,92,7,1022,21.75,2,0,-5,143,113,113,0,1,8.7,météo très défavorable
2009-01-16,3,-4,15,-2,3,-0,0,81,10,1024,12.5,3,0,-4,116,113,113,0,1,8.7,météo très défavorable
2009-01-17,5,0,24,0,5,3,0,92,10,1024,36.875,5,3,-2,116,116,116,0,1,8.7,météo très défavorable
2009-01-18,5,3,53,3,5,4,2.8,100,9.625,1018,73.5,5,4,-2,116,122,116,0,1,5.2,météo très défavorable
2009-01-19,7,4,50,4,7,7,4.4,91,8.625,1014,72,7,6,-0,116,119,119,0,1,5.2,météo très défavorable
