DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,11,27,16,26,15,0,68,10,1020,4,25,6,9,113,113,113,0,1,14.5,météo favorable
2009-01-02,25,7,27,14,25,17,0,74,9,1021,9.25,25,10,12,113,113,113,0,1,14.5,météo favorable
2009-01-03,26,10,24,16,26,17,0,70,10,1021,4.625,25,10,12,113,113,113,0,1,14.5,météo favorable
2009-01-04,24,10,20,14,24,16,0,98,7.5,1017,39.375,25,12,12,116,113,116,0,1,13.5,météo favorable
2009-01-05,20,10,16,15,19,14,0,88,7.5,1017,49.5,20,14,10,116,116,113,0,1,14.5,météo favorable
2009-01-06,18,8,13,13,17,15,0,79,7.75,1020,68.125,19,11,9,119,119,113,0,1,11.4,météo défavorable
2009-01-07,22,7,24,12,22,14,0,87,9,1020,11.125,24,7,8,116,113,113,0,1,14.5,météo favorable
2009-01-08,23,7,22,12,23,15,0,83,8,1020,13.75,24,8,9,113,113,116,0,1,14.5,météo favorable
2009-01-09,25,7,19,13,25,16,0,82,8,1019,2.375,25,9,10,113,113,113,0,1,14.5,météo favorable
2009-01-10,24,5,19,15,24,18,0,88,8,1020,24.625,25,13,12,113,116,113,0,1,14.5,météo favorable
2009-01-11,25,9,23,14,25,17,0,77,10,1020,13.375,25,10,9,113,113,113,0,1,14.5,météo favorable
2009-01-12,20,6,13,15,17,12,0.5,98,8,1016,61.375,20,12,11,113,116,143,0,1,11.4,météo correcte
2009-01-13,21,11,15,13,21,16,1,97,8,1016,82.25,24,14,11,122,119,116,0,1,10.3,météo défavorable
2009-01-14,19,7,18,13,15,13,0.6,91,6.875,1022,47.25,19,14,6,119,113,113,0,1,13.5,météo favorable
2009-01-15,21,4,15,11,21,13,0,86,8,1023,5.5,23,6,6,113,113,113,0,1,14.5,météo favorable
2009-01-16,14,8,14,11,13,13,4.3,99,8.125,1017,65.625,14,13,8,122,248,113,0,1,11.4,météo défavorable
2009-01-17,18,8,31,11,18,11,0,74,10,1025,11.125,18,7,6,113,113,116,0,1,14.5,météo favorable
2009-01-18,19,8,19,11,19,14,0,97,9,1024,45.5,19,11,10,116,116,116,0,1,13.4,météo favorable
2009-01-19,27,11,30,15,27,19,0,82,10,1025,17.5,27,13,17,113,113,113,0,1,14.5,météo favorable
2009-01-20,28,14,24,18,28,20,0,89,10,1019,1.375,28,14,16,113,113,113,0,1,14.5,météo favorable
2009-01-21,29,12,18,17,29,19,0,79,7.5,1019,25.75,28,13,13,113,113,113,0,1,14.5,météo favorable
2009-01-22,29,10,14,18,29,19,0,90,10,1016,3.625,28,13,15,113,113,113,0,1,14.5,météo favorable
2009-01-23,26,12,26,18,26,17,0.5,93,9,1013,25.625,26,13,12,113,113,116,0,1,13.4,météo favorable
2009-01-24,17,7,26,11,16,12,3.8,88,9,1023,52.125,17,14,6,122,116,113,0,1,14.5,météo correcte
2009-01-25,18,3,20,10,18,12,0,92,9,1023,16.5,18,7,7,116,113,113,0,1,14.5,météo favorable
2009-01-26,21,5,21,12,21,15,0,95,7,1024,13,24,10,10,113,113,113,0,1,14.5,météo favorable
2009-01-27,23,9,25,12,23,16,0,80,7.5,1023,31,24,10,10,116,113,113,0,1,14.5,météo favorable
2009-01-28,27,8,22,14,27,17,0,89,10,1017,2.625,26,10,10,113,113,113,0,1,14.5,météo favorable
2009-01-29,26,6,16,16,26,18,0.5,98,9,1017,30,26,15,15,113,113,119,0,1,12.3,météo favorable
2009-01-30,19,10,22,14,19,13,0.3,72,7.75,1024,43.875,19,15,8,116,113,113,0,1,13.4,météo favorable
2009-01-31,22,7,25,11,22,13,0,71,10,1023,14.375,23,5,6,113,116,113,0,1,14.5,météo favorable
2009-02-01,20,6,17,11,20,14,0.3,92,9.375,1016,26.625,20,8,9,116,113,116,0,1,14.1,météo favorable
2009-02-02,20,7,10,12,20,13,0.2,91,8,1013,50.625,20,10,12,113,116,116,0,1,11.1,météo favorable
2009-02-03,21,10,9,13,19,13,0,93,9,1016,46.75,21,14,11,119,113,116,0,1,14.1,météo favorable
2009-02-04,21,10,24,13,21,13,2,98,7.5,1014,65.375,21,13,11,116,122,119,0,1,11.1,météo défavorable
2009-02-05,17,8,25,12,17,12,3.3,97,7.5,1024,75.75,17,12,8,116,119,116,0,1,9.9,météo défavorable
2009-02-06,18,9,25,11,18,13,0.2,78,6.75,1024,41.75,18,10,8,143,116,113,0,1,14,météo favorable
2009-02-07,21,8,24,12,21,13,0,91,10,1023,11,21,7,7,113,113,116,0,1,14,météo favorable
2009-02-08,22,7,20,11,22,15,0,88,7.75,1023,22.875,24,10,11,113,113,113,0,1,13.9,météo favorable
2009-02-09,26,11,24,15,26,18,0,98,8.75,1017,19.625,26,15,13,113,113,113,0,1,13.3,météo favorable
2009-02-10,18,7,16,14,17,13,0,93,7.5,1021,65,18,12,7,122,122,113,0,1,12.2,météo défavorable
2009-02-11,20,5,16,11,20,13,0,97,7,1024,30.75,20,9,8,119,113,113,0,1,13.9,météo favorable
2009-02-12,20,5,15,12,20,15,1.6,99,5.625,1019,56.625,20,15,15,113,122,248,0,1,7.9,météo correcte
2009-02-13,22,11,15,14,22,15,0.2,94,8.125,1019,44.75,24,15,12,116,113,116,0,1,11.6,météo favorable
2009-02-14,25,10,15,14,24,18,0.2,99,6.75,1018,57.125,26,15,14,122,116,113,0,1,11.6,météo correcte
2009-02-15,22,9,41,15,21,12,13.2,95,6.75,1013,51,24,13,9,113,116,113,0,1,10.4,météo défavorable
2009-02-16,18,8,27,12,18,14,0.1,91,8,1017,63.625,18,12,12,116,116,122,0,1,7.9,météo correcte
2009-02-17,22,12,21,13,22,16,0,95,9,1014,53.875,25,14,14,119,113,116,0,1,11.6,météo favorable
2009-02-18,18,14,28,14,18,14,9.5,99,8,1013,89.25,18,14,14,119,122,248,0,1,6.6,météo défavorable
2009-02-19,18,7,22,12,18,10,1.6,90,7.375,1022,43.75,18,13,6,248,116,113,0,1,11.6,météo favorable
2009-02-20,18,3,23,8,18,11,0,96,7,1024,29,18,10,9,116,113,116,0,1,11.6,météo favorable
2009-02-21,19,7,20,10,19,13,0,96,6.5,1020,59.625,19,11,10,116,116,116,0,1,10.4,météo correcte
2009-02-22,20,8,18,12,20,15,0,97,6.25,1021,67.875,20,13,13,113,116,116,0,1,10.3,météo défavorable
2009-02-23,23,11,23,14,23,15,0,85,7.5,1020,33.75,25,12,11,116,113,113,0,1,11.6,météo favorable
2009-02-24,25,10,24,12,25,16,0,82,10,1018,0.125,25,10,11,113,113,113,0,1,11.6,météo favorable
2009-02-25,26,11,26,14,26,18,0,94,10,1018,6,26,14,14,113,113,113,0,1,11.6,météo favorable
2009-02-26,25,14,24,15,25,17,0,81,8,1019,26.875,26,14,13,119,113,113,0,1,11.6,météo favorable
2009-02-27,27,13,24,15,27,18,0,95,9,1016,0,26,14,15,113,113,113,0,1,11.6,météo favorable
2009-02-28,23,12,16,16,23,16,2.5,98,7.625,1011,53.125,25,16,16,116,116,353,0,1,10.3,météo favorable
2009-03-01,15,9,15,12,12,10,10.5,97,6.875,1017,62.75,15,15,7,248,122,113,0,1,9,météo correcte
2009-03-02,19,6,19,8,19,11,0,75,10,1018,19.75,19,6,7,113,116,113,0,1,11.6,météo favorable
2009-03-03,21,6,15,9,21,11,0,91,10,1020,3.375,24,8,6,113,113,113,0,1,11.6,météo favorable
2009-03-04,20,5,20,10,20,13,10.6,98,7.375,1020,56.25,20,12,12,116,116,122,0,1,9,météo correcte
2009-03-05,19,8,20,12,19,11,0.3,84,6.75,1020,35,19,12,7,143,113,113,0,1,11.6,météo favorable
2009-03-06,21,4,6,10,21,11,0,86,10,1018,33,21,10,11,113,116,116,0,1,10.3,météo favorable
2009-03-07,22,9,14,13,22,14,0,94,9,1020,32.625,24,13,11,119,113,113,0,1,10.3,météo favorable
2009-03-08,27,10,21,13,27,19,0,83,10,1019,0,27,14,17,113,113,113,0,1,11.6,météo favorable
2009-03-09,32,15,21,16,32,22,0,70,10,1016,0.375,31,14,19,113,113,113,0,1,11.6,météo idéale
2009-03-10,28,15,20,16,28,19,0,99,8.75,1014,14.25,28,17,16,113,113,113,0,1,11.6,météo idéale
2009-03-11,21,12,10,16,20,15,2.5,97,6.25,1016,59.875,21,17,12,119,119,113,0,1,9,météo correcte
2009-03-12,23,9,13,12,23,11,0,91,7.75,1018,16,24,11,10,113,113,113,0,1,11.6,météo favorable
2009-03-13,18,9,12,12,16,12,1.6,94,9.875,1020,43.5,19,15,8,116,122,113,0,1,9,météo correcte
2009-03-14,17,5,18,10,17,10,0,72,7.5,1024,42.375,17,8,6,116,113,113,0,1,11.6,météo correcte
2009-03-15,23,4,19,9,23,14,0.3,97,9,1022,25.125,23,13,12,116,113,116,0,1,11.6,météo favorable
2009-03-16,14,10,11,11,14,12,0,98,5,1024,89.5,14,12,12,248,122,248,0,1,6.3,météo défavorable
2009-03-17,21,11,19,12,21,15,0,92,6.75,1024,37.25,21,12,12,143,113,113,0,1,11.6,météo favorable
2009-03-18,25,11,19,13,25,15,0,98,6.75,1018,26,25,13,11,113,113,113,0,1,11.6,météo favorable
2009-03-19,20,8,12,12,19,14,0.1,97,6.25,1022,67.75,20,14,10,116,116,113,0,1,10.3,météo défavorable
2009-03-20,21,8,19,9,21,12,0,81,7.5,1022,32,21,9,7,113,113,113,0,1,11.6,météo favorable
2009-03-21,20,7,18,9,20,12,0,98,8.75,1020,14,20,9,8,113,113,113,0,1,11.6,météo favorable
2009-03-22,21,5,12,10,21,13,0,96,6.5,1019,38.375,24,10,9,113,116,113,0,1,11.6,météo favorable
2009-03-23,22,7,16,10,22,13,0,91,8,1017,5.875,24,8,9,113,113,113,0,1,11.6,météo favorable
2009-03-24,24,8,14,13,24,15,0,98,8.75,1018,28,25,14,11,113,116,116,0,1,11.6,météo favorable
2009-03-25,21,10,17,13,21,14,0,91,6.25,1019,52.875,21,15,9,248,116,113,0,1,10.1,météo favorable
2009-03-26,18,7,17,9,18,11,0,93,9,1018,28.5,19,8,7,113,116,116,0,1,11.5,météo favorable
2009-03-27,20,6,32,11,20,16,2.3,98,8.875,1015,48.75,20,15,15,113,116,122,0,1,8.7,météo favorable
2009-03-28,16,11,26,16,15,12,4.7,95,9.625,1011,87.125,16,16,10,122,122,116,0,1,7.2,météo défavorable
2009-03-29,15,9,19,10,15,10,0.2,97,5.625,1018,50.75,15,10,9,143,119,116,0,1,10.1,météo correcte
2009-03-30,13,5,14,9,13,7,0.2,95,3.25,1023,64.125,13,10,5,248,116,143,0,1,10.1,météo correcte
2009-03-31,17,5,8,6,17,7,0,86,8,1024,16.875,18,6,6,113,113,113,0,1,11.4,météo correcte
2009-04-01,16,10,22,11,11,16,5.9,99,8.75,1015,82,16,15,9,200,200,200,0,1,5.7,météo défavorable
2009-04-02,13,11,27,11,13,11,3.3,96,7.625,1011,56.5,13,12,9,143,116,116,0,1,11.3,météo correcte
2009-04-03,12,8,18,9,12,8,2.9,96,8.75,1015,53.25,12,11,5,119,116,143,0,1,10.1,météo défavorable
2009-04-04,12,8,30,9,11,11,4.8,96,7.625,1016,98.25,12,12,8,143,122,122,0,1,5.6,météo défavorable
2009-04-05,15,10,4,14,14,11,20.2,98,7,1018,81.125,15,14,10,122,122,143,0,1,7.1,météo très défavorable
2009-04-06,16,10,15,12,16,16,3.1,99,4,1018,97.75,16,16,13,143,122,248,0,1,5.6,météo défavorable
2009-04-07,21,10,11,12,21,12,0,93,6.25,1022,41.5,24,15,9,248,113,113,0,1,11.2,météo favorable
2009-04-08,19,9,20,11,19,11,0,83,10,1023,10.5,19,11,7,113,113,113,0,1,11.2,météo favorable
2009-04-09,21,8,16,9,21,13,0,74,10,1023,1.5,24,9,10,113,113,113,0,1,11.2,météo favorable
2009-04-10,21,11,21,12,21,13,0,98,7.75,1020,13.125,24,13,11,113,113,143,0,1,11.1,météo favorable
2009-04-11,22,10,13,11,22,12,0,97,5,1017,56.375,24,14,11,113,113,248,0,1,10.1,météo correcte
2009-04-12,18,10,13,11,18,13,0,99,4,1020,88.125,18,14,11,143,119,248,0,1,5.5,météo défavorable
2009-04-13,20,9,14,11,20,13,0,90,6.5,1023,38.875,20,13,11,143,113,113,0,1,11.1,météo favorable
2009-04-14,24,9,8,11,24,14,0,82,9,1020,22,26,14,14,119,113,113,0,1,11,météo favorable
2009-04-15,22,10,7,10,22,12,0,97,8,1018,10.25,24,14,11,113,113,143,0,1,11,météo favorable
2009-04-16,21,11,13,12,21,14,3.2,97,6.625,1019,61.5,21,14,14,143,113,353,0,1,8.5,météo correcte
2009-04-17,13,7,14,9,13,10,0,94,6.5,1025,57.25,13,11,6,248,116,113,0,1,10.1,météo correcte
2009-04-18,15,6,18,6,15,9,0,82,9,1025,21.75,16,6,7,113,116,113,0,1,10.9,météo correcte
2009-04-19,21,5,6,6,21,9,0,82,10,1020,12.375,24,9,8,113,113,113,0,1,10.9,météo favorable
