DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-13,-20,12,-13,-19,-19,0.1,98,5.875,1041,50.125,0,0,-28,113,260,260,0.1,1,8.7,météo très défavorable
2009-01-02,-15,-21,15,-15,-19,-20,0,99,4,1044,67.375,0,0,-27,116,260,143,0.1,1,3.3,météo très défavorable
2009-01-03,-13,-24,5,-13,-22,-23,0,100,2.75,1042,33.125,0,0,-27,113,260,260,0,1,8.7,météo très défavorable
2009-01-04,-14,-24,5,-14,-23,-24,0,98,3.5,1041,6.375,0,0,-26,113,143,143,0,1,8.7,météo très défavorable
2009-01-05,-14,-24,11,-14,-22,-22,0,95,8,1043,2.5,0,0,-28,113,143,113,0,1,8.7,météo très défavorable
2009-01-06,-14,-25,10,-14,-23,-22,0,90,10,1040,1.75,0,0,-29,113,113,113,0,1,8.7,météo très défavorable
2009-01-07,-18,-25,16,-18,-23,-24,0,99,5,1048,73,0,0,-32,122,119,260,0,1,5.1,météo très défavorable
2009-01-08,-16,-25,9,-16,-25,-24,0,98,5.5,1046,26,0,0,-30,113,143,113,0,1,8.7,météo très défavorable
2009-01-09,-14,-24,22,-14,-19,-21,0,97,10,1043,40.25,0,0,-31,113,116,119,0,1,8.7,météo très défavorable
2009-01-10,-16,-23,18,-16,-21,-22,0.1,99,7.5,1048,70.25,0,0,-31,116,260,119,0,1,3.3,météo très défavorable
2009-01-11,-15,-23,8,-15,-22,-23,0,93,8.75,1048,13.5,0,0,-28,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,-12,-24,13,-12,-19,-18,0,85,10,1042,17.125,0,0,-26,113,116,113,0,1,8.7,météo très défavorable
2009-01-13,-12,-20,10,-12,-19,-20,0,95,7,1046,18,0,0,-27,113,143,113,0,1,8.7,météo très défavorable
2009-01-14,-11,-21,10,-11,-18,-18,0,91,9,1039,16.5,0,0,-24,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,-9,-21,17,-9,-15,-17,0,91,8.75,1033,19.125,0,0,-25,119,113,116,0,1,8.7,météo très défavorable
2009-01-16,-12,-20,9,-12,-18,-18,0,96,6.75,1024,35.125,0,0,-25,113,113,143,0,1,8.7,météo très défavorable
2009-01-17,-12,-20,14,-12,-17,-19,0,99,5.25,1027,74.375,0,0,-26,116,119,260,0,1,3.4,météo très défavorable
2009-01-18,-14,-20,15,-14,-18,-17,0,92,8.75,1027,34.375,0,0,-26,113,113,116,0,1,8.7,météo très défavorable
2009-01-19,-11,-20,13,-11,-17,-19,0,99,7.75,1027,43.25,0,0,-25,116,122,260,0,1,5.1,météo très défavorable
2009-01-20,-12,-23,27,-12,-14,-20,0,96,10,1025,58.375,0,0,-32,119,119,116,0,1,5.2,météo très défavorable
2009-01-21,-24,-31,38,-24,-29,-31,0,89,9.625,1046,39.75,0,0,-48,116,116,119,0,1,8.7,météo très défavorable
2009-01-22,-29,-33,24,-29,-32,-32,0,97,7.75,1055,53.125,0,0,-44,116,119,116,0,1,6.9,météo très défavorable
2009-01-23,-23,-29,28,-23,-24,-23,0.2,97,8.125,1049,75.25,0,0,-37,122,119,119,0.1,1,5.2,météo très défavorable
2009-01-24,-19,-24,25,-19,-23,-23,0,98,10,1037,59.25,0,0,-35,113,116,119,0,1,6.9,météo très défavorable
2009-01-25,-17,-25,12,-17,-23,-24,0,94,9,1034,19.25,0,0,-31,113,113,116,0,1,8.7,météo très défavorable
2009-01-26,-15,-28,12,-15,-20,-17,0,92,10,1026,17.375,0,0,-28,113,113,116,0,1,8.7,météo très défavorable
2009-01-27,-11,-19,17,-11,-14,-18,0.5,100,7.125,1023,65.25,0,0,-23,119,122,260,0.3,1,5.2,météo très défavorable
2009-01-28,-14,-22,15,-14,-20,-22,0,94,7.75,1030,23,0,0,-28,113,143,113,0,1,8.7,météo très défavorable
2009-01-29,-13,-22,10,-13,-21,-22,0,93,10,1030,16.375,0,0,-27,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,-10,-19,9,-10,-18,-18,0,87,10,1028,18.75,0,0,-23,113,113,116,0,1,8.7,météo très défavorable
