DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,0,6,19,25,23,1.3,94,5.875,1013,38.125,27,23,24,143,116,386,0,1,13.3,météo favorable
2009-01-02,26,0,8,18,26,21,7.4,98,8.125,1011,56.875,29,22,21,353,176,356,0,1,10.8,météo très défavorable
2009-01-03,26,0,19,20,26,22,26.1,95,7.75,1007,69.75,28,23,21,299,116,353,0,1,12,météo très défavorable
2009-01-04,19,0,19,19,19,17,3.2,97,4.75,1011,81.25,20,19,17,296,266,296,0,1,8.3,météo très défavorable
2009-01-05,18,0,9,17,18,17,5,98,2.5,1013,99.875,18,17,17,266,266,302,0,1,8.3,météo très défavorable
2009-01-06,19,0,9,17,19,18,3.2,97,4.375,1015,92.875,19,19,18,248,353,353,0,1,8.3,météo très défavorable
2009-01-07,23,0,12,18,23,20,3.3,94,5,1015,55,25,20,20,143,176,356,0,1,13.3,météo très défavorable
2009-01-08,25,0,9,17,25,21,1,95,5.625,1015,46.875,27,22,21,143,176,353,0,1,13.3,météo favorable
2009-01-09,25,0,10,19,25,22,4.1,96,5.125,1018,61.875,28,23,22,143,386,353,0,1,13.3,météo très défavorable
2009-01-10,25,0,8,20,25,22,4.6,97,5.125,1020,68.875,27,23,22,248,356,263,0,1,13.3,météo très défavorable
2009-01-11,27,0,6,20,27,22,1.2,93,5.625,1019,34.125,30,22,23,143,113,176,0,1,13.3,météo favorable
2009-01-12,29,0,8,19,29,25,0.1,86,9,1017,20.75,32,23,24,116,116,113,0,1,13.3,météo favorable
2009-01-13,29,0,6,20,29,24,0.5,91,9.375,1015,34.625,33,24,24,113,200,353,0,1,13.3,météo très défavorable
2009-01-14,28,0,6,21,28,23,9.6,94,8.25,1014,37.5,33,25,23,113,386,356,0,1,13.2,météo très défavorable
2009-01-15,27,0,8,20,27,23,2.5,92,8.75,1012,39.375,30,23,24,116,113,353,0,1,13.2,météo favorable
2009-01-16,25,0,5,19,25,21,5.7,97,8.5,1013,38.25,28,23,22,113,116,356,0,1,13.2,météo favorable
2009-01-17,23,0,8,20,23,22,2.3,97,6.125,1012,58.25,26,22,22,353,263,143,0,1,13.2,météo très défavorable
2009-01-18,27,0,9,19,27,24,3.3,94,9,1012,31.75,30,23,23,113,116,356,0,1,13.2,météo favorable
2009-01-19,27,0,7,19,27,22,1.7,95,6.75,1013,36.375,30,22,22,113,113,353,0,1,13.2,météo favorable
2009-01-20,26,0,18,21,26,21,19.5,98,5.875,1011,64.25,29,24,21,176,356,359,0,1,12,météo très défavorable
2009-01-21,20,0,13,20,20,20,15,99,5.125,1016,100,20,20,20,302,302,122,0,1,8.2,météo très défavorable
2009-01-22,19,0,12,19,19,18,6.1,98,4.25,1018,100,19,19,18,296,296,296,0,1,8.2,météo très défavorable
2009-01-23,19,0,11,18,19,18,1,97,2.875,1019,98,19,18,19,143,143,143,0,1,8.2,météo très défavorable
2009-01-24,20,0,10,19,20,20,0.4,97,2.25,1018,98.375,20,20,20,248,266,248,0,1,8.2,météo très défavorable
2009-01-25,22,0,12,18,22,20,1.1,95,5.625,1016,71.125,25,20,20,248,116,293,0,1,12,météo très défavorable
2009-01-26,21,0,10,19,20,20,10.4,97,4.375,1016,76.875,21,20,20,266,302,293,0,1,9.5,météo très défavorable
2009-01-27,24,0,14,19,24,21,1.4,93,7.25,1016,65.25,26,21,21,266,116,176,0,1,10.7,météo très défavorable
