DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,9,7,13,6,8,8,0,63,10,1025,0,9,2,5,113,113,113,,,,météo défavorable
2009-01-02,13,9,12,8,11,13,0.1,67,10,1026,44.75,13,7,9,113,119,122,,,,météo correcte
2009-01-03,17,14,16,13,16,16,0.5,69,9,1024,44.375,17,10,14,116,116,113,,,,météo correcte
2009-01-04,17,15,18,13,17,17,10,82,9.625,1021,51.5,17,12,15,353,353,113,,,,météo correcte
2009-01-05,18,16,23,15,17,17,1.7,73,9.75,1019,12.5,18,12,16,113,176,113,,,,météo favorable
2009-01-06,20,17,21,15,19,19,0,69,10,1017,8.5,20,13,17,113,113,113,,,,météo favorable
2009-01-07,18,16,27,14,17,17,9,80,9,1018,24.75,18,13,16,356,176,113,,,,météo correcte
2009-01-08,16,15,11,14,16,16,1.3,80,9.875,1022,19.5,16,11,15,116,113,113,,,,météo correcte
2009-01-09,16,14,18,14,15,15,0,77,10,1025,6.25,16,11,13,113,113,113,,,,météo correcte
2009-01-10,17,15,14,13,16,16,1.1,76,8.75,1024,25.5,17,11,14,113,113,263,,,,météo correcte
2009-01-11,17,14,18,12,16,16,0.7,79,9.75,1024,14.625,17,10,13,113,113,113,,,,météo correcte
2009-01-12,13,12,27,11,13,13,0,66,10,1030,7,13,6,9,113,116,113,,,,météo correcte
2009-01-13,15,12,23,10,14,14,0,64,10,1031,22.25,15,7,10,113,116,116,,,,météo correcte
2009-01-14,18,15,30,13,17,17,0,64,10,1029,18.625,18,10,13,113,116,113,,,,météo favorable
2009-01-15,19,17,28,15,18,18,0,66,10,1027,10.375,19,12,17,113,113,113,,,,météo favorable
2009-01-16,22,17,28,15,20,20,0,70,10,1024,28.125,25,15,17,113,116,113,,,,météo favorable
2009-01-17,17,15,20,14,16,16,4.5,79,9.375,1017,18.25,17,13,15,113,176,176,,,,météo correcte
2009-01-18,16,14,15,13,15,15,0,75,10,1021,2,16,10,14,113,113,113,,,,météo correcte
2009-01-19,17,14,18,12,16,16,0,76,10,1021,41.75,17,12,14,119,119,116,,,,météo correcte
2009-01-20,17,15,4,14,16,16,0,70,10,1020,27.625,17,11,15,116,113,113,,,,météo correcte
2009-01-21,18,15,20,14,17,17,0,78,10,1021,17.875,18,12,15,113,113,116,,,,météo favorable
2009-01-22,20,17,28,15,19,19,0,74,10,1021,1.125,20,13,17,113,113,113,,,,météo favorable
2009-01-23,22,18,32,16,21,21,1.9,76,9.25,1017,26.625,25,17,18,116,263,113,,,,météo correcte
2009-01-24,19,16,27,15,18,18,13.9,83,9.375,1008,44.875,19,15,16,176,176,353,,,,météo défavorable
2009-01-25,18,16,28,15,17,17,28.4,83,8.125,1012,64.25,18,14,16,356,299,113,,,,météo très défavorable
2009-01-26,18,17,29,16,17,17,4.2,80,9.5,1015,29.625,18,14,17,116,176,113,,,,météo favorable
2009-01-27,16,15,13,15,16,16,0,75,10,1020,29.25,16,12,15,113,116,116,,,,météo correcte
2009-01-28,23,18,28,15,21,21,0,77,10,1019,33,25,17,18,116,116,113,,,,météo favorable
2009-01-29,18,15,34,14,17,17,10.8,80,9.375,1011,32.125,18,13,15,113,116,353,,,,météo correcte
2009-01-30,15,14,24,13,15,15,30.6,87,7.625,1010,67.75,15,13,12,353,353,356,,,,météo très défavorable
2009-01-31,13,13,24,13,13,13,21.4,83,7.75,1011,40.25,13,11,10,353,116,176,,,,météo très défavorable
2009-02-01,15,14,19,14,14,14,4.4,77,9.5,1019,12.625,15,11,13,113,113,116,,,,météo correcte
2009-02-02,16,14,18,13,15,15,0,71,10,1023,27.75,16,9,13,113,116,113,,,,météo correcte
2009-02-03,17,14,10,13,16,16,0,72,10,1026,15.5,17,11,14,113,113,113,,,,météo correcte
2009-02-04,21,17,23,14,19,19,0,78,10,1024,23.25,21,15,17,116,116,113,,,,météo favorable
2009-02-05,21,17,21,15,20,20,0,79,10,1017,4.5,24,16,17,113,113,113,,,,météo favorable
2009-02-06,18,16,15,14,17,17,0,81,10,1014,1.5,18,14,16,113,113,113,,,,météo favorable
2009-02-07,18,16,15,15,17,17,0,82,10,1016,19.25,18,13,16,113,113,116,,,,météo favorable
2009-02-08,20,17,26,16,19,19,0,75,10,1016,30.75,20,15,17,113,116,116,,,,météo favorable
2009-02-09,22,18,32,15,21,21,0.5,81,8.75,1011,39.625,25,18,18,263,116,113,,,,météo favorable
2009-02-10,16,14,32,13,16,16,14.4,77,8.875,1009,34.25,16,12,13,353,356,176,,,,météo défavorable
2009-02-11,14,14,29,14,14,14,0,72,10,1015,20.125,14,9,12,113,113,116,,,,météo correcte
2009-02-12,18,16,28,16,17,17,0.1,74,10,1015,23,18,13,16,113,113,116,,,,météo favorable
2009-02-13,20,17,15,15,19,19,0.3,74,10,1015,25.625,20,14,17,116,116,113,,,,météo favorable
2009-02-14,20,17,22,15,19,19,0.1,75,10,1011,1.75,20,14,17,113,113,113,,,,météo favorable
2009-02-15,17,14,41,13,16,16,10.5,78,9.125,1012,48.75,17,12,12,353,353,113,,,,météo correcte
2009-02-16,15,13,39,12,14,14,22.9,84,8.75,1015,41.75,15,11,11,389,176,113,,,,météo très défavorable
2009-02-17,12,12,28,12,12,12,1.3,63,10,1020,7.125,12,6,9,113,113,113,,,,météo défavorable
2009-02-18,14,12,15,11,13,13,7.5,84,9.5,1020,57.75,14,10,11,176,353,116,,,,météo correcte
2009-02-19,21,16,25,13,20,20,9.9,86,9.25,1019,38.625,24,17,16,302,113,113,,,,météo correcte
2009-02-20,16,14,35,12,16,16,10.9,77,8.75,1010,38.75,16,11,11,356,176,116,,,,météo correcte
2009-02-21,13,12,40,11,12,12,5.5,69,9.25,1010,20.25,13,7,8,176,113,113,,,,météo correcte
2009-02-22,14,12,23,12,13,13,1.8,67,9.875,1011,19.625,14,7,11,113,353,176,,,,météo correcte
2009-02-23,15,13,27,11,14,14,13.6,85,8.5,1011,37.375,15,11,12,116,113,356,,,,météo défavorable
2009-02-24,13,13,30,12,13,13,9.1,80,9.375,1014,42.125,13,9,10,176,353,116,,,,météo correcte
2009-02-25,15,13,12,11,14,14,1.2,66,8.75,1017,42.375,15,8,12,116,263,113,,,,météo correcte
2009-02-26,19,15,34,13,18,18,19.4,81,8.5,1013,39.375,19,15,15,386,356,353,,,,météo très défavorable
2009-02-27,14,12,27,10,13,13,6.8,79,9.75,1007,54.75,14,9,9,116,353,176,,,,météo correcte
2009-02-28,12,11,30,10,12,12,12.6,78,9.125,1008,55.875,12,8,8,176,353,353,,,,météo défavorable
2009-03-01,11,11,28,11,11,11,1.6,68,9.75,1018,12.25,11,7,8,113,113,113,,,,météo défavorable
2009-03-02,14,12,16,11,14,14,0,68,10,1020,34.75,14,8,11,116,119,116,,,,météo correcte
2009-03-03,16,14,24,13,15,15,7,77,9.5,1019,40.125,16,12,13,176,353,176,,,,météo correcte
2009-03-04,18,16,15,14,17,17,0.4,78,10,1019,12.625,18,13,16,113,113,113,,,,météo favorable
2009-03-05,21,17,29,15,19,19,0,77,10,1017,21.875,21,15,17,113,116,116,,,,météo favorable
2009-03-06,23,19,36,15,22,22,0.2,70,10,1014,20.125,25,16,19,113,113,116,,,,météo favorable
2009-03-07,23,18,40,15,22,22,0,69,10,1008,34.75,25,16,18,116,116,116,,,,météo favorable
2009-03-08,20,17,18,15,19,19,0,69,10,1009,24.125,20,13,17,113,116,113,,,,météo favorable
2009-03-09,15,14,27,13,15,15,6.9,75,9.375,1014,17.375,15,10,12,176,176,176,,,,météo correcte
2009-03-10,16,15,27,14,16,16,0.3,80,9,1018,25.625,16,12,13,113,113,119,,,,météo correcte
2009-03-11,17,14,16,13,16,16,0.5,74,8.375,1018,30,17,11,13,116,113,113,,,,météo correcte
2009-03-12,18,13,12,12,18,16,0,71,10,1018,2.125,18,12,13,113,113,113,,,,météo favorable
2009-03-13,19,15,27,12,17,17,3.4,78,9.5,1015,19.375,19,14,14,113,113,176,,,,météo favorable
2009-03-14,13,13,45,13,13,13,4.5,68,9.875,1015,20,13,10,9,113,113,176,,,,météo correcte
2009-03-15,14,13,40,12,14,14,0.1,57,10,1018,5.875,14,7,9,113,113,113,,,,météo correcte
2009-03-16,14,12,22,10,14,14,0,56,10,1019,2,14,5,11,113,113,113,,,,météo correcte
2009-03-17,15,11,17,9,14,14,0,59,10,1021,9.125,15,6,11,113,113,113,,,,météo correcte
2009-03-18,16,13,21,11,15,15,0.2,63,10,1018,25,16,9,12,116,113,113,,,,météo correcte
2009-03-19,17,14,29,13,16,16,5.8,83,9.625,1016,40,17,13,13,113,119,353,,,,météo correcte
2009-03-20,16,14,14,12,15,15,0,64,10,1016,19,16,8,12,113,116,113,,,,météo correcte
2009-03-21,16,13,18,12,16,15,0,63,10,1017,0,16,9,12,113,113,113,,,,météo correcte
2009-03-22,19,13,27,11,18,16,3.2,81,9.75,1016,18.875,19,13,12,113,113,176,,,,météo favorable
2009-03-23,19,15,39,13,18,18,22.6,90,7.5,1010,56.875,19,15,15,353,356,113,,,,météo très défavorable
2009-03-24,13,12,28,13,12,12,1.1,66,9.875,1012,8,13,8,10,113,113,113,,,,météo correcte
2009-03-25,15,14,18,13,14,14,2.5,79,9.875,1017,37.875,15,11,12,113,353,113,,,,météo correcte
2009-03-26,19,16,28,14,18,18,3.2,75,9.625,1016,7.375,19,14,16,113,113,176,,,,météo favorable
2009-03-27,16,14,39,13,16,16,19.6,88,7.625,1012,53.125,16,14,13,266,356,113,,,,météo très défavorable
2009-03-28,16,14,28,12,15,15,0.4,63,10,1014,0.875,16,8,12,113,113,113,,,,météo correcte
2009-03-29,14,13,19,13,13,13,0,62,10,1020,3.25,14,8,12,113,113,113,,,,météo correcte
2009-03-30,21,14,14,12,20,20,0,71,10,1021,10.875,24,15,14,113,113,113,,,,météo favorable
2009-03-31,21,15,10,13,21,20,0,71,10,1015,9.125,25,14,15,113,113,116,,,,météo favorable
2009-04-01,21,15,13,13,20,18,0,69,10,1015,22.625,21,14,15,113,116,113,,,,météo favorable
2009-04-02,20,16,19,15,20,19,0,64,10,1013,32,20,12,16,116,113,116,,,,météo favorable
2009-04-03,21,16,18,15,21,20,0,75,10,1012,10.25,24,15,16,113,113,113,,,,météo favorable
2009-04-04,21,17,9,15,20,19,0,77,10,1014,13.375,21,15,17,113,113,113,,,,météo favorable
2009-04-05,20,17,15,15,19,19,1.7,82,9,1016,29.25,20,15,17,176,113,113,,,,météo favorable
