DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,22,20,14,20,22,21,1.3,93,7.875,1013,94.5,25,20,20,143,122,119,0,1,4.2,météo défavorable
2009-01-02,24,21,17,21,24,22,0,81,10,1014,66.125,26,19,22,116,122,116,0,1,4.2,météo défavorable
2009-01-03,25,20,16,20,24,23,0,78,10,1014,56,27,19,23,116,122,116,0,1,5.7,météo correcte
2009-01-04,29,20,13,20,29,25,0,68,10,1014,43.125,31,20,25,116,113,116,0,1,7.2,météo favorable
2009-01-05,30,20,14,21,30,25,0,68,10,1013,10.625,32,20,26,113,113,113,0,1,8.7,météo idéale
2009-01-06,31,21,13,21,31,25,0,68,10,1014,14.375,33,20,26,113,113,113,0,1,8.7,météo idéale
2009-01-07,31,22,14,22,31,25,0,65,10,1014,15.75,32,19,26,113,116,113,0,1,8.7,météo favorable
2009-01-08,30,21,16,21,30,24,0,65,10,1016,6.5,30,18,25,113,113,113,0,1,8.7,météo idéale
2009-01-09,28,20,19,20,28,23,0,60,10,1017,20.5,29,16,24,113,113,113,0,1,8.7,météo idéale
2009-01-10,26,18,17,18,26,22,0.1,62,10,1018,31.5,27,15,22,113,113,113,0,1,8.7,météo favorable
2009-01-11,26,17,15,17,26,21,0,56,10,1018,12.125,26,14,21,113,113,116,0,1,8.7,météo idéale
2009-01-12,27,18,14,18,27,23,0,57,10,1019,9.875,28,14,23,113,113,113,0,1,8.7,météo idéale
2009-01-13,27,19,17,19,27,23,0,59,10,1020,29.125,28,16,23,116,119,113,0,1,5.7,météo correcte
2009-01-14,28,18,18,18,27,22,0,55,10,1020,0.75,27,14,23,113,113,113,0,1,8.7,météo idéale
2009-01-15,27,18,19,18,27,22,0,57,10,1020,6.125,28,15,23,113,113,113,0,1,8.7,météo idéale
2009-01-16,29,18,13,18,28,24,0,61,10,1019,10.125,29,17,23,113,113,113,0,1,8.7,météo idéale
2009-01-17,31,19,13,19,30,25,0,52,10,1016,2,32,17,26,113,113,113,0,1,8.7,météo idéale
2009-01-18,31,19,14,19,31,24,0,55,10,1015,0.875,32,17,26,113,113,113,0,1,8.7,météo idéale
2009-01-19,31,19,10,20,31,25,0,47,10,1014,4.625,33,19,26,113,113,113,0,1,8.7,météo idéale
2009-01-20,32,17,9,20,32,25,0,52,10,1013,1.75,34,17,27,113,113,113,0,1,8.7,météo idéale
2009-01-21,33,18,8,21,33,26,0,51,10,1014,3.125,35,19,27,113,113,113,0,1,8.7,météo favorable
2009-01-22,33,19,10,21,33,28,0,49,10,1012,13.375,34,17,28,113,113,116,0,1,8.7,météo idéale
2009-01-23,34,22,10,22,34,28,0,55,10,1012,33.375,36,19,28,113,116,116,0,1,11.6,météo favorable
2009-01-24,31,23,12,24,30,28,0,65,10,1013,57.375,32,21,25,119,116,116,0,1,10.2,météo correcte
2009-01-25,33,23,13,23,32,29,0,48,10,1014,28.25,34,18,28,113,113,116,0,1,11.6,météo idéale
2009-01-26,33,21,11,21,33,27,0,48,10,1014,11.625,34,17,28,113,113,113,0,1,11.6,météo idéale
2009-01-27,33,21,10,22,33,27,0,46,10,1014,19.75,33,17,28,116,113,113,0,1,11.6,météo idéale
2009-01-28,33,20,9,21,33,27,0,45,10,1014,9.25,35,18,28,113,113,113,0,1,11.6,météo favorable
2009-01-29,34,21,10,22,34,27,0,44,10,1013,4.5,35,17,29,113,113,113,0,1,11.6,météo favorable
2009-01-30,34,19,9,22,34,26,0,47,10,1013,6.75,34,17,27,113,113,113,0,1,11.6,météo idéale
2009-01-31,34,20,10,21,34,26,0,46,10,1014,5.75,38,21,27,113,113,113,0,1,11.6,météo favorable
2009-02-01,34,20,11,22,34,27,0,44,10,1014,7.25,34,19,28,113,113,113,0,1,11.6,météo idéale
2009-02-02,32,20,12,21,32,26,0,46,10,1015,8,32,17,27,113,113,113,0,1,11.6,météo idéale
2009-02-03,34,18,7,21,34,26,0,52,10,1014,14.375,35,17,27,113,113,113,0,1,11.6,météo favorable
2009-02-04,34,23,6,24,33,27,0,48,10,1013,19.25,35,19,28,113,116,113,0,1,11.6,météo favorable
2009-02-05,34,21,12,22,34,28,0,45,10,1013,8.5,34,18,29,113,113,113,0,1,11.6,météo idéale
2009-02-06,34,22,12,22,33,29,0,40,10,1014,9.375,33,17,29,113,113,113,0,1,11.6,météo idéale
2009-02-07,33,21,15,21,33,28,0,44,10,1013,8.75,33,15,28,113,113,113,0,1,11.6,météo idéale
2009-02-08,34,21,12,22,34,28,0,37,10,1015,4.125,33,18,29,113,113,113,0,1,11.6,météo idéale
2009-02-09,35,22,12,22,34,30,0,43,10,1014,9.125,35,17,30,113,113,113,0,1,11.6,météo favorable
2009-02-10,34,25,13,25,34,28,0.4,61,9.875,1013,41.75,35,21,28,116,116,116,0,1,11.6,météo favorable
2009-02-11,31,24,7,24,31,26,2.8,77,9.625,1012,62,33,22,26,116,116,122,0,1,7.3,météo correcte
2009-02-12,26,23,6,23,24,24,13.6,95,8.125,1011,68.75,30,23,24,143,119,116,0,1,8.8,météo défavorable
2009-02-13,34,23,8,23,34,27,0,75,10,1009,39.5,39,23,27,113,116,113,0,1,11.6,météo favorable
2009-02-14,37,23,8,24,37,29,0,54,10,1010,14.5,41,23,30,113,116,113,0,1,11.6,météo correcte
2009-02-15,35,24,9,25,35,29,0.5,63,10,1010,28.375,38,22,29,113,116,116,0,1,11.6,météo favorable
2009-02-16,34,25,5,26,34,29,0.8,61,9.875,1012,33.75,38,23,29,113,116,116,0,1,11.6,météo favorable
2009-02-17,32,24,7,24,32,27,1.9,83,9.875,1012,37.25,37,23,26,116,116,116,0,1,11.6,météo favorable
2009-02-18,35,24,6,25,35,28,2.4,69,9.875,1010,35.5,40,24,29,113,116,116,0,1,11.6,météo correcte
2009-02-19,35,25,9,25,35,29,0,56,10,1012,25.75,38,23,30,113,113,113,0,1,11.6,météo favorable
2009-02-20,35,25,7,26,35,30,1.1,56,10,1013,34.25,39,22,30,116,116,116,0,1,11.6,météo favorable
2009-02-21,37,25,7,26,37,31,0.5,51,9.875,1012,40.625,41,22,31,116,116,116,0,1,11.6,météo correcte
2009-02-22,35,26,8,26,35,30,0,51,10,1010,37.125,39,22,31,113,116,116,0,1,11.6,météo favorable
2009-02-23,34,25,6,25,34,30,0,52,10,1011,44.375,38,23,31,119,116,116,0,1,11.6,météo favorable
2009-02-24,35,27,8,27,34,30,0,54,10,1011,46,38,22,30,116,116,116,0,1,11.6,météo favorable
2009-02-25,36,25,7,26,36,30,0,57,10,1011,38.5,41,23,30,113,116,113,0,1,11.6,météo correcte
2009-02-26,37,26,7,26,37,31,0,49,10,1011,43.5,41,22,31,116,116,116,0,1,11.6,météo correcte
2009-02-27,34,25,13,27,34,26,2.1,85,9.875,1011,61,38,23,26,116,122,119,0,1,7.4,météo correcte
2009-02-28,33,24,7,25,33,27,1.2,72,9.75,1011,53.625,36,23,27,116,122,116,0,1,10.2,météo correcte
2009-03-01,34,24,10,24,34,28,0,53,10,1012,26.5,36,21,29,113,113,113,0,1,11.6,météo favorable
2009-03-02,34,25,6,26,34,29,2,55,9.875,1011,43.5,37,22,30,113,116,116,0,1,11.6,météo favorable
2009-03-03,36,25,6,26,36,30,1.1,56,10,1011,54.75,40,22,30,119,116,119,0,1,10.2,météo correcte
2009-03-04,31,25,6,25,31,26,7.4,81,8.875,1011,58.5,37,24,27,122,116,116,0,1,10.2,météo correcte
2009-03-05,26,23,4,24,25,24,11.7,93,7,1011,71.125,29,24,25,143,122,113,0,1,8.8,météo défavorable
2009-03-06,32,22,7,25,32,27,2.1,82,9.75,1012,24.125,39,25,28,116,116,113,0,1,11.6,météo favorable
2009-03-07,28,24,7,25,28,25,1.8,87,9.75,1013,39.25,32,25,26,116,116,113,0,1,10.2,météo favorable
2009-03-08,31,24,8,25,31,26,6.1,89,7.375,1013,31.125,37,25,27,116,116,113,0,1,11.6,météo favorable
2009-03-09,31,24,10,26,31,26,5,87,8.625,1014,29.25,39,25,27,113,116,116,0,1,11.6,météo favorable
2009-03-10,33,24,8,24,33,27,1.1,72,10,1014,29.875,39,24,28,116,116,113,0,1,11.6,météo favorable
2009-03-11,36,24,13,25,36,28,0,68,10,1012,21.125,41,23,28,113,116,113,0,1,11.6,météo correcte
2009-03-12,35,25,8,25,35,29,0.5,63,10,1012,29.5,39,23,30,116,116,113,0,1,11.6,météo favorable
2009-03-13,35,25,11,25,35,28,0.7,71,10,1013,39.25,40,23,29,116,116,113,0,1,10.2,météo correcte
2009-03-14,28,23,11,26,27,24,4,90,9.5,1015,51,31,23,25,116,116,116,0,1,10.2,météo favorable
2009-03-15,27,22,10,22,26,23,0.2,72,9.375,1014,34.25,30,20,24,113,113,113,0,1,11.6,météo favorable
2009-03-16,33,23,12,24,33,28,0,54,10,1013,23.125,36,19,28,113,113,113,0,1,11.6,météo favorable
2009-03-17,33,24,8,26,33,27,3.2,77,10,1011,51.75,37,24,28,116,116,119,0,1,8.8,météo favorable
2009-03-18,31,25,8,26,31,26,8.8,89,9.625,1011,60.875,38,25,27,116,116,119,0,1,8.8,météo correcte
2009-03-19,31,25,7,26,31,26,1.3,84,9.875,1011,40.5,37,24,27,116,116,116,0,1,11.6,météo favorable
2009-03-20,32,24,12,25,32,28,0.7,74,9.75,1012,26.875,37,24,28,113,116,116,0,1,11.6,météo favorable
2009-03-21,34,24,11,25,34,28,0.1,66,10,1012,41.25,38,24,29,113,116,119,0,1,8.8,météo favorable
2009-03-22,34,25,8,26,34,28,5.7,71,9.625,1012,43.5,39,24,28,113,116,116,0,1,10.2,météo favorable
2009-03-23,34,25,8,26,34,30,2.8,61,9.625,1012,44.875,39,24,30,113,119,119,0,1,8.8,météo correcte
2009-03-24,33,26,6,27,33,28,5,80,9.875,1012,26.375,40,24,28,113,116,113,0,1,11.6,météo correcte
2009-03-25,33,25,5,26,33,28,3.9,77,9.375,1013,33.625,39,25,28,116,116,113,0,1,11.6,météo favorable
2009-03-26,33,25,10,26,33,27,2.4,76,9.625,1013,28.75,38,24,28,113,119,113,0,1,10.2,météo correcte
2009-03-27,34,24,9,25,34,29,0.1,55,10,1013,16.375,37,23,29,113,113,113,0,1,12.1,météo favorable
2009-03-28,34,25,3,27,34,29,1.2,63,10,1013,49.75,38,23,30,119,116,116,0,1,12.1,météo favorable
2009-03-29,32,25,7,25,30,27,1.5,80,9.625,1012,38,37,23,27,116,116,113,0,1,11.8,météo favorable
2009-03-30,36,25,6,25,36,29,1,62,9.875,1011,51.25,40,23,30,119,116,116,0,1,12.5,météo correcte
2009-03-31,33,25,8,26,33,27,3.3,79,9.75,1011,50.375,39,24,27,116,116,116,0,1,12.5,météo favorable
2009-04-01,33,24,9,24,33,25,3.5,89,8.875,1011,52.625,39,24,26,116,113,122,0,1,12.5,météo favorable
2009-04-02,27,24,7,24,26,25,1.9,84,8.625,1011,56.375,31,23,25,119,116,116,0,1,11.8,météo correcte
2009-04-03,30,24,6,24,30,25,8.1,92,9.5,1012,50.25,36,25,26,116,116,116,0,1,12.6,météo correcte
2009-04-04,32,24,5,26,32,27,4,87,9.375,1012,35.375,39,25,28,116,113,113,0,1,12.6,météo favorable
2009-04-05,32,26,6,26,32,27,10,90,8.75,1012,46.125,40,26,28,119,200,200,0,1,12.6,météo correcte
2009-04-06,29,25,4,25,28,26,41.3,96,6.5,1011,63.875,36,25,26,248,116,116,0,1,11.8,météo très défavorable
2009-04-07,28,24,4,25,27,25,3.1,94,7.5,1011,61.75,34,25,25,119,116,143,0,1,11.8,météo correcte
2009-04-08,32,24,9,25,32,26,1.7,86,8.625,1011,41.875,37,24,27,113,116,119,0,1,12.6,météo favorable
2009-04-09,33,25,11,26,33,27,8.7,85,9,1011,59.25,39,25,27,116,116,119,0,1,12.6,météo correcte
2009-04-10,31,25,4,26,31,27,6.2,89,8.375,1011,32.625,39,26,27,113,116,113,0,1,12.6,météo favorable
2009-04-11,31,25,4,26,31,26,9.4,94,8.625,1011,55.125,39,26,27,116,119,143,0,1,11.9,météo correcte
2009-04-12,33,25,4,26,33,27,7.4,92,8.375,1011,44.375,42,26,27,116,116,113,0,1,12.6,météo correcte
2009-04-13,30,25,5,26,30,26,7.9,97,5.875,1009,55.875,39,27,26,116,116,248,0,1,12.6,météo correcte
2009-04-14,30,25,8,26,30,27,7.6,95,7.5,1009,49.625,38,27,27,116,119,143,0,1,12.6,météo correcte
2009-04-15,32,25,4,26,32,27,12.4,91,7.375,1011,33.5,42,26,28,116,116,356,0,1,12.6,météo correcte
2009-04-16,32,25,9,26,32,28,1.4,83,7.875,1009,23,40,25,28,116,113,113,0,1,12.6,météo correcte
2009-04-17,35,25,9,26,35,28,0.4,78,10,1009,22.5,43,25,29,116,113,113,0,1,12.6,météo correcte
2009-04-18,33,25,10,26,33,29,4.2,81,9.5,1010,15,42,26,29,113,200,113,0,1,12.6,météo correcte
2009-04-19,32,25,10,27,32,27,3.9,90,9.625,1010,28.875,40,26,28,116,113,113,0,1,12.7,météo correcte
2009-04-20,36,25,8,27,36,30,0,67,10,1007,15.25,42,25,30,113,113,113,0,1,12.7,météo correcte
2009-04-21,27,25,7,26,27,26,3,92,9.875,1007,53.25,33,25,26,119,116,116,0,1,11.9,météo favorable
2009-04-22,30,25,4,26,30,26,3.1,92,7.625,1009,29.625,37,26,27,113,116,116,0,1,12.7,météo favorable
2009-04-23,31,24,11,26,31,27,6,90,7.25,1009,31,39,26,27,113,116,200,0,1,12.7,météo favorable
2009-04-24,32,25,7,26,32,27,4.9,92,8.625,1008,47.625,40,27,28,122,116,113,0,1,12.7,météo correcte
2009-04-25,33,25,7,27,32,28,3.8,89,6.5,1010,27.125,41,26,28,113,113,200,0,1,12.7,météo correcte
2009-04-26,30,25,4,26,30,26,12.1,96,4.875,1011,54.25,38,27,26,143,116,143,0,1,12.7,météo correcte
2009-04-27,30,24,7,26,30,26,5.1,95,7.25,1010,51.875,37,26,26,116,116,143,0,1,12.7,météo favorable
2009-04-28,30,24,6,26,30,26,4.4,95,7.375,1011,39.75,37,26,27,113,119,143,0,1,12.7,météo correcte
2009-04-29,31,25,8,26,31,26,10.1,95,5.875,1011,54.625,38,27,27,116,116,143,0,1,12.7,météo correcte
2009-04-30,30,25,5,26,30,26,14.8,97,6.75,1010,67.625,38,27,27,119,119,143,0,1,9.3,météo défavorable
2009-05-01,30,25,5,26,29,26,16.9,97,6.5,1011,62.375,38,27,27,119,200,143,0,1,9.3,météo très défavorable
2009-05-02,31,25,3,26,31,26,5.5,93,6.125,1011,47.875,42,27,27,143,200,116,0,1,12.7,météo correcte
2009-05-03,25,22,6,25,24,22,9.6,98,3,1011,80.375,29,24,23,143,143,248,0,1,9.3,météo défavorable
2009-05-04,31,22,5,23,31,26,0,81,8,1010,29,38,24,26,116,116,113,0,1,12.7,météo favorable
2009-05-05,32,23,4,25,32,26,0.9,90,9.875,1009,28.25,39,25,26,116,116,113,0,1,12.7,météo favorable
2009-05-06,34,24,6,26,34,27,5.3,91,9.5,1009,34.875,41,26,27,116,116,113,0,1,12.7,météo correcte
2009-05-07,34,24,9,26,34,27,2.2,89,7.75,1008,23.25,41,25,27,113,116,116,0,1,12.8,météo correcte
2009-05-08,32,24,8,26,32,27,2.4,89,7.875,1008,17.25,40,26,28,113,200,113,0,1,12.8,météo correcte
2009-05-09,32,24,9,26,31,27,6.1,95,5.625,1007,23.125,41,27,27,113,113,143,0,1,12.8,météo correcte
2009-05-10,30,24,9,26,30,26,9,97,4.625,1008,71.5,38,27,26,116,200,248,0,1,11.9,météo défavorable
2009-05-11,29,24,7,25,29,25,9.8,98,6,1009,66.625,36,26,26,116,122,248,0,1,10.6,météo défavorable
2009-05-12,28,24,6,25,28,25,6.8,98,4.75,1009,73.375,34,26,26,143,119,248,0,1,10.6,météo défavorable
2009-05-13,30,24,7,25,30,26,4.6,96,5.125,1009,63.75,37,26,26,143,119,143,0,1,11.9,météo correcte
2009-05-14,30,24,7,26,30,26,8,99,5.625,1008,64.375,38,26,26,116,119,248,0,1,11.9,météo correcte
2009-05-15,32,24,8,26,32,27,1.8,91,8.375,1009,33.875,40,26,28,116,113,113,0,1,12.8,météo correcte
2009-05-16,30,25,7,26,30,27,0.7,98,6.375,1011,69.75,38,27,27,116,119,248,0,1,10.6,météo défavorable
2009-05-17,30,25,8,26,30,26,7.8,98,7,1012,59.25,39,27,26,116,116,248,0,1,12.8,météo correcte
2009-05-18,30,24,7,26,30,26,4.3,97,4.875,1011,55.625,38,27,27,116,116,143,0,1,12.8,météo correcte
2009-05-19,32,24,7,26,32,27,1.9,92,7.5,1011,49.375,41,26,27,113,113,113,0,1,12.8,météo correcte
2009-05-20,32,24,9,26,32,27,6.1,92,7.125,1009,48.75,39,27,27,113,116,200,0,1,12.8,météo favorable
2009-05-21,33,24,7,26,33,27,0.8,86,7.875,1010,35,40,26,28,116,113,116,0,1,12.8,météo correcte
2009-05-22,31,25,7,25,31,26,8,96,8.625,1009,59.5,39,27,27,116,116,143,0,1,12.8,météo correcte
2009-05-23,26,24,8,24,26,25,5.8,96,6.25,1009,83.125,30,25,25,248,119,143,0,1,9.3,météo défavorable
2009-05-24,31,23,7,24,31,27,3.6,88,8.5,1007,59.875,38,26,26,143,116,116,0,1,11.9,météo correcte
2009-05-25,29,25,8,25,28,26,6.6,95,6.625,1008,72.625,36,26,26,122,119,143,0,1,9.3,météo défavorable
