DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,11,12,8,13,13,0.1,81,10,1022,40.25,14,11,10,113,113,116,,,,météo correcte
2009-01-02,13,10,10,7,12,12,1.9,87,6.375,1020,81.125,13,11,8,119,266,263,,,,météo défavorable
2009-01-03,11,8,15,6,10,10,1.6,86,7.75,1017,44,11,8,6,266,263,113,,,,météo défavorable
2009-01-04,11,7,16,7,11,7,0.1,74,10,1019,16.375,11,6,5,116,113,113,,,,météo défavorable
2009-01-05,13,5,9,3,12,6,0,62,10,1019,8.875,13,5,3,113,113,113,,,,météo correcte
2009-01-06,8,5,19,3,7,7,7.4,88,8.375,1013,70.75,8,7,2,116,266,302,,,,météo très défavorable
2009-01-07,6,4,14,3,5,4,6.2,62,7.875,1016,43.875,6,0,1,329,176,113,,,,météo très défavorable
2009-01-08,5,4,21,2,4,4,0.9,65,8.625,1021,40,5,0,0,113,263,176,,,,météo très défavorable
2009-01-09,11,8,21,5,10,10,5.6,88,9.75,1021,58.25,11,9,4,119,353,176,,,,météo défavorable
2009-01-10,11,9,15,7,10,10,9.2,92,9.25,1026,66.75,11,9,6,356,356,116,,,,météo défavorable
2009-01-11,12,8,15,7,11,10,0.4,78,9.875,1030,13.75,12,6,5,113,113,113,,,,météo défavorable
2009-01-12,14,7,16,5,13,9,0,61,10,1029,1.75,14,6,4,113,113,113,,,,météo correcte
2009-01-13,15,6,11,4,14,8,0,55,10,1023,20.125,15,6,5,116,116,113,,,,météo correcte
2009-01-14,13,9,10,7,12,9,0,70,10,1018,29.375,13,5,7,116,113,113,,,,météo correcte
2009-01-15,12,6,11,4,12,7,0,67,10,1018,6.625,12,6,5,113,113,113,,,,météo défavorable
2009-01-16,11,9,12,7,11,9,0,80,10,1023,34.625,11,7,7,113,116,116,,,,météo défavorable
2009-01-17,12,8,9,6,12,8,0,74,10,1023,19,12,7,7,119,113,113,,,,météo défavorable
2009-01-18,16,7,23,5,15,12,0,65,10,1022,6.5,16,9,3,113,113,113,,,,météo correcte
2009-01-19,21,16,30,10,21,17,0.1,78,10,1017,21,21,15,16,113,113,116,,,,météo favorable
2009-01-20,12,10,8,11,12,9,1.7,82,8.625,1005,28.875,12,8,9,263,113,176,,,,météo défavorable
2009-01-21,9,6,12,4,8,8,0,64,10,1014,6.375,9,1,4,113,113,113,,,,météo défavorable
2009-01-22,15,5,25,2,14,12,0.2,68,10,1015,34,15,9,1,116,113,116,,,,météo correcte
2009-01-23,19,11,23,11,16,15,5.2,89,8.625,1003,43.625,19,15,9,266,293,113,,,,météo correcte
2009-01-24,14,13,53,14,14,12,0.2,55,10,1003,14.375,14,10,9,113,113,113,,,,météo correcte
2009-01-25,17,7,29,4,17,14,0.1,65,10,1005,14.625,17,8,4,113,113,116,,,,météo correcte
2009-01-26,10,9,12,8,9,7,0.8,62,8.625,1004,26,10,3,7,176,113,113,,,,météo défavorable
