DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,6,16,12,11,8,0.8,90,9.375,1025,52.5,12,10,8,119,116,113,0,1,8.7,météo défavorable
2009-01-02,9,5,18,5,9,8,0,83,10,1021,55.375,9,5,3,116,116,122,0,1,6.9,météo très défavorable
2009-01-03,7,3,39,6,7,4,0,77,10,1018,18.875,7,4,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,6,2,19,2,5,4,0,61,10,1017,1,6,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,7,2,10,2,6,6,0,67,10,1015,7.875,7,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-06,9,5,18,5,9,8,0,77,10,1013,45.25,9,5,3,116,113,116,0,1,8.7,météo très défavorable
2009-01-07,9,7,30,8,8,7,5.1,92,9.375,1013,71.375,9,7,4,122,116,116,0,1,3.6,météo défavorable
2009-01-08,8,6,24,6,8,7,1.5,86,8.875,1022,58.625,8,6,3,116,116,122,0,1,7,météo très défavorable
2009-01-09,7,5,27,6,7,7,3.2,89,8.875,1025,75.875,7,5,1,200,122,113,0,1,3.6,météo très défavorable
2009-01-10,9,4,22,4,9,7,0,83,10,1025,17.25,9,4,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,10,5,19,6,10,8,0,76,10,1028,33.125,10,5,3,116,116,113,0,1,7,météo très défavorable
2009-01-12,11,6,18,6,11,9,0,79,10,1028,13.5,11,6,4,113,113,116,0,1,8.7,météo défavorable
2009-01-13,11,7,39,8,11,8,0.4,81,9.375,1023,61.25,11,7,6,119,116,116,0,1,5.3,météo défavorable
2009-01-14,9,7,19,8,8,9,4.5,87,9.5,1010,85.875,9,6,4,122,122,116,0,1,3.6,météo défavorable
2009-01-15,11,8,22,8,10,10,0,87,10,1019,39.875,11,7,6,116,119,113,0,1,5.3,météo défavorable
2009-01-16,11,8,15,8,11,9,0,86,10,1024,6.875,11,7,6,113,113,113,0,1,8.7,météo défavorable
2009-01-17,11,7,5,7,11,9,0,79,10,1025,23.5,11,7,10,116,113,113,0,1,8.7,météo défavorable
2009-01-18,12,9,14,9,12,11,0,81,10,1024,14.5,12,8,9,113,113,113,0,1,8.7,météo défavorable
2009-01-19,14,12,16,12,14,12,0.4,85,9,1014,58.25,14,10,11,116,116,116,0,1,7,météo correcte
2009-01-20,13,12,49,12,13,12,10.4,85,9.125,1005,80.25,13,11,9,122,116,122,0,1,5.3,météo défavorable
2009-01-21,12,11,26,12,12,11,1.1,78,9.875,1004,62.625,12,10,8,122,119,113,0,1,5.3,météo défavorable
2009-01-22,11,9,17,10,11,10,0,73,10,1006,22.5,11,6,9,116,113,113,0,1,7,météo défavorable
