DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,19,22,19,19,19,0,75,10,1022,6.125,20,15,19,113,113,113,0,5,10.6,météo favorable
2009-01-02,19,19,18,19,19,19,0,77,10,1023,0,19,15,19,113,113,113,0,5,10.6,météo favorable
2009-01-03,19,19,22,19,19,19,0,77,10,1024,0.5,19,15,19,113,113,113,0,5,10.7,météo favorable
2009-01-04,19,18,27,19,19,19,0,76,10,1024,1.25,19,15,19,113,113,113,0,5,10.7,météo favorable
2009-01-05,18,18,20,18,18,18,0,70,10,1023,10.125,20,14,18,113,113,113,0,5,10.7,météo favorable
2009-01-06,18,18,22,18,18,18,0.1,73,10,1021,14.75,19,14,18,113,113,113,0,5,10.3,météo favorable
2009-01-07,18,18,20,18,18,18,0,67,10,1020,13.125,18,13,18,113,116,113,0,5,10.3,météo favorable
2009-01-08,18,17,18,17,18,18,0.1,73,10,1020,18,19,14,17,113,113,116,0,5,10.3,météo favorable
2009-01-09,19,18,21,18,19,18,0,81,9.875,1019,36.25,19,16,19,113,116,200,0,5,8.4,météo favorable
2009-01-10,19,18,23,18,19,18,0,77,10,1022,11.25,19,15,18,113,113,113,0,5,10.3,météo favorable
2009-01-11,18,18,23,18,18,18,0.1,76,10,1024,29.375,18,15,18,113,116,116,0,5,10.3,météo favorable
2009-01-12,18,17,25,17,17,17,0,68,10,1026,21.75,18,13,17,113,113,113,0,5,10.3,météo favorable
2009-01-13,18,17,23,17,18,18,0,70,10,1028,34.25,18,12,17,116,122,116,0,5,10,météo correcte
2009-01-14,18,17,15,17,18,18,0,71,10,1027,2.875,18,13,17,113,113,113,0,5,10.3,météo favorable
2009-01-15,19,18,32,18,19,18,0.1,76,10,1023,13.375,19,14,18,113,113,113,0,5,10.3,météo favorable
2009-01-16,18,17,32,17,18,18,0,65,10,1026,25.375,18,11,17,116,116,113,0,5,10.3,météo favorable
2009-01-17,19,18,20,18,18,19,0,77,10,1026,45.375,19,16,18,116,119,116,0,5,10,météo correcte
2009-01-18,19,18,27,18,19,18,0,76,10,1029,11.5,19,15,18,113,113,113,0,5,10.8,météo favorable
2009-01-19,19,18,18,18,19,19,0,83,10,1028,10.75,19,16,18,113,113,113,0,5,10.8,météo favorable
2009-01-20,19,18,27,18,19,18,0.2,85,9.375,1025,22.375,19,16,18,119,116,113,0,5,10,météo favorable
2009-01-21,18,17,27,17,17,18,0,70,10,1029,12.625,18,12,17,113,113,113,0,5,10.8,météo favorable
2009-01-22,18,17,21,18,18,18,0,69,10,1030,11.25,18,12,18,116,113,113,0,5,10.8,météo favorable
2009-01-23,18,18,12,18,18,18,0,83,10,1029,12.75,19,16,18,113,113,113,0,5,10.8,météo favorable
2009-01-24,19,18,12,18,18,19,0,85,10,1027,36,19,16,18,116,116,116,0,5,10.8,météo favorable
