DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,13,10,14,14,13,0.1,81,10,1022,69.125,14,11,13,113,122,122,0,1,5.2,météo défavorable
2009-01-02,13,12,17,13,13,12,1.8,87,7.875,1018,64.625,13,10,11,116,119,116,0,1,5.2,météo correcte
2009-01-03,13,12,17,12,13,12,1.9,84,8.875,1016,68.125,13,10,11,116,119,122,0,1,5.2,météo défavorable
2009-01-04,12,10,36,12,11,10,0.8,76,9.875,1017,45.375,12,9,7,116,119,113,0,1,7,météo défavorable
2009-01-05,11,10,16,11,11,10,0,71,10,1017,14.5,11,6,8,113,116,116,0,1,8.7,météo défavorable
2009-01-06,10,9,20,10,10,10,0.6,74,10,1013,44.375,10,6,7,116,116,119,0,1,8.7,météo défavorable
2009-01-07,8,6,31,8,6,7,6.6,83,9.875,1014,95,8,6,3,122,122,119,0,1,3.5,météo très défavorable
2009-01-08,10,6,49,7,9,10,9.5,87,9.25,1017,92,10,8,5,122,122,122,0,1,3.5,météo défavorable
2009-01-09,13,10,17,11,12,12,1.2,75,10,1018,38.25,13,8,10,113,113,116,0,1,8.7,météo correcte
2009-01-10,12,11,22,11,12,12,1,68,9.75,1024,21,12,8,9,113,113,116,0,1,8.7,météo défavorable
2009-01-11,13,12,32,12,13,12,0.1,72,10,1028,16.375,13,8,9,116,113,113,0,1,8.7,météo correcte
2009-01-12,14,12,32,13,14,13,0,75,10,1027,13.5,14,9,10,113,113,113,0,1,8.7,météo correcte
2009-01-13,13,11,22,12,13,12,0,66,10,1021,15.5,13,7,9,113,116,113,0,1,8.7,météo correcte
2009-01-14,12,11,24,11,12,12,0.6,74,9.375,1017,37.25,12,7,9,122,116,113,0,1,7,météo défavorable
2009-01-15,13,12,25,12,13,13,0,73,10,1018,6.375,13,8,10,113,113,113,0,1,8.7,météo correcte
2009-01-16,13,11,11,11,13,12,0,74,10,1023,20.25,13,8,11,113,113,116,0,1,8.7,météo correcte
2009-01-17,13,11,6,11,13,12,0,70,10,1024,16,13,7,12,113,113,113,0,1,8.7,météo correcte
2009-01-18,13,11,30,11,13,13,0,79,10,1023,12.375,14,10,10,113,113,113,0,1,8.7,météo correcte
2009-01-19,15,13,45,14,15,15,0,80,10,1019,15,15,11,12,113,113,113,0,1,8.7,météo correcte
2009-01-20,14,12,27,14,13,12,1.1,74,9.875,1004,26.375,14,12,9,116,113,113,0,1,8.7,météo correcte
2009-01-21,11,10,26,11,10,11,0,72,10,1014,19.25,11,6,7,116,116,113,0,1,8.7,météo défavorable
2009-01-22,14,11,37,11,12,14,0,74,10,1014,35.75,14,11,8,116,116,116,0,1,8.7,météo correcte
2009-01-23,18,14,46,16,17,18,0,87,10,1005,49.125,18,13,15,119,116,113,0,1,7,météo favorable
2009-01-24,16,13,61,16,15,13,0,64,10,1004,14.875,16,11,10,113,113,113,0,1,8.7,météo correcte
2009-01-25,14,12,48,13,13,14,2,67,9.5,1006,16.875,14,9,9,113,113,113,0,1,8.7,météo correcte
2009-01-26,12,11,55,11,11,12,0,65,10,1004,18.5,12,6,7,113,113,113,0,1,10,météo défavorable
2009-01-27,13,11,32,12,12,13,0,67,10,1012,8.875,13,8,9,113,113,113,0,1,10,météo correcte
2009-01-28,14,12,22,12,13,13,0,74,10,1013,13.5,14,10,10,113,113,113,0,1,10,météo correcte
2009-01-29,14,13,13,13,14,13,0,84,10,1016,23.625,14,11,13,113,116,116,0,1,10.5,météo correcte
2009-01-30,14,12,19,12,14,14,0,91,10,1016,21,14,12,12,113,113,116,0,1,10.5,météo correcte
2009-01-31,14,12,25,13,14,13,1.6,90,10,1011,47.625,14,12,10,116,116,116,0,1,10.5,météo correcte
2009-02-01,13,11,32,12,13,12,2.4,79,9.875,1001,53.75,13,9,9,119,113,119,0,1,8.4,météo correcte
2009-02-02,14,12,31,13,14,14,3.9,84,9.5,994,49.625,14,11,10,116,116,116,0,1,10,météo correcte
2009-02-03,14,11,40,12,11,11,1.3,81,10,1003,49.75,14,11,8,122,119,113,0,1,8.4,météo correcte
2009-02-04,14,13,37,13,14,13,0,79,10,1002,11.125,14,10,11,116,113,113,0,1,10.6,météo correcte
2009-02-05,14,13,35,13,14,13,0.2,84,9.875,1002,21.5,14,11,11,113,116,116,0,1,10.6,météo correcte
2009-02-06,13,12,44,13,12,13,0.4,74,9.875,998,36.75,13,10,9,116,122,113,0,1,10,météo correcte
