DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,0,13,26,28,26,1,91,10,1010,44.125,33,25,26,116,116,116,0,1,10.2,météo favorable
2009-01-02,28,0,10,25,28,26,6.5,92,9.625,1010,66.125,32,24,26,116,119,119,0,1,7.4,météo très défavorable
2009-01-03,27,0,15,25,26,26,7.9,91,9.75,1011,43.25,30,24,25,116,119,113,0,1,8.8,météo très défavorable
2009-01-04,27,0,12,25,27,25,1.2,89,10,1011,49.625,31,24,26,116,119,116,0,1,8.8,météo très défavorable
2009-01-05,28,0,11,25,28,26,0.8,88,10,1011,40.25,32,24,25,116,116,116,0,1,11.6,météo favorable
2009-01-06,29,0,12,25,29,26,1.8,87,9.875,1011,46.625,34,24,26,116,116,200,0,1,11.6,météo favorable
2009-01-07,30,0,13,25,30,27,1.3,80,9.875,1012,36.375,34,24,27,116,113,116,0,1,11.6,météo favorable
2009-01-08,29,0,19,25,29,26,0.4,80,9.875,1013,33,33,23,26,116,116,116,0,1,11.6,météo favorable
2009-01-09,28,0,22,25,28,26,0,80,10,1013,35.125,30,22,26,113,116,116,0,1,11.6,météo favorable
2009-01-10,29,0,17,25,29,25,0,83,10,1013,53,33,22,25,116,116,119,0,1,10.2,météo favorable
2009-01-11,28,0,15,24,28,25,0,82,10,1013,54.75,31,22,25,116,116,116,0,1,10.2,météo favorable
2009-01-12,27,0,16,25,27,25,0,81,10,1015,37.5,31,22,26,116,116,113,0,1,11.6,météo favorable
