DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,9,-2,-1,-1,0,87,10,1030,14.75,1,0,-7,113,116,113,,,,météo très défavorable
2009-01-02,2,-4,15,-4,-1,1,0.2,94,9.875,1030,37.5,2,0,-6,113,119,116,,,,météo très défavorable
2009-01-03,1,-4,10,-3,-1,-2,0,91,9,1031,28.25,1,0,-7,116,113,116,,,,météo très défavorable
2009-01-04,1,-2,14,-2,0,0,0,84,10,1026,56.25,1,0,-6,119,113,116,,,,météo très défavorable
2009-01-05,1,-1,29,-3,0,0,6.6,96,7.625,1024,93,1,0,-7,332,332,122,,,,météo très défavorable
2009-01-06,-3,-5,17,-7,-4,-3,0.1,77,10,1026,15.875,0,0,-12,113,113,113,,,,météo très défavorable
2009-01-07,2,-4,10,-7,-1,2,0.2,97,7.375,1026,56.625,2,1,-7,116,116,143,,,,météo très défavorable
2009-01-08,2,-4,10,0,-1,-1,0.4,95,7.25,1030,26.5,2,2,-8,143,113,113,,,,météo très défavorable
2009-01-09,-2,-6,9,-6,-5,-3,0,83,10,1030,4,0,0,-10,113,113,113,,,,météo très défavorable
2009-01-10,-2,-7,13,-7,-5,-3,0,89,10,1030,2.625,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-11,2,-3,25,-4,-1,1,0,82,10,1029,22,2,0,-9,113,113,113,,,,météo très défavorable
2009-01-12,5,2,31,1,4,4,1,90,8.875,1025,55.75,5,2,-4,116,119,116,,,,météo très défavorable
2009-01-13,6,5,22,4,5,5,9.8,98,6.875,1013,100,6,5,0,266,296,266,,,,météo très défavorable
2009-01-14,6,4,10,3,5,6,0.2,97,3.375,1017,72.5,6,5,1,143,248,143,,,,météo très défavorable
2009-01-15,5,2,19,1,4,4,0,93,10,1019,38.625,5,2,-2,113,116,116,,,,météo très défavorable
