DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,5,28,4,7,7,0,80,10,1026,26.625,7,2,0,116,113,116,,,,météo très défavorable
2009-01-02,6,4,37,4,6,6,0,84,10,1026,20.75,6,2,-1,116,113,113,,,,météo très défavorable
2009-01-03,5,3,30,3,5,5,0,84,10,1026,0.75,5,1,-2,113,113,113,,,,météo très défavorable
2009-01-04,6,3,11,1,5,5,0,74,10,1027,27.375,6,0,0,113,116,116,,,,météo très défavorable
2009-01-05,8,5,39,4,7,7,3.6,85,7,1021,88.5,8,5,1,119,266,266,,,,météo très défavorable
2009-01-06,4,3,31,2,4,4,2,79,9.75,1024,64.625,4,1,-3,326,326,113,,,,météo très défavorable
2009-01-07,5,3,24,2,4,4,0.3,85,9,1027,33.125,5,1,-2,113,113,119,,,,météo très défavorable
2009-01-08,7,5,29,4,6,6,1.3,85,7,1029,77.375,7,4,1,266,122,119,,,,météo très défavorable
2009-01-09,4,1,17,-1,3,3,0,81,10,1027,0.125,4,0,-4,113,113,113,,,,météo très défavorable
2009-01-10,7,3,18,2,4,7,0,64,10,1028,3.875,7,0,1,113,113,113,,,,météo très défavorable
2009-01-11,11,5,44,4,8,11,0,82,10,1028,20,11,7,0,113,116,113,,,,météo très défavorable
2009-01-12,14,11,50,9,13,13,4.7,91,8.125,1023,54.5,14,11,6,113,119,389,,,,météo correcte
2009-01-13,11,9,25,8,11,11,0.3,89,9.375,1015,25.125,11,9,6,116,116,113,,,,météo défavorable
2009-01-14,10,7,31,6,9,9,1,85,10,1016,39.75,10,7,4,113,116,116,,,,météo défavorable
2009-01-15,9,8,42,8,9,9,0.3,83,9.75,1012,49.125,9,6,3,116,116,116,,,,météo défavorable
2009-01-16,10,9,35,8,10,10,1,88,8.625,1015,51.625,10,8,5,116,116,116,,,,météo défavorable
2009-01-17,14,11,53,10,13,13,3.4,83,8.875,1015,61.25,14,9,7,296,113,116,,,,météo correcte
2009-01-18,12,9,50,8,11,11,10.9,80,8.625,1005,64.5,12,7,4,296,176,116,,,,météo défavorable
2009-01-19,15,5,55,15,10,5,12.3,84,9,1001,75.375,15,13,-1,302,353,353,,,,météo très défavorable
2009-01-20,7,6,23,5,7,7,2.1,82,9.875,996,51.5,7,3,2,116,353,116,,,,météo très défavorable
2009-01-21,9,6,49,5,8,8,5.4,87,8.75,1006,55.125,9,5,1,119,113,263,,,,météo défavorable
2009-01-22,13,11,37,10,12,13,21.9,90,5.75,997,89.125,13,11,7,302,263,122,,,,météo très défavorable
2009-01-23,12,9,55,8,11,11,5.6,82,8.375,990,50.5,12,8,4,389,113,113,,,,météo défavorable
2009-01-24,8,5,32,5,5,5,16.2,83,8.25,997,61.25,8,4,-1,320,296,176,,,,météo très défavorable
2009-01-25,12,9,28,8,11,11,17.9,86,6.75,992,63.5,12,7,5,389,263,113,,,,météo très défavorable
2009-01-26,8,6,37,6,7,7,2.6,84,10,1006,65,8,5,2,116,353,353,,,,météo très défavorable
2009-01-27,8,7,22,6,8,8,1,93,8.75,1014,63.75,8,6,4,119,113,122,,,,météo très défavorable
2009-01-28,10,8,26,7,9,9,21.1,93,8,1014,84,10,9,4,296,302,119,,,,météo très défavorable
2009-01-29,9,7,38,6,9,9,0.2,89,10,1014,75.875,9,7,3,122,116,122,,,,météo défavorable
2009-01-30,11,9,40,7,10,10,1,85,6.375,1012,67.625,11,7,4,122,266,113,,,,météo défavorable
2009-01-31,10,7,30,6,9,9,0,86,10,1006,36,10,6,3,113,113,119,,,,météo défavorable
2009-02-01,7,4,46,3,6,6,0,79,10,1004,39.875,7,5,-2,122,113,113,,,,météo très défavorable
2009-02-02,4,3,33,2,4,4,7,80,7.375,1001,69.5,4,1,-3,323,227,362,,,,météo très défavorable
2009-02-03,5,3,33,2,4,4,6.9,81,9.25,997,54.375,5,1,-3,113,179,317,,,,météo très défavorable
2009-02-04,12,3,42,3,3,10,6.8,92,6.75,995,73.25,12,10,-4,119,266,266,,,,météo très défavorable
2009-02-05,10,7,28,7,9,9,2.6,85,8.75,987,46.875,10,8,4,122,113,263,,,,météo défavorable
2009-02-06,9,7,59,5,8,8,9.9,91,7,991,91.375,9,7,1,266,353,296,,,,météo défavorable
2009-02-07,6,4,41,5,4,4,4.2,75,9.25,1003,61.625,6,1,-2,119,362,182,,,,météo très défavorable
2009-02-08,8,6,39,5,8,8,2.5,85,8.125,1006,72.5,8,5,2,119,119,266,,,,météo très défavorable
2009-02-09,18,5,51,5,9,18,40.2,92,7.625,1006,75.75,18,16,-1,116,308,389,,,,météo très défavorable
2009-02-10,12,0,54,6,1,1,3.3,78,7.25,1015,76.75,12,10,-7,266,116,119,,,,météo très défavorable
2009-02-11,8,7,18,7,8,8,3.6,83,9.75,1022,41,8,5,5,353,116,116,,,,météo très défavorable
2009-02-12,7,5,22,4,7,7,0.1,76,10,1028,41.875,7,4,1,119,113,113,,,,météo très défavorable
2009-02-13,10,8,28,7,9,9,0.4,88,9.375,1026,65.875,10,7,4,119,113,119,,,,météo défavorable
2009-02-14,7,5,13,4,7,7,0.2,81,9.375,1030,31.875,7,4,3,116,116,113,,,,météo très défavorable
2009-02-15,7,4,8,3,6,6,0,80,10,1031,16.5,7,2,3,113,113,116,,,,météo très défavorable
2009-02-16,9,6,17,5,8,8,0,87,10,1030,19.625,9,6,3,119,113,113,,,,météo défavorable
2009-02-17,9,8,26,7,9,9,0,86,10,1030,51.875,9,7,4,116,116,116,,,,météo défavorable
2009-02-18,9,9,14,8,9,9,0.8,95,7.625,1029,88,9,8,6,119,122,122,,,,météo défavorable
