DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,22,17,22,16,21,22,0,73,10,1014,17.25,25,14,17,119,113,113,,,,météo favorable
2009-01-02,24,17,18,14,21,24,0,51,10,1019,2.625,25,9,16,113,113,113,,,,météo idéale
2009-01-03,28,21,11,16,26,27,0,34,10,1017,1.25,27,7,21,113,113,113,,,,météo idéale
2009-01-04,30,24,16,20,28,28,0,30,10,1013,3.875,27,6,24,113,113,113,,,,météo idéale
2009-01-05,31,24,19,19,29,28,0,35,10,1014,0,29,8,24,113,113,113,,,,météo idéale
2009-01-06,31,25,19,19,30,28,0,38,10,1012,0,29,11,25,113,113,113,,,,météo idéale
2009-01-07,25,21,23,19,24,24,0,69,10,1015,2.375,26,15,21,113,113,113,,,,météo idéale
2009-01-08,26,19,22,16,23,25,0,52,10,1019,1.5,26,11,19,113,113,113,,,,météo idéale
2009-01-09,28,21,17,17,26,27,0,42,10,1018,5.25,26,8,21,113,113,113,,,,météo idéale
2009-01-10,27,22,22,17,26,25,0,40,10,1011,3.5,26,11,22,113,113,113,,,,météo idéale
2009-01-11,27,21,19,19,25,26,0,51,10,1013,15,26,11,21,113,113,113,,,,météo idéale
2009-01-12,31,23,9,19,29,30,0,41,10,1015,0,30,11,23,113,113,113,,,,météo idéale
2009-01-13,33,28,17,24,32,32,0,25,10,1011,0,31,7,28,113,113,113,,,,météo idéale
2009-01-14,29,24,18,21,29,27,0,60,10,1012,4.875,29,16,24,113,113,113,,,,météo idéale
2009-01-15,26,21,24,19,24,25,0,58,10,1018,18.25,26,15,21,113,116,113,,,,météo favorable
2009-01-16,26,20,23,16,24,26,0,54,10,1022,0,26,12,20,113,113,113,,,,météo idéale
2009-01-17,28,21,16,17,25,27,0,42,10,1022,0,26,9,21,113,113,113,,,,météo idéale
2009-01-18,31,23,12,19,28,30,0,36,10,1018,1.625,29,9,23,113,113,113,,,,météo idéale
2009-01-19,31,26,12,22,30,30,0,27,10,1013,0,29,8,26,113,113,113,,,,météo idéale
2009-01-20,31,26,24,23,30,29,0,36,10,1008,1.25,29,10,26,113,113,113,,,,météo idéale
2009-01-21,29,23,13,19,27,28,0,54,10,1011,2.25,29,13,23,113,113,113,,,,météo idéale
2009-01-22,29,24,26,20,29,26,0,39,10,1007,3.25,29,16,24,113,113,113,,,,météo idéale
2009-01-23,28,21,10,18,25,28,0,60,10,1009,1,28,13,21,113,113,113,,,,météo idéale
2009-01-24,24,21,18,19,23,24,0,66,10,1014,11.375,25,15,21,116,113,113,,,,météo idéale
2009-01-25,30,23,15,17,28,29,0,47,10,1017,0,29,11,23,113,113,113,,,,météo idéale
2009-01-26,33,25,14,20,30,31,0,35,10,1018,0.25,31,9,25,113,113,113,,,,météo idéale
2009-01-27,34,29,12,25,32,33,0,26,10,1014,12.125,32,9,29,113,113,113,,,,météo idéale
2009-01-28,34,31,17,28,34,32,0,30,10,1008,2.875,34,14,31,113,113,113,,,,météo idéale
2009-01-29,34,30,16,29,33,33,0.2,32,10,1009,10.875,33,13,30,113,113,113,,,,météo idéale
2009-01-30,34,30,12,26,33,33,0,32,10,1010,3.375,34,13,30,113,113,113,,,,météo idéale
2009-01-31,33,29,9,26,32,32,0,33,10,1011,5.25,32,13,29,113,113,113,,,,météo idéale
2009-02-01,33,28,10,27,32,33,0,39,10,1012,4.875,32,14,28,113,113,113,,,,météo idéale
2009-02-02,34,29,21,25,33,33,0,39,10,1010,10.125,34,14,29,113,113,113,,,,météo idéale
2009-02-03,34,28,20,24,32,31,0,45,10,1010,4.375,34,15,28,113,113,113,,,,météo idéale
2009-02-04,32,26,15,23,31,30,0,49,10,1008,0.625,32,14,26,113,113,113,,,,météo idéale
2009-02-05,34,26,20,22,31,31,0,42,10,1008,1.875,33,13,26,113,113,113,,,,météo idéale
2009-02-06,34,28,5,25,33,34,0,40,10,1007,4,34,14,28,113,113,113,,,,météo idéale
2009-02-07,36,32,30,29,36,30,0,27,10,1007,1,35,16,32,113,113,113,,,,météo favorable
2009-02-08,26,24,30,23,26,23,0.3,63,10,1015,13.375,27,17,24,113,113,116,,,,météo idéale
2009-02-09,25,18,26,16,22,24,0.1,57,10,1018,3,25,11,18,113,113,113,,,,météo idéale
2009-02-10,20,17,29,15,19,20,0,63,10,1020,3.375,20,10,16,113,113,113,,,,météo favorable
2009-02-11,22,16,24,14,20,22,0,54,10,1022,0.125,24,11,16,113,113,113,,,,météo favorable
2009-02-12,23,16,22,14,21,23,0,56,10,1021,2.875,25,10,16,113,113,113,,,,météo favorable
2009-02-13,26,20,18,16,24,26,0,49,10,1020,3.125,26,10,20,113,113,113,,,,météo idéale
2009-02-14,28,22,14,18,26,27,0,64,10,1019,8,28,14,22,113,113,113,,,,météo idéale
2009-02-15,28,22,21,19,26,27,0,44,10,1017,11.5,27,12,22,113,113,113,,,,météo idéale
2009-02-16,30,23,13,20,28,29,0,38,10,1014,6.25,29,11,23,113,113,113,,,,météo idéale
2009-02-17,30,25,9,21,29,28,0,47,10,1013,8,30,12,25,113,113,113,,,,météo idéale
2009-02-18,30,25,10,21,29,28,0,46,10,1010,11.25,30,13,25,113,113,113,,,,météo idéale
2009-02-19,25,24,23,21,25,23,0.2,61,10,1013,31.375,26,16,24,116,116,116,,,,météo favorable
2009-02-20,24,21,23,19,23,23,0,72,10,1017,18.625,26,16,21,116,113,113,,,,météo idéale
2009-02-21,26,19,19,17,24,26,0,65,10,1019,0.875,26,14,19,113,113,113,,,,météo idéale
2009-02-22,29,22,7,18,27,28,0,51,10,1016,1.875,28,11,22,113,113,113,,,,météo idéale
2009-02-23,28,23,21,20,27,26,0,39,10,1016,9.75,28,15,23,116,113,113,,,,météo idéale
2009-02-24,28,20,14,17,25,27,0,55,10,1018,3.75,27,14,20,113,113,113,,,,météo idéale
2009-02-25,32,23,12,19,29,29,0,33,10,1017,9.375,30,9,23,113,113,113,,,,météo idéale
2009-02-26,32,25,10,21,30,29,0,30,10,1016,0.875,30,10,25,113,113,113,,,,météo idéale
2009-02-27,29,25,21,24,29,27,0.2,41,10,1013,6.125,29,16,25,113,113,113,,,,météo idéale
2009-02-28,28,23,19,20,27,26,0.2,50,10,1015,6.875,27,14,23,113,113,113,,,,météo idéale
2009-03-01,24,21,17,20,23,24,0.2,51,9.375,1015,44.125,25,14,21,116,116,116,,,,météo favorable
2009-03-02,28,22,14,21,26,26,0.8,57,8.25,1014,44,28,15,22,116,116,116,,,,météo favorable
2009-03-03,29,22,22,28,23,20,6.9,75,9.375,1018,59.625,28,18,22,116,302,119,,,,météo correcte
2009-03-04,22,18,27,16,20,20,0,59,10,1023,20.375,24,12,18,113,113,113,,,,météo favorable
2009-03-05,21,18,19,17,20,21,0,70,10,1024,57.25,23,15,18,116,116,116,,,,météo correcte
2009-03-06,23,19,17,18,22,22,0,69,10,1021,28.5,25,15,19,116,116,113,,,,météo favorable
2009-03-07,25,19,14,16,23,24,0,69,10,1017,15.625,26,14,19,113,113,113,,,,météo idéale
2009-03-08,27,21,15,20,25,26,0,57,10,1017,30,27,13,21,113,116,113,,,,météo favorable
2009-03-09,24,22,9,20,24,23,0.4,44,10,1018,20.125,25,11,22,113,116,113,,,,météo favorable
2009-03-10,25,21,17,19,25,24,0,53,10,1017,17.5,26,12,21,113,116,113,,,,météo favorable
2009-03-11,27,21,9,19,25,26,1.2,67,9.875,1016,14.875,27,15,21,113,113,113,,,,météo idéale
2009-03-12,28,21,10,20,25,26,0.2,68,9.75,1015,24.625,28,15,21,116,116,113,,,,météo favorable
2009-03-13,29,22,10,19,27,26,0,54,10,1016,9,28,14,22,113,113,113,,,,météo idéale
2009-03-14,23,21,25,21,22,20,0,71,10,1018,23.625,25,16,21,116,113,113,,,,météo favorable
2009-03-15,19,16,20,15,18,19,0,71,10,1020,33.625,19,13,16,116,116,116,,,,météo favorable
2009-03-16,19,18,16,17,19,19,1.1,81,8,1019,71,19,15,18,266,119,116,,,,météo défavorable
2009-03-17,24,16,13,14,21,23,0,69,10,1020,2.125,25,11,16,113,113,113,,,,météo idéale
2009-03-18,28,20,14,17,25,25,0,47,10,1017,10.75,27,10,20,113,116,113,,,,météo favorable
2009-03-19,27,21,14,19,25,24,0,46,10,1014,2.5,27,15,21,113,113,113,,,,météo idéale
2009-03-20,29,21,7,17,26,25,0,63,10,1015,11.875,28,14,21,113,113,116,,,,météo idéale
2009-03-21,29,24,19,22,26,28,0.2,37,10,1011,30.375,27,11,24,116,116,113,,,,météo favorable
2009-03-22,23,19,19,18,22,21,0,70,10,1016,15.625,25,15,19,116,113,113,,,,météo favorable
2009-03-23,26,18,11,15,23,24,0,59,10,1017,0.625,26,11,18,113,113,113,,,,météo idéale
2009-03-24,22,20,13,17,21,21,0.8,56,9,1015,34.125,25,13,20,116,266,116,,,,météo correcte
2009-03-25,27,20,10,18,25,25,0,63,10,1017,7.25,27,14,20,113,113,113,,,,météo idéale
2009-03-26,25,20,20,18,23,24,0,70,10,1024,7.875,26,15,20,113,113,113,,,,météo idéale
2009-03-27,26,18,14,16,23,24,0,58,10,1027,2.25,26,11,18,113,113,113,,,,météo idéale
2009-03-28,28,19,8,16,26,25,0,38,10,1024,0,27,8,19,113,113,113,,,,météo idéale
2009-03-29,29,21,12,17,27,26,0,39,10,1020,0,27,8,21,113,113,113,,,,météo idéale
2009-03-30,30,21,11,19,27,27,0,36,10,1021,4.75,28,8,21,113,113,113,,,,météo idéale
2009-03-31,30,23,11,20,28,27,0,36,10,1019,14.5,29,10,23,116,113,116,,,,météo idéale
2009-04-01,29,23,10,20,27,26,0,45,10,1018,5.75,29,12,23,113,113,113,,,,météo idéale
2009-04-02,30,23,13,20,28,26,0,47,10,1017,11.625,29,15,23,113,113,116,,,,météo idéale
2009-04-03,22,20,26,18,21,21,0,69,10,1024,15.625,24,16,20,116,113,113,,,,météo favorable
2009-04-04,21,17,19,15,20,20,0,62,10,1026,4.625,23,12,17,113,113,113,,,,météo favorable
2009-04-05,19,16,16,15,18,19,0.7,79,8.375,1025,47.375,19,14,16,119,266,116,,,,météo correcte
2009-04-06,19,15,23,14,18,18,0,65,10,1028,11.25,19,13,15,113,113,113,,,,météo favorable
2009-04-07,21,15,19,13,18,20,0,63,10,1030,0,23,9,14,113,113,113,,,,météo favorable
2009-04-08,23,16,14,13,20,21,0,66,10,1028,3,25,11,15,113,113,113,,,,météo favorable
2009-04-09,23,17,12,14,21,21,0,53,10,1023,3.5,25,9,17,113,113,113,,,,météo favorable
2009-04-10,24,17,15,13,22,22,0,52,10,1021,16.75,25,9,17,116,113,113,,,,météo idéale
2009-04-11,25,18,10,15,23,23,0,45,10,1022,0.875,25,8,18,113,113,113,,,,météo idéale
2009-04-12,27,19,9,17,25,24,0,39,10,1022,7.875,26,9,19,113,113,113,,,,météo idéale
2009-04-13,26,20,13,17,25,23,0,37,10,1020,1.875,26,8,20,113,113,113,,,,météo idéale
2009-04-14,25,18,7,15,23,22,0,54,10,1017,6.875,26,11,18,113,113,113,,,,météo idéale
2009-04-15,21,18,17,17,20,18,0,67,10,1016,11.25,21,12,18,119,113,113,,,,météo favorable
2009-04-16,20,14,12,11,18,18,0,70,10,1016,1.375,20,11,13,113,113,113,,,,météo favorable
2009-04-17,22,15,11,12,20,20,0,75,10,1021,4.25,25,12,15,113,113,113,,,,météo favorable
2009-04-18,23,17,14,14,21,21,0,70,10,1024,0.375,25,12,16,113,113,113,,,,météo favorable
2009-04-19,23,17,11,14,21,22,0,61,10,1024,3.5,25,11,16,113,113,113,,,,météo favorable
2009-04-20,25,17,9,15,23,22,0,56,10,1020,10.625,25,11,17,113,116,113,,,,météo favorable
2009-04-21,25,20,12,18,23,23,0,49,10,1020,16.25,25,11,20,113,113,116,,,,météo idéale
2009-04-22,26,20,13,19,24,24,0,45,10,1019,18.625,26,11,20,116,113,113,,,,météo idéale
2009-04-23,23,20,28,19,22,22,4.7,50,9,1015,40.375,25,16,20,116,263,293,,,,météo correcte
2009-04-24,18,16,28,15,17,17,7.9,79,8.625,1010,69.5,18,14,16,122,353,119,,,,météo défavorable
2009-04-25,18,16,33,15,17,17,17,82,9.25,1010,76.625,18,14,15,353,353,353,,,,météo très défavorable
2009-04-26,15,14,24,14,15,15,4.9,77,7.125,1017,95.625,15,11,13,122,296,266,,,,météo défavorable
2009-04-27,18,16,26,14,17,17,8,85,9,1018,69.75,18,14,15,353,353,176,,,,météo défavorable
2009-04-28,19,16,6,15,18,18,0.6,78,10,1022,47.75,19,13,16,116,113,119,,,,météo favorable
2009-04-29,19,15,10,14,18,18,0.2,73,10,1022,20.875,19,11,15,113,113,113,,,,météo favorable
2009-04-30,20,14,8,12,18,18,0,69,10,1023,12.625,20,12,14,113,116,113,,,,météo favorable
2009-05-01,20,14,11,12,19,20,0,71,10,1024,17.875,20,14,14,113,113,116,,,,météo favorable
2009-05-02,19,16,15,15,18,18,0,79,10,1028,20.125,19,14,16,116,113,113,,,,météo favorable
2009-05-03,19,14,12,13,18,18,0,64,10,1030,0.625,19,9,14,113,113,113,,,,météo favorable
2009-05-04,20,14,8,12,18,18,0,57,10,1031,2.25,20,9,13,113,113,113,,,,météo favorable
2009-05-05,20,14,11,12,18,18,0,67,10,1031,31,20,9,14,116,116,116,,,,météo favorable
2009-05-06,19,13,13,11,17,17,0,64,10,1030,20.75,19,9,13,116,113,113,,,,météo favorable
2009-05-07,19,13,15,12,17,18,0,77,10,1030,1.75,19,10,13,113,113,113,,,,météo favorable
2009-05-08,19,13,13,12,17,18,0,80,10,1031,3.625,19,11,13,113,113,113,,,,météo favorable
2009-05-09,19,13,15,11,17,17,0,76,10,1029,2.375,19,11,12,113,113,113,,,,météo favorable
2009-05-10,18,13,12,12,16,17,0,80,10,1025,7.375,18,10,13,113,113,113,,,,météo favorable
2009-05-11,20,13,13,11,17,18,0,74,10,1025,2.625,20,10,13,113,113,113,,,,météo favorable
2009-05-12,19,13,13,12,17,17,0,66,10,1024,14.25,19,9,14,113,113,116,,,,météo favorable
2009-05-13,18,12,15,10,17,16,0,73,10,1022,26,18,10,12,113,113,116,,,,météo favorable
2009-05-14,18,14,17,12,17,16,0.4,75,9.875,1020,47.375,18,11,13,116,116,119,,,,météo favorable
2009-05-15,19,16,15,15,18,18,0.4,78,9.375,1020,67.5,19,12,16,119,119,119,,,,météo défavorable
2009-05-16,18,16,17,15,17,17,2.1,83,5.375,1022,77,18,14,16,266,122,116,,,,météo défavorable
2009-05-17,18,14,6,12,17,17,0,84,10,1023,59.625,18,13,14,116,119,119,,,,météo correcte
2009-05-18,20,17,8,16,19,19,0,69,10,1021,76.875,20,13,17,119,119,116,,,,météo défavorable
2009-05-19,18,13,8,13,16,16,0,65,10,1018,49.875,18,9,14,116,116,116,,,,météo favorable
