DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,0,11,11,14,12,0,82,10,1025,43.75,14,10,11,116,116,116,0,4,9.5,météo très défavorable
2009-01-02,12,0,27,10,10,10,7,89,9.125,1020,86.25,12,9,7,119,122,122,0,3,4.8,météo très défavorable
2009-01-03,11,0,27,11,10,9,1.1,82,8.75,1016,71.75,11,8,6,119,116,119,0,3,6.5,météo très défavorable
2009-01-04,9,0,16,7,9,7,0,67,10,1015,21,9,4,5,113,113,113,0,2,9.6,météo très défavorable
2009-01-05,10,0,23,6,9,9,0,71,10,1014,4.625,10,4,6,113,113,113,0,3,9.6,météo très défavorable
2009-01-06,10,0,32,9,10,10,0.6,78,10,1012,37.875,10,6,6,113,119,113,0,3,9.6,météo très défavorable
2009-01-07,11,0,23,11,10,10,2.2,81,9.75,1013,48.375,11,8,7,119,116,113,0,3,9.6,météo très défavorable
2009-01-08,11,0,14,9,11,9,0,75,10,1019,41.625,11,6,7,119,113,116,0,3,9.6,météo très défavorable
2009-01-09,13,0,24,11,13,12,1.1,85,9.25,1021,41.875,13,10,9,116,116,116,0,4,9.6,météo très défavorable
2009-01-10,12,0,17,10,12,11,0.4,79,9.375,1023,52.125,12,9,7,116,116,122,0,4,9.6,météo très défavorable
2009-01-11,12,0,20,10,12,11,0,78,10,1026,26.5,12,7,8,116,113,113,0,4,9.6,météo très défavorable
2009-01-12,13,0,22,11,13,12,0,82,10,1026,29.875,13,9,9,113,113,116,0,4,9.7,météo très défavorable
2009-01-13,12,0,28,12,12,11,1.2,87,7.75,1020,66.25,12,10,8,119,116,119,0,4,6.5,météo très défavorable
2009-01-14,13,0,26,11,13,11,0.9,77,8.75,1010,36,13,8,8,116,113,113,0,3,9.7,météo très défavorable
2009-01-15,11,0,26,10,11,9,0,78,10,1017,24,11,7,7,113,113,113,0,4,9.7,météo très défavorable
2009-01-16,13,0,11,10,12,11,0,84,10,1024,19.5,13,8,9,116,113,113,0,3,9.7,météo très défavorable
2009-01-17,13,0,4,9,12,11,0,70,10,1025,16.625,13,6,11,116,116,113,0,3,9.7,météo très défavorable
