DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,0,10,22,25,23,0.2,83,10,1014,40,27,20,22,119,113,113,0,1,8.7,météo favorable
2009-01-02,26,0,14,23,26,22,0,80,10,1014,17.5,27,19,23,113,113,113,0,1,11.6,météo favorable
2009-01-03,26,0,13,23,26,22,0,73,10,1014,16.75,27,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-04,27,0,12,23,27,23,0,79,10,1014,20.625,28,21,23,113,113,113,0,1,11.6,météo favorable
2009-01-05,26,0,8,23,26,23,0.8,84,9.875,1015,35.75,28,21,23,116,113,113,0,1,11.6,météo favorable
2009-01-06,27,0,8,23,27,23,0.1,83,10,1014,27,28,20,23,116,113,113,0,1,11.6,météo favorable
2009-01-07,27,0,6,23,27,24,0.1,79,10,1014,21.375,28,20,23,113,116,113,0,1,11.6,météo favorable
2009-01-08,27,0,9,22,27,24,0,77,10,1013,12.5,29,20,22,113,113,113,0,1,11.6,météo favorable
2009-01-09,26,0,13,22,26,22,0,83,10,1015,22.75,28,20,22,116,113,113,0,1,11.6,météo favorable
2009-01-10,26,0,10,22,26,22,0,81,10,1015,12,27,19,22,113,113,113,0,1,11.6,météo favorable
2009-01-11,26,0,9,22,26,23,0,75,10,1014,24.625,28,20,23,113,116,113,0,1,11.6,météo favorable
2009-01-12,26,0,8,23,26,23,0,71,10,1014,15.375,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-13,26,0,9,22,25,24,0,79,10,1015,23,27,20,23,116,116,113,0,1,11.6,météo favorable
2009-01-14,27,0,9,23,27,24,0,76,10,1015,14.625,28,19,23,113,113,113,0,1,11.6,météo favorable
2009-01-15,26,0,9,23,25,23,0.6,83,9.875,1015,32.125,27,20,23,116,113,113,0,1,11.6,météo favorable
2009-01-16,25,0,14,22,25,22,0.5,81,10,1017,36.5,27,20,22,116,116,113,0,1,11.6,météo favorable
2009-01-17,26,0,12,22,26,22,0.6,78,9.75,1018,33.625,27,19,22,116,113,116,0,1,11.6,météo favorable
2009-01-18,26,0,17,23,26,24,0.1,78,10,1018,28.375,27,20,23,113,116,116,0,1,11.6,météo favorable
2009-01-19,26,0,17,22,26,23,0.6,81,9.75,1017,23.375,28,21,23,116,116,113,0,1,11.6,météo favorable
2009-01-20,24,0,7,23,24,23,5,86,9.5,1017,59.5,26,21,23,119,116,116,0,1,8.7,météo très défavorable
2009-01-21,23,0,13,23,23,22,8.4,88,9.625,1018,70.625,25,21,22,116,119,122,0,1,5.9,météo très défavorable
2009-01-22,23,0,13,23,23,22,5,89,10,1018,64.625,25,21,23,122,116,116,0,1,7.3,météo très défavorable
2009-01-23,26,0,10,22,26,22,0.3,83,9.875,1017,15.875,27,20,22,113,113,113,0,1,11.6,météo favorable
2009-01-24,26,0,10,22,26,23,0.3,81,9.875,1016,22.375,27,20,22,116,116,113,0,1,11.6,météo favorable
2009-01-25,24,0,6,22,23,22,6.5,88,9.5,1015,61.5,26,21,22,122,119,116,0,1,7.3,météo très défavorable
2009-01-26,26,0,12,22,26,22,0.8,86,9.875,1015,26.5,27,20,22,116,113,113,0,1,11.6,météo favorable
2009-01-27,26,0,12,22,26,23,2,79,10,1016,34.25,28,21,22,116,116,116,0,1,11.6,météo favorable
2009-01-28,26,0,10,22,26,23,1.3,86,9.75,1014,22,28,21,22,116,113,113,0,1,11.6,météo favorable
2009-01-29,26,0,12,22,26,23,0.1,82,10,1015,18.125,28,20,22,116,113,113,0,1,11.6,météo favorable
2009-01-30,26,0,12,22,26,22,0,75,10,1015,9.875,28,20,22,113,113,113,0,1,11.6,météo favorable
2009-01-31,24,0,8,22,23,23,3.3,87,9.25,1016,43.875,26,21,22,116,119,116,0,1,8.8,météo très défavorable
2009-02-01,26,0,12,23,26,22,1,81,9.875,1015,19.375,27,21,23,113,113,113,0,1,11.6,météo favorable
2009-02-02,26,0,19,23,26,23,0.5,77,9.875,1014,35.75,28,21,23,116,116,116,0,1,10.2,météo favorable
2009-02-03,26,0,12,23,26,23,5.2,85,9.625,1014,43.75,28,21,23,116,116,116,0,1,10.2,météo favorable
2009-02-04,24,0,24,23,24,23,25.4,89,7.75,1018,73.25,26,22,23,122,122,116,0,1,5.9,météo très défavorable
2009-02-05,23,0,18,23,23,23,25.4,90,8,1018,95.25,25,21,23,119,122,122,0,1,5.9,météo très défavorable
2009-02-06,23,0,20,23,23,23,16.6,89,8.5,1018,99.75,25,21,23,122,122,122,0,1,5.9,météo très défavorable
2009-02-07,24,0,20,24,23,22,10.1,91,9.25,1016,68.5,26,22,23,122,116,116,0,1,7.3,météo très défavorable
2009-02-08,23,0,8,22,23,22,2.6,88,9.75,1016,55,26,21,22,119,116,116,0,1,8.8,météo très défavorable
2009-02-09,25,0,10,21,25,21,0.1,80,10,1016,30.625,27,19,21,116,116,113,0,1,11.6,météo favorable
2009-02-10,25,0,9,22,25,22,0,78,10,1015,11.125,27,19,22,113,113,113,0,1,11.6,météo favorable
2009-02-11,26,0,7,22,26,23,0.1,77,10,1014,23.5,28,21,22,113,116,113,0,1,11.6,météo favorable
2009-02-12,25,0,12,23,25,23,2.5,88,9.875,1015,43.125,27,22,23,116,116,113,0,1,10.2,météo favorable
2009-02-13,26,0,13,22,26,23,0.5,84,9.875,1014,18.75,28,20,22,113,113,113,0,1,11.6,météo favorable
2009-02-14,26,0,8,23,26,23,0.5,80,9.75,1013,19,28,20,23,116,113,113,0,1,11.6,météo favorable
2009-02-15,27,0,12,22,27,23,0,75,10,1014,8.875,28,20,22,113,113,113,0,1,11.6,météo favorable
2009-02-16,27,0,9,22,27,22,0,74,10,1016,1.875,27,18,22,113,113,113,0,1,11.6,météo favorable
2009-02-17,26,0,15,21,26,21,0.1,77,10,1016,7.5,27,18,21,113,113,113,0,1,11.6,météo favorable
2009-02-18,26,0,14,22,26,21,0,73,10,1014,2.875,27,17,22,113,113,113,0,1,11.6,météo favorable
2009-02-19,26,0,13,23,26,23,1.3,83,9.75,1013,41.625,28,21,23,116,113,113,0,1,10.2,météo favorable
2009-02-20,24,0,13,23,23,24,14.5,90,9.25,1013,64.625,26,22,23,116,122,119,0,1,7.4,météo très défavorable
2009-02-21,25,0,9,22,25,22,0.9,83,9.875,1013,23.25,27,21,22,116,113,113,0,1,11.6,météo favorable
2009-02-22,26,0,9,23,26,23,0.4,84,9.875,1015,33.125,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-02-23,25,0,6,23,25,23,2.8,84,10,1016,31.375,27,21,23,116,113,113,0,1,11.6,météo favorable
2009-02-24,26,0,12,21,26,22,0.3,84,9.875,1015,21.25,27,19,22,116,113,113,0,1,11.6,météo favorable
2009-02-25,26,0,15,22,26,23,0.2,77,9.875,1015,14.75,28,20,22,113,113,113,0,1,11.6,météo favorable
2009-02-26,26,0,7,23,26,22,0.9,85,9.75,1015,26.125,27,20,23,116,113,113,0,1,11.6,météo favorable
2009-02-27,26,0,7,22,26,22,0.8,86,9.75,1014,33.5,28,21,22,116,113,113,0,1,11.6,météo favorable
2009-02-28,26,0,8,22,26,23,0,84,10,1013,20.25,28,19,22,113,113,113,0,1,11.6,météo favorable
2009-03-01,26,0,15,23,26,23,0.8,83,9.75,1013,23.5,28,21,23,113,113,116,0,1,11.6,météo favorable
2009-03-02,23,0,11,22,23,22,7.1,89,9.625,1016,69,25,21,22,116,119,119,0,1,6,météo très défavorable
2009-03-03,23,0,18,23,23,23,8.8,90,9.5,1017,86.5,25,21,23,116,122,122,0,1,6,météo très défavorable
2009-03-04,23,0,9,23,23,23,8.2,89,9.25,1016,99.125,25,21,23,122,122,122,0,1,6,météo très défavorable
2009-03-05,24,0,17,23,24,23,5.9,87,10,1016,72.25,27,22,23,116,116,122,0,1,8.8,météo très défavorable
2009-03-06,24,0,23,23,24,23,7.1,90,10,1016,60,26,22,23,119,116,116,0,1,8.8,météo très défavorable
2009-03-07,26,0,11,23,26,22,2,86,9.875,1015,50.5,28,20,23,119,113,116,0,1,10.2,météo favorable
2009-03-08,24,0,7,23,24,23,9.7,89,9.25,1014,73.625,26,21,23,119,116,119,0,1,8.8,météo très défavorable
2009-03-09,25,0,13,22,24,22,1.9,87,10,1015,54.125,27,21,23,122,116,116,0,1,8.8,météo favorable
2009-03-10,25,0,22,23,25,23,0.6,85,10,1015,38.75,27,20,23,119,113,113,0,1,10.2,météo favorable
2009-03-11,26,0,11,21,26,22,0,83,10,1014,17.25,27,19,21,116,113,113,0,1,11.6,météo favorable
2009-03-12,26,0,13,22,26,23,0,79,10,1016,7.25,27,18,22,113,113,113,0,1,11.6,météo favorable
2009-03-13,26,0,9,22,26,22,0,78,10,1015,18.875,27,19,22,113,113,113,0,1,11.6,météo favorable
2009-03-14,26,0,14,22,26,24,0,81,10,1015,16.5,27,19,22,113,113,113,0,1,11.6,météo favorable
2009-03-15,27,0,14,23,27,23,0,69,10,1016,11.375,28,19,23,113,113,113,0,1,11.6,météo favorable
2009-03-16,26,0,13,23,26,23,0,80,10,1016,10.75,28,19,23,113,113,113,0,1,11.6,météo favorable
2009-03-17,26,0,10,23,26,21,0,78,10,1015,10.625,27,19,23,113,113,113,0,1,11.6,météo favorable
2009-03-18,26,0,10,22,26,22,0,73,10,1014,7.625,27,18,22,113,113,113,0,1,11.6,météo favorable
2009-03-19,27,0,11,22,27,23,0,78,10,1013,15.5,28,19,22,113,113,113,0,1,11.6,météo favorable
2009-03-20,27,0,12,23,27,23,0,76,10,1013,17.5,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-03-21,26,0,14,22,26,23,0,81,10,1015,29,27,19,22,116,113,113,0,1,11.6,météo favorable
2009-03-22,26,0,11,23,26,23,0.3,84,9.875,1014,23.875,27,20,23,116,113,113,0,1,11.6,météo favorable
2009-03-23,26,0,12,22,26,23,0,81,10,1013,25.75,28,19,22,113,116,113,0,1,11.6,météo favorable
2009-03-24,27,0,12,23,27,23,0,73,10,1014,9.875,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-03-25,27,0,10,23,27,25,0,80,10,1014,15.625,28,21,23,113,113,113,0,1,11.6,météo favorable
2009-03-26,28,0,16,23,28,24,0,78,10,1013,5.625,29,20,23,113,113,113,0,1,11.6,météo favorable
2009-03-27,28,0,15,23,28,24,0,79,10,1013,9.125,30,22,23,113,113,113,0,1,11.6,météo favorable
2009-03-28,26,0,11,25,25,26,1,86,9.25,1013,32.875,29,23,25,116,116,113,0,1,10.2,météo favorable
2009-03-29,29,0,14,25,29,24,0,83,10,1014,3.875,32,22,25,113,113,113,0,1,11.6,météo favorable
2009-03-30,28,0,13,25,28,24,0,75,10,1014,5,30,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-31,28,0,12,24,28,25,0,73,10,1014,12.375,30,21,24,113,113,113,0,1,11.6,météo favorable
2009-04-01,29,0,15,24,29,26,0,70,10,1015,4.75,32,21,24,113,113,113,0,1,11.6,météo favorable
2009-04-02,29,0,18,25,29,25,0,72,10,1014,2.25,31,20,25,113,113,113,0,1,11.6,météo favorable
2009-04-03,28,0,13,24,28,25,0,79,10,1014,3.75,31,21,24,113,113,113,0,1,11.6,météo favorable
2009-04-04,28,0,15,25,28,24,0,73,10,1014,1.25,30,21,25,113,113,113,0,1,11.6,météo favorable
2009-04-05,28,0,14,24,28,24,0,72,10,1013,1.875,29,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-06,28,0,14,23,28,23,0,75,10,1014,0.5,29,19,23,113,113,113,0,1,11.6,météo favorable
2009-04-07,28,0,14,24,28,24,0,72,10,1016,3.875,30,19,24,113,113,113,0,1,11.6,météo favorable
2009-04-08,27,0,11,23,27,24,0.1,73,10,1017,11.625,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-04-09,27,0,11,23,27,25,0.1,75,10,1015,10.875,29,19,23,116,113,113,0,1,11.6,météo favorable
2009-04-10,28,0,18,24,28,23,0,62,10,1015,1.125,29,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-11,28,0,13,24,28,25,0.3,68,9.875,1015,15.125,30,21,24,113,113,113,0,1,11.6,météo favorable
2009-04-12,27,0,11,24,27,26,0.3,80,10,1016,26.375,29,21,24,116,113,113,0,1,11.6,météo favorable
2009-04-13,29,0,16,24,29,26,0,73,10,1014,6.75,31,22,24,113,113,113,0,1,11.6,météo favorable
2009-04-14,29,0,15,25,29,24,0,76,10,1014,2.25,30,21,25,113,113,113,0,1,11.6,météo favorable
2009-04-15,29,0,18,23,29,25,0,77,10,1015,2.625,30,20,23,113,113,113,0,1,11.6,météo favorable
2009-04-16,28,0,17,24,28,25,0,72,10,1015,5.375,30,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-17,28,0,13,24,28,25,0,76,10,1014,9.375,30,21,24,113,113,113,0,1,11.6,météo favorable
2009-04-18,28,0,13,24,28,24,0,76,10,1013,9.75,30,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-19,28,0,15,24,28,25,0,67,10,1013,1.75,29,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-20,28,0,13,24,28,24,0,74,10,1014,16.5,30,20,24,113,113,113,0,1,11.6,météo favorable
2009-04-21,28,0,13,25,28,25,21.9,82,9,1015,61,30,23,25,116,116,119,0,1,11.6,météo très défavorable
2009-04-22,25,0,5,24,25,24,19.2,89,8.75,1015,62.75,28,23,24,119,116,116,0,1,8.9,météo très défavorable
