DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-6,15,-5,1,-4,0,94,9.875,1019,15.625,1,0,-10,113,113,200,0,2,8.7,météo très défavorable
2009-01-02,3,-5,12,-5,3,-3,0,74,10,1020,6,3,0,-10,113,113,113,0,2,8.7,météo très défavorable
2009-01-03,5,-4,18,-3,5,-2,0,94,10,1021,9.375,5,0,-8,116,113,116,0,2,8.7,météo très défavorable
2009-01-04,3,-3,17,-3,3,-2,0,95,8.875,1018,23.625,3,0,-6,113,113,143,0,2,7.1,météo très défavorable
2009-01-05,-0,-4,18,-4,-0,-3,0,94,9.75,1016,22.375,0,0,-9,113,113,200,0,2,8.7,météo très défavorable
2009-01-06,1,-5,17,-5,1,-3,0,83,10,1018,7.5,2,0,-10,113,113,113,0,2,8.7,météo très défavorable
2009-01-07,2,-5,17,-5,2,-4,0,79,10,1022,5.875,2,0,-10,113,113,113,0,2,8.7,météo très défavorable
2009-01-08,3,-4,15,-4,3,-3,0,93,10,1023,10,3,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-09,4,-4,18,-4,4,-2,0,93,10,1024,8.125,4,0,-8,113,113,116,0,2,8.7,météo très défavorable
2009-01-10,4,-4,17,-4,4,-3,0,89,10,1022,9.375,4,0,-7,113,113,116,0,2,8.7,météo très défavorable
2009-01-11,3,-4,17,-4,3,-3,0,88,10,1020,7.25,3,0,-7,113,113,116,0,2,8.7,météo très défavorable
2009-01-12,5,-3,17,-3,5,-2,0,90,10,1023,4,5,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-13,5,-3,15,-3,5,0,0,94,9,1025,13.25,5,0,-3,113,113,143,0,2,8.7,météo très défavorable
2009-01-14,8,-1,18,-1,8,1,0,91,10,1024,8,8,0,-6,113,113,116,0,2,8.7,météo très défavorable
2009-01-15,8,-1,18,-0,8,2,0,94,9,1024,8.875,8,1,-5,113,113,143,0,2,8.7,météo très défavorable
2009-01-16,10,-0,15,-0,10,2,0,83,10,1024,7.625,10,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-17,11,1,18,1,11,3,0,78,10,1022,13.25,11,0,-3,116,116,113,0,2,8.7,météo très défavorable
2009-01-18,10,0,18,0,10,2,0,61,10,1020,0.75,10,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-19,10,-0,18,-0,10,2,0,62,10,1019,0.5,10,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-20,9,-0,17,-0,9,1,0,79,10,1017,1.625,9,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-21,12,2,24,2,12,3,0,82,10,1019,1.875,12,1,-4,113,113,113,0,3,8.7,météo très défavorable
2009-01-22,11,0,16,0,11,4,0,78,10,1018,9.125,11,0,-2,113,113,113,0,3,8.7,météo très défavorable
2009-01-23,12,2,15,2,12,5,0,64,10,1017,0.5,12,0,-2,113,113,113,0,3,8.7,météo très défavorable
2009-01-24,12,2,20,3,12,4,0,65,10,1018,1,12,0,-2,113,113,113,0,3,8.7,météo très défavorable
2009-01-25,10,1,17,1,10,4,0,70,10,1017,10.875,10,0,-2,113,113,113,0,2,8.7,météo très défavorable
2009-01-26,10,0,21,1,10,1,0,82,10,1015,8.375,10,0,-3,113,113,116,0,2,8.7,météo très défavorable
2009-01-27,7,-2,18,-2,7,1,0,87,10,1016,10.125,7,0,-4,113,113,116,0,2,8.7,météo très défavorable
2009-01-28,9,-2,18,-2,9,2,0,56,10,1016,1.375,9,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-29,8,-2,17,-2,8,1,0,73,10,1019,1.75,8,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-30,9,-2,21,-2,9,1,0,65,10,1017,2.75,9,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-31,7,-2,21,-2,7,0,0,50,10,1016,0.5,8,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-02-01,8,-3,22,-2,8,-0,0,56,10,1019,0.875,8,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-02-02,5,-3,21,-3,5,-1,0,61,10,1018,2.625,5,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-02-03,7,-4,18,-4,7,-1,0,57,10,1019,1.25,7,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-02-04,7,-5,20,-5,7,-0,0,73,10,1019,2,7,0,-6,113,113,113,0,2,8.7,météo très défavorable
