DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-7,-21,9,-11,-7,-16,0.7,99,1.75,1010,55.125,0,0,-17,371,335,260,0.6,1,4.9,météo très défavorable
2009-01-02,-18,-32,5,-24,-18,-23,0,100,0,1022,60.125,0,0,-35,260,260,260,0,1,6.8,météo très défavorable
2009-01-03,-10,-17,19,-16,-12,-11,0.4,99,7.375,1023,66.625,0,0,-23,323,329,332,0.4,1,2.9,météo très défavorable
2009-01-04,-5,-11,44,-11,-5,-6,5.7,99,7.5,1019,84.25,0,0,-16,119,230,230,0.1,1,2.9,météo très défavorable
2009-01-05,-1,-6,21,-5,-3,-2,1.9,99,5.75,1004,79.25,0,0,-10,338,332,371,1.7,1,4.9,météo très défavorable
2009-01-06,-2,-4,21,-4,-2,-2,6.4,99,3.875,1006,89.5,0,0,-9,338,338,338,5.5,1,3,météo très défavorable
2009-01-07,0,-1,27,0,0,0,3.7,100,8.75,996,99.375,0,0,-6,317,122,362,1.5,1,3,météo très défavorable
2009-01-08,0,-20,12,-4,-8,-20,4.1,100,2.625,1026,75.625,0,0,-16,338,326,260,3.1,1,3,météo très défavorable
2009-01-09,-2,-10,21,-5,-4,-2,2.4,99,7.75,1028,77.25,0,0,-10,335,338,335,2.1,1,3,météo très défavorable
2009-01-10,-0,-3,15,-3,-1,-1,0.4,100,6.5,1026,82.875,0,0,-6,326,326,338,0.3,1,3,météo très défavorable
2009-01-11,-0,-3,12,0,-1,-3,0.6,99,2.75,1035,51.75,0,0,-6,116,260,260,0.5,1,8,météo très défavorable
2009-01-12,0,-3,18,-1,0,0,5.1,100,7.375,1033,89.25,0,0,-5,338,122,122,4.1,1,3,météo très défavorable
2009-01-13,0,0,12,0,0,0,4.7,100,5.75,1031,100,1,1,-3,296,296,296,0,1,3,météo très défavorable
2009-01-14,0,-1,8,0,0,-1,0,100,1.25,1034,98.375,0,0,-2,248,248,260,0,1,3,météo très défavorable
2009-01-15,-2,-5,18,-5,-2,-4,0,99,3.75,1034,43.125,0,0,-9,260,260,116,0,1,8.1,météo très défavorable
