DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,27,33,27,27,27,3.9,80,9.375,1012,42.875,31,23,27,116,116,119,0,7,13.1,météo favorable
2009-01-02,28,27,27,27,27,28,2.7,78,9.875,1013,32,32,24,27,116,116,116,0,7,13.1,météo favorable
2009-01-03,28,27,27,28,27,27,2.1,73,9.75,1014,47,31,23,27,116,116,119,0,7,13.1,météo favorable
2009-01-04,28,27,21,27,28,28,1.2,74,9.75,1014,37.875,31,23,27,116,116,116,0,7,13.1,météo favorable
2009-01-05,28,27,17,27,28,28,0.7,77,9.875,1015,28.5,31,23,27,116,116,116,0,7,13.1,météo favorable
2009-01-06,28,27,13,27,28,28,1.1,76,9.625,1014,40.75,31,23,27,116,116,116,0,7,13,météo favorable
2009-01-07,28,27,18,27,27,27,0.5,78,9.875,1011,44.125,31,23,27,116,116,116,0,7,13.1,météo favorable
2009-01-08,28,27,18,27,28,28,0,79,9.625,1009,35.875,32,24,28,113,116,116,0,6,13,météo favorable
2009-01-09,28,27,22,28,27,27,1.3,80,9.125,1011,47.5,31,24,27,116,116,119,0,7,13,météo favorable
2009-01-10,28,27,15,27,28,28,0,78,9.875,1012,66.625,32,24,27,116,116,116,0,6,13,météo défavorable
2009-01-11,28,27,16,28,27,27,9.8,81,9.125,1013,68.25,32,23,27,116,116,122,0,6,12,météo défavorable
2009-01-12,28,27,24,28,28,28,3.2,78,9.875,1013,62.625,32,24,28,119,116,122,0,6,12,météo correcte
2009-01-13,28,27,20,28,27,27,1.2,77,10,1014,65.875,31,23,27,119,116,122,0,7,10.7,météo défavorable
2009-01-14,27,27,15,27,27,27,0.1,76,10,1015,74.5,30,23,27,122,119,116,0,6,9.4,météo défavorable
2009-01-15,28,27,13,27,27,28,0,75,10,1016,47.875,31,23,27,116,116,116,0,7,13,météo favorable
2009-01-16,28,27,22,28,28,27,0,81,10,1015,59.625,32,24,27,116,119,116,0,7,12,météo correcte
2009-01-17,28,26,22,26,28,28,9,89,9.125,1013,62.125,32,24,26,122,116,116,0,7,10.7,météo correcte
2009-01-18,28,27,21,28,28,28,4.9,81,9.625,1012,61.875,32,24,28,116,119,116,0,6,11.9,météo correcte
2009-01-19,28,27,28,27,27,28,5.2,83,8.625,1013,76.25,32,24,27,119,116,122,0,7,9.4,météo défavorable
2009-01-20,29,28,31,28,29,29,0,72,10,1014,27.25,33,23,28,116,113,113,0,7,13,météo idéale
2009-01-21,28,28,24,28,28,28,0,72,10,1014,13.125,32,23,28,113,113,113,0,7,13,météo idéale
2009-01-22,28,28,23,28,28,28,2.3,75,9.875,1013,19.375,32,23,28,113,116,113,0,7,13,météo favorable
2009-01-23,28,27,32,28,28,28,4.4,79,9.375,1015,27.875,32,24,27,116,116,116,0,7,13,météo favorable
2009-01-24,28,27,23,27,28,28,3,78,9.875,1015,32.125,32,23,27,116,116,116,0,7,13,météo favorable
2009-01-25,28,27,19,27,27,28,0.2,77,9.875,1013,31,31,23,27,116,116,113,0,7,12.9,météo favorable
2009-01-26,28,27,12,27,27,27,1.5,75,10,1013,44.75,30,23,27,116,116,116,0,7,11.9,météo favorable
2009-01-27,28,28,24,28,28,28,0,74,10,1014,14.25,32,23,28,113,113,113,0,7,12.9,météo idéale
2009-01-28,28,27,32,28,28,28,1.7,79,9.875,1015,35.25,33,24,28,116,116,200,0,7,12.9,météo favorable
2009-01-29,28,27,31,27,28,28,3.6,81,10,1016,37.875,32,24,27,116,116,116,0,7,12.9,météo favorable
2009-01-30,28,27,28,27,28,28,1.8,80,9.75,1014,33,32,24,27,116,113,122,0,7,12.9,météo favorable
2009-01-31,28,28,22,28,28,28,0,73,10,1013,20.375,32,23,28,113,113,113,0,7,12.9,météo idéale
2009-02-01,28,28,15,28,28,28,0.4,75,9.875,1013,23.25,31,23,28,113,113,116,0,7,12.9,météo idéale
2009-02-02,28,27,22,27,28,28,1.2,76,9.875,1013,35.375,32,23,28,116,116,116,0,7,12.9,météo favorable
2009-02-03,28,28,27,28,28,28,0,79,10,1013,30.125,33,24,28,116,113,116,0,7,12.9,météo favorable
2009-02-04,28,28,27,28,28,28,0.6,79,9.875,1012,21,33,24,28,113,113,113,0,7,12.9,météo idéale
2009-02-05,28,28,29,28,28,28,0,78,9.875,1013,37.75,33,24,28,116,113,116,0,7,12.9,météo favorable
2009-02-06,28,27,30,27,27,27,4.9,80,9.625,1015,35.875,32,24,27,116,116,116,0,7,12.9,météo favorable
